Date,Open,High,Low,Close,Volume,OpenInt
19970612,85.849,85.849,85.849,85.849,18258,0
19970613,90.764,90.764,90.764,90.764,18402,0
19970616,86.668,86.668,86.668,86.668,8411,0
19970617,78.148,78.148,78.148,78.148,10313,0
19970618,75.363,75.363,75.363,75.363,8673,0
19970619,72.906,72.906,72.906,72.906,13227,0
19970620,72.906,72.906,72.906,72.906,5732,0
19970623,72.906,72.906,72.906,72.906,12240,0
19970624,68.073,68.073,68.073,68.073,4379,0
19970625,68.892,68.892,68.892,68.892,5278,0
19970626,66.434,66.434,66.434,66.434,11184,0
19970627,67.254,67.254,67.254,67.254,1911,0
19970630,68.892,68.892,68.892,68.892,2407,0
19970701,67.663,67.663,67.663,67.663,2436,0
19970702,66.844,66.844,66.844,66.844,2702,0
19970703,67.254,68.073,67.254,68.073,12417,0
19970704,68.073,68.073,67.254,67.254,3249,0
19970707,67.254,67.254,65.615,65.615,2150,0
19970708,66.025,66.434,65.615,66.025,4790,0
19970709,66.844,67.254,66.844,67.254,2665,0
19970710,66.844,66.844,65.615,65.615,2990,0
19970711,64.796,64.796,61.601,64.386,3163,0
19970714,58.325,58.325,55.867,55.867,5520,0
19970715,53.901,56.686,53.901,56.686,18214,0
19970716,55.539,55.867,55.539,55.867,3499,0
19970717,56.277,56.277,54.72,56.277,3915,0
19970718,56.277,56.277,54.72,54.72,4243,0
19970721,55.13,55.13,53.901,53.901,3882,0
19970722,55.539,55.867,55.539,55.539,4764,0
19970723,56.277,57.096,56.277,56.277,4267,0
19970724,56.686,56.686,56.277,56.277,5140,0
19970725,56.686,56.686,56.277,56.277,7458,0
19970728,57.096,57.505,56.686,57.096,5841,0
19970729,58.734,60.782,58.734,59.963,6016,0
19970730,59.963,62.011,59.963,62.011,2974,0
19970731,62.42,62.42,60.782,62.011,11512,0
19970801,62.42,62.42,61.192,61.601,9820,0
19970804,63.158,63.158,62.83,62.83,7159,0
19970805,63.158,65.615,63.158,65.206,2685,0
19970806,65.206,65.206,64.386,64.796,6166,0
19970807,64.796,67.254,64.796,67.254,4875,0
19970808,67.254,68.482,67.254,68.482,4479,0
19970811,68.073,68.073,67.254,67.254,12908,0
19970812,67.254,68.482,67.254,68.482,12138,0
19970813,68.073,68.073,68.073,68.073,13834,0
19970814,66.844,67.254,65.615,67.254,8086,0
19970818,66.434,66.434,63.567,63.567,8558,0
19970819,66.844,66.844,66.025,66.434,6497,0
19970820,68.073,68.073,65.615,65.615,4568,0
19970821,67.254,67.254,64.386,64.796,6249,0
19970822,65.615,65.615,65.206,65.615,3403,0
19970825,64.796,64.796,63.977,63.977,3096,0
19970826,64.386,64.386,64.386,64.386,1724,0
19970827,64.386,64.796,64.386,64.386,2501,0
19970828,64.796,64.796,64.796,64.796,4996,0
19970829,64.796,64.796,64.796,64.796,11303,0
19970901,63.158,63.567,63.158,63.567,1524,0
19970902,63.158,63.158,63.158,63.158,1940,0
19970903,63.158,66.025,63.158,66.025,3668,0
19970904,66.434,66.434,65.615,66.434,7334,0
19970905,66.434,71.677,66.434,70.858,4373,0
19970908,71.267,71.267,70.121,70.121,6621,0
19970909,70.448,72.496,70.448,72.496,5661,0
19970910,72.087,72.087,71.267,72.087,8206,0
19970911,70.858,72.906,70.448,70.448,5908,0
19970912,71.677,72.087,70.448,71.677,12614,0
19970915,72.087,72.087,71.267,72.087,11646,0
19970916,72.087,72.496,70.858,71.267,5783,0
19970917,72.087,72.087,68.892,68.892,6117,0
19970918,70.858,71.267,69.301,71.267,11557,0
19970919,71.267,73.315,71.267,73.315,18397,0
19970922,73.725,75.363,73.725,75.363,8714,0
19970923,75.363,75.363,74.135,74.544,9467,0
19970924,74.544,75.363,73.725,73.725,14345,0
19970925,73.725,73.725,70.448,72.496,3331,0
19970926,70.858,70.858,70.448,70.448,13591,0
19970929,71.267,71.267,68.892,69.301,7843,0
19970930,69.301,69.301,67.663,67.663,5583,0
19971001,67.663,67.663,67.254,67.254,4802,0
19971002,68.073,68.073,67.254,67.254,4138,0
19971003,66.844,66.844,65.206,65.615,4867,0
19971006,65.615,66.434,64.796,66.025,8232,0
19971007,64.796,65.615,64.796,64.796,2685,0
19971008,65.615,66.844,65.615,66.844,12692,0
19971009,66.434,66.434,65.206,65.206,5908,0
19971010,64.386,65.206,64.386,65.206,3749,0
19971013,64.796,65.206,64.796,65.206,20002,0
19971014,65.206,66.025,65.206,65.615,9340,0
19971015,66.844,68.073,66.844,68.073,6819,0
19971016,67.254,67.254,66.434,66.434,5865,0
19971017,65.615,66.844,65.615,66.844,3232,0
19971020,67.663,67.663,66.434,66.844,3179,0
19971021,67.663,68.073,67.663,68.073,6157,0
19971022,68.892,69.301,68.482,68.482,8663,0
19971023,67.254,67.254,64.796,64.796,7251,0
19971024,64.796,66.434,64.796,66.025,11735,0
19971027,62.42,62.42,59.963,60.373,11163,0
19971028,56.277,56.277,51.034,51.034,432,0
19971029,59.144,59.553,57.096,58.325,20881,0
19971030,56.686,56.686,55.13,55.13,13132,0
19971031,56.686,57.915,56.686,57.915,5253,0
19971103,58.734,59.144,58.734,59.144,4339,0
19971104,58.734,58.734,57.915,57.915,9392,0
19971105,59.963,59.963,58.734,58.734,13017,0
19971106,59.963,60.782,59.144,59.553,12786,0
19971107,59.144,59.144,58.734,59.144,2824,0
19971112,58.325,58.325,56.277,57.096,1512,0
19971113,55.867,55.867,53.492,55.539,7081,0
19971114,55.13,55.539,55.13,55.539,11839,0
19971117,57.505,58.325,57.096,57.505,10625,0
19971118,58.325,58.325,55.867,56.277,14157,0
19971119,55.13,56.277,54.72,54.72,5991,0
19971120,53.492,55.13,53.492,54.311,4391,0
19971121,54.311,55.539,54.311,55.13,6105,0
19971124,55.13,55.13,52.263,52.672,6445,0
19971125,52.672,54.311,52.672,53.901,5291,0
19971126,53.492,53.492,52.263,52.672,3979,0
19971127,52.672,53.901,52.672,53.082,5312,0
19971128,52.672,52.672,51.853,52.672,1293,0
19971201,53.492,55.867,53.492,55.13,2929,0
19971202,55.539,55.539,55.13,55.13,4523,0
19971203,53.492,54.72,53.492,54.311,4554,0
19971204,53.901,55.539,53.901,55.539,3465,0
19971205,55.13,55.13,54.311,54.72,6065,0
19971208,56.686,56.686,55.539,55.539,10057,0
19971209,55.13,55.867,54.72,55.539,3850,0
19971210,54.72,54.72,53.901,54.72,5252,0
19971211,51.853,52.263,50.624,52.263,6039,0
19971212,50.215,51.034,50.215,51.034,4035,0
19971215,51.034,51.034,51.034,51.034,1828,0
19971216,51.034,51.034,50.624,51.034,6837,0
19971217,50.215,50.215,49.805,49.805,2442,0
19971218,49.805,50.624,49.805,50.624,2820,0
19971219,48.577,48.577,47.02,47.43,1946,0
