Date,Open,High,Low,Close,Volume,OpenInt
20130628,8.0167,8.0264,7.5042,8.0264,29582,0
20130701,8.0264,8.0264,7.6299,7.6299,996,0
20130702,7.7363,7.7363,7.7363,7.7363,103,0
20130703,7.7363,7.7363,7.4655,7.4655,1205,0
20130704,7.4558,7.4558,7.4558,7.4558,21,0
20130705,7.4462,7.4462,7.4462,7.4462,104,0
20130708,7.5429,7.6202,7.5429,7.5525,1332,0
20130709,7.5429,7.5429,7.4752,7.4752,175,0
20130710,7.6396,7.9297,7.6396,7.7363,2571,0
20130711,7.7459,7.7846,7.7459,7.7846,104,0
20130712,7.7846,7.7846,7.7846,7.7846,135,0
20130715,7.7846,7.7846,7.7363,7.7363,1323,0
20130716,7.7363,7.9297,7.7363,7.9297,3103,0
20130717,7.978,7.978,7.9297,7.9297,1263,0
20130718,7.978,7.978,7.8813,7.8813,1268,0
20130719,7.978,7.978,7.978,7.978,2,0
20130722,7.978,8.0264,7.978,8.0264,588,0
20130723,7.978,7.978,7.8233,7.978,12869,0
20130724,7.6976,7.6976,7.6976,7.6976,156,0
20130725,7.7363,7.7363,7.7363,7.7363,2590,0
20130726,7.978,7.978,7.7846,7.7846,455,0
20130729,7.7846,7.833,7.7846,7.833,2,0
20130730,7.833,7.833,7.833,7.833,1,0
20130731,7.833,7.833,7.833,7.833,2,0
20130801,7.833,7.833,7.833,7.833,32,0
20130802,7.833,7.833,7.833,7.833,2,0
20130805,7.8813,7.8813,7.8813,7.8813,1,0
20130806,7.7846,7.7846,7.7846,7.7846,103,0
20130807,7.7846,7.7846,7.7846,7.7846,1,0
20130808,7.7846,7.7846,7.7363,7.7363,1656,0
20130809,7.7846,7.7846,7.7846,7.7846,1,0
20130812,7.7846,7.7846,7.6396,7.6396,7263,0
20130813,7.6396,7.6396,7.4945,7.4945,158,0
20130819,7.4945,7.4945,6.7692,7.0497,54860,0
20130820,6.9626,7.7266,6.9626,7.5525,39477,0
20130821,7.7169,7.7363,7.6589,7.7073,8177,0
20130822,7.804,7.8233,7.7073,7.7363,12079,0
20130823,7.7363,7.7363,7.4462,7.7363,12887,0
20130826,7.6686,7.7846,7.5525,7.5525,4320,0
20130827,7.4462,7.6009,7.3688,7.5429,10945,0
20130828,7.5235,7.7073,7.5235,7.7073,1321,0
20130829,7.7073,7.7073,7.5429,7.6105,555,0
20130830,7.8233,7.8233,7.4462,7.4462,2479,0
20130902,7.4945,7.4945,7.4945,7.4945,3,0
20130903,7.5429,7.5429,7.5429,7.5429,4,0
20130904,7.5912,7.5912,7.2721,7.5815,601,0
20130906,7.3108,7.7363,7.3108,7.7363,7280,0
20130909,7.7363,7.7363,7.5429,7.5429,3105,0
20130910,7.6879,7.6879,7.6589,7.6589,269,0
20130912,7.3785,7.4945,7.3591,7.4945,374,0
20130913,7.5622,7.5622,7.2237,7.4848,2115,0
20130916,7.4945,7.4945,7.4848,7.4848,300,0
20130917,7.2237,7.4752,6.8659,7.3495,11701,0
20130918,7.3495,7.3978,7.3495,7.3591,47,0
20130919,7.6009,7.6105,7.4945,7.4945,1096,0
20130920,7.4945,7.6009,7.3495,7.6009,7693,0
20130923,7.5912,7.5912,7.5912,7.5912,29,0
20130924,7.5429,7.5815,7.2818,7.5815,1306,0
20130925,7.5429,7.5429,7.5042,7.5042,31,0
20130926,7.5429,7.5815,7.5429,7.5815,21,0
20130927,7.6202,7.6202,7.6202,7.6202,2,0
20130930,7.6105,7.7363,7.2818,7.7363,9551,0
20131001,7.7363,7.7363,7.7363,7.7363,155,0
20131003,7.4462,7.7266,7.4462,7.7266,1241,0
20131004,7.7266,7.7266,7.5429,7.7169,2407,0
20131007,7.7169,7.7169,7.7169,7.7169,171,0
20131008,7.7169,7.7169,7.7169,7.7169,18,0
20131009,7.7073,7.7266,7.7073,7.7169,687,0
20131010,7.7169,7.7169,7.5912,7.5912,1300,0
20131011,7.6396,7.6396,7.5912,7.6299,208,0
20131014,7.7266,7.7266,7.7266,7.7266,14,0
20131015,7.7266,7.7266,7.6009,7.7266,80,0
20131016,7.7266,7.7266,7.7169,7.7169,107,0
20131017,7.7169,7.9684,7.6879,7.9684,76723,0
20131018,8.0264,8.8,7.978,8.6936,16443,0
20131021,8.6936,8.6936,8.3938,8.4615,3909,0
20131022,8.4615,8.4615,8.2198,8.4519,1959,0
20131023,8.5873,8.5873,8.3938,8.3938,364,0
20131024,8.4035,8.4035,8.3165,8.3165,105,0
20131025,8.3165,8.3165,7.9974,8.1231,11856,0
20131028,7.9587,8.2198,7.9587,8.1231,10548,0
20131029,8.2585,8.2585,8.2585,8.2585,28,0
20131030,8.2585,8.2585,7.9297,7.9297,1329,0
20131031,7.949,7.949,7.9297,7.9297,217,0
20131104,7.9297,7.9297,7.9297,7.9297,12,0
20131105,7.833,7.92,7.833,7.92,335,0
20131106,7.92,7.92,7.7363,7.7363,400,0
20131107,7.7266,7.7266,7.3591,7.3591,2712,0
20131108,7.3591,7.3591,7.3591,7.3591,1,0
20131112,7.6202,7.6299,7.3591,7.3591,400,0
20131113,7.3591,7.3591,7.3591,7.3591,6,0
20131114,7.3591,7.3591,7.3591,7.3591,4,0
20131115,7.3591,7.5912,7.3591,7.5912,690,0
