Date,Open,High,Low,Close,Volume,OpenInt
19990120,2.7946,2.7946,2.7946,2.7946,17054,0
19990121,2.5162,2.5162,2.5162,2.5162,0,0
19990122,2.2663,2.2663,2.2663,2.2663,0,0
19990125,2.0358,2.0358,2.0358,2.0358,2899,0
19990126,1.8438,1.8438,1.8438,1.8438,11274,0
19990127,2.0166,2.0166,2.0166,2.0166,5584,0
19990128,2.2185,2.2185,2.2185,2.2185,4598,0
19990129,2.4202,2.4202,2.4202,2.4202,4660,0
19990201,2.6121,2.6121,2.6121,2.6121,6549,0
19990202,2.4202,2.4202,2.4202,2.4202,1763,0
19990203,2.4681,2.4681,2.4681,2.4681,313,0
19990204,2.5162,2.5162,2.5162,2.5162,328,0
19990205,2.4681,2.4681,2.4681,2.4681,1932,0
19990208,2.4202,2.4202,2.4202,2.4202,536,0
19990209,2.324,2.324,2.324,2.324,1264,0
19990210,2.2376,2.2376,2.2376,2.2376,1074,0
19990211,2.372,2.372,2.372,2.372,1063,0
19990212,2.4202,2.4202,2.4202,2.4202,858,0
19990215,2.4202,2.4202,2.4202,2.4202,192,0
19990216,2.2376,2.2376,2.2376,2.2376,403,0
19990217,2.2376,2.2376,2.2376,2.2376,214,0
19990218,2.2376,2.2376,2.2376,2.2376,1690,0
19990219,2.2376,2.2376,2.2376,2.2376,805,0
19990222,2.4202,2.4202,2.4202,2.4202,1073,0
19990223,2.2376,2.2376,2.2376,2.2376,107,0
19990224,2.2376,2.2376,2.2376,2.2376,108,0
19990225,2.3049,2.3049,2.3049,2.3049,751,0
19990226,2.2376,2.2376,2.2376,2.2376,1885,0
19990301,2.2376,2.2376,2.2376,2.2376,110,0
19990302,2.1416,2.1416,2.1416,2.1416,42,0
19990303,2.1416,2.1416,2.1416,2.1416,62,0
19990304,2.0071,2.0071,2.0071,2.0071,601,0
19990305,2.2087,2.2087,2.2087,2.2087,984,0
19990308,2.4202,2.4202,2.4202,2.4202,408,0
19990309,2.4202,2.4202,2.4202,2.4202,1523,0
19990310,2.324,2.324,2.324,2.324,70,0
19990311,2.2857,2.2857,2.2857,2.2857,246,0
19990312,2.324,2.324,2.324,2.324,563,0
19990315,2.1224,2.1224,2.1224,2.1224,1163,0
19990316,2.324,2.324,2.324,2.324,805,0
19990317,2.2376,2.2376,2.2376,2.2376,582,0
19990318,2.324,2.324,2.324,2.324,108,0
19990319,2.4202,2.4202,2.4202,2.4202,429,0
19990322,2.2376,2.2376,2.2376,2.2376,354,0
19990323,2.2376,2.2376,2.2376,2.2376,15169,0
19990324,2.2376,2.2376,2.2376,2.2376,796,0
19990325,2.324,2.324,2.324,2.324,76,0
19990326,2.324,2.324,2.324,2.324,20,0
19990329,2.2376,2.2376,2.2376,2.2376,536,0
19990330,2.1416,2.1416,2.1416,2.1416,858,0
19990331,2.2376,2.2376,2.2376,2.2376,83,0
19990401,2.1896,2.1896,2.1896,2.1896,83,0
19990406,1.9782,1.9782,1.9782,1.9782,2953,0
19990407,2.0935,2.0935,2.0935,2.0935,322,0
19990408,2.132,2.132,2.132,2.132,1289,0
19990409,2.0935,2.0935,2.0935,2.0935,1159,0
19990412,2.0935,2.0935,2.0935,2.0935,268,0
19990413,2.0455,2.0455,2.0455,2.0455,4402,0
19990414,2.0455,2.0455,2.0455,2.0455,214,0
19990415,2.0455,2.0455,2.0455,2.0455,94,0
19990416,1.9975,1.9975,1.9975,1.9975,1381,0
19990419,2.084,2.084,2.084,2.084,338,0
19990420,2.0455,2.0455,2.0455,2.0455,1917,0
19990421,2.0935,2.0935,2.0935,2.0935,3743,0
19990422,2.1416,2.1416,2.1416,2.1416,3135,0
19990423,2.1128,2.1128,2.1128,2.1128,589,0
19990426,1.959,1.959,1.959,1.959,1074,0
19990427,2.1511,2.1511,2.1511,2.1511,593,0
19990428,2.324,2.324,2.324,2.324,3472,0
19990429,2.2376,2.2376,2.2376,2.2376,4337,0
19990430,2.2376,2.2376,2.2376,2.2376,4295,0
19990504,2.0935,2.0935,2.0935,2.0935,2200,0
19990505,2.0935,2.0935,2.0935,2.0935,1074,0
19990506,2.0935,2.0935,2.0935,2.0935,122,0
19990507,2.1416,2.1416,2.1416,2.1416,42,0
19990510,2.1416,2.1416,2.1416,2.1416,108,0
19990511,2.2857,2.2857,2.2857,2.2857,108,0
19990512,2.2376,2.2376,2.2376,2.2376,43,0
19990513,2.1416,2.1416,2.1416,2.1416,108,0
19990514,2.1896,2.1896,2.1896,2.1896,623,0
19990517,2.2857,2.2857,2.2857,2.2857,2146,0
19990518,2.2376,2.2376,2.2376,2.2376,2662,0
19990519,2.2663,2.2663,2.2663,2.2663,1395,0
19990520,2.2376,2.2376,2.2376,2.2376,2620,0
19990521,2.2857,2.2857,2.2857,2.2857,3163,0
19990524,2.324,2.324,2.324,2.324,237,0
19990525,2.324,2.324,2.324,2.324,3317,0
19990526,2.2857,2.2857,2.2857,2.2857,322,0
19990527,2.2857,2.2857,2.2857,2.2857,1157,0
19990528,2.2857,2.2857,2.2857,2.2857,54,0
19990531,2.0935,2.0935,2.0935,2.0935,2146,0
19990601,2.1896,2.1896,2.1896,2.1896,429,0
19990602,2.1416,2.1416,2.1416,2.1416,108,0
19990607,2.2376,2.2376,2.2376,2.2376,214,0
19990608,2.1416,2.1416,2.1416,2.1416,472,0
19990609,2.1416,2.1416,2.1416,2.1416,2362,0
19990610,2.2376,2.2376,2.2376,2.2376,536,0
19990611,2.1416,2.1416,2.1416,2.1416,47,0
19990614,2.2376,2.2376,2.2376,2.2376,242,0
19990615,2.1416,2.1416,2.1416,2.1416,1193,0
19990616,2.1511,2.1511,2.1511,2.1511,1066,0
19990617,2.1416,2.1416,2.1416,2.1416,936,0
19990618,2.2376,2.2376,2.2376,2.2376,769,0
19990621,2.4202,2.4202,2.4202,2.4202,1963,0
19990622,2.372,2.372,2.372,2.372,2390,0
19990623,2.324,2.324,2.324,2.324,805,0
19990624,2.2663,2.2663,2.2663,2.2663,54,0
19990625,2.2376,2.2376,2.2376,2.2376,108,0
19990628,2.3049,2.3049,2.3049,2.3049,513,0
19990629,2.372,2.372,2.372,2.372,214,0
19990630,2.3049,2.3049,2.3049,2.3049,513,0
19990701,2.324,2.324,2.324,2.324,494,0
19990702,2.372,2.372,2.372,2.372,214,0
19990705,2.2376,2.2376,2.2376,2.2376,64,0
19990706,2.1896,2.1896,2.1896,2.1896,42,0
19990707,2.372,2.372,2.372,2.372,2146,0
19990708,2.276,2.276,2.276,2.276,140,0
19990709,2.2857,2.2857,2.2857,2.2857,108,0
19990712,2.2857,2.2857,2.2857,2.2857,108,0
19990713,2.324,2.324,2.324,2.324,918,0
19990714,2.324,2.324,2.324,2.324,53,0
19990715,2.372,2.372,2.372,2.372,1726,0
19990716,2.372,2.372,2.372,2.372,755,0
19990719,2.372,2.372,2.372,2.372,588,0
19990720,2.1416,2.1416,2.1416,2.1416,116,0
19990721,2.324,2.324,2.324,2.324,707,0
19990722,2.4202,2.4202,2.4202,2.4202,70,0
19990723,2.2857,2.2857,2.2857,2.2857,268,0
19990726,2.324,2.324,2.324,2.324,916,0
19990727,2.2857,2.2857,2.2857,2.2857,268,0
19990728,2.2376,2.2376,2.2376,2.2376,155,0
19990729,2.1896,2.1896,2.1896,2.1896,53,0
19990730,2.2376,2.2376,2.2376,2.2376,53,0
19990802,2.324,2.324,2.324,2.324,714,0
19990803,2.4202,2.4202,2.4202,2.4202,3013,0
19990804,2.4202,2.4202,2.4202,2.4202,3872,0
