Date,Open,High,Low,Close,Volume,OpenInt
20060921,11.191,11.822,11.152,11.346,870971,0
20060922,11.337,11.337,10.91,11.249,54686,0
20060925,11.143,11.472,11.143,11.472,129522,0
20060926,11.54,11.686,11.54,11.676,108228,0
20060927,11.725,11.725,11.346,11.589,71215,0
20060928,11.346,11.637,11.298,11.637,38634,0
20060929,11.666,11.666,11.443,11.637,36896,0
20061002,11.637,11.637,11.356,11.637,67487,0
20061003,11.55,11.637,11.55,11.628,21866,0
20061004,11.54,11.657,11.54,11.657,68443,0
20061005,11.637,11.715,11.637,11.686,110689,0
20061006,11.725,12.074,11.686,12.074,72412,0
20061009,12.074,12.151,12.025,12.151,20851,0
20061010,12.171,12.171,12.025,12.171,67565,0
20061011,12.219,12.316,12.19,12.219,41179,0
20061012,12.268,12.559,12.268,12.52,16973,0
20061013,12.607,12.656,12.423,12.529,116966,0
20061016,12.588,12.588,12.413,12.51,24081,0
20061017,12.122,12.219,11.957,12.035,27567,0
20061018,11.977,12.413,11.977,12.074,26049,0
20061019,12.025,12.229,12.025,12.074,13817,0
20061020,12.035,12.161,11.88,11.88,16793,0
20061023,11.928,12.025,11.928,12.025,6771,0
20061024,12.122,12.122,12.025,12.122,15948,0
20061025,12.025,12.103,11.889,11.977,11218,0
20061026,11.899,12.025,11.831,11.831,15573,0
20061027,11.831,11.831,11.657,11.783,8271,0
20061030,11.831,11.831,11.54,11.686,13174,0
20061031,11.831,11.986,11.628,11.686,2070,0
20061102,11.977,11.977,11.637,11.686,25057,0
20061103,11.967,11.967,11.647,11.647,12590,0
20061106,11.686,11.831,11.686,11.831,4573,0
20061107,12.229,13.092,12.229,13.092,214329,0
20061108,13.49,14.062,13.431,13.48,117251,0
20061109,13.965,13.965,13.189,13.334,24859,0
20061110,13.383,13.383,13.063,13.14,25851,0
20061113,13.169,13.179,12.753,12.898,10290,0
20061114,12.607,13.14,12.51,13.14,29998,0
20061115,13.189,13.189,12.743,12.743,22661,0
20061116,12.898,12.898,12.617,12.879,2182,0
20061117,12.801,12.801,12.617,12.617,7922,0
