Date,Open,High,Low,Close,Volume,OpenInt
20070724,36.9,36.9,33.8,34.5,712043,0
20070725,32.9,33.74,32.01,33.74,54174,0
20070726,33.1,34.45,32.5,34,56400,0
20070727,32.4,33.5,32.4,32.8,3341,0
20070730,32.25,32.9,32,32.1,11436,0
20070731,31.1,32,31,32,12906,0
20070801,30.2,31.9,30.15,30.9,1670,0
20070802,30.31,31,29.9,30,21747,0
20070803,29.96,30.75,29.4,30.4,7620,0
20070806,31,31,30,30,5038,0
20070807,30.55,31,30.5,31,7002,0
20070808,31.1,31.4,30,31,3157,0
20070809,31.94,31.94,30.8,30.95,868,0
20070810,30,30.44,29,30.3,21641,0
20070813,30,31.3,29,31.3,23965,0
20070814,29.75,30.44,29.7,30.44,4824,0
20070816,29,29.8,25.5,26,12962,0
20070817,25.5,26.5,24.74,26.5,3211,0
20070820,26.9,26.9,25.74,26.26,465,0
20070821,26.26,26.26,25,25.65,13279,0
20070822,26.05,29.2,26.05,29.2,35119,0
20070823,29.4,29.4,28.13,29,1901,0
20070824,29.39,29.39,28,28.99,604,0
20070827,29.5,29.95,29,29.65,2719,0
20070828,30.3,30.3,29,29,860,0
20070829,28.5,29.5,27.5,29,1178,0
20070830,29.85,29.9,27.6,28.8,1688,0
20070831,29.99,29.99,28.6,29.7,414,0
20070903,29.99,30,29,30,7870,0
20070904,30.45,30.45,30,30,1026,0
20070905,30,30,28.11,29.7,6125,0
20070906,30.1,30.1,29.1,30,2972,0
20070907,30.47,30.47,29,30,915,0
20070910,29.4,30.3,29.4,30,5758,0
20070911,29.11,30.85,29.11,30,687,0
20070912,29.1,30.95,29.1,30.95,23467,0
20070913,31.49,31.49,30.2,31.3,895,0
20070914,31.3,31.3,30.5,30.5,1178,0
20070917,30.48,30.48,29.5,30.3,1914,0
20070918,30.3,30.3,30,30.05,1058,0
20070919,30.11,30.3,30.02,30.1,1151,0
20070920,29.51,30.07,29.51,30.07,2030,0
20070921,29.56,30.07,29.56,30,3106,0
20070924,30,30,29.45,29.74,151,0
20070925,29.55,30.45,29.45,30.45,8050,0
20070926,30.44,31.2,30.44,31,55894,0
20070927,31.23,31.5,30.71,31.02,1840,0
20070928,31,31,30.05,30.9,1313,0
20071001,30.11,30.11,29.7,30,399,0
20071002,30.02,30.49,29.7,30.49,2206,0
20071003,29.61,30.17,29.61,30.17,23527,0
20071004,30,30.1,30,30.1,157,0
20071005,31,31,30,30.85,4834,0
20071008,30,30.84,30,30.84,490,0
20071009,30.01,30.85,30.01,30.85,908,0
20071010,30.85,30.85,30.85,30.85,29,0
20071011,30.01,30.85,30.01,30.85,1080,0
20071012,30.1,30.99,30.1,30.99,1522,0
20071015,30.15,33,30.15,33,9540,0
20071016,33,34.45,32.3,34.45,4814,0
20071017,35,36,33.25,34.7,16205,0
20071018,34.7,34.7,33.25,34.39,1023,0
20071019,33.4,33.4,31.21,33,4829,0
20071022,32.5,32.5,30,30.81,4635,0
20071023,31.45,31.45,30.6,31,872,0
20071024,31.19,31.19,30.12,31.15,642,0
20071025,30.19,31,30.19,31,1466,0
20071026,31,31,30.01,30.5,1186,0
20071029,30.7,31.49,30.05,31.49,950,0
20071030,30.99,31.94,30.99,31.94,303,0
20071031,31.99,32,31.18,32,1264,0
20071105,30.5,32.4,30.5,31,232,0
20071106,31,31.49,30.5,31.4,1517,0
20071107,30.28,31,29.7,30,1424,0
20071108,30,30.98,28.6,30.98,3396,0
20071109,30.01,30.01,30.01,30.01,50,0
20071112,29.5,31,29.5,31,76,0
