Date,Open,High,Low,Close,Volume,OpenInt
20071119,7.138,7.7519,7.138,7.3125,105937,0
20071120,7.3189,7.4288,7.235,7.4288,12300,0
20071121,7.4934,7.4934,7.3707,7.4288,22812,0
20071122,7.4288,7.4288,7.1058,7.1058,1588,0
20071123,7.1704,7.4934,7.1704,7.4934,3725,0
20071126,7.7519,7.7519,7.4934,7.6227,10340,0
20071128,7.6549,7.7519,7.6549,7.7519,1573,0
20071129,7.8164,7.8164,7.8164,7.8164,16,0
20071203,7.3189,7.7519,7.1769,7.7519,309,0
20071205,8.3332,8.3332,8.3332,8.3332,4,0
20071206,7.8164,7.8164,7.8164,7.8164,1099,0
20071207,7.881,7.881,7.6873,7.6873,889,0
20071210,7.7519,7.8164,7.7519,7.8164,1747,0
20071211,7.5387,7.8164,7.5387,7.8164,882,0
20071212,7.7454,7.9455,7.6873,7.9455,9917,0
20071213,7.9779,7.9779,7.9779,7.9779,2,0
20071214,7.9779,7.9779,7.9779,7.9779,16,0
20071217,8.0748,8.0748,7.881,8.0102,1800,0
20071219,8.0748,8.0748,7.881,8.0748,202,0
20071220,7.7519,8.0748,7.7519,7.7519,465,0
20071221,8.0425,8.0425,7.7519,8.0425,16255,0
20071227,7.8293,7.8293,7.8164,7.8164,776,0
20071228,7.4934,8.204,7.4934,8.0748,6966,0
20080102,8.0748,8.0748,8.0748,8.0748,2415,0
20080103,8.0748,8.0748,7.8229,7.8229,791,0
20080104,7.8229,7.8229,7.8229,7.8229,775,0
20080107,7.7519,8.0102,7.7519,8.0102,110,0
20080108,8.0102,8.107,7.881,8.0812,246248,0
20080109,7.7583,7.7583,7.7519,7.7519,8518,0
20080110,8.0038,8.0038,8.0038,8.0038,41,0
20080114,7.797,8.0102,7.6227,8.0102,39769,0
20080116,7.6227,7.6227,7.4288,7.4288,68317,0
20080117,7.7454,7.7454,7.6873,7.6873,46983,0
20080121,8.0102,8.0102,8.0102,8.0102,21,0
20080122,7.7519,7.7519,7.1058,7.629,85294,0
20080123,7.6549,7.881,7.6549,7.7519,48829,0
20080125,7.7519,7.8164,7.7519,7.8164,616,0
20080128,7.4288,7.9455,7.4288,7.9455,1686,0
20080129,8.0102,8.0748,8.0102,8.0748,1239,0
20080201,8.0425,8.0748,8.0425,8.0748,3695,0
20080204,7.9455,8.3332,7.9455,8.0748,9443,0
20080205,8.2428,8.3332,8.2428,8.3332,2,0
20080206,8.0748,8.0748,8.0748,8.0748,751,0
20080207,8.3332,8.3978,8.0748,8.0748,2491,0
20080208,8.3913,8.3978,8.0748,8.3978,2478,0
20080213,8.3978,8.3978,8.3978,8.3978,22,0
20080214,8.3978,8.3978,8.3978,8.3978,348,0
20080215,8.3978,8.3978,8.3978,8.3978,2322,0
20080219,8.3978,8.3978,8.3978,8.3978,61,0
20080220,8.3978,8.5592,8.3978,8.5592,170768,0
20080221,8.5592,8.7208,8.5592,8.7208,3838,0
20080222,8.7208,9.0441,8.7208,8.7208,843,0
20080225,8.4301,8.7143,8.4107,8.7143,1331,0
20080226,8.5592,8.6561,8.5592,8.5592,1121,0
20080227,8.7143,8.8823,8.4946,8.4946,12507,0
20080228,8.8499,8.8823,8.4301,8.8823,1672,0
20080229,8.8823,9.0112,8.8499,8.8499,2030,0
20080303,8.9146,9.0112,8.7208,8.8499,755,0
20080304,8.9465,8.9465,8.4946,8.4946,958,0
20080305,8.3978,8.3978,8.3978,8.3978,478,0
20080306,8.2686,8.9082,8.2686,8.6885,614,0
20080307,8.2751,8.3978,8.0102,8.0102,1081,0
20080310,8.7208,8.7208,8.7208,8.7208,1,0
20080312,8.3332,8.7853,8.3332,8.7853,2203,0
20080313,8.7208,8.7208,8.5916,8.5916,212,0
20080317,8.3978,8.3978,8.3978,8.3978,372,0
20080320,7.8422,7.8422,7.8293,7.8293,574,0
20080325,7.8293,7.8293,7.8293,7.8293,465,0
20080326,7.8293,7.8293,7.8293,7.8293,77,0
20080327,7.8293,8.12,7.8293,8.0425,1917,0
20080328,8.1845,8.1845,8.1845,8.1845,465,0
20080331,7.9586,8.1781,7.9586,8.1781,1720,0
20080401,7.8552,8.1265,7.8488,8.1265,465,0
20080402,8.2234,8.2299,8.2234,8.2299,309,0
20080403,7.8552,7.8552,7.8488,7.8488,248,0
20080404,7.9455,8.1006,7.9455,8.0748,618,0
20080408,8.1781,8.1781,8.1781,8.1781,75,0
20080409,8.0102,8.1395,8.0102,8.1395,517,0
20080410,8.0102,8.107,8.0102,8.107,775,0
20080411,7.8229,8.107,7.8229,8.107,696,0
20080415,7.881,8.1395,7.881,8.1395,1394,0
20080416,7.881,8.1395,7.881,8.1395,1239,0
20080417,7.881,8.1395,7.8164,7.9455,1875,0
20080418,7.9004,8.0748,7.8164,8.0748,77866,0
20080421,7.8164,8.036,7.8164,8.036,823,0
20080422,8.0102,8.0102,8.0102,8.0102,1548,0
20080424,7.9973,7.9973,7.6873,7.7388,1317,0
20080428,7.7388,8.107,7.5645,7.8681,31348,0
20080429,7.8681,7.8681,7.8681,7.8681,155,0
20080505,7.8358,7.8358,7.7519,7.8358,16795,0
20080506,7.7519,7.7519,7.7519,7.7519,276,0
20080507,8.1395,8.1395,7.7519,7.7519,13,0
20080508,7.8164,7.8164,7.8164,7.8164,465,0
20080509,7.8164,8.1395,7.8164,8.0748,225398,0
20080512,8.0748,8.3978,8.0748,8.3978,5578,0
20080513,8.3913,8.4624,8.3913,8.4624,7931,0
20080514,8.527,8.527,8.3978,8.3978,288,0
20080515,8.5722,8.5916,8.4753,8.5592,2779,0
20080519,8.5592,8.5592,8.5592,8.5592,703,0
20080520,8.6368,8.6561,8.3655,8.5916,5707,0
20080521,8.3978,8.5528,8.2751,8.3978,48299,0
20080523,8.1458,8.3978,8.1458,8.3978,743,0
20080526,8.3332,8.3655,8.3332,8.3655,1671,0
20080527,8.2686,8.3913,8.2686,8.3913,356,0
20080528,8.3978,8.3978,8.3913,8.3913,230,0
20080529,8.2686,8.2686,8.2686,8.2686,1516,0
20080530,8.3784,8.3784,8.3784,8.3784,306,0
20080602,8.204,8.4624,8.204,8.4624,9231,0
20080603,8.4301,8.4301,8.4301,8.4301,6192,0
20080604,8.4301,8.4301,8.4301,8.4301,118,0
20080606,8.2686,8.2686,8.2686,8.2686,1252,0
20080609,8.0748,8.204,8.0748,8.204,4151,0
20080610,8.2492,8.2492,7.7519,7.881,17494,0
20080611,7.9455,8.0425,7.9455,8.0425,2137,0
20080613,7.881,7.881,7.8164,7.8164,3036,0
20080616,7.7583,7.7905,7.7583,7.7905,5550,0
20080617,7.8488,7.8488,7.8488,7.8488,6,0
20080618,7.7519,7.7519,7.7519,7.7519,1472,0
20080624,7.7519,7.7519,7.3642,7.5451,1741,0
20080625,7.3642,7.3965,7.3642,7.3965,1703,0
20080701,7.1769,7.2997,6.9185,7.2997,944,0
20080703,7.1058,7.138,6.8151,6.8151,3098,0
20080704,6.5309,6.5309,6.5244,6.5244,1773,0
20080707,6.7182,6.7182,6.3307,6.3307,843,0
20080708,6.3307,6.3307,6.1368,6.1368,790,0
20080709,6.266,6.589,6.266,6.589,2322,0
20080710,6.6536,6.6536,6.6536,6.6536,47,0
20080711,6.4921,6.7182,6.4921,6.7182,618,0
20080714,6.7182,6.7182,6.7182,6.7182,1554,0
20080716,6.7182,6.7182,6.5244,6.5244,1587,0
20080717,6.5244,6.5244,6.5244,6.5244,6,0
20080718,6.5244,6.5567,6.5244,6.5567,16,0
20080723,6.6536,6.6536,6.6536,6.6536,231,0
20080728,6.4598,6.7182,6.4598,6.7182,1018,0
20080730,6.7182,6.7182,6.7182,6.7182,16,0
20080801,6.7182,6.7182,6.7182,6.7182,49,0
20080804,6.7182,6.7182,6.7182,6.7182,47,0
20080807,6.7118,7.2997,6.7118,7.2997,3126,0
