Date,Open,High,Low,Close,Volume,OpenInt
19980602,15.455,15.455,15.455,15.455,396279,0
19980603,16.98,16.98,16.98,16.98,151914,0
19980604,18.505,18.505,18.505,18.505,449911,0
19980605,18.73,18.73,18.73,18.73,172921,0
19980608,18.652,18.652,18.652,18.652,97271,0
19980609,17.89,17.89,17.89,17.89,67189,0
19980610,16.444,16.444,16.444,16.444,134233,0
19980615,15.455,15.455,15.455,15.455,221938,0
19980616,15.992,15.992,15.992,15.992,183590,0
19980617,17.509,17.509,17.509,17.509,112971,0
19980618,17.812,17.812,17.812,17.812,97708,0
19980619,17.664,17.664,17.664,17.664,133641,0
19980622,18.123,18.123,18.123,18.123,191271,0
19980623,18.652,18.652,18.652,18.652,183778,0
19980624,18.652,18.652,18.652,18.652,65336,0
19980625,18.652,18.652,18.652,18.652,74603,0
19980626,19.258,19.258,19.258,19.258,271412,0
19980629,19.641,19.641,19.641,19.641,123496,0
19980630,19.796,19.796,19.796,19.796,110655,0
19980701,20.783,20.783,20.783,20.783,143645,0
19980702,21.164,21.164,21.164,21.164,121915,0
19980703,21.701,21.701,21.701,21.701,128183,0
19980706,22.456,22.456,22.456,22.456,146677,0
19980707,23.07,23.07,23.07,23.07,283729,0
19980708,22.837,22.837,22.837,22.837,88295,0
19980709,21.701,21.701,21.701,21.701,197145,0
19980710,21.701,21.701,21.701,21.701,85560,0
19980713,23.218,23.218,23.218,23.218,35098,0
19980714,24.968,24.968,24.968,24.968,174810,0
19980715,24.968,24.968,24.968,24.968,105281,0
19980716,24.742,24.742,24.742,24.742,67301,0
19980717,25.35,25.35,25.35,25.35,116703,0
19980720,24.742,26.493,24.742,26.267,103138,0
19980721,26.493,26.493,25.731,25.886,150694,0
19980722,25.35,25.35,24.742,24.968,127444,0
19980723,25.124,26.493,25.124,26.112,117088,0
19980724,25.505,26.267,25.505,25.886,109191,0
19980727,25.731,25.731,24.361,24.595,98241,0
19980728,24.742,24.742,23.98,24.214,140055,0
19980729,23.599,24.214,23.07,24.214,154630,0
19980730,24.361,24.968,23.98,24.214,76046,0
19980731,24.968,24.968,24.361,24.595,81686,0
19980803,23.98,24.361,23.832,24.214,255065,0
19980804,24.361,25.505,24.361,25.505,91253,0
19980805,24.742,25.505,24.742,25.124,133133,0
19980806,25.886,26.493,25.35,25.505,129553,0
19980807,26.267,27.411,25.886,27.411,164177,0
19980810,26.648,27.411,26.648,27.029,119881,0
19980811,26.112,26.112,24.214,24.595,198021,0
19980812,25.886,26.112,24.968,25.505,182304,0
19980813,24.361,24.361,23.451,23.98,212965,0
19980814,24.742,25.505,24.742,25.35,80754,0
19980817,23.98,24.361,23.832,24.214,77773,0
19980818,25.124,25.505,25.124,25.124,95887,0
19980819,26.112,26.112,25.124,25.886,135580,0
19980820,25.731,25.886,25.505,25.731,189068,0
19980821,24.214,24.595,23.98,24.595,135804,0
19980824,25.124,25.124,24.595,24.595,70516,0
19980825,25.505,25.731,25.35,25.35,120224,0
19980826,24.595,24.595,23.98,23.98,61534,0
19980827,23.07,23.07,21.321,21.321,93476,0
19980828,20.783,21.927,20.021,21.321,125600,0
19980831,21.701,21.701,21.321,21.545,161706,0
19980901,19.796,20.939,19.796,20.558,105925,0
19980902,21.701,22.689,21.701,22.308,157310,0
19980903,21.321,21.321,20.402,20.402,74794,0
19980904,21.321,22.083,21.321,21.927,162223,0
19980907,23.07,23.451,22.308,22.689,135096,0
19980908,23.07,23.832,22.837,23.832,143650,0
19980909,22.837,22.837,22.083,22.308,99099,0
19980910,22.456,22.837,22.083,22.083,180794,0
19980911,21.701,21.927,21.701,21.701,115692,0
19980914,22.689,22.837,22.308,22.689,63343,0
19980915,22.689,22.689,21.927,21.927,43353,0
19980916,22.083,22.083,21.927,21.927,65995,0
19980917,20.939,20.939,20.177,20.177,83315,0
19980918,20.177,20.939,20.177,20.939,45810,0
19980921,20.558,20.558,20.177,20.177,183597,0
19980922,21.321,22.083,21.321,21.701,82928,0
19980923,22.689,23.07,22.689,22.837,143702,0
19980924,24.361,24.361,23.599,23.599,97919,0
19980925,23.218,23.451,22.837,23.218,108858,0
19980928,23.98,24.361,23.832,24.361,69613,0
19980929,25.35,25.886,25.124,25.731,144640,0
19980930,25.35,25.35,24.361,25.124,99047,0
19981001,23.98,23.98,23.218,23.599,53245,0
19981002,22.837,23.98,22.837,23.832,59636,0
19981005,23.832,24.361,23.599,23.599,34431,0
19981006,23.98,24.214,23.98,24.214,48348,0
19981007,24.742,24.742,24.361,24.361,96123,0
19981008,24.968,24.968,24.214,24.214,80993,0
19981009,24.742,24.742,24.214,24.742,93509,0
19981012,25.731,25.731,25.35,25.505,64451,0
19981013,25.124,25.124,24.968,24.968,34305,0
19981014,25.35,25.35,24.595,25.35,17455,0
19981015,25.886,25.886,25.124,25.124,42825,0
19981016,25.886,26.267,25.505,26.267,29603,0
19981019,26.267,26.267,25.505,25.505,7717,0
19981020,26.267,26.874,26.267,26.874,114620,0
19981021,26.648,27.255,26.493,27.255,41219,0
19981022,27.255,28.927,27.255,28.398,40043,0
19981023,28.554,29.689,28.554,28.554,64028,0
19981026,28.554,29.16,28.173,28.779,63710,0
19981027,28.927,28.927,28.173,28.779,52154,0
19981028,28.779,29.541,28.779,29.541,65989,0
19981029,28.927,29.689,28.927,29.308,28172,0
19981030,29.308,30.304,29.308,29.689,23092,0
19981102,30.451,32.357,30.451,31.595,40023,0
19981103,31.214,31.214,30.833,31.214,63898,0
19981104,31.821,32.583,31.821,32.583,25106,0
19981105,32.738,32.738,31.44,31.976,77055,0
19981106,33.501,33.501,31.595,32.357,89798,0
19981109,32.738,32.738,31.595,32.202,38607,0
19981110,31.976,32.357,31.976,31.976,85678,0
19981112,32.583,32.583,32.357,32.583,56248,0
19981113,32.583,32.964,32.357,32.738,55208,0
19981116,31.595,33.12,31.595,32.357,22975,0
19981117,31.214,31.214,30.304,30.451,20234,0
19981118,30.451,30.451,29.689,30.07,51339,0
19981119,30.304,30.304,29.689,29.922,22803,0
19981120,30.451,30.451,30.07,30.451,12313,0
19981123,30.685,30.685,30.07,30.451,24105,0
