Date,Open,High,Low,Close,Volume,OpenInt
20061010,16.523,19.18,16.228,17.915,1232717,0
20061011,18.59,18.59,18.059,18.59,241115,0
20061012,18.59,18.59,17.999,18.177,24806,0
20061013,18.168,18.177,17.13,17.13,10759,0
20061016,16.709,17.94,16.709,17.704,58914,0
20061017,17.763,18.059,17.417,17.696,46393,0
20061018,17.704,18.118,17.477,18.092,21028,0
20061019,17.704,18.05,17.704,17.704,21553,0
20061020,17.645,17.94,17.527,17.94,18673,0
20061023,17.704,17.822,17.518,17.527,6353,0
20061024,17.485,17.485,17.291,17.324,39547,0
20061025,17.291,17.459,16.675,17.459,21570,0
20061026,17.409,17.704,17.409,17.704,87178,0
20061027,17.409,18.177,17.409,17.704,18673,0
20061030,17.409,17.704,17.409,17.704,8354,0
20061031,17.704,17.704,17.409,17.409,15335,0
20061102,17.409,17.763,17.409,17.763,948,0
20061103,17.763,17.763,17.409,17.409,9946,0
20061106,17.409,17.881,17.409,17.873,3253,0
20061107,17.94,17.94,17.35,17.822,9574,0
20061108,17.94,18.294,17.881,18.294,12065,0
20061109,18.294,18.565,18.118,18.565,2812,0
20061110,18.565,18.767,17.35,18.294,19944,0
20061113,18.294,18.294,17.999,18.294,1982,0
20061114,18.235,18.235,17.721,18.177,356,0
20061115,18.412,18.59,17.999,18.59,38394,0
20061116,18.531,18.59,18.531,18.581,3795,0
20061117,18.531,18.531,18.531,18.531,23264,0
20061120,18.581,18.944,18.581,18.944,42784,0
20061121,18.944,19.509,18.826,19.29,182743,0
20061122,19.476,20.53,19.416,20.53,60033,0
20061123,20.656,20.656,20.066,20.597,2305,0
20061124,20.656,20.656,20.301,20.656,6948,0
20061127,20.597,21.98,20.479,21.98,4812,0
20061128,21.955,22.31,21.626,22.31,5270,0
20061129,22.132,22.132,21.837,21.837,7592,0
20061130,22.368,23.018,22.31,23.018,2475,0
20061201,23.431,24.199,23.431,24.199,85770,0
20061204,24.493,24.553,22.841,23.608,15368,0
20061205,23.136,24.317,22.79,24.317,3170,0
20061206,24.553,24.553,22.79,24.199,25857,0
20061207,24.199,24.199,23.608,23.911,36143,0
20061208,24.14,24.199,24.14,24.199,2440,0
20061211,24.199,24.199,23.608,23.608,813,0
20061212,23.6,23.903,23.549,23.903,69064,0
20061213,23.962,24.789,23.962,24.789,27179,0
20061214,24.789,26.443,24.789,25.97,6744,0
20061215,25.498,27.092,23.49,27.092,23993,0
20061218,27.564,29.63,26.56,28.036,19435,0
20061219,28.652,28.652,27.607,28.028,3288,0
20061220,28.626,28.626,26.501,27.682,6676,0
20061221,27.209,27.209,27.092,27.151,4864,0
20061222,25.379,26.501,25.379,25.675,10573,0
20061227,25.557,25.557,24.199,25.379,8693,0
20061228,25.97,25.97,24.612,25.379,13979,0
20061229,25.379,25.675,23.668,24.199,126759,0
20070102,24.199,24.493,23.752,24.199,2117,0
20070103,24.317,24.317,24.317,24.317,34549,0
20070104,24.485,24.485,24.485,24.485,51,0
20070105,23.911,24.14,23.785,23.785,18520,0
20070108,23.727,23.727,23.372,23.372,304,0
20070109,23.372,24.477,23.372,24.046,17096,0
20070110,24.046,24.687,24.046,24.687,356,0
20070111,24.199,24.713,24.199,24.671,24824,0
20070112,24.671,24.671,24.662,24.671,5761,0
20070115,24.671,24.966,24.671,24.797,2456,0
20070116,25.085,25.261,24.747,24.747,13216,0
20070117,24.789,25.97,24.781,25.97,9539,0
20070118,25.97,26.974,25.97,26.974,6049,0
20070119,26.974,28.036,26.443,28.036,12453,0
20070122,28.036,28.273,28.036,28.036,1729,0
20070124,27.446,27.741,26.855,27.741,1915,0
20070125,27.741,27.741,27.328,27.328,237,0
20070126,26.974,26.974,25.32,25.32,1169,0
20070129,24.797,25.936,24.199,25.936,14081,0
20070130,26.088,26.56,25.085,26.56,1422,0
20070131,27.074,27.151,26.56,27.117,102088,0
20070201,27.403,27.403,26.56,27.134,253,0
20070202,27.151,27.151,27.092,27.151,57254,0
20070205,27.209,27.328,27.092,27.092,85195,0
20070206,26.56,27.328,25.734,26.974,53341,0
20070207,27.328,27.328,26.678,26.678,237,0
20070208,27.268,27.268,26.56,26.619,593,0
20070209,27.084,27.084,25.438,26.501,17300,0
20070212,27.084,27.084,27.084,27.084,51,0
20070213,27.074,27.074,26.56,26.56,1710,0
20070214,26.029,26.915,25.97,26.915,51052,0
20070215,26.56,26.56,26.383,26.56,2456,0
20070216,26.906,26.906,26.855,26.855,33940,0
20070219,26.56,26.855,26.56,26.855,14352,0
20070220,27.058,27.058,25.97,26.56,34023,0
20070222,27.074,27.074,26.619,26.855,46274,0
20070223,26.855,26.855,26.56,26.56,202,0
20070226,26.847,26.847,26.847,26.847,35,0
20070227,25.692,25.7,24.14,25.085,2693,0
20070228,25.379,25.379,25.085,25.346,14012,0
20070301,24.291,25.405,23.608,24.755,17723,0
20070302,24.021,25.026,24.021,25.026,999,0
20070305,24.038,25.026,24.03,25.026,1390,0
20070306,24.207,24.781,24.14,24.781,2101,0
20070307,24.789,24.789,24.199,24.671,730,0
20070308,24.258,24.73,24.199,24.199,5219,0
20070309,24.021,24.081,23.819,24.081,644,0
20070312,24.671,24.671,23.827,24.662,660,0
20070313,24.603,24.603,24.199,24.477,560,0
20070314,24.199,24.199,23.827,24.199,221,0
20070315,23.911,24.165,23.811,24.165,678,0
20070316,24.299,24.434,24.224,24.317,70267,0
20070319,24.342,25.97,24.317,25.961,37582,0
20070320,25.97,25.97,25.379,25.97,11556,0
