Date,Open,High,Low,Close,Volume,OpenInt
19971117,1.83,1.83,1.83,1.83,251015,0
19971118,1.99,1.99,1.99,1.99,523566,0
19971119,1.99,1.99,1.99,1.99,347900,0
19971120,2.06,2.06,2.06,2.06,325508,0
19971121,2.18,2.18,2.18,2.18,199426,0
19971124,2.06,2.06,2.06,2.06,251961,0
19971125,1.99,1.99,1.99,1.99,290387,0
19971126,2.14,2.14,2.14,2.14,174923,0
19971127,2.18,2.18,2.18,2.18,252832,0
19971128,2.18,2.18,2.18,2.18,187541,0
19971201,2.22,2.22,2.22,2.22,503983,0
19971202,2.3,2.3,2.3,2.3,236462,0
19971203,2.38,2.38,2.38,2.38,223417,0
19971204,2.38,2.38,2.38,2.38,241282,0
19971205,2.5,2.5,2.5,2.5,775011,0
19971208,2.54,2.54,2.54,2.54,268130,0
19971209,2.54,2.54,2.54,2.54,475024,0
19971210,2.46,2.46,2.46,2.46,207578,0
19971211,2.26,2.26,2.26,2.26,127289,0
19971212,2.3,2.3,2.3,2.3,359155,0
19971215,2.3,2.3,2.3,2.3,368620,0
19971216,2.34,2.34,2.34,2.34,266653,0
19971217,2.38,2.38,2.38,2.38,235467,0
19971218,2.38,2.38,2.38,2.38,103841,0
19971219,2.3,2.3,2.3,2.3,164873,0
19971222,2.1,2.1,2.1,2.1,132016,0
19971223,2.1,2.1,2.1,2.1,95948,0
19971229,2.22,2.22,2.22,2.22,146057,0
19971230,2.3,2.3,2.3,2.3,152197,0
19971231,2.26,2.26,2.26,2.26,87884,0
19980105,2.26,2.26,2.26,2.26,88347,0
19980106,2.22,2.22,2.22,2.22,76632,0
19980107,2.14,2.14,2.14,2.14,97470,0
19980108,2.18,2.18,2.18,2.18,18914,0
19980109,2.14,2.14,2.14,2.14,102202,0
19980112,2.1,2.1,2.1,2.1,102176,0
19980113,2.14,2.14,2.14,2.14,97413,0
19980114,2.22,2.22,2.22,2.22,63427,0
19980115,2.1,2.1,2.1,2.1,85576,0
19980116,2.14,2.14,2.14,2.14,63095,0
19980119,2.34,2.34,2.34,2.34,284194,0
19980120,2.3,2.3,2.3,2.3,88481,0
19980121,2.3,2.3,2.3,2.3,208325,0
19980122,2.26,2.26,2.26,2.26,240644,0
19980123,2.3,2.3,2.3,2.3,37388,0
19980126,2.38,2.38,2.38,2.38,210721,0
19980127,2.42,2.42,2.42,2.42,316458,0
19980128,2.46,2.46,2.46,2.46,288045,0
19980129,2.54,2.54,2.54,2.54,231450,0
19980130,2.62,2.62,2.62,2.62,196319,0
19980202,2.74,2.74,2.74,2.74,381791,0
19980203,2.82,2.82,2.82,2.82,284305,0
19980204,2.78,2.78,2.78,2.78,243523,0
19980205,2.7,2.7,2.7,2.7,90179,0
19980206,2.86,2.86,2.86,2.86,251848,0
19980209,2.94,2.94,2.94,2.94,161962,0
19980210,2.94,2.94,2.94,2.94,248516,0
19980211,2.98,2.98,2.98,2.98,468074,0
19980212,2.94,2.94,2.94,2.94,201648,0
19980213,2.86,2.86,2.86,2.86,164866,0
19980216,2.94,2.94,2.94,2.94,69286,0
19980217,2.94,2.94,2.94,2.94,100490,0
19980218,2.94,2.94,2.94,2.94,240546,0
19980219,2.94,2.94,2.94,2.94,116670,0
19980220,2.78,2.78,2.78,2.78,148546,0
19980223,2.78,2.78,2.78,2.78,135608,0
19980224,2.82,2.82,2.82,2.82,262855,0
19980225,2.94,2.94,2.94,2.94,212460,0
19980226,2.94,2.94,2.94,2.94,166088,0
19980227,2.94,2.94,2.94,2.94,149242,0
19980302,2.78,2.78,2.78,2.78,128100,0
