Date,Open,High,Low,Close,Volume,OpenInt
19990420,39.689,39.689,36.667,37.46,269468,0
19990421,37.385,37.544,36.984,37.143,201912,0
19990422,37.385,39.689,37.385,39.054,195671,0
19990423,39.296,40.565,39.054,39.53,206728,0
19990426,39.371,39.613,38.979,38.979,113554,0
19990427,38.578,38.578,37.786,38.019,106640,0
19990428,37.786,37.786,36.592,36.751,64190,0
19990429,36.508,37.226,36.191,36.592,78977,0
19990430,36.508,37.143,36.508,36.909,64488,0
19990504,37.544,37.786,36.909,37.301,21998,0
19990505,37.068,37.068,36.35,36.592,63575,0
19990506,36.592,36.592,36.191,36.191,81924,0
19990507,36.191,36.592,35.791,36.108,88049,0
19990510,35.874,35.874,34.998,35.398,27169,0
19990511,34.839,34.839,34.121,34.522,118530,0
19990512,34.597,34.681,33.963,34.205,76095,0
19990513,34.28,34.998,34.28,34.998,37608,0
19990514,35.791,35.791,34.522,34.681,33800,0
19990517,34.438,34.522,34.121,34.363,85027,0
19990518,34.839,34.998,34.363,34.756,21302,0
19990519,34.756,34.756,34.438,34.681,44987,0
19990520,34.681,34.923,34.597,34.597,85193,0
19990521,35.081,35.874,35.081,35.632,71593,0
19990524,35.874,35.874,35.315,35.557,34586,0
19990525,34.923,35.156,34.597,34.998,44116,0
19990526,34.998,35.24,34.839,34.998,28111,0
19990527,34.923,34.923,34.597,34.597,23533,0
19990528,34.28,34.597,34.28,34.522,23237,0
19990531,34.28,34.363,34.121,34.28,14081,0
19990601,34.597,35.315,34.597,34.756,27101,0
19990602,34.998,35.557,34.998,35.156,17766,0
19990607,35.632,36.191,35.632,36.191,29252,0
19990608,36.275,36.275,35.949,36.033,46566,0
19990609,36.033,37.544,36.033,37.301,68302,0
19990610,37.068,37.627,36.826,36.826,37496,0
19990611,37.385,37.627,36.984,37.544,42425,0
19990614,37.385,37.385,36.751,36.984,16180,0
19990615,36.751,37.068,36.751,36.909,18051,0
19990616,36.751,36.751,36.592,36.592,14833,0
