Date,Open,High,Low,Close,Volume,OpenInt
20101108,29.1,29.3,28,28.84,413709,0
20101109,29.1,31,29,30.5,244198,0
20101110,30.65,30.65,30,30.2,94995,0
20101112,30.02,31.5,30,31.19,98668,0
20101115,31.75,31.84,30.93,30.93,106486,0
20101116,30.93,30.93,30,30.5,120907,0
20101117,30.33,30.33,29.05,29.7,137842,0
20101118,30.1,30.7,29.9,30.6,447870,0
20101119,30.4,30.65,30.4,30.6,113011,0
20101122,30.6,30.9,30,30,62683,0
20101123,30,30,29.22,29.4,4080,0
20101124,30.3,30.3,29.55,30.12,218358,0
20101125,30.11,30.38,30.1,30.35,177057,0
20101126,30.3,30.5,30.12,30.3,144914,0
20101129,30.05,30.3,30,30.19,91811,0
20101130,30.25,30.25,29.65,30,62553,0
20101201,30,30.75,29.75,30.7,63948,0
20101202,30.85,31.31,30.5,31,111267,0
20101203,31.1,32,30.91,32,132723,0
20101206,31.99,32.1,31.8,32.1,71462,0
20101207,32,32.1,31.45,31.6,100306,0
20101208,31.47,31.47,31.3,31.34,76589,0
20101209,31.49,31.49,31,31.37,228276,0
20101210,31.37,31.37,31,31.29,71306,0
20101213,31.29,31.29,31.01,31.17,53969,0
20101214,31.15,31.19,30.65,31,49748,0
20101215,31.09,31.09,29.5,30.46,70100,0
20101216,30.45,30.98,29.9,30.5,93034,0
20101217,30.5,31,30.2,30.9,36310,0
20101220,30.4,30.98,30.1,30.88,44977,0
20101221,30.9,31.1,30.8,31.1,140967,0
20101222,31.15,31.9,31,31.72,17267,0
20101223,31.7,31.97,31.4,31.72,13482,0
20101227,31.9,33.9,31.7,33.85,39652,0
20101228,34,34.89,33.36,34.89,59192,0
20101229,35,36.49,34.61,35.5,34171,0
20101230,35,35.55,34.65,35.2,13954,0
20101231,35.5,35.5,34.8,34.86,4064,0
20110103,34.87,36.99,34.3,36.75,18014,0
20110104,36.79,36.79,35.51,36,82567,0
20110105,35.61,36,35,35.69,20917,0
20110107,35.99,36.5,35.69,36.5,5857,0
20110110,36.53,38.6,36.5,37.7,25575,0
20110111,38.5,38.6,37.7,38.3,8601,0
20110112,38.2,38.2,35.6,37.6,48446,0
20110113,37.36,37.9,35.81,37.9,137787,0
20110114,37.9,38.6,37.5,37.8,50064,0
20110117,38.2,38.21,37.45,38.21,205578,0
20110118,38.61,41.9,38.61,41.68,111754,0
20110119,43.28,43.35,42,42.49,44735,0
20110120,42.5,42.55,42.01,42.01,12196,0
20110121,42,42.15,40.5,41.53,184588,0
20110124,41.7,42.5,41.45,42.35,26718,0
20110125,42.4,43.35,41.8,42.75,26780,0
20110126,43,44.78,43,43.8,59273,0
