Date,Open,High,Low,Close,Volume,OpenInt
19980519,0.32,0.32,0.32,0.32,7173,0
19980520,0.35,0.35,0.35,0.35,915997,0
19980521,0.39,0.39,0.39,0.39,303979,0
19980522,0.43,0.43,0.43,0.43,442685,0
19980525,0.47,0.47,0.47,0.47,558074,0
19980526,0.51,0.51,0.51,0.51,2134684,0
19980527,0.46,0.46,0.46,0.46,0,0
19980528,0.42,0.42,0.42,0.42,0,0
19980529,0.38,0.38,0.38,0.38,637800,0
19980601,0.34,0.34,0.34,0.34,398230,0
19980602,0.31,0.31,0.31,0.31,367388,0
19980603,0.34,0.34,0.34,0.34,120285,0
19980604,0.37,0.37,0.37,0.37,435886,0
19980605,0.35,0.35,0.35,0.35,106138,0
19980608,0.37,0.37,0.37,0.37,134146,0
19980609,0.33,0.33,0.33,0.33,142396,0
19980610,0.32,0.32,0.32,0.32,175534,0
19980615,0.3,0.3,0.3,0.3,58531,0
19980616,0.3,0.3,0.3,0.3,66097,0
19980617,0.32,0.32,0.32,0.32,134132,0
19980618,0.33,0.33,0.33,0.33,110623,0
19980619,0.31,0.31,0.31,0.31,107410,0
19980622,0.33,0.33,0.33,0.33,143672,0
19980623,0.33,0.33,0.33,0.33,23527,0
19980624,0.31,0.31,0.31,0.31,72659,0
19980625,0.32,0.32,0.32,0.32,49061,0
19980626,0.32,0.32,0.32,0.32,60252,0
19980629,0.3,0.3,0.3,0.3,47377,0
19980630,0.3,0.3,0.3,0.3,66420,0
19980701,0.32,0.32,0.32,0.32,57937,0
19980702,0.3,0.3,0.3,0.3,8464,0
19980703,0.31,0.31,0.31,0.31,98267,0
19980706,0.32,0.32,0.32,0.32,71261,0
19980707,0.31,0.31,0.31,0.31,74024,0
19980708,0.3,0.3,0.3,0.3,45745,0
19980709,0.29,0.29,0.29,0.29,69881,0
19980710,0.3,0.3,0.3,0.3,38876,0
19980713,0.29,0.29,0.29,0.29,64302,0
19980714,0.31,0.31,0.31,0.31,142952,0
19980715,0.3,0.3,0.3,0.3,104829,0
19980716,0.29,0.29,0.29,0.29,56735,0
19980717,0.29,0.29,0.29,0.29,27974,0
19980720,0.29,0.29,0.29,0.29,21428,0
19980721,0.3,0.3,0.3,0.3,62670,0
19980722,0.28,0.28,0.28,0.28,75100,0
19980723,0.27,0.27,0.27,0.27,27255,0
19980724,0.25,0.25,0.25,0.25,112971,0
19980727,0.22,0.22,0.22,0.22,105727,0
19980728,0.23,0.23,0.23,0.23,136138,0
19980729,0.23,0.23,0.23,0.23,136209,0
19980730,0.23,0.23,0.23,0.23,44113,0
19980731,0.24,0.24,0.24,0.24,21016,0
19980803,0.23,0.23,0.23,0.23,55730,0
19980804,0.23,0.23,0.23,0.23,37225,0
19980805,0.22,0.22,0.22,0.22,81698,0
19980806,0.23,0.23,0.23,0.23,56160,0
19980807,0.22,0.22,0.22,0.22,28761,0
19980810,0.23,0.23,0.23,0.23,36795,0
19980811,0.23,0.23,0.23,0.23,58816,0
19980812,0.22,0.22,0.22,0.22,133271,0
19980813,0.21,0.21,0.21,0.21,43037,0
19980814,0.21,0.21,0.21,0.21,75100,0
19980817,0.21,0.21,0.21,0.21,43037,0
19980818,0.21,0.21,0.21,0.21,53794,0
19980819,0.2,0.2,0.2,0.2,40166,0
19980820,0.2,0.2,0.2,0.2,41027,0
19980821,0.2,0.2,0.2,0.2,22091,0
