Date,Open,High,Low,Close,Volume,OpenInt
20050622,7.3795,7.3795,7.1094,7.2286,56701,0
20050623,7.1094,7.1492,6.8791,6.9903,27121,0
20050624,6.9188,6.9506,6.8393,6.9506,3584,0
20050627,6.9188,6.9903,6.9188,6.9903,25968,0
20050628,7.0698,7.0698,7.0698,7.0698,17318,0
20050629,7.1094,7.1492,7.1094,7.1094,5748,0
20050630,7.03,7.1889,7.03,7.0698,7716,0
20050701,7.0698,7.3002,7.0698,7.3002,10806,0
20050704,7.2684,7.3002,7.2684,7.3002,6139,0
20050705,7.3002,7.4988,7.3002,7.4193,66035,0
20050706,7.3795,7.459,7.3795,7.4193,44415,0
20050707,7.3002,7.4193,7.3002,7.4193,14722,0
20050708,7.4193,7.459,7.4193,7.4193,58653,0
20050711,7.3002,7.3002,7.3002,7.3002,4333,0
20050712,7.3002,7.3795,7.3002,7.3002,5419,0
20050713,7.3795,7.3795,7.3002,7.3398,4206,0
20050714,7.3795,7.3795,7.3398,7.3795,37200,0
20050715,7.3795,7.4193,7.3795,7.4193,6760,0
20050718,7.4193,7.4193,7.3398,7.4193,47802,0
20050719,7.3398,7.4193,7.3002,7.3795,7364,0
20050720,7.4193,7.459,7.3795,7.4193,10381,0
20050721,7.4193,7.4988,7.3002,7.4988,97787,0
20050722,7.4988,7.5385,7.4193,7.4193,16041,0
20050725,7.459,7.459,7.459,7.459,4513,0
20050726,7.459,7.459,7.4193,7.4193,47294,0
20050727,7.4193,7.5385,7.4193,7.5385,70079,0
20050728,7.459,7.459,7.4193,7.4193,16654,0
20050729,7.4988,7.4988,7.459,7.459,339,0
20050801,7.4988,7.4988,7.3398,7.4193,2408,0
20050802,7.3795,7.459,7.3795,7.459,708,0
20050803,7.459,7.4988,7.3398,7.4988,1691,0
20050804,7.3398,7.459,7.3398,7.459,545,0
20050805,7.4193,7.4988,7.4193,7.4988,13522,0
20050808,7.4988,7.4988,7.4193,7.4988,1523,0
20050809,7.4193,7.4193,7.4193,7.4193,1083,0
20050810,7.4193,7.4193,7.4193,7.4193,1146,0
20050811,7.4193,7.4193,7.4193,7.4193,5402,0
20050812,7.4193,7.4193,7.4193,7.4193,42910,0
20050816,7.4193,7.459,7.4193,7.459,5248,0
20050817,7.459,7.6495,7.459,7.6495,95289,0
20050818,7.6894,8.0389,7.6894,7.7688,63881,0
20050819,7.9275,7.9992,7.8084,7.9674,9058,0
20050822,7.9674,8.7061,7.9674,8.7061,92626,0
20050823,8.7061,8.7061,8.3169,8.3486,22171,0
20050824,8.2375,8.3486,8.1978,8.2375,15405,0
20050825,8.1978,8.3486,8.158,8.2771,7134,0
20050826,8.158,8.3169,8.158,8.1978,4920,0
20050829,7.8482,8.2375,7.8482,8.158,20402,0
20050830,8.1978,8.2771,8.158,8.2375,12365,0
20050831,8.2375,8.2771,8.158,8.158,42989,0
20050901,8.158,8.1978,7.8879,8.1978,59269,0
20050902,8.0389,8.1978,7.9992,7.9992,15372,0
20050905,7.9992,8.3169,7.9992,8.2375,77141,0
20050906,8.2375,8.2375,7.9674,7.9674,45880,0
20050907,8.158,8.2375,7.8879,8.1978,30123,0
20050908,8.2375,8.3169,8.158,8.158,18556,0
20050909,8.158,8.2375,8.1182,8.1182,4100,0
20050912,8.158,8.3169,8.0389,8.2375,3795,0
20050913,8.2375,8.2375,8.158,8.1978,6952,0
20050914,8.158,8.2375,8.158,8.2375,2213,0
20050915,8.0389,8.2375,8.0389,8.2375,9829,0
20050916,8.2375,8.2375,8.1978,8.2375,2846,0
20050919,8.158,8.3884,8.158,8.3884,65146,0
20050920,8.3486,8.3486,8.3169,8.3169,1815,0
20050921,8.158,8.2771,8.158,8.2771,2723,0
20050922,8.158,8.2375,8.158,8.2375,2664,0
20050923,8.158,8.2375,7.9992,8.158,174880,0
20050926,8.0786,8.2375,8.0786,8.2375,61157,0
20050927,8.158,8.158,7.8879,7.9674,83734,0
20050928,7.9992,7.9992,7.9275,7.9275,26548,0
20050929,7.9275,7.9275,7.8482,7.8482,915,0
20050930,7.8482,7.8879,7.8084,7.8879,2065,0
20051003,7.8482,7.8482,7.6179,7.8482,134910,0
20051004,7.7688,7.8084,7.6894,7.7688,11027,0
20051005,7.7291,7.7688,7.7291,7.7688,7281,0
20051006,7.6894,7.6894,7.6894,7.6894,923,0
20051007,7.6179,7.6495,7.6179,7.6179,15182,0
20051010,7.6179,7.6894,7.6179,7.6894,14293,0
20051011,7.578,7.6894,7.578,7.6894,3328,0
20051012,7.6894,7.6894,7.5385,7.5385,339,0
20051013,7.578,7.578,7.578,7.578,466,0
20051014,7.5385,7.6179,7.5385,7.6179,775,0
20051017,7.3002,7.6495,7.3002,7.6495,642,0
20051019,7.1094,7.6495,7.1094,7.6495,2931,0
20051020,7.4193,7.6495,7.4193,7.6495,2005,0
20051021,7.3795,7.6495,7.3795,7.6495,1975,0
20051024,7.6179,7.6495,7.6179,7.6495,2547,0
20051025,7.578,7.6894,7.578,7.6894,6423,0
20051026,7.6179,7.7291,7.578,7.7291,11096,0
20051028,7.5385,7.7688,7.5385,7.7688,1988,0
20051031,7.7688,8.158,7.7688,7.8084,8233,0
20051102,7.7688,7.8084,7.7688,7.8084,551,0
20051103,7.8482,7.8482,7.8482,7.8482,1311,0
20051104,7.8482,7.8482,7.6495,7.8482,1126,0
20051107,7.6179,7.7688,7.6179,7.7688,1082,0
20051108,7.7688,7.7688,7.5385,7.7688,521,0
20051109,7.7688,7.8482,7.7688,7.8482,735,0
20051110,7.7688,7.8482,7.6894,7.8482,903,0
20051114,7.7688,7.8482,7.7688,7.8482,7857,0
20051115,7.7688,7.7688,7.7688,7.7688,392,0
20051116,7.8482,7.9275,7.7688,7.7688,17143,0
20051117,7.7688,8.1182,7.7688,8.1182,11235,0
20051118,8.0786,8.158,7.9992,8.0786,62737,0
20051121,8.0389,8.0389,8.0389,8.0389,593,0
20051122,7.8084,8.158,7.8084,8.0389,14559,0
20051123,8.0389,8.1182,8.0389,8.1182,2334,0
20051124,8.158,8.2375,8.0389,8.0786,5287,0
20051125,8.0389,8.0389,7.8879,7.9275,4210,0
20051128,7.9674,8.1182,7.8084,8.0786,1594,0
20051129,8.0786,8.1978,7.8879,8.1978,20174,0
20051130,8.1978,8.1978,8.158,8.158,222,0
20051201,7.9674,8.1978,7.9674,8.1978,41876,0
20051202,8.1978,8.1978,8.1182,8.158,2024,0
20051205,7.9674,8.1182,7.9674,8.1182,358,0
20051206,7.9275,8.1182,7.9275,8.1182,769,0
20051207,8.1182,8.1978,8.1182,8.158,2794,0
20051208,8.158,8.2375,8.158,8.2375,715,0
20051209,8.2375,8.2375,8.1978,8.1978,848,0
20051212,8.1978,8.2375,8.1182,8.158,3222,0
20051213,8.1182,8.158,8.0389,8.158,1735,0
20051214,8.0786,8.2771,8.0389,8.2375,65522,0
20051215,8.2375,8.3169,8.1978,8.3169,15677,0
20051216,8.158,8.5473,8.158,8.5473,18458,0
20051219,8.5473,8.5473,8.3565,8.5473,3175,0
20051220,8.5473,8.5473,8.3565,8.5473,5410,0
20051221,8.5473,8.5473,8.4757,8.5076,7845,0
20051222,8.4361,8.865,8.4361,8.865,37900,0
20051223,8.9443,9.3336,8.9443,9.3336,15161,0
20051227,9.4925,10.199,9.4131,9.691,14627,0
20051228,9.651,9.731,9.2145,9.2145,7590,0
20051229,9.0239,9.3336,8.5869,8.5869,22168,0
20051230,8.5473,8.7855,8.5473,8.6267,2553,0
20060102,8.4361,8.8253,8.4361,8.8253,2266,0
20060103,8.6664,9.0239,8.6664,8.9841,18185,0
20060104,8.865,9.0239,8.865,9.0239,41369,0
20060105,9.0239,9.0239,8.8253,8.9047,20558,0
20060106,8.9047,9.1033,8.9047,9.0636,144495,0
20060109,9.0636,9.2542,8.6664,9.1033,25970,0
20060110,9.2542,9.3336,9.2542,9.3336,1465,0
20060111,9.294,9.3735,9.294,9.3735,87229,0
20060112,9.4131,9.691,9.4131,9.691,32460,0
20060113,9.572,9.763,9.4131,9.763,52112,0
20060116,9.651,9.763,9.572,9.763,16017,0
20060117,9.763,9.802,9.4925,9.651,1682,0
20060118,9.4527,9.651,9.4527,9.651,1937,0
20060119,9.572,9.572,9.4527,9.4925,2580,0
20060120,9.4925,9.4925,9.4131,9.4131,3012,0
20060123,9.3735,9.802,9.294,9.802,3276,0
20060124,9.763,9.763,9.4925,9.4925,644,0
20060125,9.4925,9.731,9.4925,9.731,6144,0
20060126,9.731,9.731,9.572,9.612,2505,0
20060127,9.612,9.731,9.612,9.691,7533,0
20060130,9.731,9.731,9.4131,9.731,4616,0
20060131,9.731,9.731,9.731,9.731,67,0
20060201,9.4131,9.612,9.3735,9.4131,2326,0
20060202,9.4527,9.691,9.4527,9.4925,3622,0
20060203,9.572,9.572,9.3735,9.4925,3469,0
20060206,9.4925,9.4925,9.2145,9.2145,1104,0
20060207,9.4131,9.731,8.7061,9.572,11257,0
20060208,9.4925,9.572,9.4925,9.4925,868,0
20060209,9.572,9.572,9.4925,9.572,1039,0
20060210,9.4925,9.651,9.4925,9.651,2808,0
20060213,9.532,9.763,9.532,9.763,65639,0
