Date,Open,High,Low,Close,Volume,OpenInt
19970908,56.177,56.177,56.177,56.177,147089,0
19970909,57.933,57.933,57.933,57.933,88654,0
19970910,59.688,59.688,59.688,59.688,43291,0
19970911,58.372,58.372,58.372,58.372,59764,0
19970912,57.494,57.494,57.494,57.494,38156,0
19970915,57.494,57.494,57.494,57.494,144055,0
19970916,60.127,60.127,60.127,60.127,36329,0
19970917,60.127,60.127,60.127,60.127,50299,0
19970918,60.566,60.566,60.566,60.566,51076,0
19970919,60.566,60.566,60.566,60.566,162238,0
19970922,61.444,61.444,61.444,61.444,40451,0
19970923,61.444,61.444,61.444,61.444,15340,0
19970924,59.688,59.688,59.688,59.688,12823,0
19970925,59.688,59.688,59.688,59.688,42133,0
19970926,60.127,60.127,60.127,60.127,94921,0
19970929,59.688,59.688,59.688,59.688,8695,0
19970930,60.566,60.566,60.566,60.566,32340,0
19971001,60.566,60.566,60.566,60.566,22222,0
19971002,61.444,61.444,61.444,61.444,10930,0
19971003,58.372,58.372,58.372,58.372,5972,0
19971006,58.811,58.811,58.811,58.811,30274,0
19971007,59.688,59.688,59.688,59.688,31261,0
19971008,61.005,61.005,61.005,61.005,27209,0
19971009,61.444,61.444,61.444,61.444,52979,0
19971010,61.883,61.883,61.883,61.883,57196,0
19971013,63.638,63.638,63.638,63.638,31728,0
19971014,66.71,66.71,66.71,66.71,34475,0
19971015,67.588,67.588,67.588,67.588,30211,0
19971016,67.588,67.588,67.588,67.588,70204,0
19971017,66.272,66.272,66.272,66.272,22888,0
19971020,66.71,66.71,66.71,66.71,72733,0
19971021,66.71,66.71,66.71,66.71,57627,0
19971022,67.588,67.588,67.588,67.588,26906,0
19971023,66.71,66.71,66.71,66.71,9720,0
19971024,64.077,64.077,64.077,64.077,13400,0
19971027,61.005,61.005,61.005,61.005,14372,0
19971028,55.3,55.3,55.3,55.3,0,0
19971029,60.566,60.566,60.566,60.566,53758,0
19971030,58.811,58.811,58.811,58.811,49794,0
19971031,57.494,57.494,57.494,57.494,12299,0
19971103,59.249,59.249,59.249,59.249,5662,0
19971104,60.566,60.566,60.566,60.566,19299,0
19971105,61.444,61.444,61.444,61.444,10982,0
19971106,60.127,60.127,60.127,60.127,8890,0
19971107,60.566,60.566,60.566,60.566,25513,0
19971112,59.688,59.688,59.688,59.688,77480,0
19971113,58.811,58.811,58.811,58.811,22015,0
