Date,Open,High,Low,Close,Volume,OpenInt
19971014,6.5,6.5,6.5,6.5,180148,0
19971015,7.05,7.05,7.05,7.05,417464,0
19971016,6.35,6.35,6.35,6.35,178863,0
19971017,5.75,5.75,5.75,5.75,170508,0
19971020,5.2,5.2,5.2,5.2,0,0
19971021,4.7,4.7,4.7,4.7,73966,0
19971022,4.7,4.7,4.7,4.7,382557,0
19971023,5.05,5.05,5.05,5.05,451474,0
19971024,4.55,4.55,4.55,4.55,307319,0
19971027,4.15,4.15,4.15,4.15,153321,0
19971028,3.75,3.75,3.75,3.75,0,0
19971029,4.1,4.1,4.1,4.1,0,0
19971030,3.95,3.95,3.95,3.95,146367,0
19971031,4.2,4.2,4.2,4.2,60746,0
19971103,4.6,4.6,4.6,4.6,137439,0
19971104,4.55,4.55,4.55,4.55,101375,0
19971105,4.6,4.6,4.6,4.6,58124,0
19971106,4.6,4.6,4.6,4.6,26241,0
19971107,4.5,4.5,4.5,4.5,81326,0
19971112,4.5,4.5,4.5,4.5,52965,0
19971113,4.5,4.5,4.5,4.5,123954,0
19971114,4.9,4.9,4.9,4.9,105519,0
19971117,5.1,5.1,5.1,5.1,114437,0
19971118,5.2,5.2,5.2,5.2,110779,0
19971119,4.7,4.7,4.7,4.7,120904,0
19971120,4.85,4.85,4.85,4.85,75838,0
19971121,4.9,4.9,4.9,4.9,88540,0
19971124,4.7,4.7,4.7,4.7,118750,0
19971125,4.7,4.7,4.7,4.7,79525,0
19971126,4.9,4.9,4.9,4.9,46790,0
19971127,4.7,4.7,4.7,4.7,148043,0
19971128,4.95,4.95,4.95,4.95,172324,0
19971201,5.15,5.15,5.15,5.15,146834,0
19971202,5.15,5.15,5.15,5.15,166604,0
19971203,5.1,5.1,5.1,5.1,100929,0
19971204,5.2,5.2,5.2,5.2,136477,0
19971205,5.3,5.3,5.3,5.3,97772,0
19971208,5.2,5.2,5.2,5.2,97697,0
19971209,5.3,5.3,5.3,5.3,111738,0
19971210,5.35,5.35,5.35,5.35,82619,0
19971211,5.3,5.3,5.3,5.3,95756,0
19971212,5.5,5.5,5.5,5.5,96990,0
19971215,6,6,6,6,143645,0
19971216,6.4,6.4,6.4,6.4,271116,0
19971217,6.2,6.2,6.2,6.2,154908,0
19971218,6.2,6.2,6.2,6.2,93210,0
19971219,6.15,6.15,6.15,6.15,147167,0
19971222,6.3,6.3,6.3,6.3,124377,0
19971223,6.8,6.8,6.8,6.8,109670,0
19971229,6.8,6.8,6.8,6.8,132678,0
19971230,6.55,6.55,6.55,6.55,175137,0
19971231,6.6,6.6,6.6,6.6,117789,0
19980105,6.6,6.6,6.6,6.6,99007,0
19980106,6.85,6.85,6.85,6.85,137294,0
19980107,6.7,6.7,6.7,6.7,87220,0
19980108,6.75,6.75,6.75,6.75,104678,0
19980109,6.1,6.1,6.1,6.1,142359,0
19980112,5.5,5.5,5.5,5.5,78336,0
19980113,5.45,5.45,5.45,5.45,133785,0
19980114,5,5,5,5,125093,0
19980115,5,5,5,5,134061,0
19980116,5.3,5.3,5.3,5.3,133630,0
19980119,5.7,5.7,5.7,5.7,66137,0
19980120,5.5,5.5,5.5,5.5,61521,0
19980121,5.35,5.35,5.35,5.35,62719,0
19980122,5.3,5.3,5.3,5.3,57368,0
19980123,5.5,5.5,5.5,5.5,66352,0
19980126,5.3,5.3,5.3,5.3,22767,0
19980127,5.5,5.5,5.5,5.5,23796,0
19980128,5.5,5.5,5.5,5.5,105158,0
19980129,5.75,5.75,5.75,5.75,185386,0
19980130,5.5,5.5,5.5,5.5,29162,0
19980202,5.65,5.65,5.65,5.65,45939,0
19980203,5.65,5.65,5.65,5.65,69850,0
19980204,5.5,5.5,5.5,5.5,76451,0
19980205,5.45,5.45,5.45,5.45,34121,0
19980206,5.6,5.6,5.6,5.6,118506,0
19980209,5.6,5.6,5.6,5.6,77988,0
19980210,5.6,5.6,5.6,5.6,85488,0
19980211,5.6,5.6,5.6,5.6,48035,0
19980212,5.1,5.1,5.1,5.1,48725,0
19980213,5.2,5.2,5.2,5.2,76359,0
19980216,5.3,5.3,5.3,5.3,32041,0
19980217,5.15,5.15,5.15,5.15,20852,0
19980218,5.15,5.15,5.15,5.15,32273,0
19980219,5.1,5.1,5.1,5.1,44940,0
19980220,5,5,5,5,41942,0
19980223,5,5,5,5,18707,0
19980224,5.2,5.2,5.2,5.2,36976,0
19980225,5.15,5.15,5.15,5.15,28219,0
19980226,5.35,5.35,5.35,5.35,34521,0
19980227,5.6,5.6,5.6,5.6,108725,0
19980302,5.7,5.7,5.7,5.7,130752,0
19980303,5.85,5.85,5.85,5.85,76219,0
19980304,5.8,5.8,5.8,5.8,62333,0
19980305,5.75,5.75,5.75,5.75,87918,0
19980306,5.75,5.75,5.75,5.75,105357,0
19980309,5.85,5.85,5.85,5.85,70592,0
19980310,6.15,6.15,6.15,6.15,62749,0
19980311,6.4,6.4,6.4,6.4,142830,0
19980312,6.4,6.4,6.4,6.4,69149,0
19980313,6.7,6.7,6.7,6.7,180961,0
19980316,6.65,6.65,6.65,6.65,56130,0
19980317,6.55,6.55,6.55,6.55,107272,0
19980318,6.4,6.4,6.4,6.4,50598,0
19980319,6.25,6.25,6.25,6.25,97576,0
19980320,6.55,6.55,6.55,6.55,97164,0
19980323,7.05,7.05,7.05,7.05,94167,0
19980324,7.35,7.35,7.35,7.35,113111,0
19980325,7.35,7.35,7.35,7.35,95500,0
19980326,7,7,7,7,92084,0
19980327,7,7,7,7,99420,0
19980330,6.9,6.9,6.9,6.9,51629,0
19980331,6.85,6.85,6.85,6.85,63607,0
19980401,6.9,6.9,6.9,6.9,104623,0
19980402,6.75,6.75,6.75,6.75,50822,0
19980406,6.4,6.4,6.4,6.4,31509,0
19980407,6.45,6.45,6.45,6.45,87262,0
19980408,6.2,6.2,6.2,6.2,99176,0
19980409,5.6,5.6,5.6,5.6,79591,0
19980414,5.15,5.15,5.15,5.15,165335,0
19980415,5.1,5.1,5.1,5.1,118326,0
19980416,5.05,5.05,5.05,5.05,94855,0
19980417,4.9,4.9,4.9,4.9,67346,0
19980420,4.95,4.95,4.95,4.95,65389,0
19980421,4.8,4.8,4.8,4.8,40728,0
19980422,4.55,4.55,4.55,4.55,67664,0
19980423,4.7,4.7,4.7,4.7,62748,0
19980424,5,5,5,5,68390,0
19980427,5.3,5.3,5.3,5.3,92880,0
19980428,5.05,5.05,5.05,5.05,57633,0
19980429,4.9,4.9,4.9,4.9,48996,0
19980430,5.05,5.05,5.05,5.05,52469,0
19980504,5,5,5,5,34304,0
19980505,4.7,4.7,4.7,4.7,43724,0
19980506,4.7,4.7,4.7,4.7,75986,0
19980507,4.7,4.7,4.7,4.7,89270,0
19980508,4.7,4.7,4.7,4.7,21209,0
19980511,4.7,4.7,4.7,4.7,23443,0
19980512,4.6,4.6,4.6,4.6,39755,0
19980513,4.5,4.5,4.5,4.5,31651,0
19980514,4.3,4.3,4.3,4.3,26068,0
19980515,4.1,4.1,4.1,4.1,47576,0
19980518,4.2,4.2,4.2,4.2,23224,0
19980519,4,4,4,4,35617,0
19980520,4,4,4,4,38215,0
19980521,4.15,4.15,4.15,4.15,67152,0
19980522,4.3,4.3,4.3,4.3,66979,0
19980525,3.95,3.95,3.95,3.95,19938,0
19980526,3.95,3.95,3.95,3.95,39016,0
19980527,3.7,3.7,3.7,3.7,22195,0
19980528,3.35,3.35,3.35,3.35,71707,0
19980529,3.4,3.4,3.4,3.4,52991,0
19980601,3.3,3.3,3.3,3.3,16103,0
19980602,3,3,3,3,29892,0
19980603,3.05,3.05,3.05,3.05,100491,0
19980604,3.15,3.15,3.15,3.15,50815,0
19980605,3.1,3.1,3.1,3.1,49790,0
19980608,2.8,2.8,2.8,2.8,48698,0
19980609,2.8,2.8,2.8,2.8,66670,0
19980610,2.65,2.65,2.65,2.65,19674,0
19980615,2.39,2.39,2.39,2.39,15386,0
19980616,2.16,2.16,2.16,2.16,116972,0
19980617,2.37,2.37,2.37,2.37,36786,0
19980618,2.6,2.6,2.6,2.6,161484,0
19980619,2.4,2.4,2.4,2.4,63300,0
19980622,2.6,2.6,2.6,2.6,34365,0
19980623,2.6,2.6,2.6,2.6,33527,0
19980624,2.55,2.55,2.55,2.55,22351,0
19980625,2.5,2.5,2.5,2.5,44026,0
19980626,2.65,2.65,2.65,2.65,25458,0
19980629,2.65,2.65,2.65,2.65,27205,0
19980630,2.75,2.75,2.75,2.75,63788,0
19980701,2.85,2.85,2.85,2.85,29616,0
19980702,2.95,2.95,2.95,2.95,29090,0
19980703,3,3,3,3,38711,0
19980706,2.9,2.9,2.9,2.9,20765,0
19980707,2.85,2.85,2.85,2.85,22544,0
19980708,2.8,2.8,2.8,2.8,21933,0
19980709,2.65,2.65,2.65,2.65,12349,0
19980710,2.7,2.7,2.7,2.7,19334,0
19980713,2.85,2.85,2.85,2.85,21632,0
19980714,3,3,3,3,20477,0
19980715,2.9,2.9,2.9,2.9,11542,0
19980716,2.7,2.7,2.7,2.7,8090,0
19980717,2.75,2.75,2.75,2.75,53969,0
19980720,2.6,2.6,2.6,2.6,21063,0
19980721,2.6,2.6,2.6,2.6,20729,0
19980722,2.48,2.48,2.48,2.48,13015,0
19980723,2.24,2.24,2.24,2.24,36532,0
19980724,2.46,2.46,2.46,2.46,42174,0
19980727,2.45,2.45,2.45,2.45,16100,0
19980728,2.4,2.4,2.4,2.4,10159,0
19980729,2.3,2.3,2.3,2.3,8436,0
19980730,2.32,2.32,2.32,2.32,15540,0
19980731,2.43,2.43,2.43,2.43,19462,0
19980803,2.3,2.3,2.3,2.3,10505,0
19980804,2.3,2.3,2.3,2.3,36102,0
19980805,2.25,2.25,2.25,2.25,26885,0
19980806,2.3,2.3,2.3,2.3,10662,0
19980807,2.2,2.2,2.2,2.2,31206,0
19980810,2.25,2.25,2.25,2.25,16946,0
19980811,2.19,2.19,2.19,2.19,4070,0
19980812,2.01,2.01,2.01,2.01,21214,0
19980813,2.03,2.03,2.03,2.03,25271,0
19980814,2.03,2.03,2.03,2.03,22630,0
19980817,2.15,2.15,2.15,2.15,36275,0
19980818,2.1,2.1,2.1,2.1,19332,0
19980819,2.15,2.15,2.15,2.15,31349,0
19980820,2.05,2.05,2.05,2.05,5948,0
19980821,2.05,2.05,2.05,2.05,14724,0
19980824,2.05,2.05,2.05,2.05,26750,0
19980825,2.06,2.06,2.06,2.06,34022,0
19980826,2.05,2.05,2.05,2.05,22400,0
19980827,1.85,1.85,1.85,1.85,5852,0
19980828,1.67,1.67,1.67,1.67,17650,0
19980831,1.51,1.51,1.51,1.51,33843,0
19980901,1.36,1.36,1.36,1.36,75307,0
19980902,1.45,1.45,1.45,1.45,27004,0
19980903,1.45,1.45,1.45,1.45,44428,0
19980904,1.4,1.4,1.4,1.4,8949,0
19980907,1.54,1.54,1.54,1.54,10203,0
19980908,1.64,1.64,1.64,1.64,21968,0
19980909,1.6,1.6,1.6,1.6,25961,0
19980910,1.55,1.55,1.55,1.55,7574,0
19980911,1.5,1.5,1.5,1.5,18536,0
19980914,1.55,1.55,1.55,1.55,12591,0
19980915,1.6,1.6,1.6,1.6,26284,0
19980916,1.68,1.68,1.68,1.68,19000,0
19980917,1.53,1.53,1.53,1.53,14257,0
19980918,1.53,1.53,1.53,1.53,14420,0
19980921,1.48,1.48,1.48,1.48,9130,0
19980922,1.34,1.34,1.34,1.34,19207,0
19980923,1.47,1.47,1.47,1.47,9105,0
19980924,1.61,1.61,1.61,1.61,24106,0
19980925,1.55,1.55,1.55,1.55,41940,0
19980928,1.51,1.51,1.51,1.51,15727,0
19980929,1.5,1.5,1.5,1.5,9775,0
19980930,1.5,1.5,1.5,1.5,3696,0
19981001,1.38,1.38,1.38,1.38,14570,0
19981002,1.38,1.38,1.38,1.38,24239,0
19981005,1.48,1.48,1.48,1.48,5220,0
19981006,1.34,1.34,1.34,1.34,4870,0
19981007,1.4,1.4,1.4,1.4,18426,0
19981008,1.35,1.35,1.35,1.35,14887,0
19981009,1.39,1.39,1.39,1.39,20062,0
19981012,1.47,1.47,1.47,1.47,14770,0
19981013,1.38,1.38,1.38,1.38,7628,0
19981014,1.37,1.37,1.37,1.37,4400,0
19981015,1.38,1.38,1.38,1.38,12825,0
19981016,1.25,1.25,1.25,1.25,26625,0
19981019,1.13,1.13,1.13,1.13,39893,0
19981020,1.16,1.16,1.16,1.16,34107,0
19981021,1.2,1.2,1.2,1.2,18680,0
19981022,1.2,1.2,1.2,1.2,23497,0
19981023,1.21,1.21,1.21,1.21,7124,0
19981026,1.25,1.25,1.25,1.25,41153,0
19981027,1.22,1.22,1.22,1.22,35581,0
19981028,1.17,1.17,1.17,1.17,23015,0
19981029,1.15,1.15,1.15,1.15,28284,0
19981030,1.15,1.15,1.15,1.15,10552,0
19981102,1.26,1.26,1.26,1.26,11653,0
19981103,1.25,1.25,1.25,1.25,18237,0
19981104,1.22,1.22,1.22,1.22,13647,0
19981105,1.25,1.25,1.25,1.25,13432,0
19981106,1.22,1.22,1.22,1.22,4887,0
19981109,1.25,1.25,1.25,1.25,25875,0
19981110,1.27,1.27,1.27,1.27,16090,0
19981112,1.27,1.27,1.27,1.27,25932,0
19981113,1.31,1.31,1.31,1.31,9956,0
19981116,1.44,1.44,1.44,1.44,38037,0
19981117,1.53,1.53,1.53,1.53,43415,0
19981118,1.5,1.5,1.5,1.5,36586,0
19981119,1.39,1.39,1.39,1.39,19455,0
19981120,1.4,1.4,1.4,1.4,6871,0
19981123,1.46,1.46,1.46,1.46,21663,0
19981124,1.5,1.5,1.5,1.5,24720,0
19981125,1.45,1.45,1.45,1.45,7049,0
19981126,1.37,1.37,1.37,1.37,15536,0
19981127,1.45,1.45,1.45,1.45,18100,0
19981130,1.37,1.37,1.37,1.37,18933,0
19981201,1.31,1.31,1.31,1.31,22660,0
19981202,1.32,1.32,1.32,1.32,27699,0
19981203,1.35,1.35,1.35,1.35,26892,0
19981204,1.35,1.35,1.35,1.35,12221,0
19981207,1.42,1.42,1.42,1.42,14384,0
19981208,1.42,1.42,1.42,1.42,22285,0
19981209,1.37,1.37,1.37,1.37,6035,0
19981210,1.42,1.42,1.42,1.42,12805,0
19981211,1.38,1.38,1.38,1.38,16453,0
19981214,1.38,1.38,1.38,1.38,11237,0
19981215,1.37,1.37,1.37,1.37,21740,0
19981216,1.38,1.38,1.38,1.38,3768,0
19981217,1.3,1.3,1.3,1.3,51748,0
19981218,1.35,1.35,1.35,1.35,26460,0
19981221,1.33,1.33,1.33,1.33,17207,0
19981222,1.35,1.35,1.35,1.35,8766,0
19981223,1.37,1.37,1.37,1.37,11809,0
19981228,1.39,1.39,1.39,1.39,19643,0
19981229,1.43,1.43,1.43,1.43,33597,0
19981230,1.4,1.4,1.4,1.4,49320,0
19981231,1.45,1.45,1.45,1.45,7043,0
19990104,1.45,1.45,1.45,1.45,18556,0
19990105,1.45,1.45,1.45,1.45,29966,0
19990106,1.45,1.45,1.45,1.45,20241,0
19990107,1.53,1.53,1.53,1.53,27183,0
19990108,1.55,1.55,1.55,1.55,60427,0
19990111,1.6,1.6,1.6,1.6,51958,0
19990112,1.55,1.55,1.55,1.55,10669,0
19990113,1.42,1.42,1.42,1.42,26893,0
19990114,1.28,1.28,1.28,1.28,31981,0
19990115,1.35,1.35,1.35,1.35,20944,0
19990118,1.46,1.46,1.46,1.46,44683,0
19990119,1.5,1.5,1.5,1.5,31895,0
19990120,1.45,1.45,1.45,1.45,22109,0
19990121,1.45,1.45,1.45,1.45,2538,0
19990122,1.4,1.4,1.4,1.4,8544,0
19990125,1.37,1.37,1.37,1.37,14621,0
19990126,1.37,1.37,1.37,1.37,2676,0
19990127,1.37,1.37,1.37,1.37,14953,0
19990128,1.35,1.35,1.35,1.35,14279,0
19990129,1.38,1.38,1.38,1.38,15378,0
19990201,1.31,1.31,1.31,1.31,4898,0
19990202,1.38,1.38,1.38,1.38,9316,0
19990203,1.3,1.3,1.3,1.3,7787,0
19990204,1.35,1.35,1.35,1.35,4604,0
19990205,1.35,1.35,1.35,1.35,6819,0
19990208,1.31,1.31,1.31,1.31,19094,0
19990209,1.35,1.35,1.35,1.35,3170,0
19990210,1.27,1.27,1.27,1.27,10302,0
19990211,1.32,1.32,1.32,1.32,4054,0
19990212,1.33,1.33,1.33,1.33,9063,0
19990215,1.3,1.3,1.3,1.3,15800,0
19990216,1.31,1.31,1.31,1.31,15956,0
19990217,1.34,1.34,1.34,1.34,20488,0
19990218,1.32,1.32,1.32,1.32,26221,0
19990219,1.35,1.35,1.35,1.35,4130,0
19990222,1.33,1.33,1.33,1.33,6883,0
19990223,1.34,1.34,1.34,1.34,24486,0
19990224,1.35,1.35,1.35,1.35,22332,0
19990225,1.35,1.35,1.35,1.35,24567,0
19990226,1.35,1.35,1.35,1.35,27806,0
19990301,1.37,1.37,1.37,1.37,25540,0
19990302,1.4,1.4,1.4,1.4,28829,0
19990303,1.39,1.39,1.39,1.39,19486,0
19990304,1.37,1.37,1.37,1.37,11608,0
