Date,Open,High,Low,Close,Volume,OpenInt
20070910,13.866,14.422,13.192,13.426,343976,0
20070911,13.671,13.749,12.548,12.675,88229,0
20070912,12.636,12.968,12.216,12.343,62096,0
20070913,12.304,13.153,11.845,12.977,60983,0
20070914,13.046,13.046,12.557,12.694,24892,0
20070917,12.645,13.016,12.616,12.938,11810,0
20070918,12.694,12.88,12.694,12.811,3770,0
20070919,12.977,12.977,12.596,12.626,20342,0
20070920,12.606,12.665,12.362,12.45,28954,0
20070921,12.372,12.636,12.372,12.401,16194,0
20070924,12.411,12.499,12.362,12.499,10060,0
20070925,12.596,12.596,12.05,12.069,5275,0
20070926,12.304,12.304,11.776,11.952,10652,0
20070927,12.157,12.157,11.532,11.62,12726,0
20070928,11.434,11.6,11.054,11.102,25210,0
20071001,10.546,10.595,9.931,10.272,78857,0
20071002,10.595,11.229,10.272,10.927,16879,0
20071003,10.927,11.122,10.321,10.585,3364,0
20071004,10.849,10.849,10.253,10.536,10592,0
20071005,10.722,10.722,10.37,10.702,2254,0
20071008,10.399,10.702,10.399,10.409,4344,0
20071009,10.634,10.634,10.312,10.36,4512,0
20071010,10.272,10.272,9.862,10.048,12009,0
20071011,9.931,10.009,9.726,9.98,23429,0
20071012,9.911,9.96,9.911,9.96,18183,0
20071015,10.048,10.644,10.048,10.644,14709,0
20071016,10.536,10.819,10.497,10.546,12407,0
20071017,10.546,10.77,10.507,10.595,1809,0
20071018,10.595,10.595,10.253,10.253,8952,0
20071019,10.438,10.438,10.194,10.39,1214,0
20071022,10.38,10.38,9.97,10.009,4948,0
20071023,10.243,10.37,9.931,10.302,7269,0
20071024,10.282,10.292,10.058,10.253,1653,0
20071025,10.067,10.302,9.97,10.155,9350,0
20071026,10.058,10.058,9.97,10.009,7706,0
20071029,9.892,10.009,9.892,10.009,8783,0
20071030,9.872,9.882,9.0421,9.589,23268,0
20071031,9.657,9.667,9.4132,9.618,8887,0
20071102,9.3741,9.3741,8.7882,8.8859,111989,0
20071105,8.7785,8.7882,8.3586,8.6418,62825,0
20071106,8.6418,9.0812,8.3977,8.7687,36452,0
