Date,Open,High,Low,Close,Volume,OpenInt
20061215,22.14,24.055,18.09,21.65,352096,0
20061218,22.612,23.863,20.784,21.361,53300,0
20061219,21.072,21.072,18.369,18.378,35091,0
20061220,19.119,19.62,18.195,18.734,16073,0
20061221,18.292,19.533,18.282,18.763,11798,0
20061222,18.946,18.946,18.292,18.34,11107,0
20061227,18.734,19.196,18.378,18.513,4995,0
20061228,18.426,18.561,17.705,18.282,2831,0
20061229,18.667,19.004,18.195,19.004,3403,0
20070102,19.023,19.283,18.474,19.052,3825,0
20070103,19.1,19.1,17.993,18.609,6900,0
20070104,18.58,18.58,17.897,18.272,5192,0
20070105,18.09,18.282,18.09,18.282,4672,0
20070108,18.446,19.013,18.301,18.484,8854,0
20070109,18.532,18.619,18.34,18.523,3920,0
20070110,18.754,19.1,18.561,18.936,2337,0
20070111,19.004,19.341,18.609,19.341,10719,0
20070112,19.398,21.169,19.398,20.418,6152,0
20070115,20.688,21.457,20.399,21.217,42962,0
20070116,21.159,21.217,20.697,21.169,16925,0
20070117,21.409,22.997,20.976,22.708,59240,0
20070118,24.44,24.921,23.67,24.431,63795,0
20070119,24.825,24.921,23.189,23.67,17808,0
20070122,23.122,23.122,22.516,22.516,6425,0
20070123,22.323,22.352,21.938,22.323,3020,0
20070124,22.131,22.516,21.938,22.41,8727,0
20070125,24.055,26.413,23.68,25.508,106864,0
20070126,25.98,26.904,24.565,26.268,31697,0
20070129,26.268,26.268,25.114,25.499,4584,0
20070130,25.21,25.499,24.536,25.287,7982,0
20070131,24.248,24.777,24.248,24.729,1927,0
20070201,24.729,25.2,24.344,25.162,8405,0
20070202,24.257,25.018,24.152,24.344,6462,0
20070205,24.055,24.633,24.055,24.536,7366,0
20070206,24.344,24.825,24.152,24.825,5503,0
20070207,24.825,25.018,24.344,24.44,7614,0
20070208,24.248,24.248,23.093,23.122,12881,0
20070209,22.929,23.141,22.929,22.939,5095,0
20070212,22.901,22.901,21.756,22.506,14163,0
20070213,22.612,22.66,22.131,22.602,6023,0
20070214,22.612,22.612,21.938,21.948,3548,0
20070215,22.708,23.286,22.372,22.545,10834,0
20070216,22.91,24.536,22.91,24.055,21161,0
20070219,24.055,24.633,23.372,24.623,9813,0
20070220,24.681,24.681,23.497,24.055,5571,0
20070221,24.238,24.248,23.093,24.055,6205,0
20070222,24.248,25.691,24.248,25.595,20465,0
20070223,25.595,26.163,25.018,25.499,14086,0
20070226,25.595,26.461,25.018,25.797,23765,0
20070227,25.787,25.98,24.055,24.912,30978,0
20070228,23.959,24.815,23.189,24.633,10105,0
20070301,24.969,25.306,24.344,25.008,20264,0
20070302,25.21,25.21,24.392,24.825,2023,0
20070305,24.296,24.344,23.093,24.055,5835,0
20070306,24.825,24.825,23.574,24.055,3060,0
20070307,23.863,24.055,23.767,23.863,2570,0
20070308,24.055,25.114,24.055,25.018,4833,0
20070309,25.884,25.884,25.037,25.547,7943,0
20070312,25.21,26.432,25.21,26.172,10915,0
20070313,26.749,28.963,26.749,28.818,13022,0
20070314,28.838,31.272,28.838,30.31,48218,0
20070315,31.753,33.196,30.791,31.753,32581,0
20070316,31.849,32.715,31.176,31.512,6636,0
20070319,32.706,32.706,31.57,31.657,9878,0
20070320,31.753,32.138,29.463,29.829,16328,0
20070321,29.829,29.829,28.963,29.155,16001,0
20070322,29.165,30.791,29.165,29.444,7857,0
20070323,29.203,29.829,28.818,29.829,10577,0
20070326,30.647,31.753,30.647,31.272,7182,0
20070327,31.272,32.234,30.887,31.272,30300,0
20070328,30.512,31.176,29.444,29.646,4055,0
20070329,29.732,30.781,29.732,30.637,6234,0
20070330,29.684,31.734,29.251,31.734,7732,0
20070402,31.743,31.743,29.829,30.772,4345,0
20070403,30.406,32.225,30.262,31.272,6803,0
20070404,31.272,31.512,29.848,30.791,8340,0
20070405,31.176,31.176,29.925,30.695,887,0
20070410,30.598,31.743,30.021,31.561,6456,0
20070411,31.368,31.753,31.368,31.561,3403,0
20070412,31.561,32.33,29.636,30.791,5627,0
20070413,30.791,30.791,29.829,30.598,2304,0
20070416,30.31,30.31,28.972,29.675,6330,0
20070417,29.675,29.829,28.712,29.819,2786,0
20070418,29.819,31.609,28.712,28.789,15618,0
20070419,28.866,30.213,28.578,28.789,1891,0
20070420,28.77,29.732,28.77,29.059,5042,0
20070423,30.002,30.002,28.578,29.155,7005,0
20070424,28.578,29.829,28.578,28.963,2512,0
20070425,29.155,29.829,29.155,29.723,8294,0
20070426,29.819,29.819,28.934,28.972,1899,0
20070427,28.847,29.059,28.847,28.866,1196,0
20070430,28.866,28.866,28.741,28.866,1031,0
20070502,28.587,29.155,28.587,28.866,444,0
20070504,28.866,29.482,28.866,29.059,601,0
20070507,29.54,29.54,28.866,28.866,564,0
20070508,28.684,28.866,28.52,28.674,2948,0
20070509,28.52,28.866,27.808,28.289,6764,0
20070510,28.77,28.77,26.798,27.904,3491,0
20070511,26.942,27.231,26.047,27.134,4642,0
20070514,26.942,27.134,26.461,26.701,4315,0
20070515,26.268,27.712,26.268,27.423,1422,0
20070516,27.327,31.272,27.327,30.165,39036,0
20070517,30.502,31.272,28.77,30.204,5093,0
20070518,29.829,30.204,28.385,30.204,19017,0
20070521,30.502,31.262,27.914,27.914,19367,0
20070522,28.866,29.444,28.385,28.405,1631,0
20070523,29.347,29.732,28.482,29.155,1575,0
20070524,28.116,29.53,28.116,29.53,2598,0
20070525,29.347,30.762,29.347,30.223,6293,0
20070528,30.752,36.564,30.31,36.314,66186,0
20070529,35.217,35.602,34.255,35.602,8370,0
20070530,35.506,35.506,33.196,33.196,9368,0
20070531,33.196,35.602,33.196,35.602,22699,0
20070601,36.458,40.028,36.449,38.489,57156,0
20070604,38.489,39.451,36.083,36.564,9541,0
20070605,36.179,37.334,34.447,36.073,6760,0
20070606,36.42,36.42,34.159,34.64,4386,0
20070608,33.389,33.677,31.849,31.849,9645,0
20070611,32.234,34.64,32.234,34.178,5045,0
20070612,35.602,35.602,34.255,35.121,1043,0
20070613,35.409,35.409,33.677,34.928,1562,0
20070614,34.64,34.64,33.206,34.64,3815,0
20070615,32.821,34.534,32.821,33.495,1103,0
20070618,33.196,34.149,32.811,33.485,3206,0
20070619,34.159,34.159,32.34,32.34,8088,0
20070620,33.677,34.159,33.677,33.677,5768,0
20070621,33.677,36.564,32.715,33.822,3775,0
20070622,35.602,35.794,33.774,34.64,13484,0
20070625,33.937,35.688,33.677,33.841,486,0
20070626,35.121,36.372,34.64,34.851,11234,0
20070627,40.403,40.403,36.862,36.862,35036,0
20070628,37.622,38.97,36.67,37.517,5174,0
20070629,37.805,37.805,35.304,37.767,14659,0
20070702,38.007,38.007,37.045,37.834,8653,0
20070703,37.093,37.815,36.564,37.334,757,0
20070704,38.296,38.97,38.007,38.469,8723,0
20070705,39.451,39.451,38.046,38.46,8840,0
20070706,38.97,38.97,37.517,37.911,4019,0
20070709,36.805,37.526,35.409,35.602,9141,0
20070710,36.554,36.554,34.64,35.698,1667,0
20070711,35.602,35.602,34.64,35.121,2881,0
20070712,34.64,35.121,34.351,35.111,2930,0
20070713,34.64,35.602,34.168,35.506,798,0
20070716,36.535,36.535,34.457,35.121,1501,0
20070717,35.121,36.564,34.351,36.564,1490,0
20070718,37.007,37.007,36.564,36.747,1598,0
20070719,36.939,36.987,35.602,36.612,933,0
20070720,36.083,36.516,35.842,36.324,939,0
20070723,36.083,36.083,35.217,36.035,1193,0
20070724,35.987,36.016,35.361,35.39,1862,0
20070725,34.303,35.939,34.303,35.082,893,0
20070726,35.592,35.602,32.908,34.63,1704,0
20070727,33.196,34.062,32.234,33.87,2004,0
20070730,34.438,34.447,33.196,33.677,1059,0
20070731,34.351,34.351,32.715,34.341,1726,0
20070801,33.196,33.533,31.945,32.234,2045,0
20070802,33.148,33.148,32.119,32.696,461,0
20070803,32.234,33.283,31.657,31.753,1335,0
20070806,31.349,31.349,29.54,29.54,3001,0
20070807,29.829,30.781,29.829,30.117,1011,0
20070808,30.695,30.695,28.154,29.203,1972,0
20070809,29.636,29.636,27.904,28.626,1956,0
20070810,26.942,27.423,24.248,24.248,7622,0
20070813,25.21,25.451,23.584,23.911,22254,0
20070814,24.546,25.018,23.43,23.969,8279,0
20070816,22.843,22.843,20.11,21.833,7976,0
20070817,20.688,22.131,20.303,22.131,5610,0
20070820,22.131,23.093,22.121,22.612,10885,0
20070821,23.574,23.574,22.131,23.045,1471,0
20070822,23.382,23.574,22.958,23.574,10567,0
20070823,24.055,24.536,23.334,23.959,5377,0
20070824,23.949,23.949,23.584,23.911,4096,0
20070827,23.863,26.461,23.863,24.536,7118,0
20070828,24.998,24.998,23.382,23.949,3661,0
20070829,22.987,23.565,22.227,23.565,4804,0
20070830,24.527,24.536,23.286,23.853,2232,0
20070831,24.44,24.44,24.007,24.055,401,0
20070903,24.536,25.018,24.055,24.536,1284,0
20070904,25.018,25.018,24.055,24.536,645,0
20070905,25.008,25.008,23.093,23.959,3549,0
20070906,23.863,24.007,23.334,23.574,1141,0
20070907,24.007,24.007,22.804,23.093,1891,0
20070910,22.131,22.804,22.035,22.506,3603,0
20070911,22.506,22.756,22.035,22.756,1484,0
20070912,22.804,22.939,22.131,22.708,1882,0
20070913,22.612,22.612,22.131,22.612,839,0
20070914,22.978,22.978,22.131,22.593,1731,0
20070917,21.756,22.035,21.65,21.842,2817,0
20070918,21.842,21.842,21.072,21.833,5227,0
20070919,22.593,24.055,22.564,24.055,8177,0
20070920,24.527,24.527,23.295,23.959,1854,0
20070921,24.055,25.402,24.055,25.191,2738,0
20070924,25.354,25.354,24.536,25.21,1111,0
20070925,25.018,25.027,23.574,24.2,6051,0
20070926,24.036,24.44,23.603,24.44,1061,0
20070927,24.508,24.508,23.526,24.44,2659,0
20070928,24.411,24.825,23.69,24.623,5711,0
20071001,24.536,24.536,23.709,23.959,1749,0
20071002,24.623,24.623,23.295,24.248,3076,0
20071003,24.248,24.527,23.863,24.055,2427,0
20071004,23.574,24.296,23.574,24.296,1551,0
20071005,24.248,24.527,24.248,24.527,881,0
20071008,25.066,25.114,24.556,25.104,7392,0
20071009,25.393,25.393,24.729,25.152,853,0
20071010,25.152,25.306,24.729,25.114,1633,0
20071011,25.114,25.884,25.018,25.393,5592,0
20071012,25.393,25.393,24.921,25.018,6759,0
20071015,25.018,25.018,24.065,25.018,1388,0
20071016,25.018,25.018,24.825,24.825,541,0
20071017,25.018,25.018,24.055,24.825,1229,0
20071018,24.825,24.825,23.863,24.825,1425,0
20071019,24.825,24.825,23.286,24.536,192153,0
20071022,24.055,24.055,22.42,23.372,3404,0
20071023,22.901,25.018,22.901,23.863,1347,0
20071024,25.008,25.008,24.055,24.536,3915,0
20071025,24.777,24.777,23.093,23.959,7971,0
20071026,23.565,23.565,23.141,23.565,2770,0
20071029,23.565,23.565,23.189,23.42,6657,0
20071030,24.046,24.046,23.151,23.67,808,0
20071031,24.046,24.055,23.093,23.574,2025,0
20071102,23.103,23.661,23.093,23.574,2050,0
20071105,23.863,23.863,22.91,23.093,1101,0
20071106,22.997,22.997,22.323,22.323,1976,0
20071107,21.842,22.323,19.831,19.831,12411,0
20071108,19.677,19.677,17.897,19.138,22351,0
20071109,19.052,19.437,17.185,17.329,16906,0
20071112,17.224,17.791,16.993,17.32,4739,0
20071113,17.695,17.705,17.329,17.695,3124,0
20071114,17.695,18.474,17.695,18.167,10128,0
20071115,18.763,19.244,16.935,17.753,18605,0
20071116,17.753,18.523,17.608,18.474,16986,0
20071119,18.763,18.811,17.801,18.763,7923,0
20071120,19.225,19.225,17.378,18.648,10137,0
20071121,17.811,18.484,17.801,18.282,5377,0
20071122,17.724,18.754,17.724,18.754,2798,0
20071123,18.301,19.225,18.292,19.225,4509,0
20071126,19.244,19.244,18.426,19.148,2615,0
20071127,18.426,19.148,18.426,18.763,9706,0
20071128,19.196,19.437,19.196,19.417,2631,0
20071129,20.091,20.091,19.052,19.725,1130,0
20071130,20.206,20.678,19.725,20.678,3837,0
20071203,20.206,21.169,20.206,21.169,1394,0
20071204,20.409,21.457,20.409,21.428,1476,0
20071205,21.467,21.708,20.755,21.467,1746,0
20071206,22.169,22.169,21.361,22.131,585,0
20071207,22.323,22.333,22.323,22.323,1747,0
20071210,22.429,22.756,22.131,22.131,988,0
20071211,22.323,22.42,22.131,22.42,358,0
20071212,22.035,22.131,20.688,21.929,1289,0
20071213,22.66,22.766,21.929,22.699,3223,0
20071214,22.766,22.776,21.65,22.612,4449,0
20071217,22.583,22.583,20.784,22.112,386,0
20071218,20.447,22.025,20.303,21.746,4707,0
20071219,22.891,22.891,20.495,21.842,1357,0
20071220,21.794,21.938,20.553,21.938,2001,0
20071221,21.938,22.035,21.169,21.64,1645,0
20071227,21.938,21.938,19.725,21.631,864,0
20071228,21.65,21.65,18.282,18.282,1050,0
20080102,20.688,20.88,20.206,20.303,5607,0
20080103,21.592,21.592,20.11,20.678,2053,0
20080104,20.688,20.976,19.918,20.976,4841,0
20080107,20.187,20.957,19.725,20.688,1163,0
20080108,20.13,20.784,20.014,20.447,5738,0
20080109,20.264,20.264,18.936,19.687,3525,0
20080110,19.369,19.369,17.907,18.956,8797,0
20080111,18.763,19.244,18.282,19.148,2017,0
20080114,18.927,18.927,17.32,18.272,5876,0
20080115,18.715,18.811,17.955,17.955,1902,0
20080116,16.358,17.32,15.395,17.031,6950,0
20080117,17.127,17.897,17.002,17.753,1877,0
20080118,17.127,18.118,17.127,17.599,3552,0
20080121,16.646,17.753,16.56,17.31,2620,0
20080122,16.406,17.849,16.406,17.32,1944,0
20080123,17.791,17.801,17.022,17.301,894,0
20080124,17.801,18.282,17.56,18.282,21249,0
20080125,18.282,19.215,17.993,17.993,5263,0
20080128,18.186,18.186,16.839,17.512,4707,0
20080129,17.608,17.791,17.118,17.31,4994,0
20080130,17.012,17.32,16.694,17.108,3799,0
20080131,17.512,17.512,16.839,17.416,2714,0
20080201,17.705,18.282,17.32,17.464,3957,0
20080204,17.56,17.56,16.887,17.31,1363,0
20080205,17.637,17.637,16.743,17.32,1144,0
20080206,16.56,17.618,16.55,17.32,4101,0
20080207,17.32,17.32,17.32,17.32,850,0
20080208,18.282,18.282,17.32,17.32,2213,0
20080211,16.848,18.061,16.848,17.416,1803,0
20080212,17.32,18.09,17.32,18.09,1164,0
20080213,18.282,18.282,17.618,17.801,3336,0
20080214,18.186,18.186,17.32,17.897,1117,0
20080215,17.897,18.282,17.031,18.282,2356,0
20080218,18.186,18.186,18.186,18.186,20,0
20080219,18.234,18.234,18.186,18.186,114,0
20080220,18.234,18.282,17.58,17.993,2911,0
20080221,17.628,18.763,17.628,18.378,2513,0
20080222,18.282,18.282,17.907,17.907,2149,0
20080225,17.811,18.09,17.724,18.09,2426,0
20080226,18.09,18.186,17.416,17.868,2230,0
20080227,18.186,18.186,17.32,17.868,2232,0
20080228,17.32,17.849,17.32,17.849,541,0
20080229,17.32,17.32,17.224,17.224,1174,0
20080303,16.694,17.32,16.694,17.214,1652,0
20080304,16.752,17.204,16.752,17.204,478,0
20080305,17.272,17.464,16.839,17.224,3320,0
20080306,17.32,17.32,17.32,17.32,8,0
20080307,17.32,17.32,16.358,16.916,5023,0
20080310,17.079,17.079,16.646,16.906,814,0
20080311,16.906,16.906,16.877,16.887,1881,0
20080312,17.214,17.214,16.358,16.896,2419,0
20080313,17.464,17.464,16.358,17.176,1542,0
20080314,17.772,17.772,16.358,16.435,4641,0
20080317,16.348,16.348,15.395,15.723,5552,0
20080318,17.022,17.022,16.261,16.261,1928,0
20080319,16.483,16.483,15.54,15.973,1975,0
20080320,16.444,16.444,15.395,16.252,2259,0
20080325,16.252,16.589,16.252,16.589,2059,0
20080326,16.598,16.598,15.886,15.973,720,0
20080327,16.387,16.492,15.828,15.838,9645,0
20080328,16.358,16.358,15.877,16.358,3283,0
20080331,16.165,16.165,15.934,16.156,1091,0
20080401,16.261,16.261,15.598,15.598,4753,0
20080402,16.146,16.146,15.963,15.973,18603,0
20080403,15.684,16.069,15.684,15.963,325,0
20080404,15.925,16.156,15.925,16.156,31345,0
20080407,16.743,17.195,16.261,16.261,15989,0
20080408,17.378,17.406,16.839,17.214,4393,0
20080409,16.887,17.628,16.887,17.224,1366,0
20080410,17.272,17.272,16.117,17.166,3874,0
20080411,17.07,17.079,16.743,16.935,1496,0
20080414,16.964,16.964,15.915,16.396,2754,0
20080415,16.406,16.579,15.905,16.406,1668,0
20080416,16.454,16.454,15.588,16.261,946,0
20080417,16.358,16.358,15.684,16.358,439,0
20080418,16.396,16.396,15.655,16.156,910,0
20080421,15.405,15.877,15.001,15.877,62772,0
20080422,15.857,15.857,15.203,15.79,726,0
20080423,15.857,15.857,15.213,15.809,250,0
20080424,15.8,15.8,15.395,15.8,265,0
20080425,15.8,15.896,15.588,15.588,1296,0
20080428,15.867,15.867,15.838,15.838,99,0
20080429,15.444,15.857,15.415,15.857,416,0
20080430,15.848,15.848,15.848,15.848,10,0
20080505,15.848,15.848,15.444,15.848,844,0
20080506,15.963,15.963,15.386,15.386,1834,0
20080507,15.299,15.299,14.924,14.943,2575,0
20080508,14.924,14.924,14.01,14.01,853,0
20080509,14.953,15.203,14.77,15.155,105619,0
20080512,15.328,15.328,15.145,15.155,1108,0
20080513,15.588,15.588,14.914,15.569,70,0
20080514,15.54,15.54,15.54,15.54,390,0
20080515,15.395,15.492,15.395,15.492,1571,0
20080516,13.952,15.444,13.952,15.395,1260,0
20080519,14.818,15.251,14.549,15.193,1172,0
20080520,14.549,15.097,14.472,15.097,1731,0
20080521,14.895,14.895,14.481,14.876,2471,0
20080523,14.857,14.857,14.857,14.857,14,0
20080526,14.818,14.818,14.241,14.693,151,0
20080527,14.693,14.693,14.433,14.433,872,0
20080528,14.693,14.693,14.693,14.693,15,0
20080529,14.693,14.693,14.241,14.664,624,0
20080530,14.683,14.683,14.25,14.683,891,0
20080602,14.683,14.683,14.26,14.674,2732,0
20080603,14.693,14.703,14.395,14.693,1114,0
20080604,14.693,14.703,14.693,14.703,957,0
20080605,14.703,14.703,14.703,14.703,519,0
20080606,14.404,14.693,14.395,14.395,379,0
20080609,14.664,14.664,14.664,14.664,8,0
20080610,14.433,14.51,13.298,14.279,2704,0
20080611,13.586,14.241,13.519,14.231,2416,0
20080612,13.519,14.375,13.519,14.375,2385,0
20080613,14.375,14.375,14.087,14.375,751,0
20080616,14.375,14.375,14.145,14.375,1258,0
20080617,14.664,14.664,14.337,14.337,533,0
20080618,14.626,14.626,14.193,14.433,441,0
20080619,14.039,14.433,14.039,14.433,314,0
20080620,14.433,14.616,13.712,14.606,1169,0
20080623,14.606,14.606,14.308,14.587,606,0
20080624,14.597,14.597,14.289,14.289,600,0
20080625,14.327,14.327,14.029,14.318,422,0
20080626,14.327,14.327,14.01,14.01,1084,0
20080627,13.952,13.952,13.404,13.471,1298,0
20080630,13.942,13.942,13.471,13.471,7828,0
20080701,12.836,13.423,12.836,13.423,218,0
20080702,13.471,13.471,13.471,13.471,623,0
20080703,13.471,13.471,13.471,13.471,10,0
20080704,13.452,13.452,12.692,13.442,365,0
20080707,11.931,13.423,11.47,13.144,3446,0
20080708,11.383,11.547,11.171,11.547,3355,0
20080709,11.373,11.508,11.373,11.508,603,0
20080710,11.296,11.296,10.883,10.979,776,0
20080711,10.96,10.96,10.007,10.007,2971,0
20080714,9.632,9.882,9.2084,9.805,2582,0
20080715,9.718,10.103,9.3431,10.103,749,0
20080716,9.911,10.276,9.911,10.257,1836,0
20080717,10.257,10.729,10.257,10.584,2405,0
20080718,10.777,11.633,10.777,10.806,1952,0
20080721,11.518,11.518,10.815,10.873,2543,0
20080722,11.046,11.046,10.825,10.902,1089,0
20080723,11.017,11.431,10.873,11.431,1351,0
20080724,12.143,12.162,11.547,11.547,1503,0
20080725,10.873,11.547,10.709,11.547,473,0
20080728,12.403,12.403,11.354,12.105,1948,0
