Date,Open,High,Low,Close,Volume,OpenInt
20071030,6.2093,6.604,5.9221,6.1823,145775,0
20071031,6.1734,6.1734,5.967,5.967,24568,0
20071102,6.0118,6.1464,5.967,6.0567,27505,0
20071105,6.1734,6.1734,5.967,5.967,21433,0
20071106,6.0567,6.0567,6.0118,6.0567,14749,0
20071107,6.0567,6.0656,5.7427,5.7427,49155,0
20071108,5.7875,5.9131,5.2133,5.9131,36749,0
20071109,5.5183,5.9221,5.5183,5.9131,15972,0
20071112,6.1823,6.1823,5.5632,5.8324,12616,0
20071113,5.9221,5.949,5.8324,5.8324,58372,0
20071114,6.1913,6.1913,5.8324,6.0477,381,0
20071115,5.8324,5.949,5.4017,5.949,6418,0
20071116,5.8233,5.8324,5.8233,5.8324,1459,0
20071119,5.9221,5.949,5.9221,5.949,110,0
20071120,5.9221,5.9221,5.5991,5.5991,527,0
20071121,5.3209,5.3209,4.935,4.935,1605,0
20071122,4.935,4.935,4.935,4.935,780,0
20071123,4.4954,5.5543,4.4954,5.5543,502,0
20071126,5.9131,5.949,5.3838,5.3838,6609,0
20071127,5.3838,5.6439,5.3838,5.5183,950,0
20071128,5.2043,5.8324,5.2043,5.8324,13578,0
20071130,5.3389,6.0118,5.3389,6.0118,96894,0
20071203,6.0118,6.1913,5.8324,6.1913,36422,0
20071205,6.0029,6.1015,5.7067,6.0118,8849,0
20071206,6.0118,6.1823,6.0118,6.1823,10108,0
20071210,5.8233,6.0029,5.8233,5.8414,1147,0
20071211,5.8324,6.5054,5.8324,6.5054,84081,0
20071212,6.5233,6.5233,6.2989,6.4604,7330,0
20071213,6.2989,6.4515,6.2989,6.4515,947,0
20071214,6.2093,6.4604,5.8324,6.4604,113681,0
20071217,6.4515,6.4515,6.3439,6.3439,730,0
20071218,6.281,6.281,6.281,6.281,223,0
20071219,6.4604,6.4604,6.4604,6.4604,2229,0
20071220,6.4604,7.0886,6.4604,7.0886,24580,0
20071221,7.0886,7.6269,7.0886,7.3578,10418,0
20071227,7.3667,7.9859,7.3578,7.6269,6464,0
20071228,7.941,8.0755,7.6718,7.8961,22243,0
20080102,8.2102,8.2102,7.8961,8.0755,7471,0
20080103,7.9859,8.0755,7.6269,7.6269,6448,0
20080104,7.6269,7.6269,7.6269,7.6269,2082,0
20080107,7.4654,7.4654,6.9001,7.1783,5296,0
20080108,6.9091,6.9181,6.9091,6.9181,1871,0
20080109,6.5503,6.8194,6.3708,6.8194,7122,0
20080110,6.5503,6.6309,6.3708,6.6309,2567,0
20080111,6.5503,6.5503,6.2899,6.5054,3725,0
20080114,6.5323,6.5323,5.9221,6.281,6828,0
20080115,6.281,6.7297,6.281,6.4604,3373,0
20080116,6.1015,6.281,5.5632,6.1015,9227,0
20080117,5.9221,6.5503,5.9221,6.0118,42353,0
20080118,6.281,6.281,6.1015,6.1194,2563,0
20080121,6.281,6.281,5.5273,5.967,3541,0
20080122,6.1464,6.1464,5.8324,5.8324,670,0
20080123,6.1194,6.1464,5.8324,5.8324,20226,0
20080124,5.9221,6.4156,5.8324,6.4156,1979,0
20080125,7.0886,7.0886,6.326,6.4156,6343,0
20080128,6.4604,6.4604,5.9221,5.9849,1003,0
20080129,6.0747,6.7117,6.0118,6.0118,1697,0
20080130,6.1015,6.5323,5.8772,6.5323,4378,0
