Date,Open,High,Low,Close,Volume,OpenInt
20091028,13.625,16.393,13.625,14.556,8063,0
20091029,14.387,16.079,14.387,14.683,6583,0
20091030,15.656,15.656,14.81,14.886,8145,0
20091102,14.92,14.979,14.378,14.548,2358,0
20091103,14.378,14.556,13.921,14.378,1107,0
20091104,13.921,14.81,13.921,14.81,104,0
20091105,14.81,14.81,14.81,14.81,142,0
20091106,14.81,16.079,14.81,14.81,2170,0
20091109,14.81,15.148,14.81,14.81,1311,0
20091110,14.81,14.979,14.81,14.81,551,0
20091112,14.81,14.81,14.725,14.725,265,0
20091116,14.725,14.725,14.725,14.725,380,0
20091118,14.641,14.725,14.641,14.641,40,0
20091119,14.573,14.573,14.395,14.395,154,0
20091123,14.81,14.81,14.81,14.81,236,0
20091124,14.81,14.81,14.81,14.81,118,0
20091125,14.81,14.81,14.768,14.768,4,0
20091126,13.295,14.641,13.295,14.641,8651,0
20091203,13.202,14.378,13.202,14.378,2719,0
20091204,13.473,14.378,13.473,14.378,226,0
20091217,14.048,14.387,14.048,14.387,224,0
20091218,13.244,14.387,13.244,14.387,1131,0
20091221,14.387,14.387,14.387,14.387,513,0
20091228,14.387,14.387,14.387,14.387,522,0
20091229,14.387,14.387,14.387,14.387,36,0
20091231,14.387,14.387,14.387,14.387,1574,0
20100104,13.126,14.378,13.126,14.378,92,0
20100105,13.549,13.71,13.54,13.71,1110,0
20100106,13.71,13.71,13.71,13.71,296,0
20100107,13.964,13.964,13.71,13.955,266,0
20100108,13.54,13.668,13.54,13.668,355,0
20100112,13.126,13.532,13.117,13.515,12376,0
20100113,13.701,13.701,13.693,13.693,77,0
20100114,13.117,13.684,13.117,13.684,11852,0
20100115,13.54,13.54,13.54,13.54,116,0
20100122,12.66,13.54,12.66,13.54,143,0
20100126,13.532,13.532,13.532,13.532,58,0
20100202,12.533,13.524,12.533,13.524,177,0
20100205,12.559,12.559,12.55,12.55,300,0
20100216,12.533,12.533,12.533,12.533,97,0
20100222,11.848,12.102,11.848,12.102,176,0
20100226,12.525,12.542,12.525,12.542,233,0
20100302,12.61,12.61,12.61,12.61,83,0
20100304,12.694,12.694,12.694,12.694,47,0
20100310,12.694,12.694,12.694,12.694,1016,0
20100311,12.271,12.271,12.271,12.271,47,0
20100312,12.694,13.447,12.694,13.447,5011,0
20100315,13.54,13.54,13.54,13.54,480,0
20100317,14.218,14.378,14.133,14.133,416,0
20100318,14.378,14.387,14.345,14.345,3240,0
20100329,13.117,14.345,13.117,14.345,237,0
20100330,14.345,14.378,14.345,14.378,193,0
20100331,14.388,14.388,14.26,14.26,1158,0
20100401,14.294,14.302,14.294,14.302,2,0
20100406,14.26,14.26,13.879,13.964,605,0
20100412,13.54,13.921,13.414,13.71,758,0
