Date,Open,High,Low,Close,Volume,OpenInt
20060817,19.05,19.15,18.8,19,355683,0
20060818,19,19.1,18.9,19.05,69048,0
20060821,19.1,19.1,18,18.5,6319,0
20060822,18,18.1,17.7,17.7,4191,0
20060823,18,18.5,17.9,18.4,5465,0
20060824,18.6,18.6,18,18.2,3111,0
20060825,17.9,18.2,17.9,18,5392,0
20060828,17.6,18.2,17.6,17.8,1414,0
20060829,18,18.2,17.9,18.2,2000,0
20060830,17.9,18.1,17.7,18.1,5387,0
20060831,18.1,18.4,18,18,7233,0
20060901,17.95,18.15,17.9,18.15,6047,0
20060904,18.1,18.8,18,18.01,4478,0
20060905,18.15,18.5,18.01,18.2,3381,0
20060906,18.2,18.5,17.71,18,7023,0
20060907,18.39,18.4,18.15,18.3,2400,0
20060908,18.3,18.3,18.1,18.2,6022,0
20060911,18.22,18.29,17.6,18.29,2759,0
20060912,18.29,18.4,18.05,18.1,10117,0
20060913,17.9,18.5,17.9,18.3,23678,0
20060914,18.35,18.35,18.21,18.21,2110,0
20060915,18.05,18.19,17.95,18.05,4550,0
20060918,18.05,18.05,17.9,17.9,2451,0
20060919,17.91,17.91,17.61,17.75,4128,0
20060920,17.6,18.3,17.6,18,26261,0
20060921,18,18.3,18,18.1,6100,0
20060922,18.3,18.3,18.09,18.1,4224,0
20060925,18.2,18.29,17.87,18.2,18351,0
20060926,18.18,18.7,18.18,18.69,41222,0
20060927,18.8,19.1,18.54,18.8,34922,0
20060928,18.95,19.4,18.82,19.1,54327,0
20060929,19.2,19.21,19,19,2100,0
20061002,18.9,19.2,18.9,19,32072,0
20061003,19,19,18.6,19,62210,0
20061004,19,19,18.62,18.62,11239,0
20061005,18.94,18.94,18.5,18.76,653,0
20061006,18.99,19.18,18.98,19.18,74097,0
20061009,19.2,19.2,18.71,19,30213,0
20061010,19,19.11,18.81,18.81,1929,0
20061011,19,19,18,18,21867,0
20061012,18.2,18.99,18.01,18.25,2791,0
20061013,18.06,18.89,18.05,18.7,3162,0
20061016,18.7,18.9,18.37,18.79,46120,0
20061017,18.97,19.03,18.79,19,85237,0
20061018,19.05,19.35,19,19.24,135103,0
20061019,19.4,21.3,19.39,20.86,97813,0
20061020,20.83,21.5,20.83,21.3,105889,0
20061023,21.38,21.38,20.91,21,25812,0
20061024,21.11,21.25,21,21.19,111776,0
20061025,21.26,21.26,20.5,20.85,11472,0
20061026,21,21,20.78,20.98,29807,0
20061027,20.89,20.9,20.78,20.9,761,0
20061030,20.05,20.52,19.99,20,5363,0
20061031,19.99,20,19.11,20,18231,0
20061102,19.13,19.95,19.13,19.9,4027,0
20061103,19.25,19.7,19.02,19.49,6538,0
20061106,19.45,19.45,18.9,18.9,3295,0
20061107,18.99,19.49,18.61,19.35,18869,0
20061108,19.3,19.3,17.86,18.27,28036,0
20061109,18.3,19,18.3,18.55,11800,0
20061110,18.11,18.95,18.05,18.93,11845,0
20061113,18.9,19.05,18.61,18.71,43066,0
20061114,18.6,18.87,18.05,18.05,106571,0
20061115,18.11,18.13,17.4,17.48,13118,0
20061116,17.8,18.5,17.2,17.5,8716,0
20061117,17.8,17.8,17.3,17.5,5681,0
20061120,17.8,17.88,17.5,17.5,3390,0
20061121,17.88,18.25,17.41,17.41,2244,0
20061122,17.34,17.6,17.34,17.5,16102,0
20061123,18,18,17.6,17.65,33639,0
20061124,17.94,17.94,17.51,17.88,996,0
20061127,17.9,17.9,17.49,17.8,2727,0
20061128,17.58,17.58,17.3,17.3,1754,0
20061129,17.27,17.3,16,17.2,7073,0
20061130,17,17.87,17,17.75,34207,0
20061201,17.87,17.87,17.5,17.87,17023,0
20061204,17.99,18.3,17.91,18,33985,0
20061205,18.1,19.65,18,19,80602,0
20061206,19.38,19.75,19.38,19.73,98353,0
20061207,19.52,19.95,18.06,18.4,90665,0
20061208,19,19,18.4,18.4,8921,0
20061211,18.95,18.98,18.25,18.25,11461,0
20061212,18.26,18.9,17.7,18.79,6125,0
20061213,18.9,18.9,17.9,18.73,7681,0
20061214,18.71,18.75,18,18.5,7841,0
20061215,18.7,18.7,17.7,18.19,26800,0
20061218,18.47,18.47,17.91,18.18,1970,0
20061219,18.2,18.34,17.51,17.93,4042,0
20061220,17.89,17.9,16.6,17.38,8855,0
20061221,17.3,17.3,16.61,16.99,22942,0
20061222,17.2,17.2,16.61,17,9562,0
20061227,17.5,17.5,16.9,17,6879,0
20061228,17.14,17.14,16.9,17,8444,0
20061229,17.2,17.2,16.85,17.09,12614,0
20070102,17.15,17.39,17,17.15,56713,0
20070103,17.45,17.45,17.07,17.07,15630,0
20070104,17.1,17.1,16.9,16.95,30456,0
20070105,17,17,16.5,16.65,4387,0
20070108,16.65,16.65,16.5,16.6,3767,0
20070109,16.65,16.65,16.49,16.6,4294,0
20070110,16.65,16.65,16.5,16.65,2945,0
20070111,16.6,16.95,16.5,16.6,3402,0
20070112,16.5,16.65,16.05,16.36,4789,0
20070115,16.39,16.73,16.36,16.49,18370,0
20070116,16.49,16.9,16.3,16.4,15271,0
20070117,16.5,17.18,16.5,17.15,7934,0
20070118,17.15,17.77,16.9,16.9,20247,0
20070119,17.15,17.15,16.32,16.8,4757,0
20070122,16.78,16.78,16.3,16.5,37511,0
20070123,16.5,16.55,15.5,16.4,54818,0
20070124,17,17,16.2,16.2,5676,0
20070125,16.2,16.2,15.66,15.9,9421,0
20070126,15.5,15.9,15.5,15.8,42856,0
20070129,15.9,16.1,15.55,15.95,5153,0
20070130,16.3,16.3,15.8,15.99,10865,0
20070131,16.19,16.19,15.7,15.9,11575,0
20070201,16,16,15.65,15.65,12824,0
20070202,15.66,15.7,15.2,15.4,6378,0
20070205,15.4,15.4,14.7,15,15110,0
20070206,14.8,15.22,14.8,14.85,5851,0
20070207,15.1,15.12,14.9,15.1,7532,0
20070208,15.2,15.22,14.8,14.8,13295,0
20070209,14.79,15.22,14.78,14.9,14685,0
20070212,14.99,15,14.8,14.85,3157,0
20070213,14.65,14.89,14.44,14.44,9371,0
20070214,14.5,14.7,14.35,14.7,8489,0
20070215,14.8,15.03,14.74,15.03,2631,0
20070216,15.05,15.6,14.85,15.55,24563,0
20070219,15.65,16.18,15.56,16.18,15292,0
20070220,16.25,16.34,16.1,16.2,71743,0
20070221,16.34,16.34,15.3,15.55,11339,0
20070222,15.55,15.93,15.55,15.75,2622,0
20070223,15.95,15.95,15.65,15.85,1347,0
20070226,15.96,16.22,15.5,16.22,7536,0
20070227,16.42,16.42,15,15.29,5267,0
20070228,14.9,15.5,14.26,15.29,19858,0
