Date,Open,High,Low,Close,Volume,OpenInt
20091023,14.052,14.279,13.69,13.962,126135,0
20091026,14.043,14.043,13.835,13.871,18851,0
20091027,13.871,14.125,13.69,14.125,76082,0
20091028,14.043,14.043,13.681,13.699,15952,0
20091029,13.708,13.708,13.236,13.427,27604,0
20091030,13.273,13.418,13.236,13.327,20737,0
20091102,13.418,13.418,13.282,13.327,29552,0
20091103,13.327,13.59,13.146,13.463,5658,0
20091104,13.554,13.554,13.327,13.327,6160,0
20091105,13.191,13.59,13.191,13.209,6508,0
20091106,13.236,13.481,13.1,13.472,5316,0
20091109,13.2,14.052,13.2,13.708,12836,0
20091110,13.916,13.916,13.617,13.78,10885,0
20091112,13.735,13.78,13.581,13.581,13017,0
20091113,13.644,13.69,13.644,13.69,1120,0
20091116,13.871,13.998,13.608,13.717,12051,0
20091117,13.617,13.69,13.599,13.599,2904,0
20091118,13.599,13.599,13.327,13.418,8528,0
20091119,13.372,13.454,13.263,13.282,5926,0
20091120,13.372,13.472,13.245,13.472,1567,0
20091123,13.236,13.327,13.236,13.291,201,0
20091124,13.291,13.363,13.245,13.282,3422,0
20091125,13.282,13.318,13.155,13.155,2792,0
20091126,13.227,13.227,12.964,13.055,1626,0
20091127,12.692,13.037,12.602,13.019,27526,0
20091130,12.747,13.146,12.647,13.01,12291,0
20091201,12.874,12.91,12.71,12.865,11829,0
20091202,12.865,12.874,12.692,12.865,41745,0
20091203,12.701,13.463,12.692,13.463,42466,0
20091204,13.445,13.599,13.155,13.572,9282,0
20091207,13.572,13.572,13.327,13.499,9630,0
20091208,13.581,14.723,13.581,14.342,407860,0
20091209,14.524,15.095,14.46,14.959,228754,0
20091210,15.131,15.158,14.614,14.687,46762,0
20091211,14.778,14.859,14.551,14.714,41028,0
20091214,14.605,14.732,14.415,14.596,38433,0
20091215,14.542,14.687,14.542,14.651,32642,0
20091216,14.542,14.759,14.515,14.759,71330,0
20091217,14.732,14.859,14.551,14.678,74600,0
20091218,14.732,14.732,14.397,14.687,70029,0
20091221,14.687,14.732,14.642,14.642,21435,0
20091222,14.642,14.651,14.46,14.642,41526,0
20091223,14.669,14.669,14.469,14.66,9899,0
20091228,14.642,14.678,14.596,14.642,6257,0
20091229,14.614,14.759,14.56,14.642,10239,0
20091230,14.596,14.75,14.596,14.678,2174,0
20091231,14.651,14.687,14.551,14.642,1820,0
20100104,14.642,14.732,14.424,14.687,34934,0
20100105,14.741,14.859,14.596,14.778,43573,0
20100106,14.75,14.778,14.66,14.687,52759,0
20100107,14.778,14.778,14.46,14.506,13853,0
20100108,14.587,14.587,14.025,14.025,26031,0
20100111,14.043,14.234,13.69,13.717,134450,0
20100112,13.717,13.826,13.508,13.671,66632,0
20100113,13.69,14.415,13.662,14.333,486457,0
20100114,14.506,14.506,14.052,14.052,60004,0
20100115,14.052,14.324,13.789,14.143,3985,0
20100118,14.27,14.687,14.234,14.56,114153,0
20100119,14.56,14.587,14.342,14.506,12159,0
20100120,14.542,14.542,14.27,14.279,18416,0
20100121,14.324,14.324,14.143,14.143,29199,0
20100122,14.098,14.234,14.07,14.079,14657,0
20100125,14.134,14.388,13.853,14.288,10150,0
20100126,14.061,14.288,13.835,14.188,10126,0
20100127,14.188,14.406,14.052,14.388,3233,0
20100128,14.379,14.687,14.188,14.506,749368,0
20100129,14.503,14.59,14.416,14.571,15008,0
20100201,14.578,14.578,14.415,14.551,14687,0
20100202,14.551,15.104,14.551,14.913,283317,0
20100203,14.904,15.575,14.759,15.503,92081,0
20100204,15.594,15.865,15.249,15.258,76015,0
20100205,15.14,15.195,14.741,15.195,53429,0
20100208,14.959,15.566,14.787,15.195,26232,0
20100209,15.367,15.412,15.05,15.321,13147,0
20100210,15.403,15.412,15.05,15.05,30837,0
20100211,15.231,15.358,15.122,15.276,6873,0
20100212,15.367,15.639,15.367,15.412,233257,0
20100215,15.457,16.092,15.457,15.865,54958,0
20100216,16.001,16.092,15.757,15.775,48057,0
20100217,15.911,16.228,15.811,16.228,32565,0
20100218,16.319,16.545,16.056,16.455,45306,0
20100219,16.147,16.5,16.147,16.455,22061,0
20100222,16.836,16.836,16.319,16.681,68132,0
20100223,16.899,16.908,16.409,16.772,23428,0
20100224,16.727,16.772,16.346,16.346,18019,0
20100225,16.573,16.854,16.337,16.709,132507,0
20100226,16.645,17.525,16.645,17.135,47867,0
20100301,17.225,17.588,17.053,17.398,26714,0
20100302,17.316,17.679,17.135,17.334,173261,0
20100303,17.515,17.67,17.135,17.135,33418,0
20100304,16.953,16.953,16.5,16.6,35370,0
20100305,16.645,18.041,16.5,18.041,117509,0
20100308,18.05,18.812,17.878,18.594,228042,0
20100309,18.594,19.039,18.585,18.857,45768,0
20100310,18.948,19.628,18.948,19.175,56591,0
20100311,19.265,19.265,18.676,18.721,27105,0
20100312,18.857,19.256,18.676,18.857,38817,0
20100315,18.875,18.875,17.053,18.132,78081,0
20100316,18.132,18.241,17.951,18.087,80409,0
20100317,18.313,18.313,17.887,18.005,66688,0
20100318,17.86,17.905,17.407,17.534,81328,0
20100319,17.534,17.86,17.488,17.815,19401,0
20100322,17.86,17.942,17.434,17.769,55162,0
20100323,17.797,18.068,17.724,17.905,49978,0
20100324,17.914,18.087,17.588,17.697,12185,0
20100325,17.697,17.933,17.497,17.769,17294,0
20100326,17.76,17.76,17.316,17.425,48350,0
20100329,17.271,17.307,16.817,16.953,101208,0
20100330,16.899,17.216,16.736,16.908,98301,0
20100331,16.817,16.913,16.1,16.187,67867,0
20100401,16.21,16.772,16.137,16.21,169044,0
20100406,16.591,16.591,15.775,15.865,67249,0
20100407,15.911,15.911,15.321,15.684,71616,0
20100408,15.548,15.63,15.467,15.485,27720,0
20100409,15.575,16.047,15.34,15.947,34885,0
20100412,16.001,16.382,16.001,16.292,38876,0
20100413,16.428,16.5,15.222,15.321,181495,0
20100414,15.403,15.711,15.321,15.711,26729,0
20100415,15.684,15.757,15.521,15.72,20348,0
20100416,15.729,15.729,15.494,15.693,9882,0
20100419,15.258,15.258,14.832,15.14,39162,0
20100420,15.14,15.503,14.959,15.503,10914,0
20100421,15.548,15.72,15.013,15.013,24036,0
20100422,15.068,15.231,14.868,14.868,16099,0
20100423,14.88,15.219,14.871,15.171,9192,0
20100426,15.231,15.548,15.231,15.43,12193,0
20100427,15.421,15.43,15.321,15.394,5260,0
20100428,15.149,15.167,15.031,15.031,12725,0
20100429,15.267,15.267,14.868,14.913,41202,0
20100430,15.355,15.355,14.048,14.764,21654,0
20100504,14.895,14.895,14.324,14.46,20837,0
20100505,14.143,14.324,13.971,14.052,50690,0
20100506,14.052,14.406,13.998,14.234,23084,0
20100507,13.708,13.953,13.69,13.817,27697,0
20100510,14.052,14.959,14.052,14.959,26719,0
20100511,14.941,14.941,14.605,14.678,8404,0
20100512,14.687,15.095,14.678,14.768,21932,0
20100513,15.231,15.394,15.176,15.285,29997,0
20100514,15.312,15.312,14.959,14.959,11841,0
