Date,Open,High,Low,Close,Volume,OpenInt
20120528,2.3962,2.3962,1.8718,1.9622,107410,0
20120529,1.9622,2.0346,1.5915,1.8085,18535,0
20120530,1.7181,1.7543,1.6729,1.7543,119367,0
20120531,1.6857,1.7141,1.4489,1.5815,302820,0
20120601,1.6187,1.6187,1.5463,1.5463,54415,0
20120604,1.5282,1.5282,1.3926,1.501,207209,0
20120605,1.4489,1.5342,1.3542,1.3732,65391,0
20120606,1.3448,1.4489,1.3448,1.4016,30286,0
20120608,1.3654,1.3654,1.266,1.266,26873,0
20120611,1.275,1.275,1.2207,1.266,353239,0
20120612,1.266,1.2841,1.2207,1.266,385723,0
20120613,1.2841,1.2841,1.2298,1.2569,57838,0
20120614,1.266,1.266,1.2298,1.2298,119767,0
20120615,1.269,1.288,1.2406,1.288,104425,0
20120618,1.3112,1.3383,1.2931,1.3022,245997,0
20120619,1.3292,1.3292,1.3202,1.3202,26210,0
20120620,1.3564,1.4016,1.3564,1.3564,11371,0
20120621,1.4016,1.4378,1.4016,1.4197,142705,0
20120622,1.4489,1.4489,1.3542,1.4395,353205,0
20120625,1.4829,1.4829,1.3654,1.3654,102967,0
20120626,1.3473,1.4649,1.3473,1.3564,52569,0
20120627,1.3353,1.3542,1.3069,1.3069,206358,0
20120628,1.3542,1.3921,1.3069,1.3921,10511,0
20120629,1.43,1.43,1.43,1.43,40388,0
20120703,1.3448,1.4395,1.3448,1.3542,2488,0
20120704,1.3542,1.4016,1.3542,1.4016,78099,0
20120705,1.3637,1.4489,1.3353,1.4205,386359,0
20120706,1.4111,1.4205,1.4016,1.4016,24121,0
20120709,1.4205,1.4205,1.4111,1.4205,3046,0
20120710,1.4111,1.4111,1.3258,1.3258,2198,0
20120711,1.3353,1.3732,1.3258,1.3637,7284,0
20120712,1.3637,1.3637,1.3353,1.3353,1269,0
20120713,1.3353,1.3353,1.3353,1.3353,2321,0
20120716,1.3353,1.3353,1.3353,1.3353,950,0
20120717,1.3353,1.3353,1.269,1.269,333188,0
20120718,1.288,1.288,1.288,1.288,1690,0
20120719,1.2501,1.2501,1.2501,1.2501,1,0
20120720,1.2785,1.2785,1.2595,1.2595,27496,0
20120723,1.2501,1.2501,1.2501,1.2501,6093,0
20120724,1.2311,1.2974,1.2311,1.2974,153552,0
20120725,1.2501,1.2785,1.2501,1.2785,211191,0
20120726,1.3069,1.3069,1.2311,1.2785,8839,0
20120727,1.288,1.3069,1.288,1.3069,6547,0
20120730,1.3069,1.3069,1.3069,1.3069,17244,0
