Date,Open,High,Low,Close,Volume,OpenInt
20040109,1.5527,1.6476,1.5454,1.6111,8023683,0
20040112,1.6037,1.6037,1.5089,1.5527,632873,0
20040113,1.5454,1.5819,1.5162,1.5745,1008332,0
20040114,1.5454,1.5527,1.5309,1.5309,92229,0
20040115,1.5162,1.5381,1.5162,1.5381,132243,0
20040116,1.5381,1.5381,1.4871,1.4944,192690,0
20040119,1.4944,1.4944,1.436,1.436,332795,0
20040120,1.4434,1.4725,1.4434,1.4434,167947,0
20040121,1.4434,1.4798,1.4434,1.4725,313887,0
20040122,1.4579,1.4871,1.4579,1.4871,59964,0
20040123,1.4944,1.5673,1.4871,1.5162,206244,0
20040126,1.5454,1.5454,1.5309,1.5381,60923,0
20040127,1.56,1.5673,1.5016,1.5016,402594,0
20040128,1.5089,1.5089,1.4725,1.4798,44749,0
20040129,1.4579,1.4725,1.4579,1.4652,158396,0
20040130,1.4579,1.4798,1.4579,1.4798,163298,0
20040202,1.4871,1.4944,1.4798,1.4944,88709,0
20040203,1.4944,1.5089,1.4798,1.4798,57458,0
20040204,1.4798,1.5016,1.4725,1.5016,71773,0
20040205,1.5162,1.5162,1.4579,1.4725,104375,0
20040206,1.4579,1.4798,1.4579,1.4579,43931,0
20040209,1.5089,1.5089,1.4798,1.5016,106320,0
20040210,1.5016,1.5162,1.5016,1.5162,120466,0
20040211,1.4944,1.5162,1.4944,1.5089,89947,0
20040212,1.5162,1.5162,1.5016,1.5089,12707,0
20040213,1.5089,1.5309,1.4944,1.5016,82958,0
20040216,1.4798,1.5016,1.4798,1.5016,6765,0
20040217,1.5089,1.5454,1.5089,1.5454,87524,0
20040218,1.5454,1.5673,1.5454,1.5673,148644,0
20040219,1.5454,1.56,1.5309,1.5454,105897,0
20040220,1.5162,1.5819,1.5162,1.5819,98345,0
20040223,1.56,1.6037,1.56,1.5819,66955,0
20040224,1.5891,1.6037,1.5673,1.5964,282665,0
20040225,1.5964,1.662,1.5964,1.662,136894,0
20040226,1.6547,1.8079,1.6547,1.7859,431308,0
20040227,1.8006,1.8006,1.7277,1.8006,295907,0
20040301,1.8296,1.8444,1.7203,1.8224,368047,0
20040302,1.8224,1.8224,1.7859,1.8151,316141,0
20040303,1.8006,1.8079,1.7859,1.7859,72815,0
20040304,1.7714,1.7714,1.7422,1.7568,138782,0
20040305,1.7349,1.7568,1.7349,1.7495,197874,0
20040308,1.7495,1.7641,1.6839,1.7641,313858,0
20040309,1.7349,1.7495,1.7203,1.7203,20626,0
20040310,1.6839,1.7203,1.6839,1.7057,124551,0
20040311,1.6983,1.6983,1.6983,1.6983,101697,0
20040312,1.6766,1.7203,1.6766,1.7203,25782,0
20040315,1.7203,1.7203,1.5891,1.6547,61178,0
20040316,1.6111,1.6912,1.6111,1.6839,11666,0
20040317,1.6912,1.7203,1.6912,1.7203,47369,0
20040318,1.7349,1.7349,1.6983,1.6983,10370,0
20040319,1.6983,1.6983,1.6476,1.6693,38239,0
