Date,Open,High,Low,Close,Volume,OpenInt
20040928,1.6016,1.6016,1.4744,1.5413,2995204,0
20040929,1.5346,1.588,1.5082,1.5617,380767,0
20040930,1.5549,1.5617,1.5413,1.5617,240215,0
20041001,1.5684,1.5684,1.5481,1.5549,139689,0
20041004,1.5481,1.5549,1.5413,1.5481,261084,0
20041005,1.5279,1.5413,1.5082,1.5413,315575,0
20041006,1.5143,1.5413,1.5143,1.5413,599831,0
20041007,1.5082,1.5279,1.5082,1.5143,60260,0
20041008,1.4947,1.4947,1.4609,1.4609,52084,0
20041011,1.421,1.421,1.3105,1.3105,140911,0
20041012,1.3067,1.3134,1.2736,1.2803,89745,0
20041013,1.2766,1.3134,1.2736,1.2931,71307,0
20041014,1.3067,1.3067,1.2736,1.2872,97442,0
20041015,1.3067,1.4007,1.3067,1.354,167060,0
20041018,1.354,1.3803,1.3472,1.3668,66413,0
20041019,1.3472,1.4007,1.3472,1.3871,54664,0
20041020,1.3608,1.3871,1.3608,1.3871,5809,0
20041021,1.3871,1.3939,1.3608,1.3871,8654,0
20041022,1.3472,1.3871,1.3067,1.3871,103065,0
20041025,1.3803,1.421,1.3736,1.4075,121264,0
20041026,1.3803,1.4075,1.3803,1.4075,34047,0
20041027,1.4142,1.488,1.4142,1.4812,72423,0
20041028,1.4744,1.4812,1.4744,1.4812,49836,0
20041029,1.4947,1.5346,1.4947,1.521,31811,0
20041102,1.5279,1.5279,1.5082,1.5082,99596,0
20041103,1.488,1.5082,1.4473,1.4744,117170,0
20041104,1.4744,1.4744,1.4473,1.4473,8309,0
20041105,1.4609,1.4609,1.4473,1.4473,2234,0
20041108,1.4609,1.4744,1.4345,1.4473,37328,0
20041109,1.4345,1.4406,1.4075,1.4278,36862,0
20041110,1.4345,1.4406,1.4278,1.4406,61085,0
20041112,1.4541,1.4541,1.4406,1.4473,69950,0
20041116,1.4345,1.4609,1.4278,1.4473,56631,0
20041117,1.4142,1.4406,1.4142,1.4406,42315,0
20041118,1.3803,1.4278,1.3803,1.421,48455,0
20041119,1.4406,1.4406,1.4142,1.4406,41796,0
20041122,1.4406,1.4473,1.4406,1.4406,21110,0
20041123,1.4345,1.4406,1.3803,1.421,20525,0
20041124,1.3871,1.4075,1.3871,1.4075,22359,0
20041125,1.4142,1.421,1.4075,1.421,12522,0
20041129,1.3668,1.421,1.3668,1.421,71293,0
20041130,1.421,1.4278,1.421,1.4278,26361,0
20041201,1.3939,1.4406,1.3939,1.4345,32424,0
20041202,1.4345,1.4406,1.4345,1.4406,132109,0
20041203,1.4473,1.5279,1.421,1.5015,329706,0
20041206,1.4744,1.4744,1.4744,1.4744,31239,0
20041207,1.4473,1.4473,1.4473,1.4473,746,0
20041208,1.4075,1.4609,1.4075,1.4345,13932,0
20041209,1.4677,1.4744,1.4406,1.4541,154844,0
20041210,1.4541,1.4609,1.4541,1.4609,21467,0
20041213,1.4609,1.4812,1.4609,1.4744,83071,0
20041214,1.4677,1.4744,1.4677,1.4744,126820,0
20041215,1.4812,1.4812,1.4406,1.4406,13958,0
20041216,1.4541,1.488,1.4541,1.488,562713,0
20041217,1.488,1.488,1.4744,1.4744,8947,0
20041220,1.4744,1.488,1.4677,1.488,159789,0
20041221,1.4677,1.4812,1.4609,1.4744,51313,0
20041222,1.4677,1.4677,1.4677,1.4677,11644,0
20041224,1.4744,1.4744,1.4744,1.4744,10848,0
20041227,1.4947,1.5082,1.488,1.5082,98971,0
20041228,1.5143,1.5143,1.4812,1.5143,288801,0
20041229,1.5143,1.5617,1.5143,1.5346,554670,0
20041230,1.5481,1.5481,1.5279,1.5481,152943,0
20041231,1.5413,1.5617,1.5413,1.5617,434660,0
20050103,1.5684,1.582,1.5684,1.5684,8668,0
20050104,1.582,1.7354,1.582,1.7091,786005,0
20050105,1.7091,1.7091,1.6422,1.6618,123589,0
20050106,1.6618,1.7354,1.6354,1.6887,145471,0
20050107,1.7091,1.7294,1.6887,1.6887,56431,0
20050110,1.7091,1.7091,1.6558,1.682,45875,0
20050111,1.682,1.7422,1.6752,1.7422,264064,0
20050112,1.7422,1.7422,1.7227,1.7422,81690,0
20050113,1.7422,1.7761,1.7422,1.7761,51088,0
20050114,1.7761,1.8091,1.7489,1.8091,92325,0
20050117,1.7829,1.8091,1.7829,1.8091,66747,0
20050118,1.8031,1.8031,1.7294,1.7558,14650,0
20050119,1.7158,1.7422,1.7091,1.7091,43883,0
20050120,1.7091,1.7227,1.682,1.6887,17149,0
20050121,1.6955,1.7023,1.682,1.7023,53534,0
20050124,1.7294,1.7422,1.682,1.7294,64354,0
20050125,1.7422,1.7625,1.7354,1.7625,80107,0
20050126,1.7761,1.7895,1.7354,1.7693,33062,0
20050127,1.7625,1.7625,1.7354,1.7354,114191,0
20050128,1.7558,1.7761,1.7558,1.7761,3826,0
20050131,1.7829,1.843,1.7761,1.843,97696,0
20050201,1.8498,1.9634,1.8498,1.9371,95009,0
