Date,Open,High,Low,Close,Volume,OpenInt
20110708,1.15,1.22,1.15,1.2,46042,0
20110711,1.22,1.22,1.18,1.19,36967,0
20110712,1.19,1.19,1.12,1.17,20329,0
20110713,1.17,1.17,1.15,1.15,32170,0
20110714,1.17,1.17,1.13,1.17,17289,0
20110715,1.17,1.17,1.13,1.16,600,0
20110718,1.17,1.17,1.14,1.15,2636,0
20110719,1.14,1.14,1.08,1.14,3723,0
20110720,1.16,1.17,1.13,1.17,24861,0
20110721,1.14,1.16,1.14,1.16,28610,0
20110722,1.16,1.16,1.05,1.06,18751,0
20110725,1.14,1.14,1.1,1.14,347,0
20110726,1.14,1.14,1.12,1.14,1000053,0
20110727,1.14,1.15,1.14,1.15,1255,0
20110728,1.1,1.14,1.1,1.14,1460,0
20110729,1.15,1.15,1.14,1.15,552,0
20110801,1.15,1.15,1.14,1.14,1265,0
20110802,1.14,1.14,1.1,1.14,2044,0
20110803,1.14,1.14,1.07,1.13,2583,0
20110804,1.14,1.14,1.14,1.14,43,0
20110805,1.14,1.14,1.04,1.1,4682,0
20110808,1.14,1.14,1,1,9100,0
20110809,1,1.05,0.9,0.9,14839,0
20110810,0.9,0.91,0.9,0.9,14425,0
20110811,0.94,0.94,0.94,0.94,1000,0
20110812,1,1,0.95,0.98,2758,0
20110816,0.95,0.98,0.95,0.98,2128,0
20110817,1,1,1,1,400,0
20110818,1,1.07,0.98,1.05,2492,0
20110819,0.99,0.99,0.99,0.99,7626,0
20110822,1.1,1.1,1.1,1.1,50,0
20110823,1.09,1.09,1.02,1.02,4165,0
20110824,1.06,1.06,1.03,1.03,5847,0
20110825,1.05,1.05,0.96,1.04,5900,0
20110826,1.04,1.04,1.04,1.04,50,0
20110829,1.04,1.04,0.95,1.02,750,0
20110830,1.02,1.02,0.93,0.98,9683,0
20110831,1.03,1.03,1,1,107,0
20110901,1,1.17,0.98,1.14,18189,0
20110902,1.08,1.17,1.08,1.14,18896,0
20110905,1.15,1.15,1,1,72379,0
20110906,1,1.1,0.94,1.08,18350,0
20110907,1.1,1.17,1.01,1.04,46121,0
20110908,1.06,1.1,0.98,1.05,17282,0
20110909,1.14,1.14,1.03,1.1,17532,0
20110912,1.11,1.11,0.94,0.98,63588,0
20110913,0.99,1.04,0.92,0.92,30340,0
20110914,0.92,0.97,0.92,0.97,1065,0
20110915,0.9,1,0.9,0.96,8093,0
20110916,0.97,0.97,0.9,0.92,16221,0
20110919,0.96,0.96,0.91,0.91,850,0
20110920,0.96,0.96,0.9,0.91,12050,0
20110921,0.83,0.93,0.75,0.8,64004,0
20110922,0.85,0.85,0.8,0.8,11729,0
20110923,0.87,0.87,0.76,0.77,7923,0
20110926,0.89,0.89,0.86,0.86,1358,0
20110927,0.84,0.9,0.78,0.86,45228,0
20110928,0.85,0.85,0.78,0.81,11571,0
20110929,0.85,0.85,0.82,0.85,11809,0
20110930,0.86,0.86,0.81,0.81,9340,0
20111003,0.81,0.81,0.79,0.79,12526,0
20111004,0.79,0.79,0.64,0.65,41384,0
20111005,0.74,0.74,0.65,0.71,34743,0
20111006,0.71,0.71,0.62,0.69,21549,0
20111007,0.69,0.69,0.65,0.69,30131,0
20111010,0.7,0.7,0.67,0.67,23270,0
20111011,0.7,0.7,0.62,0.68,56136,0
20111012,0.67,0.67,0.62,0.66,40940,0
20111013,0.66,0.66,0.65,0.65,17088,0
20111014,0.66,0.67,0.65,0.65,16648,0
20111017,0.68,0.7,0.66,0.7,12805,0
20111018,0.7,0.7,0.7,0.7,10000,0
20111019,0.69,0.71,0.69,0.71,1040,0
20111020,0.7,0.71,0.7,0.7,14677,0
20111021,0.74,0.8,0.74,0.79,7160,0
20111024,0.76,0.94,0.76,0.89,1384,0
20111025,0.82,0.86,0.8,0.8,13945,0
20111026,0.81,0.83,0.81,0.83,13632,0
20111027,0.84,0.92,0.77,0.92,18237,0
20111028,0.9,0.9,0.83,0.84,21418,0
20111031,0.83,0.83,0.83,0.83,13096,0
20111102,0.75,0.78,0.75,0.78,7820,0
20111103,0.79,0.79,0.78,0.78,2805,0
20111104,0.79,0.8,0.79,0.8,20505,0
20111107,0.78,0.88,0.78,0.88,9390,0
20111108,0.88,0.9,0.85,0.88,38884,0
20111109,0.92,0.92,0.84,0.84,18122,0
20111110,0.92,0.92,0.83,0.83,9116,0
20111114,0.76,0.81,0.76,0.81,4090,0
20111115,0.77,0.77,0.77,0.77,7020,0
20111116,0.78,0.78,0.78,0.78,20,0
20111117,0.76,0.79,0.76,0.79,120,0
20111118,0.77,0.8,0.76,0.77,9849,0
20111121,0.77,0.8,0.76,0.79,14989,0
20111122,0.75,0.75,0.75,0.75,40,0
20111123,0.77,0.77,0.73,0.73,8260,0
20111124,0.78,0.78,0.78,0.78,20,0
20111125,0.78,0.78,0.7,0.74,13432,0
20111128,0.76,0.76,0.76,0.76,20,0
20111129,0.76,0.76,0.72,0.72,10536,0
20111130,0.68,0.72,0.68,0.72,3125,0
20111201,0.76,0.76,0.68,0.68,76,0
20111202,0.74,0.74,0.74,0.74,75,0
20111205,0.74,0.74,0.73,0.73,18618,0
20111206,0.68,0.73,0.68,0.7,8784,0
20111207,0.72,0.72,0.72,0.72,5500,0
20111208,0.7,0.7,0.7,0.7,3392,0
20111209,0.7,0.75,0.7,0.75,11795,0
20111212,0.74,0.74,0.71,0.71,10663,0
20111213,0.74,0.74,0.68,0.69,11470,0
20111214,0.71,0.71,0.67,0.67,11683,0
20111215,0.67,0.69,0.67,0.69,11001,0
20111216,0.67,0.67,0.67,0.67,24000,0
20111219,0.67,0.67,0.64,0.67,2180,0
20111221,0.68,0.68,0.68,0.68,5,0
20111222,0.75,0.75,0.69,0.69,85,0
20111223,0.75,0.75,0.63,0.63,24479,0
20111227,0.63,0.65,0.63,0.63,84411,0
20111228,0.63,0.66,0.63,0.66,129,0
20111229,0.63,0.63,0.63,0.63,20,0
20111230,0.63,0.65,0.63,0.65,291,0
20120102,0.68,0.68,0.65,0.65,1455,0
20120103,0.66,0.66,0.66,0.66,50,0
20120104,0.66,0.66,0.66,0.66,1050,0
20120105,0.66,0.66,0.66,0.66,550,0
20120109,0.66,0.67,0.66,0.67,19599,0
20120110,0.67,0.67,0.67,0.67,11268,0
20120111,0.67,0.73,0.67,0.73,1410,0
20120112,0.68,0.75,0.68,0.75,1100,0
20120113,0.81,0.81,0.74,0.74,1461,0
20120116,0.74,0.74,0.72,0.72,11486,0
20120117,0.67,0.72,0.67,0.72,1939,0
20120118,0.67,0.74,0.67,0.74,51,0
20120119,0.74,0.74,0.74,0.74,9999,0
20120120,0.74,0.74,0.74,0.74,2001,0
20120123,0.74,0.74,0.71,0.71,250,0
20120124,0.69,0.74,0.69,0.74,10536,0
20120125,0.7,0.71,0.7,0.71,15050,0
20120126,0.71,0.71,0.71,0.71,7550,0
20120127,0.73,0.73,0.69,0.71,5895,0
20120130,0.69,0.71,0.69,0.71,170,0
20120131,0.7,0.72,0.69,0.69,7022,0
20120201,0.68,0.71,0.68,0.71,2165,0
20120202,0.72,0.72,0.68,0.7,6125,0
20120203,0.71,0.71,0.68,0.7,2874,0
20120206,0.7,0.7,0.7,0.7,54,0
20120207,0.71,0.71,0.71,0.71,1000,0
20120208,0.72,0.72,0.72,0.72,20,0
20120209,0.72,0.73,0.72,0.73,6010,0
20120210,0.68,0.72,0.68,0.72,11475,0
20120213,0.73,0.74,0.72,0.72,11621,0
20120214,0.75,0.75,0.73,0.73,1300,0
20120215,0.74,0.75,0.74,0.75,13583,0
20120216,0.75,0.76,0.75,0.76,1935,0
20120217,0.76,0.8,0.74,0.8,7484,0
20120220,0.76,0.83,0.76,0.78,14513,0
20120221,0.79,0.79,0.78,0.79,11577,0
20120222,0.77,0.77,0.76,0.76,15019,0
20120223,0.74,0.74,0.74,0.74,630,0
20120224,0.74,0.77,0.74,0.77,1410,0
20120227,0.77,0.77,0.72,0.72,16246,0
20120228,0.71,0.71,0.71,0.71,50,0
20120229,0.75,0.75,0.72,0.72,11196,0
20120301,0.72,0.72,0.7,0.7,4421,0
20120302,0.7,0.7,0.7,0.7,1521,0
20120305,0.72,0.72,0.68,0.68,8058,0
20120306,0.67,0.68,0.67,0.67,2565,0
20120307,0.7,0.7,0.66,0.66,16836,0
20120308,0.6,0.69,0.6,0.68,28129,0
20120309,0.63,0.67,0.63,0.67,11419,0
20120312,0.7,0.7,0.69,0.69,4721,0
20120313,0.7,0.7,0.69,0.69,11746,0
20120314,0.69,0.7,0.69,0.7,2001,0
20120315,0.68,0.68,0.65,0.66,1352,0
20120316,0.62,0.66,0.62,0.66,16687,0
20120319,0.67,0.67,0.67,0.67,100,0
20120320,0.7,0.89,0.7,0.89,167993,0
20120321,0.96,0.97,0.79,0.79,272523,0
20120322,0.79,0.85,0.66,0.7,116429,0
20120323,0.75,0.8,0.75,0.78,62567,0
20120326,0.78,0.79,0.72,0.79,45474,0
20120327,0.78,0.78,0.72,0.72,27554,0
20120328,0.71,0.75,0.71,0.72,7384,0
20120329,0.75,0.75,0.69,0.69,16350,0
20120330,0.69,0.69,0.68,0.68,10678,0
20120402,0.68,0.72,0.68,0.72,4973,0
20120403,0.73,0.74,0.73,0.73,7263,0
20120404,0.74,0.74,0.73,0.73,17922,0
20120405,0.73,0.73,0.73,0.73,78,0
20120410,0.75,0.75,0.75,0.75,100,0
20120411,0.75,0.75,0.7,0.7,2773,0
20120412,0.74,0.74,0.7,0.74,1134,0
20120413,0.7,0.74,0.7,0.74,301,0
20120416,0.73,0.73,0.68,0.68,10264,0
20120417,0.68,0.74,0.68,0.71,21777,0
