Date,Open,High,Low,Close,Volume,OpenInt
20061211,9.2685,9.917,7.9153,8.0637,1416748,0
20061212,8.2026,8.3973,8.11,8.1192,219815,0
20061213,8.1563,8.3324,7.7393,7.9709,77534,0
20061214,7.9709,8.0637,7.7022,7.8041,62261,0
20061215,7.8041,7.8041,7.2295,7.7856,67853,0
20061218,7.7393,8.0358,7.7393,7.9709,24689,0
20061219,8.0637,8.0637,7.7856,7.7856,32386,0
20061220,7.9617,7.9617,7.5075,7.6188,42769,0
20061221,7.4612,7.4982,7.3406,7.489,74562,0
20061222,7.4797,7.4797,7.35,7.35,45780,0
20061227,7.4148,7.767,7.2387,7.6095,30453,0
20061228,7.7393,7.7393,7.3406,7.4148,37477,0
20061229,7.4148,7.5539,7.3314,7.4055,19284,0
20070102,7.3684,7.3684,7.2295,7.3684,19234,0
20070103,7.3777,7.526,7.3222,7.3684,55251,0
20070104,7.3593,7.4055,7.3222,7.3593,17110,0
20070105,7.3406,7.4148,7.3314,7.3963,30736,0
20070108,7.4055,7.4055,7.2758,7.35,17175,0
20070109,7.2851,7.3684,7.2387,7.2387,36003,0
20070110,7.2387,7.3406,7.2295,7.2387,8901,0
20070111,7.2387,7.2758,7.1368,7.2017,45782,0
20070112,7.2201,7.2201,7.1368,7.183,23257,0
20070115,7.183,7.6466,7.1368,7.4612,251954,0
20070116,7.5168,7.6928,7.4612,7.6002,78452,0
20070117,7.7206,7.7577,7.628,7.6928,48375,0
20070118,7.7022,8.1563,7.7022,7.7856,79903,0
20070119,7.9709,8.1563,7.6095,7.9246,86269,0
20070122,8.045,8.2026,8.045,8.1378,85236,0
20070123,8.1563,8.2491,7.9802,8.2397,69850,0
20070124,8.2953,8.4622,8.2491,8.3417,98252,0
20070125,8.5177,8.5177,8.0729,8.0821,61148,0
20070126,8.0637,8.1007,7.4148,8.1007,29543,0
20070129,8.1007,8.3788,7.8782,8.3046,163137,0
20070130,8.2491,8.3417,8.1563,8.1563,86863,0
20070131,8.1749,8.2491,8.0729,8.2397,18631,0
20070201,8.2304,8.2304,8.0637,8.1563,30039,0
20070202,8.0358,8.11,7.9246,8.0637,34265,0
20070205,8.0637,8.1007,7.8875,7.9709,108077,0
20070206,8.0173,8.0637,7.9709,7.9709,37867,0
20070207,8.0637,8.0637,7.9153,7.9709,15262,0
20070208,7.9153,7.9153,7.6466,7.7764,47349,0
20070209,7.5539,7.7764,7.5539,7.7393,85549,0
20070212,7.5631,7.6744,7.4242,7.5631,31730,0
20070213,7.4797,7.6002,7.4242,7.5446,15793,0
20070214,7.628,7.9246,7.5539,7.6002,74127,0
20070215,7.6928,7.8782,7.5817,7.5817,58666,0
20070216,7.6466,7.6928,7.5168,7.5539,35576,0
20070219,7.5724,7.6002,7.4612,7.5168,23954,0
20070220,7.5075,7.5817,7.4519,7.4612,26905,0
20070221,7.4704,7.5539,7.4242,7.4333,36223,0
20070222,7.5075,7.5446,7.4148,7.5446,57738,0
20070223,7.5446,7.5539,7.4612,7.4704,55780,0
20070226,7.4612,7.5075,7.3684,7.4148,94605,0
20070227,7.4148,7.4148,7.183,7.3222,51760,0
20070228,7.0441,7.3222,7.0349,7.2387,45891,0
20070301,7.0533,7.3222,6.9978,7.0441,35546,0
20070302,7.2666,7.2666,7.1368,7.2295,16121,0
20070305,7.0904,7.0904,6.9514,7.0626,30360,0
20070306,7.1275,7.2572,7.0626,7.183,11087,0
20070307,7.2201,7.2201,7.0904,7.2017,16536,0
20070308,7.2201,7.2943,7.183,7.2851,16941,0
20070309,7.3036,7.3314,7.2295,7.3036,15214,0
20070312,7.3222,7.4055,7.3036,7.3036,10302,0
20070313,7.3222,7.3222,7.0997,7.1646,13181,0
20070314,6.9607,7.1646,6.905,7.1646,21962,0
20070315,7.1646,7.3129,7.1368,7.2017,16089,0
20070316,7.2295,7.2295,7.0533,7.2201,11137,0
20070319,7.2295,7.4055,7.1368,7.3684,62587,0
20070320,7.5075,7.5446,7.3777,7.5075,26285,0
20070321,7.5539,7.5817,7.5075,7.5168,29352,0
20070322,7.5631,7.6373,7.5539,7.5539,60117,0
20070323,7.6095,7.6466,7.4333,7.5168,27824,0
20070326,7.4982,7.5539,7.3777,7.4797,18013,0
20070327,7.489,7.489,7.3593,7.4519,28959,0
20070328,7.5446,7.5446,7.4148,7.4148,15343,0
20070329,7.3871,7.7856,7.3406,7.6095,166632,0
20070330,7.9617,8.0079,7.6466,7.7393,212721,0
20070402,7.8782,7.8782,7.4704,7.5817,46095,0
20070403,7.5168,7.6373,7.489,7.6002,64549,0
20070404,7.6002,7.6002,7.4519,7.5075,61919,0
20070405,7.5075,7.5075,7.4148,7.4426,21895,0
20070410,7.4612,7.526,7.4148,7.489,53213,0
20070411,7.526,7.526,7.3222,7.35,144394,0
20070412,7.3871,7.3871,6.9421,7.1182,185291,0
20070413,7.1368,7.3222,7.0441,7.1182,61641,0
20070416,7.2295,7.3963,7.2295,7.3777,49129,0
20070417,7.3593,7.3593,7.183,7.2295,45947,0
20070418,7.2295,7.2758,6.9514,7.0255,126382,0
20070419,6.9978,6.9978,6.6734,6.6826,197586,0
20070420,6.766,6.8495,6.7104,6.7568,117419,0
20070423,6.8495,6.8495,6.6455,6.7011,109092,0
20070424,6.6826,6.766,6.6177,6.6734,42528,0
20070425,6.7197,6.7568,6.5806,6.7197,48826,0
20070426,6.766,6.8495,6.6455,6.6455,56660,0
20070427,6.7382,7.0441,6.6363,6.8124,287420,0
20070430,6.8587,6.8587,6.6826,6.766,45930,0
20070502,6.8217,6.8587,6.7197,6.7197,32405,0
20070504,6.7475,6.8402,6.6641,6.7475,46838,0
20070507,6.8402,6.8495,6.7197,6.7289,42873,0
20070508,6.7382,7.35,6.7289,6.9607,169802,0
20070509,7.1368,7.2201,6.8402,7.0441,61705,0
20070510,7.0349,7.0349,6.6734,6.7011,71376,0
20070511,6.6085,6.8402,6.6085,6.8402,47478,0
20070514,6.8587,6.8679,6.8031,6.8402,32964,0
20070515,6.766,6.8124,6.7197,6.766,20825,0
20070516,7.072,7.072,6.8587,6.905,39081,0
20070517,6.9885,7.5075,6.9236,7.2201,211602,0
20070518,7.3593,7.3593,7.0533,7.1368,51855,0
20070521,7.2295,7.3129,6.5806,6.9328,71118,0
20070522,6.9514,6.9885,6.7197,6.7475,52412,0
20070523,6.766,6.8866,6.766,6.8587,38243,0
20070524,6.8495,6.9514,6.7753,6.9328,21427,0
20070525,6.9328,6.9328,6.8124,6.8679,11321,0
20070528,6.8957,7.007,6.8587,6.9328,25344,0
20070529,7.2758,7.8319,7.2666,7.6002,412213,0
20070530,7.6002,7.6466,7.3222,7.4148,63249,0
20070531,7.4148,7.489,7.183,7.2851,64734,0
20070601,7.248,7.3871,7.183,7.2666,26638,0
20070604,7.2943,7.2943,7.1182,7.1275,21133,0
20070605,7.1182,7.2295,6.9514,6.9885,46322,0
20070606,6.9792,7.2017,6.9514,6.9885,32260,0
20070608,6.9885,7.0626,6.9144,7.0349,97599,0
20070611,7.1368,7.4704,7.1368,7.3129,24296,0
20070612,7.3129,7.4704,7.2666,7.2666,29421,0
20070613,7.2758,7.3129,7.1275,7.2295,28982,0
20070614,7.3222,7.3222,7.1368,7.2851,27345,0
20070615,7.183,7.3129,7.1368,7.2017,32492,0
20070618,7.35,7.35,7.1368,7.1738,15949,0
20070619,7.2295,7.2295,7.1368,7.1738,16087,0
20070620,7.2758,7.2758,7.0997,7.1368,22831,0
20070621,7.0904,7.1275,6.9885,7.0811,13605,0
20070622,7.0533,7.183,6.9699,6.9885,26262,0
20070625,6.9885,7.0441,6.9792,7.0349,17410,0
20070626,7.0349,7.2201,6.9699,7.007,27859,0
20070627,7.072,7.248,7.0626,7.1738,22831,0
20070628,7.1275,7.1646,7.0349,7.0533,21262,0
20070629,7.0255,7.1368,6.9514,7.1368,44025,0
20070702,7.1368,7.1368,6.8866,6.9978,4271,0
20070703,6.9514,7.0441,6.905,6.9514,27228,0
20070704,6.9607,7.5539,6.8679,7.4612,161917,0
20070705,7.4148,7.4148,7.2387,7.3871,54318,0
20070706,7.4055,7.4704,7.35,7.4055,79516,0
20070709,7.5539,7.7393,7.5539,7.6928,119130,0
20070710,7.628,7.628,7.3871,7.3871,44685,0
20070711,7.3684,7.6836,7.3684,7.4612,102759,0
20070712,7.6002,7.7856,7.4704,7.5631,163751,0
20070713,7.6928,7.6928,7.4148,7.5353,60659,0
20070716,7.6095,7.6095,7.2295,7.2295,53628,0
20070717,7.3314,7.5446,7.3314,7.5446,53175,0
20070718,7.5631,7.5631,7.4426,7.5446,14848,0
20070719,7.5075,7.5539,7.4148,7.5539,22596,0
20070720,7.5539,7.5539,7.3406,7.4333,14379,0
20070723,7.4242,7.5446,7.2572,7.4242,21058,0
20070724,7.4242,7.4797,7.2851,7.3406,21391,0
20070725,7.35,7.3684,7.1091,7.1738,40406,0
20070726,7.1461,7.2758,6.9699,6.9699,23409,0
20070727,6.9514,6.9514,6.4417,6.8587,25753,0
20070730,6.8587,7.0811,6.7753,7.0811,26935,0
20070731,6.9792,7.3222,6.9699,7.3222,33609,0
20070801,7.1924,7.1924,7.0441,7.0441,20663,0
20070802,7.1368,7.3036,6.9699,7.0904,2593,0
20070803,7.0904,7.1275,6.9792,7.1182,4541,0
