Date,Open,High,Low,Close,Volume,OpenInt
19970612,8.2,8.2,8.2,8.2,298192,0
19970613,8.9,8.9,8.9,8.9,496638,0
19970616,8.95,8.95,8.95,8.95,311311,0
19970617,8.55,8.55,8.55,8.55,151919,0
19970618,7.75,7.75,7.75,7.75,39242,0
19970619,7.4,7.4,7.4,7.4,125626,0
19970620,7.4,7.4,7.4,7.4,50426,0
19970623,6.85,6.85,6.85,6.85,101245,0
19970624,6.35,6.35,6.35,6.35,69092,0
19970625,6.45,6.45,6.45,6.45,73957,0
19970626,6.2,6.2,6.2,6.2,142565,0
19970627,6.3,6.3,6.3,6.3,59117,0
19970630,6.35,6.35,6.35,6.35,33260,0
19970701,6.35,6.35,6.35,6.35,62754,0
19970702,6.2,6.35,6.2,6.35,93923,0
19970703,6.2,6.35,6.2,6.3,139006,0
19970704,6.35,6.35,6.3,6.35,32224,0
19970707,6.35,6.35,6.35,6.35,58718,0
19970708,6.3,6.35,6.3,6.35,31767,0
19970709,6.35,6.35,6.35,6.35,30262,0
19970710,6.35,6.35,6.35,6.35,32714,0
19970711,6.15,6.15,6,6.1,35902,0
19970714,5.55,5.55,5.55,5.55,30685,0
19970715,5.45,5.55,5.45,5.55,64055,0
19970716,5.45,5.45,5.35,5.35,207334,0
19970717,5.55,5.55,5.55,5.55,38249,0
19970718,5.55,5.55,5.3,5.3,66161,0
19970721,5.45,5.45,5.35,5.35,32074,0
19970722,5.2,5.35,5.2,5.25,13081,0
19970723,5.55,5.55,5.2,5.25,87053,0
19970724,5.35,5.35,5.15,5.15,43185,0
19970725,5.4,5.4,5.25,5.35,152375,0
19970728,5.4,5.4,5.25,5.25,71584,0
19970729,5.4,5.55,5.35,5.45,32017,0
19970730,5.6,5.65,5.55,5.65,78253,0
19970731,5.7,5.7,5.5,5.55,91455,0
19970801,5.55,5.55,5.4,5.45,45494,0
19970804,5.6,5.6,5.45,5.45,39920,0
19970805,5.45,5.6,5.45,5.6,28875,0
19970806,5.45,5.55,5.45,5.5,59943,0
19970807,5.65,5.8,5.65,5.7,98310,0
19970808,5.9,6.05,5.9,5.95,129202,0
19970811,5.95,5.95,5.9,5.9,139128,0
19970812,5.95,6.15,5.95,6,137671,0
19970813,6.1,6.1,6.1,6.1,191788,0
19970814,5.75,5.8,5.75,5.8,29884,0
19970818,5.6,5.6,5.55,5.55,60620,0
19970819,5.55,5.65,5.55,5.65,38581,0
19970820,5.55,5.65,5.5,5.6,59383,0
19970821,5.55,5.55,5.4,5.45,94499,0
19970822,5.45,5.45,5.45,5.45,31616,0
19970825,5.45,5.45,5.4,5.4,85932,0
19970826,5.4,5.45,5.4,5.45,11834,0
19970827,5.4,5.45,5.4,5.45,42387,0
19970828,5.5,5.6,5.5,5.55,34683,0
19970829,5.6,5.6,5.5,5.5,44250,0
19970901,5.5,5.5,5.45,5.45,19188,0
19970902,5.55,5.55,5.5,5.55,56025,0
19970903,5.6,5.8,5.6,5.8,58386,0
19970904,5.75,5.8,5.7,5.8,66104,0
19970905,5.75,6,5.75,6,56757,0
19970908,6,6,5.8,5.95,81599,0
19970909,6.15,6.2,6.15,6.2,120661,0
19970910,6.3,6.3,6.2,6.3,89758,0
19970911,6.35,6.35,6.25,6.3,143295,0
19970912,6.3,6.3,6.2,6.2,151093,0
19970915,6.15,6.2,6.15,6.2,120206,0
19970916,6.15,6.15,6,6.05,105935,0
19970917,6.1,6.1,5.85,5.85,95622,0
19970918,5.9,5.9,5.85,5.9,42647,0
19970919,6,6.1,5.95,6.1,94760,0
19970922,6.15,6.3,6.05,6.3,76291,0
19970923,6.35,6.35,6.2,6.35,90678,0
19970924,6.35,6.4,6.3,6.35,133243,0
19970925,6.35,6.35,6.2,6.3,104823,0
19970926,6.2,6.2,6.2,6.2,206472,0
19970929,6.15,6.15,6.1,6.1,72527,0
19970930,6.05,6.05,6,6,60987,0
19971001,6,6.1,6,6.1,50276,0
19971002,6,6.1,6,6,32884,0
19971003,6.05,6.05,6.05,6.05,149302,0
19971006,6,6,6,6,95398,0
19971007,6,6.05,6,6.05,69468,0
19971008,6,6.1,6,6.05,52595,0
19971009,6,6.1,5.8,5.8,60231,0
19971010,5.9,5.9,5.9,5.9,110174,0
19971013,5.85,5.85,5.8,5.8,209732,0
19971014,5.8,5.85,5.8,5.8,128804,0
19971015,5.9,5.9,5.85,5.9,82131,0
19971016,5.9,5.9,5.9,5.9,135714,0
19971017,5.95,6,5.95,6,199610,0
19971020,6.15,6.2,6.1,6.15,76842,0
19971021,6.15,6.25,6.15,6.2,70581,0
19971022,6.2,6.35,6.2,6.25,105789,0
19971023,6.2,6.25,6.1,6.1,262371,0
19971024,6.1,6.2,6.1,6.2,141846,0
19971027,5.9,5.9,5.7,5.75,230352,0
19971028,5.3,5.5,5.3,5.45,248252,0
19971029,5.55,5.55,5.55,5.55,98884,0
19971030,5.3,5.3,5.3,5.3,112773,0
19971031,5.3,5.4,5.3,5.4,86315,0
19971103,5.5,5.65,5.5,5.55,85850,0
19971104,5.6,5.7,5.6,5.6,100004,0
19971105,5.7,5.7,5.7,5.7,83919,0
19971106,5.8,5.8,5.8,5.8,41742,0
19971107,5.8,5.8,5.8,5.8,115735,0
19971112,5.8,5.8,5.45,5.55,102590,0
19971113,5.8,5.8,5.5,5.5,75568,0
19971114,5.75,5.75,5.75,5.75,45022,0
19971117,5.95,5.95,5.95,5.95,54561,0
19971118,6,6,6,6,89074,0
19971119,5.95,5.95,5.95,5.95,148512,0
19971120,6,6,6,6,99163,0
19971121,6.1,6.2,6.1,6.15,71345,0
19971124,6.2,6.2,6.15,6.15,96849,0
19971125,6.1,6.1,6,6.1,49588,0
19971126,6.15,6.15,6.15,6.15,61537,0
19971127,6.05,6.1,5.95,6.1,24389,0
19971128,6,6,6,6,18079,0
19971201,6.2,6.3,6.2,6.3,74092,0
19971202,6.35,6.5,6.35,6.5,98355,0
19971203,6.3,6.35,6.3,6.35,184838,0
19971204,6.35,6.45,6.35,6.45,67579,0
19971205,6.4,6.45,6.3,6.45,163551,0
19971208,6.4,6.4,6.3,6.3,130351,0
19971209,6.35,6.35,6.3,6.3,118073,0
19971210,6.3,6.3,6.2,6.2,112169,0
19971211,6.2,6.2,6.2,6.2,81340,0
19971212,6.2,6.2,6.2,6.2,79772,0
19971215,6.3,6.35,6.3,6.35,16155,0
19971216,6.4,6.4,6.35,6.35,176972,0
19971217,6.4,6.4,6.4,6.4,95638,0
19971218,6.45,6.45,6.45,6.45,36591,0
19971219,6.45,6.45,6.3,6.3,54096,0
19971222,6.4,6.4,6.4,6.4,82030,0
19971223,6.4,6.45,6.4,6.45,27673,0
19971229,6.35,6.55,6.35,6.55,78065,0
19971230,6.5,6.5,6.5,6.5,82941,0
19971231,6.55,6.85,6.55,6.65,27676,0
19980105,6.65,6.65,6.65,6.65,30355,0
19980106,6.55,6.55,6.55,6.55,7797,0
19980107,6.15,6.15,6.15,6.15,60425,0
19980108,6.15,6.15,6.15,6.15,20711,0
19980109,5.75,5.75,5.75,5.75,8890,0
19980112,5.3,5.3,5.3,5.3,17566,0
19980113,5.5,5.5,5.5,5.5,28539,0
19980114,5.55,5.6,5.55,5.6,23831,0
19980115,5.55,5.55,5.45,5.45,15601,0
19980116,5.45,5.55,5.45,5.55,6703,0
19980119,5.75,5.75,5.65,5.7,18082,0
19980120,5.6,5.6,5.6,5.6,20930,0
19980121,5.65,5.65,5.65,5.65,4791,0
19980122,5.55,5.55,5.55,5.55,27080,0
19980123,5.6,5.6,5.6,5.6,21350,0
19980126,5.65,5.65,5.65,5.65,29651,0
19980127,5.7,5.7,5.7,5.7,32324,0
