Date,Open,High,Low,Close,Volume,OpenInt
20040302,25.469,25.833,24.599,24.674,131073,0
20040303,24.742,24.818,23.947,24.091,23448,0
20040304,23.66,23.947,23.077,23.66,21385,0
20040305,23.296,24.167,23.145,23.221,12060,0
20040308,22.857,23.077,22.494,22.57,14322,0
20040309,22.13,22.274,21.767,21.767,13621,0
20040310,21.767,22.494,21.767,22.494,4304,0
20040311,22.35,22.35,21.767,22.35,8149,0
20040312,22.13,22.494,21.987,22.274,11628,0
20040315,22.206,22.206,21.919,22.13,3311,0
20040316,21.919,22.13,21.623,22.13,1737,0
20040317,22.13,22.13,21.699,21.767,31898,0
20040318,21.767,21.767,21.26,21.404,7739,0
20040319,21.767,22.062,20.465,21.048,580533,0
20040322,20.972,21.192,20.752,20.896,4308,0
20040323,20.896,22.062,20.752,21.699,19228,0
20040324,21.479,21.479,21.116,21.26,5136,0
20040325,21.192,21.192,20.972,21.048,11383,0
20040326,21.048,21.048,20.684,20.684,17047,0
20040329,20.752,21.048,20.684,20.752,12380,0
20040330,21.26,21.26,20.609,20.609,17437,0
20040331,20.609,20.684,20.533,20.609,6299,0
20040401,20.684,20.684,20.609,20.684,1871,0
20040402,20.828,20.972,20.609,20.828,5650,0
20040405,20.684,20.684,20.177,20.321,21995,0
20040406,20.321,20.321,19.958,19.958,4371,0
20040407,19.958,19.958,19.738,19.814,2619,0
20040408,20.101,20.684,20.026,20.609,15967,0
20040413,20.896,20.896,20.684,20.896,8379,0
20040414,21.048,21.192,20.828,20.828,14831,0
20040415,20.828,20.828,20.533,20.828,848,0
20040416,20.533,20.828,20.321,20.752,5996,0
20040419,20.321,20.321,19.958,19.958,8429,0
20040420,19.958,19.958,19.231,19.299,10863,0
20040421,19.231,19.958,19.231,19.814,6896,0
20040422,19.45,19.738,19.45,19.738,717,0
20040423,19.882,19.882,19.299,19.518,3953,0
20040426,19.518,19.518,19.45,19.518,755,0
20040427,19.155,19.594,19.155,19.231,2727,0
20040428,19.155,19.231,19.155,19.155,2456,0
20040429,18.943,19.518,18.867,19.518,2271,0
20040430,18.943,19.738,18.867,19.662,1547,0
20040504,19.662,19.662,19.155,19.518,311,0
20040505,19.594,19.594,18.943,19.45,1010,0
20040506,18.943,19.374,18.943,19.299,3951,0
20040507,19.231,19.231,18.723,19.087,2909,0
20040510,18.14,18.14,17.489,18.072,6584,0
20040511,18.14,18.504,15.968,17.345,12022,0
20040512,17.345,18.072,17.345,18.072,1825,0
20040513,17.345,17.414,16.763,17.27,3576,0
20040514,16.763,17.414,16.763,17.414,889,0
20040517,16.763,16.982,16.619,16.687,5584,0
20040518,16.619,16.982,16.619,16.838,673,0
20040519,16.838,17.345,16.838,16.906,4477,0
20040520,16.982,16.982,16.543,16.763,1573,0
20040521,16.763,17.709,16.763,17.414,8146,0
20040524,17.414,17.558,17.414,17.558,85,0
20040525,17.414,17.414,17.202,17.414,885,0
20040526,16.906,17.126,16.906,17.05,1425,0
20040527,17.202,17.345,16.763,17.345,1639,0
20040528,17.202,17.27,17.05,17.27,1337,0
20040531,17.345,17.633,17.345,17.633,407,0
20040601,17.489,17.489,17.489,17.489,310,0
20040602,17.489,17.633,17.345,17.345,1940,0
20040603,17.202,17.414,17.05,17.345,2551,0
20040604,17.05,17.27,17.05,17.27,1646,0
20040607,17.05,17.05,16.687,16.763,1748,0
20040608,16.763,16.906,16.543,16.906,2267,0
20040609,16.543,16.906,16.543,16.906,897,0
20040611,16.619,16.619,16.619,16.619,1860,0
20040614,16.543,16.543,16.543,16.543,842,0
20040615,16.687,16.687,16.687,16.687,1,0
20040616,16.619,16.619,16.619,16.619,400,0
20040617,16.619,16.619,16.111,16.331,793,0
20040618,16.111,16.111,15.604,16.036,4967,0
20040621,15.892,15.892,15.672,15.892,3807,0
20040622,15.748,15.748,15.46,15.46,1110,0
20040623,15.309,15.672,14.877,15.385,4239,0
20040625,15.46,15.892,15.46,15.892,390,0
20040628,15.528,16.399,15.528,16.18,3634,0
20040629,16.331,16.687,16.331,16.687,828,0
20040630,16.687,16.687,15.672,15.672,2104,0
20040701,15.672,16.543,15.672,16.331,1172,0
20040702,16.331,16.475,15.816,16.331,2061,0
20040705,15.968,16.331,15.968,16.331,93,0
20040706,16.111,16.331,15.892,16.331,416,0
20040707,15.968,16.255,15.816,16.255,704,0
20040708,16.255,16.331,16.255,16.331,412,0
20040709,16.255,17.414,16.255,17.345,13549,0
20040712,17.709,17.709,17.202,17.345,5228,0
20040713,17.345,17.345,16.619,16.619,3687,0
20040714,16.763,16.763,16.255,16.255,1321,0
20040715,15.968,16.619,15.604,15.892,3043,0
20040716,15.892,16.475,15.892,16.475,1740,0
20040719,16.331,16.906,16.331,16.906,255,0
20040720,16.906,16.906,16.763,16.763,162,0
20040721,17.126,17.345,16.838,17.05,752,0
20040722,16.838,17.05,16.838,17.05,218,0
20040723,17.05,17.05,16.687,16.982,660,0
20040726,16.763,16.763,16.399,16.763,1105,0
20040727,16.331,16.475,16.331,16.331,520,0
20040728,16.331,16.687,16.255,16.619,848,0
20040729,16.255,16.475,15.968,16.475,2370,0
20040730,16.619,16.619,16.619,16.619,455,0
20040802,16.619,16.619,16.255,16.475,1669,0
20040803,16.475,16.619,16.399,16.619,550,0
20040804,16.399,16.619,16.331,16.619,1734,0
20040805,15.748,15.748,14.514,14.877,9170,0
20040806,15.097,15.165,15.097,15.097,2268,0
20040809,14.877,15.46,14.877,15.46,1241,0
20040810,14.877,15.309,14.59,15.309,514,0
20040811,15.021,15.021,15.021,15.021,118,0
20040812,14.59,15.021,14.59,14.59,350,0
20040813,14.877,14.945,14.658,14.945,48,0
20040816,14.945,14.945,14.59,14.658,201,0
20040817,14.802,14.802,14.802,14.802,26,0
20040818,14.59,14.59,14.15,14.188,4041,0
20040819,14.332,14.332,13.136,13.462,6799,0
20040820,13.462,13.462,13.06,13.204,1859,0
20040823,13.711,13.711,13.06,13.681,2726,0
20040824,13.681,14.075,13.681,14.075,1879,0
20040825,14.075,14.15,13.787,14.075,1941,0
20040826,14.007,14.007,14.007,14.007,96,0
20040827,14.007,14.007,14.007,14.007,5,0
20040830,13.681,13.931,13.567,13.931,890,0
20040831,13.893,13.893,13.355,13.893,215,0
20040901,13.537,13.969,13.06,13.969,952,0
20040903,12.841,13.787,12.841,13.787,395,0
20040906,13.643,13.787,13.643,13.787,146,0
20040907,13.28,13.749,13.28,13.749,366,0
20040908,13.204,13.749,13.204,13.749,1661,0
20040909,13.749,13.749,13.424,13.749,119,0
20040910,13.749,14.332,13.749,14.294,2686,0
20040913,14.332,14.59,14.294,14.59,889,0
20040914,14.514,14.514,14.438,14.476,206,0
20040916,14.075,14.438,14.007,14.438,130,0
20040917,13.931,14.514,13.931,14.514,203,0
20040920,13.643,14.514,13.643,14.514,629,0
20040921,14.044,14.476,13.863,14.476,909,0
20040922,13.787,14.37,13.787,14.37,43,0
20040923,14.476,14.476,13.711,14.37,550,0
20040924,13.749,13.863,13.355,13.355,1458,0
20040927,13.355,13.355,12.992,13.318,6729,0
20040928,13.022,13.28,13.022,13.28,7386,0
20040929,13.06,13.06,11.97,12.046,24144,0
20040930,12.19,12.485,12.121,12.333,6684,0
20041001,12.121,12.265,11.682,11.758,11093,0
20041004,11.97,11.97,11.682,11.72,2019,0
20041005,11.72,11.902,10.887,11.432,20219,0
20041006,11.213,11.251,10.887,10.917,12788,0
20041007,10.887,11.251,10.774,10.917,5784,0
20041008,10.774,10.887,10.743,10.849,3812,0
20041011,10.743,11.099,10.743,11.099,2489,0
20041012,11.213,11.432,11.213,11.395,1390,0
20041013,11.251,11.614,11.175,11.319,3652,0
20041014,11.357,11.357,11.319,11.319,277,0
20041015,11.576,11.576,11.069,11.463,78,0
20041018,11.069,11.501,10.917,11.395,8451,0
20041019,11.251,11.395,10.993,11.251,2804,0
20041020,10.993,11.432,10.993,11.432,2148,0
20041021,11.281,11.281,11.213,11.213,331,0
20041022,11.251,11.251,11.031,11.031,840,0
20041025,10.917,10.917,9.941,10.304,1491,0
20041026,10.198,10.524,10.198,10.524,3517,0
20041027,10.524,11.251,10.524,11.251,4136,0
20041028,11.357,11.432,10.887,11.432,12986,0
20041029,11.069,11.395,11.069,11.395,1150,0
20041102,11.099,11.357,11.099,11.357,2118,0
20041103,11.319,11.319,11.099,11.319,1295,0
20041104,11.137,11.137,11.137,11.137,84,0
20041105,10.812,11.251,10.229,10.849,2593,0
