Date,Open,High,Low,Close,Volume,OpenInt
19980409,1.8075,1.8075,1.8075,1.8075,258881,0
19980414,1.8075,1.8075,1.8075,1.8075,147584,0
19980415,1.9275,1.9275,1.9275,1.9275,256888,0
19980416,2.115,2.115,2.115,2.115,355692,0
19980417,2.2125,2.2125,2.2125,2.2125,316213,0
19980420,2.355,2.355,2.355,2.355,172757,0
19980421,2.2575,2.2575,2.2575,2.2575,186764,0
19980422,2.2125,2.2125,2.2125,2.2125,243155,0
19980423,2.19,2.19,2.19,2.19,109060,0
19980424,2.115,2.115,2.115,2.115,271448,0
19980427,2.2125,2.2125,2.2125,2.2125,184027,0
19980428,2.115,2.115,2.115,2.115,175689,0
19980429,2.115,2.115,2.115,2.115,64337,0
19980430,2.115,2.115,2.115,2.115,116795,0
19980504,2.115,2.115,2.115,2.115,37259,0
19980505,2.04,2.04,2.04,2.04,64788,0
19980506,1.9725,1.9725,1.9725,1.9725,168459,0
19980507,1.9275,1.9275,1.9275,1.9275,57829,0
19980508,1.875,1.875,1.875,1.875,114713,0
19980511,1.8975,1.8975,1.8975,1.8975,96524,0
19980512,1.875,1.875,1.875,1.875,84615,0
19980513,1.8075,1.8075,1.8075,1.8075,77556,0
19980514,1.755,1.755,1.755,1.755,33383,0
19980515,1.6875,1.6875,1.6875,1.6875,193772,0
19980518,1.71,1.71,1.71,1.71,62985,0
19980519,1.665,1.665,1.665,1.665,89303,0
19980520,1.6125,1.6125,1.6125,1.6125,75197,0
19980521,1.665,1.665,1.665,1.665,146351,0
19980522,1.6875,1.6875,1.6875,1.6875,31087,0
19980525,1.5675,1.5675,1.5675,1.5675,12635,0
19980526,1.5675,1.5675,1.5675,1.5675,20239,0
19980527,1.425,1.425,1.425,1.425,121205,0
19980528,1.4475,1.4475,1.4475,1.4475,56067,0
19980529,1.425,1.425,1.425,1.425,78175,0
19980601,1.3275,1.3275,1.3275,1.3275,25080,0
19980602,1.26,1.26,1.26,1.26,22609,0
19980603,1.2375,1.2375,1.2375,1.2375,49443,0
19980604,1.2825,1.2825,1.2825,1.2825,120827,0
19980605,1.3275,1.3275,1.3275,1.3275,106319,0
19980608,1.3575,1.3575,1.3575,1.3575,80556,0
19980609,1.305,1.305,1.305,1.305,28781,0
19980610,1.2825,1.2825,1.2825,1.2825,54316,0
19980615,1.2375,1.2375,1.2375,1.2375,95297,0
19980616,1.2825,1.2825,1.2825,1.2825,82753,0
19980617,1.3575,1.3575,1.3575,1.3575,24743,0
19980618,1.47,1.47,1.47,1.47,39356,0
19980619,1.545,1.545,1.545,1.545,30613,0
19980622,1.6125,1.6125,1.6125,1.6125,87053,0
19980623,1.71,1.71,1.71,1.71,98436,0
19980624,1.6125,1.6125,1.6125,1.6125,75369,0
19980625,1.6125,1.6125,1.6125,1.6125,73273,0
19980626,1.59,1.59,1.59,1.59,23249,0
19980629,1.5675,1.5675,1.5675,1.5675,35024,0
19980630,1.5225,1.5225,1.5225,1.5225,93913,0
19980701,1.545,1.545,1.545,1.545,4439,0
19980702,1.5225,1.5225,1.5225,1.5225,25189,0
19980703,1.5225,1.5225,1.5225,1.5225,19885,0
19980706,1.5225,1.5225,1.5225,1.5225,27909,0
19980707,1.5225,1.5225,1.5225,1.5225,32652,0
19980708,1.5,1.5,1.5,1.5,11219,0
19980709,1.5,1.5,1.5,1.5,31455,0
19980710,1.5,1.5,1.5,1.5,12097,0
19980713,1.6425,1.6425,1.6425,1.6425,27920,0
19980714,1.71,1.71,1.71,1.71,63904,0
19980715,1.71,1.71,1.71,1.71,20799,0
19980716,1.665,1.665,1.665,1.665,43553,0
19980717,1.665,1.665,1.665,1.665,28692,0
19980720,1.6125,1.6125,1.6125,1.6125,51793,0
19980721,1.59,1.59,1.59,1.59,12409,0
19980722,1.5675,1.5675,1.5675,1.5675,52601,0
19980723,1.5225,1.5225,1.5225,1.5225,44084,0
19980724,1.545,1.545,1.545,1.545,6936,0
19980727,1.5225,1.5225,1.5225,1.5225,9888,0
19980728,1.5225,1.5225,1.5225,1.5225,5897,0
19980729,1.5225,1.5225,1.5225,1.5225,36808,0
19980730,1.5225,1.5225,1.5225,1.5225,21935,0
19980731,1.665,1.665,1.665,1.665,45657,0
19980803,1.59,1.59,1.59,1.59,28004,0
19980804,1.6125,1.6125,1.6125,1.6125,2259,0
19980805,1.6125,1.6125,1.6125,1.6125,49617,0
19980806,1.665,1.665,1.665,1.665,24069,0
19980807,1.59,1.59,1.59,1.59,48980,0
19980810,1.59,1.59,1.59,1.59,1052,0
19980811,1.59,1.59,1.59,1.59,14036,0
19980812,1.59,1.59,1.59,1.59,22619,0
19980813,1.6125,1.6125,1.6125,1.6125,9079,0
19980814,1.665,1.665,1.665,1.665,22984,0
19980817,1.665,1.665,1.665,1.665,62611,0
19980818,1.6875,1.6875,1.6875,1.6875,20619,0
19980819,1.71,1.71,1.71,1.71,9065,0
19980820,1.665,1.665,1.665,1.665,18827,0
19980821,1.6425,1.6425,1.6425,1.6425,12725,0
19980824,1.59,1.59,1.59,1.59,4417,0
19980825,1.59,1.59,1.59,1.59,19169,0
19980826,1.4475,1.4475,1.4475,1.4475,19675,0
19980827,1.38,1.38,1.38,1.38,55011,0
19980828,1.26,1.26,1.26,1.26,70608,0
19980831,1.38,1.38,1.38,1.38,66277,0
19980901,1.305,1.305,1.305,1.305,69960,0
19980902,1.38,1.38,1.38,1.38,1901,0
19980903,1.3275,1.3275,1.3275,1.3275,16201,0
19980904,1.38,1.38,1.38,1.38,8232,0
19980907,1.47,1.47,1.47,1.47,4839,0
19980908,1.5,1.5,1.5,1.5,12656,0
19980909,1.47,1.47,1.47,1.47,8795,0
19980910,1.47,1.47,1.47,1.47,2104,0
19980911,1.38,1.38,1.38,1.38,6312,0
19980914,1.425,1.425,1.425,1.425,26521,0
19980915,1.5,1.5,1.5,1.5,7539,0
19980916,1.4475,1.4475,1.4475,1.4475,5195,0
19980917,1.4025,1.4025,1.4025,1.4025,1668,0
19980918,1.4025,1.4025,1.4025,1.4025,11256,0
19980921,1.4025,1.4025,1.4025,1.4025,1788,0
19980922,1.4025,1.4025,1.4025,1.4025,20260,0
19980923,1.4475,1.4475,1.4475,1.4475,14644,0
19980924,1.4475,1.4475,1.4475,1.4475,16305,0
19980925,1.425,1.425,1.425,1.425,2756,0
19980928,1.425,1.425,1.425,1.425,10520,0
19980929,1.425,1.425,1.425,1.425,10520,0
19980930,1.38,1.38,1.38,1.38,7001,0
19981001,1.38,1.38,1.38,1.38,7027,0
19981002,1.3575,1.3575,1.3575,1.3575,16832,0
19981005,1.38,1.38,1.38,1.38,16551,0
19981006,1.4025,1.4025,1.4025,1.4025,12624,0
19981007,1.425,1.425,1.425,1.425,21251,0
19981008,1.38,1.38,1.38,1.38,20527,0
19981009,1.4475,1.4475,1.4475,1.4475,11992,0
19981012,1.4475,1.4475,1.4475,1.4475,29715,0
19981013,1.425,1.425,1.425,1.425,14989,0
19981014,1.425,1.425,1.425,1.425,4208,0
19981015,1.425,1.425,1.425,1.425,4208,0
19981016,1.47,1.47,1.47,1.47,10520,0
19981019,1.425,1.425,1.425,1.425,1156,0
19981020,1.425,1.425,1.425,1.425,1929,0
19981021,1.47,1.47,1.47,1.47,7364,0
19981022,1.4475,1.4475,1.4475,1.4475,2968,0
19981023,1.4475,1.4475,1.4475,1.4475,17699,0
19981026,1.425,1.425,1.425,1.425,23901,0
19981027,1.425,1.425,1.425,1.425,15795,0
19981028,1.4475,1.4475,1.4475,1.4475,8172,0
19981029,1.4475,1.4475,1.4475,1.4475,2104,0
19981030,1.4475,1.4475,1.4475,1.4475,14728,0
19981102,1.4475,1.4475,1.4475,1.4475,9573,0
19981103,1.425,1.425,1.425,1.425,13377,0
19981104,1.425,1.425,1.425,1.425,4740,0
19981105,1.4475,1.4475,1.4475,1.4475,7059,0
19981106,1.59,1.59,1.59,1.59,19567,0
19981109,1.59,1.59,1.59,1.59,22828,0
19981110,1.5,1.5,1.5,1.5,2208,0
19981112,1.4475,1.4475,1.4475,1.4475,2009,0
19981113,1.4475,1.4475,1.4475,1.4475,12220,0
19981116,1.425,1.425,1.425,1.425,6732,0
19981117,1.425,1.425,1.425,1.425,14896,0
19981118,1.425,1.425,1.425,1.425,4587,0
19981119,1.4025,1.4025,1.4025,1.4025,3456,0
19981120,1.425,1.425,1.425,1.425,19988,0
19981123,1.5,1.5,1.5,1.5,511,0
19981124,1.38,1.38,1.38,1.38,8941,0
19981125,1.425,1.425,1.425,1.425,7511,0
19981126,1.425,1.425,1.425,1.425,4208,0
19981127,1.4025,1.4025,1.4025,1.4025,2313,0
19981130,1.38,1.38,1.38,1.38,10415,0
19981201,1.4025,1.4025,1.4025,1.4025,11151,0
19981202,1.4025,1.4025,1.4025,1.4025,7641,0
19981203,1.4025,1.4025,1.4025,1.4025,2104,0
19981204,1.4025,1.4025,1.4025,1.4025,2705,0
19981207,1.4475,1.4475,1.4475,1.4475,3051,0
19981208,1.38,1.38,1.38,1.38,3829,0
19981209,1.4025,1.4025,1.4025,1.4025,6312,0
19981210,1.38,1.38,1.38,1.38,357,0
19981211,1.425,1.425,1.425,1.425,2905,0
19981214,1.4025,1.4025,1.4025,1.4025,5260,0
19981215,1.38,1.38,1.38,1.38,1929,0
19981216,1.38,1.38,1.38,1.38,7364,0
19981217,1.4025,1.4025,1.4025,1.4025,73768,0
19981218,1.4475,1.4475,1.4475,1.4475,8416,0
19981221,1.425,1.425,1.425,1.425,3933,0
19981222,1.5225,1.5225,1.5225,1.5225,11827,0
19981223,1.5225,1.5225,1.5225,1.5225,2104,0
19981228,1.5225,1.5225,1.5225,1.5225,2104,0
19981229,1.6125,1.6125,1.6125,1.6125,14728,0
19981230,1.59,1.59,1.59,1.59,2104,0
19981231,1.5675,1.5675,1.5675,1.5675,536,0
19990104,1.5225,1.5225,1.5225,1.5225,420,0
19990105,1.5675,1.5675,1.5675,1.5675,2917,0
19990106,1.5675,1.5675,1.5675,1.5675,2104,0
19990107,1.5675,1.5675,1.5675,1.5675,5049,0
19990108,1.6125,1.6125,1.6125,1.6125,12624,0
19990111,1.5225,1.5225,1.5225,1.5225,1388,0
19990112,1.5675,1.5675,1.5675,1.5675,5260,0
19990113,1.5675,1.5675,1.5675,1.5675,17872,0
19990114,1.5675,1.5675,1.5675,1.5675,7092,0
19990115,1.425,1.425,1.425,1.425,5260,0
19990118,1.425,1.425,1.425,1.425,9833,0
19990119,1.425,1.425,1.425,1.425,36604,0
19990120,1.305,1.305,1.305,1.305,11424,0
19990121,1.3575,1.3575,1.3575,1.3575,20588,0
19990122,1.4025,1.4025,1.4025,1.4025,15193,0
19990125,1.38,1.38,1.38,1.38,9061,0
19990126,1.4025,1.4025,1.4025,1.4025,21040,0
19990127,1.4025,1.4025,1.4025,1.4025,21040,0
19990128,1.38,1.38,1.38,1.38,6557,0
19990129,1.3275,1.3275,1.3275,1.3275,8627,0
19990201,1.4025,1.4025,1.4025,1.4025,1052,0
19990202,1.4025,1.4025,1.4025,1.4025,1052,0
19990203,1.38,1.38,1.38,1.38,1156,0
19990204,1.3575,1.3575,1.3575,1.3575,12624,0
19990205,1.4025,1.4025,1.4025,1.4025,3156,0
19990208,1.3275,1.3275,1.3275,1.3275,1731,0
