Date,Open,High,Low,Close,Volume,OpenInt
20070528,22.709,28.893,22.709,25.898,1375003,0
20070529,26.091,26.961,23.694,24.158,259884,0
20070530,23.221,23.569,22.322,22.477,119377,0
20070531,22.902,23.656,22.516,23.366,71106,0
20070601,23.424,23.424,22.322,22.332,42849,0
20070604,22.226,22.226,20.293,20.95,74533,0
20070605,20.776,20.776,19.327,19.675,106328,0
20070606,19.675,19.887,18.563,19.675,37473,0
20070608,19.066,19.617,19.037,19.346,33316,0
20070611,19.713,20.148,19.713,19.81,28770,0
20070612,20.293,20.583,19.81,20.187,18215,0
20070613,20.274,20.274,19.52,19.675,14857,0
20070614,19.723,19.81,19.356,19.365,25172,0
20070615,19.365,19.568,19.249,19.394,14991,0
20070618,19.79,19.79,19.066,19.327,13545,0
20070619,20.196,21.713,20.196,21.221,56080,0
20070620,21.308,21.742,20.535,20.535,25325,0
20070621,20.457,20.873,19.906,20.651,12653,0
20070622,20.95,20.95,20.003,20.003,12827,0
20070625,19.819,20.486,19.394,19.655,22049,0
20070626,19.375,19.636,19.375,19.617,10264,0
20070627,19.53,19.53,19.327,19.375,8257,0
20070628,19.713,20.283,19.617,20.264,9965,0
20070629,20.38,20.38,19.414,19.52,13494,0
20070702,19.52,19.52,19.037,19.085,6219,0
20070703,19.423,19.423,19.037,19.317,8340,0
20070704,19.327,19.336,18.892,19.085,10495,0
20070705,19.172,19.23,18.708,18.94,8711,0
20070706,18.988,19.278,18.814,18.843,9728,0
20070709,19.037,19.037,18.757,18.921,8915,0
20070710,18.776,18.795,17.877,18.099,32482,0
20070711,18.36,18.36,17.877,17.974,13238,0
20070712,17.877,17.974,16.911,17.201,11507,0
20070713,17.394,17.684,16.92,17.143,9514,0
20070716,16.911,16.92,16.041,16.418,10902,0
20070717,16.428,16.611,15.925,16.428,17699,0
20070718,16.718,16.718,16.476,16.669,8728,0
20070719,16.911,17.181,16.631,16.65,8284,0
20070720,16.669,16.911,16.428,16.428,4258,0
20070723,16.669,16.669,16.234,16.321,2825,0
20070724,16.234,16.283,15.925,15.925,4061,0
20070725,15.558,15.848,15.51,15.606,9848,0
20070726,15.558,15.703,15.461,15.558,6920,0
20070727,15.461,15.461,15.142,15.345,9171,0
20070730,15.268,15.944,14.93,15.944,14415,0
20070731,15.944,16.234,15.751,16.234,18112,0
20070801,16.041,16.041,15.374,15.848,4827,0
20070802,15.944,15.944,15.355,15.751,5738,0
20070803,15.558,15.606,15.558,15.558,1030,0
20070806,15.355,15.355,14.592,14.93,5199,0
20070807,15.22,15.365,14.978,15.075,1776,0
20070808,15.51,15.51,14.756,15.171,3618,0
20070809,14.621,15.123,14.621,14.978,2390,0
20070810,14.592,14.592,13.335,13.529,10441,0
20070813,13.074,14.205,13.074,14.012,8256,0
20070814,14.572,14.572,13.509,13.509,1757,0
20070816,12.127,13.036,10.639,10.842,14922,0
20070817,10.63,11.499,10.108,11.432,9237,0
20070820,11.944,11.954,11.461,11.461,21048,0
20070821,11.557,11.557,10.929,11.383,22563,0
20070822,11.403,11.789,11.403,11.77,7778,0
20070823,11.963,12.485,11.499,12.272,6735,0
20070824,11.847,12.272,11.741,12.272,10400,0
20070827,12.079,13.5,12.079,13.442,23595,0
20070828,13.442,13.442,12.959,13.152,4472,0
20070829,11.983,12.997,11.934,12.997,10033,0
20070830,13.422,13.442,12.437,12.852,11320,0
20070831,12.562,12.949,12.379,12.949,1504,0
20070903,12.852,12.949,12.659,12.901,1958,0
20070904,12.794,12.794,12.611,12.659,4115,0
20070905,12.659,12.891,12.398,12.398,18981,0
20070906,12.369,12.852,12.195,12.369,903,0
20070907,12.62,12.62,12.079,12.079,4253,0
20070910,11.934,11.983,11.693,11.983,4449,0
20070911,11.751,11.992,11.751,11.983,1296,0
20070912,11.789,11.983,11.606,11.983,5791,0
20070913,11.615,11.789,11.606,11.664,1442,0
20070914,11.983,11.983,11.606,11.741,1330,0
20070917,11.741,11.741,11.606,11.606,2035,0
20070918,11.596,11.876,11.596,11.741,865,0
20070919,11.886,11.896,11.741,11.741,7088,0
20070920,11.838,11.838,11.644,11.828,17011,0
20070921,11.828,11.867,11.741,11.867,2163,0
20070924,11.751,11.925,11.664,11.828,12359,0
20070925,11.673,11.867,11.596,11.867,19286,0
20070926,11.876,11.934,11.625,11.934,5648,0
20070927,11.934,12.263,11.934,12.243,27817,0
20070928,12.282,12.282,11.712,12.05,6361,0
20071001,11.983,11.983,11.712,11.828,884,0
20071002,11.712,12.07,11.712,12.012,8571,0
20071003,12.07,12.099,12.021,12.099,13192,0
20071004,12.079,12.272,12.079,12.127,5548,0
20071005,11.983,12.263,11.915,12.166,1855,0
20071008,12.224,12.224,12.176,12.224,6802,0
20071009,12.089,12.272,12.089,12.272,1999,0
20071010,12.282,12.756,12.282,12.746,10338,0
20071011,12.756,13.007,12.756,13.007,5605,0
20071012,12.852,13.046,12.804,13.046,13054,0
20071015,13.046,15.075,12.959,14.302,28529,0
20071016,14.302,14.882,14.302,14.688,8265,0
20071017,14.311,14.775,14.031,14.775,5175,0
20071018,14.833,14.833,14.408,14.582,2760,0
20071019,14.592,14.592,13.732,14.495,8278,0
20071022,13.886,14.302,13.703,14.099,3980,0
20071023,14.099,14.495,13.741,14.495,4997,0
20071024,14.495,14.495,14.012,14.108,2533,0
20071025,14.205,14.495,14.157,14.447,3158,0
20071026,14.108,14.447,13.954,14.447,3600,0
20071029,14.302,14.485,14.157,14.485,5097,0
20071030,14.05,14.166,14.012,14.012,2085,0
20071031,13.944,14.379,13.741,14.379,1587,0
20071102,13.741,14.012,13.741,14.012,827,0
20071105,13.741,13.915,13.538,13.915,2878,0
20071106,13.906,13.906,12.785,13.751,4600,0
20071107,12.852,13.046,11.925,12.079,6703,0
20071108,11.596,12.688,10.755,11.886,16523,0
20071109,12.079,12.553,12.079,12.553,8981,0
20071112,12.553,12.553,12.079,12.272,23554,0
20071113,12.746,12.746,12.079,12.272,4985,0
20071114,12.707,12.901,12.079,12.417,5757,0
20071115,11.615,12.214,11.615,12.079,32511,0
20071116,12.07,12.263,12.07,12.263,13566,0
20071119,12.272,12.562,12.272,12.562,6675,0
20071120,12.466,12.611,11.615,12.611,22419,0
20071121,12.562,12.572,12.466,12.562,65047,0
20071122,12.079,12.611,12.079,12.562,26428,0
20071123,12.553,12.562,12.553,12.562,4951,0
20071126,12.253,12.562,12.253,12.562,1673,0
20071127,12.514,12.562,12.514,12.562,13372,0
20071128,12.562,12.611,12.562,12.611,833,0
20071129,12.562,12.756,12.562,12.756,347,0
20071130,12.852,12.901,12.562,12.901,5832,0
20071203,12.611,12.659,12.553,12.659,785,0
20071204,12.562,12.562,12.495,12.495,839,0
20071205,12.543,12.543,11.712,12.543,3603,0
20071206,12.379,12.562,12.079,12.562,6672,0
20071207,12.127,12.504,12.127,12.272,2971,0
20071210,12.272,12.572,12.272,12.562,11902,0
20071211,12.562,12.62,12.466,12.562,12325,0
20071212,12.514,12.514,12.379,12.514,1395,0
20071213,12.379,12.379,12.089,12.089,5917,0
20071214,12.089,12.553,11.789,12.553,27442,0
20071217,12.359,12.611,12.359,12.562,56095,0
20071218,12.475,12.659,12.475,12.572,38683,0
20071219,12.524,12.524,12.446,12.524,6498,0
20071220,12.408,12.562,12.176,12.321,9877,0
20071221,12.282,12.282,11.664,11.78,14192,0
20071227,12.079,12.176,12.079,12.166,1967,0
20071228,12.099,12.099,11.132,11.354,11219,0
20080102,11.77,12.388,11.77,12.205,2945,0
20080103,11.615,12.495,11.615,12.495,1611,0
20080104,11.789,12.176,11.789,12.176,313,0
20080107,11.789,12.156,11.422,12.031,3083,0
20080108,11.886,11.915,11.886,11.915,3524,0
20080109,11.886,12.263,11.886,12.079,28905,0
20080110,11.422,11.886,11.422,11.77,364,0
20080111,11.886,11.886,11.596,11.789,1338,0
20080114,11.596,11.876,11.596,11.828,5775,0
20080115,11.461,11.886,11.461,11.499,1707,0
20080116,10.842,11.499,9.857,10.002,4612,0
20080117,10.156,10.63,10.05,10.62,1812,0
20080118,10.253,11.094,10.243,10.726,12897,0
20080121,11.403,11.499,10.147,10.147,7337,0
20080122,9.663,10.147,9.1995,10.147,4861,0
20080123,10.949,10.949,10.63,10.813,2891,0
20080124,11.441,11.441,10.746,11.016,662,0
20080125,11.403,11.403,10.813,11.393,1388,0
20080128,11.364,11.364,10.639,11.065,795,0
20080129,11.113,11.596,10.678,11.586,1745,0
20080130,11.596,11.596,11.219,11.586,659,0
20080131,10.736,11.538,10.736,11.538,100,0
20080201,11.403,11.403,10.92,11.016,761,0
20080204,11.403,11.403,11.113,11.393,237,0
20080205,11.393,11.78,11.393,11.596,7090,0
20080206,11.18,11.596,11.18,11.577,41630,0
20080207,11.693,11.693,11.18,11.596,8431,0
20080208,11.113,11.596,11.113,11.596,493,0
20080211,11.171,11.693,11.171,11.567,39,0
20080212,11.615,11.615,11.596,11.596,215,0
20080213,11.596,11.596,10.775,11.103,1462,0
20080214,11.586,11.586,11.113,11.432,638,0
20080215,11.123,11.209,11.123,11.209,6225,0
20080218,10.833,11.422,10.833,11.422,19,0
20080219,10.842,11.065,10.833,10.833,424,0
20080220,11.065,11.065,10.726,10.823,444,0
20080221,10.765,11.113,10.678,11.103,307,0
20080222,10.678,11.499,10.678,11.113,232,0
20080225,11.103,11.451,11.103,11.451,12,0
20080226,11.306,11.306,10.678,10.746,303,0
20080227,11.403,11.403,10.726,11.161,1131,0
20080228,11.113,11.364,11.113,11.364,157,0
20080229,11.306,11.306,10.147,10.147,275,0
20080303,9.663,11.393,9.644,9.673,2028,0
20080304,11.19,11.19,9.963,9.963,2652,0
20080305,9.779,10.62,9.673,10.61,710,0
20080306,10.61,10.61,9.712,9.76,1281,0
20080307,9.953,9.953,9.76,9.76,544,0
20080310,10.04,10.147,9.953,10.147,529,0
20080311,10.05,10.147,10.05,10.147,509,0
20080312,10.147,10.62,9.808,10.572,440,0
20080313,10.147,10.147,10.147,10.147,103,0
20080314,10.552,10.823,10.147,10.63,269,0
20080317,10.91,10.91,9.857,10.533,531,0
20080318,9.905,10.485,9.905,10.485,6,0
20080319,10.581,10.581,10.504,10.533,417,0
20080325,9.857,10.581,9.857,10.581,677,0
20080326,10.581,10.581,10.581,10.581,93,0
20080327,9.963,10.707,9.963,10.62,580,0
20080328,10.06,10.552,9.857,10.523,2305,0
20080331,10.147,10.494,10.147,10.494,65,0
20080402,9.982,9.982,9.953,9.953,542,0
20080403,9.905,9.905,9.876,9.876,210,0
