Date,Open,High,Low,Close,Volume,OpenInt
20110527,62.5,63.6,60.65,61.25,581978,0
20110530,61.35,61.35,60.55,60.9,74852,0
20110531,60.85,61,60.6,60.7,60048,0
20110601,60.6,60.6,60.05,60.15,42566,0
20110602,60,60.15,59.9,60.15,67107,0
20110603,60.1,60.45,60,60.45,36239,0
20110606,60.45,60.45,60,60,52013,0
20110607,60,60.2,60,60.2,15324,0
20110608,60.1,60.2,60,60.2,51429,0
20110609,60,60.15,59.95,60,110286,0
20110610,60,60,59.9,59.95,140854,0
20110613,60,60,59.9,60,102035,0
20110614,60,60,59.8,59.95,38276,0
20110615,59.55,59.85,59.5,59.65,30301,0
20110616,59.65,59.65,59.15,59.2,54420,0
20110617,59.1,59.2,58.85,59.05,54277,0
20110620,58.4,59.5,58.4,59.5,59019,0
20110621,59.05,59.4,59,59.1,27833,0
20110622,58.6,59.1,58.6,59,20281,0
20110624,58.35,59.1,58.3,59,20158,0
20110627,58.55,58.6,58.3,58.4,19596,0
20110628,58.1,58.55,58,58.5,22135,0
20110629,58.4,59.1,58.4,58.7,8880,0
20110630,59,59.1,58.65,59.1,6154,0
20110701,59,59.1,58.6,59.05,18115,0
20110704,58.8,59,58.65,59,6536,0
20110705,58.6,59.3,58.6,59.1,42263,0
20110706,58.65,58.9,58.6,58.65,8256,0
20110707,58.6,58.65,58.25,58.45,23946,0
20110708,58.45,58.5,58.25,58.45,12322,0
20110711,58.15,58.4,58.1,58.3,7055,0
20110712,58,58,57.4,57.8,31291,0
20110713,57.4,58,57.35,58,14255,0
20110714,57.35,57.9,57.35,57.75,4706,0
20110715,57.4,57.55,57.35,57.5,6035,0
20110718,57.25,57.45,56.95,57.2,12406,0
20110719,56.6,57,56.15,56.75,10313,0
20110720,56.15,56.9,56.15,56.9,8252,0
20110721,56.8,56.8,56.3,56.5,25558,0
20110722,56.2,56.9,56.1,56.85,6044,0
20110725,56.85,57.35,56.5,57.35,8507,0
20110726,57.3,57.3,56.65,57,3912,0
20110727,56.8,56.8,56.2,56.8,4072,0
20110728,56.05,56.15,55.55,56,5358,0
20110729,55.55,56,55.55,55.6,5110,0
20110801,55.6,56.4,55.5,55.8,6881,0
20110802,55.5,55.7,55,55.05,4778,0
20110803,54.95,54.95,52.25,53.4,12061,0
20110804,52.55,53,51,51.7,18042,0
20110805,49.9,50.95,48.55,50.5,34525,0
20110808,47.9,49,47.25,48.11,44571,0
20110809,46.1,48,42.5,44.82,32821,0
20110810,45,47.9,44.85,46,27767,0
20110811,46,47.1,44.56,46.9,14699,0
20110812,47.5,49,47.03,48.5,6240,0
20110816,49.3,49.49,48.92,49.48,3864,0
20110817,49.1,49.51,48.11,49.5,4350,0
20110818,49,49,47,47.21,11023,0
20110819,45.7,47.2,45.1,47.18,3936,0
20110822,45.5,48.45,45.5,47.88,2619,0
20110823,48,49,47.25,48.6,3743,0
20110824,48.6,48.6,47.4,48.5,1605,0
20110825,47.55,48.68,47.51,47.83,3112,0
20110826,47.5,48,47.01,47.99,1637,0
20110829,47.99,48.49,47.92,48.49,3305,0
20110830,48.5,48.98,47.7,47.84,3591,0
20110831,47.62,48.8,47.56,48.2,4238,0
20110901,48,48.85,47.6,48.49,4323,0
20110902,48.38,48.38,46.5,47.95,2688,0
20110905,46.35,46.8,45.55,45.56,1922,0
20110906,45.12,46.95,45,46.93,3205,0
20110907,46.8,47,45.6,47,6981,0
20110908,46.02,46.47,45.91,46.42,12784,0
20110909,46,46.33,45.01,45.75,71803,0
20110912,45.46,45.46,42.5,44.5,5857,0
20110913,43.71,44.44,43,43.8,4344,0
20110914,43.16,43.7,42.56,43,4374,0
20110915,42.95,44,42.5,43.79,5552,0
20110916,43.82,44,43.5,43.52,2701,0
20110919,43.5,43.5,40.6,42,9498,0
20110920,41.98,42.89,41.28,42.89,3907,0
20110921,42.15,42.5,42.15,42.25,5022,0
20110922,41.99,41.99,40.5,41.2,6238,0
20110923,40.56,40.56,39.07,39.84,6746,0
20110926,39.1,39.84,38.21,39.5,6173,0
20110927,39.61,40.29,39.5,40,3697,0
20110928,40,40,39.12,39.79,1521,0
20110929,39.5,40,39.02,39.89,2563,0
20110930,39.5,39.89,39.5,39.89,2047,0
20111003,39.41,39.45,38.8,39.45,2861,0
20111004,39,39,38,38.47,33799,0
20111005,38.15,38.5,38.05,38.3,2060,0
20111006,38.3,39.1,38.3,38.99,3146,0
20111007,39.5,40.29,39,40.29,4505,0
20111010,40.29,45.99,40.29,45.5,14485,0
20111011,45,46.99,43.61,46.5,9192,0
20111012,45.99,48.44,45,47.1,8725,0
20111013,45.9,46.8,45.9,46.21,2930,0
20111014,46.05,46.21,45.75,46.1,1831,0
20111017,46,46.11,45.15,46,3223,0
20111018,43.51,46,43.5,45.01,2385,0
20111019,44.15,45.01,44.15,44.75,175093,0
20111020,44.5,44.5,43.72,43.75,1013,0
20111021,43,44.74,43,43.8,1430,0
20111024,44.2,44.75,43.55,44.6,1967,0
20111025,44.5,44.5,43.85,44.05,1589,0
20111026,43.8,44.05,43.25,43.5,2016,0
20111027,43.56,44.7,43.56,44.7,3099,0
20111028,44.89,44.89,44.02,44.7,1691,0
20111031,44.1,44.8,43.65,44.75,1907,0
20111102,42.5,44,42,44,6559,0
20111103,42.8,43.8,42.8,43.7,17159,0
20111104,44.01,44.2,43.11,43.12,2708,0
20111107,43.01,43.15,42.8,42.8,1860,0
20111108,42.8,43,42.56,42.9,1936,0
20111109,42.7,42.7,41.8,42,2750,0
20111110,41.1,42.2,41,42,3171,0
20111114,42.1,42.9,41.61,41.7,2744,0
20111115,41.7,41.7,41,41.5,3377,0
20111116,41.02,41.9,41.02,41.7,2558,0
20111117,41.11,41.69,41.11,41.65,1631,0
20111118,41.3,42,41.3,42,1886,0
20111121,42,42,40.8,41.22,2809,0
20111122,40.9,41.2,40.5,40.7,3111,0
20111123,40.5,40.5,40.04,40.2,2749,0
20111124,40.01,40.78,40.01,40.41,3597,0
20111125,40.22,43,40.2,42.5,6217,0
20111128,41.59,44.13,41.59,44.1,6071,0
20111129,44.08,44.2,43.21,44,4458,0
20111130,44,45.76,43.3,45.76,34597,0
20111201,44.5,46.74,44.5,46.05,18551,0
20111202,45.1,48.5,45.1,47.5,10856,0
20111205,47.3,47.49,46.71,47.1,5708,0
20111206,46.6,47.05,46.48,46.5,10928,0
20111207,46,46.5,46,46.5,4215,0
20111208,46.05,46.6,46.05,46.15,4776,0
20111209,45.45,46.6,45.45,46.1,8584,0
20111212,46,46.2,45.65,46.2,11742,0
20111213,45.8,46.99,45.35,46,6079,0
20111214,45.42,46.09,45.42,45.94,6618,0
20111215,46,46.07,45.62,46.05,9748,0
20111216,45.85,46.03,45.85,46,3401,0
20111219,45.6,46.2,45.6,46.01,8642,0
20111220,45.95,47.99,45.95,47.4,23553,0
20111221,47.5,47.5,46.65,47.12,4152,0
20111222,47.09,47.09,46.8,46.8,6958,0
20111223,46.8,47.23,46.8,46.8,7753,0
20111227,46.8,47.1,46.65,46.65,14208,0
20111228,46.65,47.1,46.63,46.98,4288,0
20111229,46.63,47,46.63,46.9,3122,0
20111230,47,47.1,46.75,46.8,5507,0
20120102,46.7,47,46.56,46.9,5131,0
20120103,46.7,47,46.32,47,1797,0
20120104,46.42,46.9,46.42,46.9,2814,0
20120105,46.66,47,46.66,46.9,3628,0
20120109,46.63,47,46.63,47,3540,0
20120110,46.99,47.19,46.71,47.15,73522,0
20120111,46.74,47.02,46.74,46.92,21963,0
20120112,46.92,47.15,46.9,47.15,3465,0
20120113,47,47.15,46.9,46.9,1532,0
20120116,46.35,46.9,46.35,46.44,1803,0
20120117,46.44,46.79,46.4,46.6,2743,0
20120118,46.5,46.9,46.5,46.6,5124,0
20120119,46.6,47,46.6,46.72,3858,0
20120120,46.6,46.7,46.6,46.7,2969,0
20120123,46.6,46.75,46.6,46.6,1445,0
20120124,46.38,46.45,46.01,46.02,915,0
20120125,46.02,46.02,45.62,45.8,1155,0
20120126,45.57,46.6,45.57,46.37,2871,0
20120127,46.14,47.15,46,46.73,2506,0
20120130,46.11,46.5,46.11,46.41,1315,0
20120131,46.34,47.15,46.34,46.7,3058,0
20120201,46.65,47.2,46.65,47.2,4108,0
20120202,47.02,47.44,47.02,47.3,2103,0
20120203,47.15,47.29,47.07,47.15,2504,0
20120206,47,49.5,47,49.5,8314,0
20120207,50,50,49.13,50,8661,0
20120208,50.1,50.2,49.56,50.2,3257,0
20120209,50.4,50.5,50,50.5,6437,0
20120210,49.6,50,48,49.4,4180,0
20120213,49,49.88,48.6,48.6,2757,0
20120214,48.5,48.51,48,48,2202,0
20120215,48.1,48.2,47.76,47.77,1573,0
20120216,47.8,47.8,47.5,47.56,1157,0
20120217,47.61,49,47.56,48.1,3928,0
20120220,47.9,48.64,47.81,48.49,3969,0
20120221,48.5,49,48.5,48.85,2770,0
20120222,48.9,50.05,48.9,49.5,6499,0
20120223,49.5,49.9,49.45,49.45,1729,0
20120224,49.02,49.2,48.92,49,3451,0
20120227,49.15,49.15,48.2,48.26,3065,0
20120228,48.49,48.49,47.95,48.49,2808,0
20120229,48.01,50.2,48,50,8076,0
20120301,49.2,49.2,48.3,48.52,990,0
20120302,48.36,49.68,48.12,49.65,1340,0
20120305,49,49,48.25,48.45,1906,0
20120306,48.45,48.5,45,46.25,5396,0
20120307,47,47.8,47,47.73,2023,0
20120308,47.73,48.62,47.7,48,1243,0
20120309,47.95,48.1,47.62,47.63,1222,0
20120312,47.7,48,46.4,47,1465,0
20120313,47,47.15,47,47,1147,0
20120314,47.1,47.45,47.1,47.2,1065,0
20120315,47.3,47.3,46.8,47.2,872,0
20120316,47.01,47.01,46.61,47,1355,0
20120319,47,47,46.52,46.99,788,0
20120320,46.5,46.53,46.21,46.4,1138,0
20120321,46.12,47,46.02,46.03,1723,0
20120322,46,46,45.1,45.25,1509,0
20120323,45.26,45.6,45.12,45.6,1662,0
20120326,45.3,45.52,44.8,45.52,1252,0
20120327,45.2,48,45.05,47.45,2214,0
20120328,45.66,47,45.66,45.72,2165,0
20120329,45.62,45.7,45.11,45.3,718,0
20120330,45.3,45.5,45,45.3,1428,0
20120402,45.5,45.5,44.8,45,2194,0
20120403,44.81,45.49,44.81,45.47,66690,0
20120404,45.46,47,45.46,46.02,58432,0
20120405,46.01,49.2,45.12,47.9,24174,0
20120410,47.8,47.87,46.2,46.26,1054,0
20120411,46.98,46.98,46.07,46.96,1177,0
20120412,71.35,71.4,71.2,71.35,602755,0
20120413,71.3,71.35,71.25,71.25,218912,0
20120416,71.1,71.15,71.1,71.1,62439,0
20120417,71.1,71.15,71.1,71.1,41363,0
20120418,71.15,71.2,71.15,71.2,34001,0
20120419,71.15,71.2,71.15,71.15,28802,0
20120420,71.15,71.2,71.15,71.15,21582,0
20120423,71.15,71.2,71.15,71.15,24222,0
20120424,71.15,71.15,71.15,71.15,25527,0
20120425,71.15,71.2,71.15,71.15,22802,0
20120426,71.2,71.2,71.15,71.2,19416,0
20120427,71.15,71.2,71.15,71.2,16271,0
20120430,71.2,71.3,71.2,71.25,13783,0
20120502,71.25,71.7,71.25,71.7,12775,0
20120504,71.8,71.8,71.65,71.75,13424,0
20120507,71.65,71.75,71.55,71.65,23232,0
20120508,71.65,71.8,71.65,71.75,80299,0
20120509,71.75,71.8,71.75,71.8,23407,0
20120510,71.8,71.85,71.55,71.65,194049,0
20120511,71.65,71.75,71.65,71.75,9545,0
20120514,71.7,71.75,71.7,71.7,14420,0
20120515,71.7,71.85,71.7,71.85,26632,0
20120516,71.7,71.9,71.7,71.85,170199,0
20120517,71.7,71.9,71.7,71.85,78747,0
20120518,71.85,71.85,71.75,71.75,17819,0
20120521,71.75,71.8,71.75,71.75,12616,0
20120522,71.8,71.9,71.75,71.8,42028,0
20120523,71.8,71.8,68.5,70.1,211560,0
20120524,70,70.35,70,70.35,7886,0
20120525,70.45,70.65,70.45,70.45,14526,0
20120528,70.45,70.5,70.4,70.5,8937,0
20120529,70.5,71.2,70.5,71,22613,0
20120530,70.85,71,70.85,71,10775,0
20120531,71,71.15,71,71,71468,0
20120601,71,71,71,71,3441,0
20120604,71,71.1,71,71,3572,0
20120605,71,71.1,71,71.1,5707,0
20120606,71,71.05,71,71,3297,0
20120608,71,71.25,71,71.25,5171,0
20120611,71,71.25,71,71.25,6520,0
20120612,71.05,71.25,71.05,71.25,3102,0
20120613,71.15,71.2,71.1,71.2,2789,0
20120614,71.1,71.2,71.1,71.2,2990,0
20120615,71.2,71.2,71.15,71.2,3686,0
20120618,71.1,71.7,71,71.7,32993,0
20120619,71.2,72,71.2,71.6,48046,0
20120620,71.2,71.75,71.2,71.6,2764,0
20120621,71.3,71.8,71.3,71.4,6727,0
20120622,71.3,71.4,71.25,71.4,1966,0
20120625,71.35,71.4,71.35,71.35,2462,0
20120626,71.3,71.5,71.3,71.5,4072,0
20120627,71.4,71.7,71.3,71.7,2997,0
20120628,71.35,71.55,71.35,71.55,1937,0
20120629,71.35,71.95,71.35,71.45,15868,0
20120702,71.35,71.5,71.35,71.45,1992,0
20120703,71.4,71.55,71.4,71.55,1713,0
20120704,71.4,71.55,71.4,71.55,1987,0
20120705,71.55,71.6,71.5,71.55,2110,0
20120706,71.5,71.55,71.4,71.5,2682,0
20120709,71.5,71.6,71.5,71.6,2585,0
20120710,71.55,71.6,71.55,71.55,3749,0
20120711,71.55,71.6,71.55,71.55,2458,0
20120712,71.55,71.55,71.55,71.55,3720,0
20120713,71.55,71.8,71.55,71.8,8199,0
20120716,71.5,71.6,71.5,71.55,2983,0
20120717,71.55,71.6,71,71.05,15165,0
20120718,71.05,71.3,71.05,71.25,1685,0
20120719,71.25,71.25,71.25,71.25,5711,0
20120720,71.25,71.35,71.25,71.35,5917,0
20120723,71.05,71.2,71.05,71.15,2805,0
20120724,71.15,71.15,66,68.85,9868,0
20120725,68.8,69.9,67.3,69.4,6317,0
20120726,67,69,66.4,66.65,3587,0
20120727,66.05,70,66.05,69.05,6134,0
20120730,69,69.1,67.1,68.25,7378,0
20120731,68.2,70.5,68.2,70.35,5405,0
20120801,70.1,72,70.1,70.3,5224,0
20120802,70.35,71,70.15,71,2535,0
20120803,71,71.3,71,71,5909,0
20120806,71,71.15,71,71.1,2133,0
20120807,71,71,71,71,3427,0
20120808,71,71.2,70.2,71,4047,0
20120809,71,71,70.5,70.8,2908,0
20120810,70.8,71,70.8,70.9,1956,0
20120813,70.8,71,70.8,71,1958,0
20120814,71,71.2,71,71.2,2332,0
20120816,71.15,71.3,71.05,71.3,2164,0
20120817,71.2,71.35,71.2,71.3,2436,0
20120820,71.3,71.3,71.25,71.3,1203,0
20120821,71.3,71.35,71.3,71.35,2173,0
20120822,71.35,71.4,71.35,71.4,2981,0
20120823,71.35,71.4,71.35,71.4,2107,0
20120824,71.4,71.5,71.4,71.45,1813,0
20120827,71.45,71.55,71.35,71.55,3722,0
20120828,71.55,71.55,71.35,71.55,1701,0
20120829,71.65,71.65,71.35,71.55,1478,0
20120830,71.5,71.5,71.25,71.4,2437,0
20120831,71.4,71.55,71.4,71.5,1639,0
20120903,71.55,71.55,71.55,71.55,1577,0
20120904,71.55,71.55,71.55,71.55,1657,0
20120905,71.55,71.6,71.55,71.6,1732,0
20120906,71.55,71.6,71.55,71.6,2131,0
20120907,71.6,71.65,71.6,71.65,1686,0
20120910,71.65,71.7,71.65,71.65,1311,0
20120911,71.65,71.7,71.65,71.65,1478,0
20120912,71.65,71.7,71.6,71.7,1236,0
20120913,71.7,71.75,71.7,71.75,1666,0
20120914,71.75,71.8,71.75,71.8,1293,0
20120917,71.75,72,71.7,71.7,3097,0
20120918,71.75,71.8,70.1,71.6,1142,0
20120919,71.7,71.75,71.7,71.75,1520,0
20120920,71.75,71.75,71.5,71.75,1029,0
20120921,71.75,71.9,71.75,71.9,1260,0
20120924,71.75,71.75,71.6,71.75,1245,0
20120925,71.75,71.85,71.75,71.8,1454,0
20120926,71.75,71.85,71.75,71.8,1065,0
20120927,71.8,71.8,71.15,71.8,2201,0
20120928,71.8,71.85,71.8,71.85,1077,0
20121001,71.75,71.85,71.75,71.85,1238,0
20121002,71.75,71.9,71.75,71.9,1040,0
20121003,71.85,71.9,71.85,71.85,783,0
20121004,71.85,71.9,71.85,71.9,2119,0
20121005,71.9,71.9,71.2,71.6,550,0
20121008,71.2,71.6,71.2,71.6,770,0
20121009,71.6,71.85,71.6,71.7,1281,0
20121010,71.7,71.8,71.5,71.5,884,0
20121011,71.5,71.9,71.5,71.7,1037,0
20121012,71.75,71.95,71.75,71.9,919,0
20121015,71.75,71.9,71.75,71.9,1347,0
20121016,71.9,71.95,71.9,71.95,2558,0
20121017,71.95,71.95,71.9,71.9,972,0
20121018,71.9,71.9,71.85,71.85,688,0
20121019,71.4,71.95,70.75,71.7,1703,0
20121022,71.7,71.7,71.5,71.7,1396,0
20121023,72,72,71.7,71.7,565,0
20121024,71.7,72,71.7,71.9,1745,0
20121025,72,72.1,71.9,72,1219,0
20121026,72,72,72,72,911,0
20121029,72,72,71.05,72,1272,0
20121030,72,72,71.8,72,990,0
20121031,71.8,72,71.8,72,822,0
20121102,72,72,71.9,72,298,0
20121105,71.9,72,71.1,71.6,883,0
20121106,71.7,72.5,71.6,71.85,1446,0
20121107,71.8,72.05,71.5,72,1030,0
20121108,72,72.1,72,72.1,3021,0
20121109,71.6,72,71.6,72,554,0
20121112,71.8,71.8,71.6,71.6,577,0
20121113,71.6,71.6,71.3,71.4,431,0
20121114,71.4,71.4,70.4,70.4,510,0
20121115,70.15,70.4,67.2,70,243,0
20121116,69.5,69.5,67.2,67.2,374,0
20121119,67.25,67.5,65,65.3,724,0
20121120,65,66.9,63.05,65.5,824,0
20121121,65.5,65.5,64.3,64.9,467,0
20121122,64.35,64.35,60.3,63.1,835,0
20121123,62.15,62.5,60.6,61.3,817,0
20121126,60.2,61.05,59,60.9,1158,0
20121127,59.05,60.85,59,60.65,914,0
20121128,59.1,60.65,59.1,60.65,502,0
20121129,60,64,60,61.2,1459,0
20121130,60.65,63,60.55,63,879,0
20121203,61.6,63,61.6,62.85,559,0
20121204,61.05,62.85,61.05,62,1130,0
20121205,61.25,62,61.25,61.9,910,0
20121206,61.8,61.8,60.1,60.45,1094,0
20121207,60.45,61,60,60,538,0
20121210,59.25,60.95,58.4,59.95,821,0
20121211,59,59,58,58,2268,0
20121212,57.65,57.9,55.4,57,2098,0
20121213,57,58.4,57,58,1321,0
20121214,57.7,58,57.5,58,479,0
20121217,57.3,57.9,57.25,57.25,671,0
20121218,57.2,58,55.8,56.25,1092,0
20121219,56.2,56.2,55.05,55.6,821,0
20121220,55.6,55.6,55,55.1,870,0
20121221,54.5,55,54.1,54.2,367,0
20121227,53,55,52.1,53.6,1134,0
20121228,53.6,54.85,53.2,54.85,665,0
20130102,54.7,57,54.2,56,841,0
20130103,55.6,56.85,55.6,55.6,217,0
20130104,55.6,55.6,55.1,55.1,105,0
20130107,55.1,55.95,55,55.95,211,0
20130108,55.05,56.75,55.05,55.95,348,0
20130109,55,55.5,55,55.5,315,0
20130110,55,55.4,54,55.4,754,0
20130111,55.35,56.45,55.35,55.45,671,0
20130114,54.5,59.9,54.5,59.55,2173,0
20130115,59.55,59.55,57.2,57.45,123,0
20130116,57.05,57.5,57.05,57.35,177,0
20130117,57.3,59,57.3,57.4,431,0
20130118,58,59,58,58.1,590,0
20130121,58,58,57.15,58,255,0
20130122,57.65,58.9,57.5,58.45,416,0
20130123,58.45,58.45,57.35,57.4,339,0
20130124,57.35,58,57,58,910,0
20130125,58,58,55.55,57.1,383,0
20130128,56.15,56.5,55.85,56.1,278,0
20130129,55.85,57.35,55.85,56.2,365,0
20130130,56.1,57,56.1,57,35,0
20130131,56.95,56.95,55.3,56.9,153,0
20130201,55.3,56.9,55.3,55.45,160,0
20130204,55.45,56.95,55,55.4,757,0
20130205,55.4,55.95,55,55.95,234,0
20130206,55.15,55.9,55.15,55.9,185,0
20130207,55.2,55.9,55.1,55.2,265,0
20130208,55,55.9,55,55.3,507,0
20130211,55.25,55.65,55.25,55.5,312,0
20130212,55.45,55.85,55.1,55.1,308,0
20130213,55,55,55,55,610,0
20130214,55,55.5,54.5,55,301,0
20130215,55,55,54.5,54.5,198,0
20130218,54.5,55,54.5,55,67,0
20130219,54.85,55.6,54.5,54.5,337,0
20130220,54.5,56,53.5,55.5,1186,0
20130221,54,54.95,54,54.95,301,0
20130222,54,54.95,53.9,53.9,184,0
20130225,53.25,54,53.1,54,180,0
20130226,54,54.85,53.8,54.85,254,0
20130227,53.8,55.4,53.5,55.35,277,0
20130228,54.5,55.6,54.2,55.35,104,0
20130301,54.4,55,54.4,54.4,151,0
20130304,54.4,54.9,54,54.8,507,0
20130305,54,54.1,54,54.1,100,0
20130306,54.1,54.1,54.1,54.1,169,0
20130307,54.7,55,54.4,54.95,461,0
20130308,54.55,54.95,54.35,54.95,160,0
20130311,54.4,54.4,54.15,54.15,246,0
20130312,54.2,54.95,54,54.9,220,0
20130313,54.3,54.9,54.3,54.9,105,0
20130314,54.9,55,54.1,54.1,211,0
20130315,54.1,55,54.1,54.2,168,0
20130318,54.2,54.25,54.2,54.25,269,0
20130319,54,54.15,54,54,300,0
20130320,53.2,53.5,53.2,53.5,228,0
20130321,53.5,53.5,53,53,404,0
20130322,51.55,52.8,51.4,51.45,1205,0
20130325,51.5,51.95,49.1,49.1,1040,0
20130326,49.15,50,48.5,50,460,0
20130327,49,49.2,49,49.15,129,0
20130328,48.6,49.15,48.6,49.15,63,0
20130402,49,49,48.5,48.5,117,0
20130403,49.15,49.15,48.5,48.5,242,0
20130404,48.15,48.15,48.05,48.15,470,0
20130405,48,48,47.5,48,1367,0
20130408,47.3,49.8,47.05,49.75,945,0
20130409,47.5,49.4,47.5,49.4,96,0
20130410,49.8,49.8,48.01,49.4,75,0
20130411,48.6,49.5,48,49.45,461,0
20130412,49.45,49.5,48.3,49,178,0
20130415,48.01,48.88,48.01,48.88,39,0
20130417,47.65,49,47.65,48.5,188,0
20130418,47.65,48.8,46.95,46.95,360,0
20130419,47,47.9,46.75,47.85,653,0
20130422,47.05,47.5,46.01,46.5,666,0
20130423,46.01,48,46.01,46.86,727,0
20130424,46.53,47.95,46.51,47.9,710,0
20130425,47.5,47.5,46.21,46.6,229,0
20130426,46.22,46.6,46.22,46.6,172,0
20130429,46.6,47.75,46,47,1416,0
20130430,46.1,47.65,46.1,47.65,248,0
20130502,46.15,47.85,46.15,47.85,74,0
20130506,46.51,47.7,46.5,47.7,180,0
20130507,47,47.7,46.16,47.4,467,0
20130508,47.35,47.69,46.51,47.69,735,0
20130509,47.5,48.8,47.5,48.5,858,0
20130510,48.5,50,48.5,49.55,1104,0
20130513,49.55,49.84,48.85,49.84,351,0
20130514,49,50,49,50,848,0
20130515,49.3,50,49.3,49.95,173,0
20130516,49.2,49.95,49.1,49.9,221,0
20130517,49.11,49.9,49.05,49.9,465,0
20130520,49.03,49.82,48.2,48.2,477,0
20130521,48.5,49.45,48.22,48.71,548,0
20130522,48.71,50,48.7,50,403,0
20130523,49.13,50.95,49.13,50.9,615,0
20130524,50.89,52.85,50.88,52.85,1070,0
20130527,52.17,53.75,52.17,52.55,762,0
20130528,52.55,56.15,52.55,56.07,978,0
20130529,56,56,55,55.02,737,0
20130531,55.05,55.05,54.8,55,484,0
20130603,54.9,54.9,54.25,54.78,342,0
20130604,54.33,57,54.33,56.24,1714,0
20130605,54.5,56.25,54.5,56.2,55,0
20130606,55,55.5,55,55.5,145,0
20130607,54.6,56,54.55,55.95,2709,0
20130610,55.51,55.95,55.5,55.5,184,0
20130611,55.5,55.5,54.5,55.25,536,0
20130612,55.5,55.5,54.52,55.25,693,0
20130613,54.59,55.25,54.5,55.2,850,0
20130614,54.31,55,54.31,54.53,124,0
20130617,54.52,55.2,54.52,55.2,217,0
20130618,54.52,55.2,54.51,55,196,0
20130619,55,55,54.51,55,251,0
20130620,54.53,55,54,54,693,0
20130621,54,54.6,53.35,53.95,666,0
20130624,53.35,54,53.05,53.95,381,0
20130625,53.8,54.9,53.05,54.9,3106,0
20130626,53.6,53.63,53.5,53.5,183,0
20130627,53.5,54.3,53.05,54.3,232,0
20130628,53.51,56.25,53.51,55.11,1824,0
20130701,54.89,55.39,53.7,55,1058,0
20130702,54.02,54.5,53.61,54.5,785,0
20130703,54.5,54.5,53.8,53.8,338,0
20130704,53.76,55,53.76,55,191,0
20130705,53.9,55.4,53.7,55.16,1306,0
20130708,54,56.5,54,55,1814,0
20130709,55.1,55.1,55,55,120,0
20130710,55,55,54,54.1,150,0
20130711,54.3,56,54.3,55.1,62,0
20130712,55.1,57,54.4,57,1089,0
20130715,55.1,57,55.1,57,511,0
20130716,56.4,57.5,56.02,57.5,968,0
20130717,56.8,57.75,56.76,57.45,456,0
20130718,57.3,57.3,56.5,57.1,420,0
20130719,57.01,57.4,56.51,57.29,426,0
20130722,56.37,57.29,56.37,57.2,375,0
20130723,56.46,57.85,56.46,57.75,698,0
20130724,57.7,57.75,56.8,56.81,721,0
20130725,56.81,57.95,56.81,57.3,1180,0
20130726,56.45,58,56.45,57.99,79,0
20130729,57.32,57.69,56.8,57.58,415,0
20130730,57.06,57.87,56,56.42,1437,0
20130731,56.51,57.55,56.5,57.42,260,0
20130801,57.4,57.4,56.44,57.35,165,0
20130802,57.34,57.87,57.2,57.87,641,0
20130805,57.86,57.86,57.2,57.85,249,0
20130806,57.24,57.8,57.24,57.8,313,0
20130807,57.8,60,57.8,59.88,2500,0
20130808,59.07,62.9,59.07,62.39,4410,0
20130809,62.09,62.3,61.5,61.98,1438,0
20130812,61.46,63,61.35,63,2805,0
20130813,62.91,65,62.9,64.4,2117,0
20130814,63.89,64,62.52,63.8,1002,0
