Date,Open,High,Low,Close,Volume,OpenInt
19970630,22.279,22.279,22.279,22.279,1253012,0
19970701,22.636,22.636,22.636,22.636,2338752,0
19970702,23.518,23.518,23.518,23.518,2145473,0
19970703,23.807,23.807,23.807,23.807,1179880,0
19970704,24.278,24.278,24.278,24.278,452384,0
19970707,24.689,25.282,24.689,24.925,709620,0
19970708,25.51,25.51,24.985,25.335,743676,0
19970709,24.985,25.396,24.985,25.282,343160,0
19970710,24.689,25.16,24.689,24.75,477364,0
19970711,24.4,24.453,23.929,24.043,458873,0
19970714,24.103,24.103,23.396,23.632,860075,0
19970715,23.518,23.807,23.518,23.754,1036618,0
19970716,23.693,23.929,23.693,23.807,537816,0
19970717,24.103,24.575,24.103,24.575,655068,0
19970718,24.4,24.453,24.103,24.103,640731,0
19970721,23.807,24.043,23.754,23.868,81773,0
19970722,23.807,23.868,23.754,23.868,594767,0
19970723,23.868,23.868,23.807,23.807,222604,0
19970724,24.103,24.103,23.807,23.807,379589,0
19970725,24.103,24.103,23.221,23.518,444337,0
19970728,23.518,23.807,23.518,23.571,255835,0
19970729,23.807,24.043,23.807,23.982,417768,0
19970730,23.868,24.043,23.868,24.043,139277,0
19970731,24.103,24.164,23.807,23.929,342320,0
19970801,23.807,24.103,23.807,23.807,155271,0
19970804,23.868,23.868,22.925,22.925,433980,0
19970805,23.632,23.929,23.632,23.929,289234,0
19970806,23.807,23.982,23.807,23.929,288774,0
19970807,24.103,25.867,24.103,25.867,739542,0
19970808,26.514,28.514,26.514,28.042,867450,0
19970811,27.038,27.038,26.278,26.453,321727,0
19970812,26.453,27.335,26.453,26.749,469596,0
19970813,25.282,25.282,25.282,25.282,229404,0
19970814,25.1,25.1,24.811,24.811,234680,0
19970818,24.689,24.689,24.103,24.575,140599,0
19970819,24.75,25.16,24.75,25.16,122300,0
19970820,25.1,25.396,25.046,25.046,69492,0
19970821,25.282,25.282,25.046,25.1,203134,0
19970822,25.282,25.282,25.282,25.282,113337,0
19970825,25.282,25.282,25.16,25.16,49864,0
19970826,25.396,25.693,25.396,25.457,98541,0
19970827,25.867,26.453,25.693,25.746,105659,0
19970828,25.807,25.928,25.571,25.571,77551,0
19970829,25.746,25.746,25.282,25.396,84714,0
19970901,25.282,25.335,25.16,25.16,57214,0
19970902,25.867,26.514,25.867,26.217,352423,0
19970903,26.575,27.335,26.575,27.274,418896,0
19970904,26.514,26.81,26.453,26.749,237609,0
19970905,26.924,27.335,26.924,27.335,330295,0
19970908,27.221,27.806,27.038,27.746,273366,0
19970909,27.692,28.863,27.692,28.803,330976,0
19970910,28.803,29.16,28.514,28.803,577289,0
19970911,28.156,28.514,28.156,28.278,178091,0
19970912,27.746,27.746,27.457,27.457,123646,0
19970915,28.217,28.749,28.217,28.514,150672,0
19970916,28.514,28.514,28.278,28.392,152724,0
19970917,28.803,28.803,28.392,28.392,279799,0
19970918,29.16,30.278,29.16,30.278,174797,0
19970919,29.684,30.278,29.684,29.981,258022,0
19970922,30.278,30.567,29.981,30.567,266133,0
19970923,29.684,29.981,29.684,29.981,212041,0
19970924,29.396,29.396,29.038,29.038,128643,0
19970925,28.803,29.099,28.514,28.803,132960,0
19970926,28.863,28.863,28.628,28.803,132901,0
19970929,28.803,29.396,28.803,29.038,43396,0
19970930,28.803,29.16,28.803,29.099,345105,0
19971001,29.221,29.684,29.221,29.684,85970,0
19971002,29.396,29.396,28.803,29.099,216410,0
19971003,29.16,29.16,29.099,29.16,206348,0
19971006,26.278,28.339,26.278,28.103,84757,0
19971007,28.217,28.514,28.103,28.103,233132,0
19971008,27.92,28.339,27.92,28.156,100358,0
19971009,27.746,27.867,27.632,27.692,254020,0
19971010,27.746,28.156,27.746,27.867,161234,0
19971013,28.514,29.684,28.514,29.396,118246,0
19971014,29.684,30.278,29.684,30.278,207989,0
19971015,30.278,30.278,29.981,29.981,254686,0
19971016,30.278,30.278,29.981,29.981,327542,0
19971017,30.278,30.863,30.278,30.567,208015,0
19971020,30.278,30.863,30.278,30.567,106900,0
19971021,30.567,31.16,30.567,30.567,147665,0
19971022,31.16,31.16,30.863,30.863,142303,0
19971023,30.278,30.278,29.396,29.396,94780,0
19971024,29.396,30.567,29.396,30.567,164339,0
19971027,29.335,29.335,27.746,28.628,134357,0
19971028,26.453,26.453,24.103,24.689,76375,0
19971029,29.099,29.396,28.574,28.803,258817,0
19971030,26.749,28.217,26.749,27.038,266784,0
19971031,27.51,28.453,27.51,28.453,232574,0
19971103,27.632,28.514,27.632,28.453,202254,0
19971104,28.514,28.514,27.92,28.042,73099,0
19971105,28.217,28.217,27.632,27.632,55966,0
19971106,28.156,28.156,27.746,27.806,50335,0
19971107,27.16,27.335,27.038,27.038,130168,0
19971112,25.867,25.867,25.396,25.457,85700,0
19971113,23.518,25.282,23.518,25.1,242500,0
19971114,24.689,24.985,24.514,24.985,321015,0
