Date,Open,High,Low,Close,Volume,OpenInt
20090114,21,34,16,18.89,17845,0
20090115,20,20,16.2,18.14,4299,0
20090116,17,17.3,16.17,17.3,1802,0
20090119,17.49,17.49,15.8,16.5,948,0
20090120,16.2,16.2,14.32,15.7,353,0
20090121,15.32,15.32,14.55,14.66,114,0
20090122,12.48,16,12.48,15.62,905,0
20090123,15.52,15.52,15.02,15.02,535,0
20090126,15.6,15.6,13.78,13.78,182,0
20090127,15.6,15.6,14.04,14.04,42,0
20090128,14.03,14.22,13.33,14.22,977,0
20090129,15.08,15.08,13.96,14,209,0
20090130,14.63,14.99,14.33,14.99,297,0
20090202,16.52,16.52,15.8,15.8,508,0
20090203,16.52,16.86,16.1,16.1,500,0
20090204,16.48,16.82,16.07,16.08,8770,0
20090205,16.96,16.96,15,15,113,0
20090206,16.96,16.96,15.3,15.3,102,0
20090209,15.15,15.15,15.1,15.1,123,0
20090210,16.1,16.1,15,15,695,0
20090211,15,15,13.4,13.4,801,0
20090212,13.66,13.66,12.5,12.5,442,0
20090213,12.2,12.2,12.2,12.2,41,0
20090216,13.35,13.35,12.78,12.78,612,0
20090217,13.5,13.6,13.5,13.6,296,0
20090218,13.35,13.52,13,13,73,0
20090219,13.57,13.57,13.57,13.57,37,0
20090220,13.9,13.9,13.9,13.9,2,0
20090223,13.57,13.57,11.2,11.95,143,0
20090224,12,12,11.69,11.69,230,0
20090225,11.45,11.45,11.45,11.45,12,0
20090226,11.71,11.71,11.32,11.32,798,0
20090227,11.3,11.3,10.8,10.8,691,0
20090302,11.71,11.71,11.03,11.03,88,0
20090303,11.71,11.71,10.43,10.43,764,0
20090304,10.74,10.74,9,9.55,2670,0
20090305,10.54,10.54,9.5,9.5,553,0
20090306,9.96,9.96,8,8,5894,0
20090309,8.9,8.9,8.69,8.69,68,0
20090310,8.5,8.7,8.2,8.5,1468,0
20090311,9.3,9.4,8.31,8.46,6176,0
20090312,8.3,10.23,8.3,9.38,5376,0
20090313,10,10,9.2,9.2,1056,0
20090316,9.5,9.5,8.56,9.48,1130,0
20090317,9.3,10,9.3,10,368,0
20090318,9.85,10.5,9.85,10.16,1022,0
20090319,9,12.5,9,12.5,3399,0
20090320,12,12.5,11.69,12.5,663,0
20090323,12.5,13.5,11.3,13.5,5871,0
20090324,14.4,14.4,13,13,1208,0
20090325,12,12.2,11.52,12.2,995,0
20090326,12.25,13.18,12.25,13.18,338,0
20090327,13.15,13.15,12.91,12.91,665,0
20090330,12.9,13.3,12.79,12.79,155,0
20090331,11.7,13.13,11.7,13.13,201,0
20090401,13.64,13.64,13.49,13.49,135,0
20090402,11.9,12.35,10.6,11.9,4476,0
20090403,12.05,13.08,11.9,12,4068,0
20090406,12.51,12.64,12.35,12.64,1652,0
20090407,13.2,13.2,12.69,12.69,164,0
20090408,12.75,12.75,12,12.1,658,0
20090409,12.01,12.01,11.1,11.65,8699,0
20090414,12.2,12.2,11.46,11.7,2684,0
20090415,11.99,11.99,11.4,11.7,4569,0
20090416,11.6,12.8,11.02,12.8,4493,0
20090417,12.9,12.99,12.41,12.45,1066,0
20090420,12.95,12.95,11.22,12.89,849,0
20090421,12.29,12.9,11.07,12,7160,0
20090422,12.9,13.96,12,13.96,5052,0
20090423,13.9,13.9,12.65,12.93,1514,0
20090424,13.17,13.17,12.5,13.15,991,0
20090427,12.69,12.69,12.42,12.62,1925,0
20090428,11.6,12.5,11.6,12.5,208,0
20090429,12.4,12.6,12,12.6,5203,0
20090430,12,12.44,11.85,11.87,3055,0
20090504,11.98,12.35,11.76,12.35,5003,0
20090505,12,12.95,12,12.33,5481,0
20090506,12.98,12.98,12.19,12.19,1010,0
20090507,11.81,12.5,11.81,12.5,1865,0
20090508,12.79,12.79,12.19,12.19,688,0
20090511,12.25,12.25,12.2,12.2,639,0
20090512,12.79,12.79,12.2,12.2,498,0
20090513,12.4,12.69,12,12.1,1078,0
