Date,Open,High,Low,Close,Volume,OpenInt
20041216,8,8.09,7.63,7.67,49964,0
20041217,7.39,7.49,6.75,6.84,74830,0
20041220,6.98,7.07,6.7,6.84,45577,0
20041221,6.79,6.84,6.66,6.66,31789,0
20041222,6.66,6.66,6.05,6.15,41869,0
20041223,5.96,6.19,5.59,6.15,105224,0
20041224,6.15,6.15,5.92,6.1,4258,0
20041227,6.05,6.29,6.05,6.24,28899,0
20041228,6.29,6.56,6.24,6.47,109855,0
20041229,6.56,6.56,6.33,6.42,20994,0
20041230,6.29,6.33,6.29,6.29,6978,0
20041231,6.29,6.38,6.15,6.15,3632,0
20050103,6.19,6.52,6.19,6.52,26353,0
20050104,6.56,6.66,6.42,6.56,34655,0
20050105,6.66,6.75,6.52,6.7,13488,0
20050106,6.75,6.75,6.42,6.66,1445,0
20050107,6.47,6.61,6.42,6.47,4739,0
20050110,6.42,6.42,6.38,6.38,4810,0
20050111,6.38,6.42,6.29,6.42,3226,0
20050112,6.29,6.29,6.15,6.29,19495,0
20050113,6.29,6.29,5.73,5.73,8836,0
20050114,6.01,6.24,5.92,6.19,13560,0
20050117,6.19,6.19,5.96,5.96,490,0
20050118,6.19,6.19,6.1,6.1,19863,0
20050119,6.01,6.05,6.01,6.05,7104,0
20050120,6.01,6.01,6.01,6.01,5240,0
20050121,6.1,6.1,6.1,6.1,9072,0
20050125,5.82,6.05,5.82,5.92,7173,0
20050126,5.92,5.96,5.92,5.96,9152,0
20050127,6.01,6.1,6.01,6.1,6909,0
20050128,6.15,6.56,6.15,6.47,28615,0
20050131,6.47,6.56,6.38,6.47,10700,0
20050201,6.38,6.38,6.38,6.38,2,0
20050202,6.29,6.47,6.29,6.38,7732,0
20050203,6.15,6.47,6.15,6.47,4501,0
20050204,6.38,6.38,6.38,6.38,1338,0
20050207,6.24,6.38,6.19,6.38,758,0
20050208,6.15,6.56,6.15,6.56,74279,0
20050209,6.38,6.47,6.38,6.38,3157,0
20050210,6.15,6.33,6.1,6.33,4557,0
20050211,6.33,6.66,6.33,6.66,17031,0
20050214,6.79,7.21,6.79,6.98,44821,0
20050215,6.93,6.93,6.89,6.93,406,0
20050216,6.89,6.93,6.89,6.93,6995,0
20050217,6.84,6.93,6.84,6.89,847,0
20050218,7.02,7.3,6.93,7.02,26425,0
20050221,7.21,7.39,7.02,7.39,51893,0
20050222,7.3,7.44,7.3,7.39,8910,0
20050223,7.3,7.3,7.02,7.16,5518,0
20050224,7.12,7.12,6.93,6.93,2817,0
20050225,6.93,6.93,6.93,6.93,1571,0
20050228,6.93,6.93,6.84,6.84,678,0
20050301,6.84,7.02,6.84,7.02,4682,0
20050302,7.16,7.16,7.02,7.12,6176,0
20050303,7.39,7.49,7.35,7.39,54177,0
20050304,7.39,7.44,7.39,7.39,6992,0
20050307,7.26,7.26,7.26,7.26,117,0
20050308,7.26,7.26,7.26,7.26,649,0
20050309,7.16,7.16,7.12,7.12,3516,0
20050310,6.98,7.21,6.98,7.12,7777,0
20050311,6.98,7.21,6.98,7.21,2537,0
20050314,7.21,7.26,7.21,7.26,5725,0
20050316,7.26,7.26,7.21,7.21,11638,0
20050317,7.02,7.02,7.02,7.02,649,0
20050318,7.12,7.12,7.12,7.12,1,0
20050321,7.12,7.49,7.12,7.49,11367,0
20050322,7.39,7.39,7.3,7.3,1914,0
20050323,7.3,7.49,7.21,7.39,7888,0
20050324,7.26,7.26,7.26,7.26,72,0
20050329,7.44,7.67,7.44,7.63,12277,0
20050330,7.58,7.67,7.39,7.49,2461,0
20050331,7.49,7.49,7.35,7.39,902,0
20050401,7.58,7.58,7.53,7.53,222,0
20050404,7.58,7.58,7.3,7.3,779,0
20050405,7.3,7.3,7.3,7.3,262,0
20050407,7.3,7.3,7.3,7.3,438,0
20050411,7.21,7.21,7.21,7.21,151,0
20050412,6.98,6.98,6.93,6.93,5169,0
20050413,7.3,7.3,6.56,6.75,2468,0
20050414,6.98,7.39,6.98,7.3,15018,0
20050415,7.3,7.39,7.3,7.39,7053,0
20050418,6.98,7.39,6.93,7.39,976,0
20050419,7.3,7.35,7.3,7.35,325,0
20050420,7.07,7.63,7.07,7.63,25985,0
20050421,7.58,7.58,7.35,7.44,6172,0
20050422,7.53,7.53,7.39,7.39,4165,0
20050425,7.39,7.39,7.39,7.39,451,0
20050426,7.53,7.58,7.53,7.58,9845,0
20050427,7.53,7.53,7.53,7.53,162,0
20050428,7.53,7.53,7.53,7.53,216,0
20050504,7.3,7.3,7.07,7.16,2007,0
20050505,7.21,7.3,7.21,7.3,315,0
20050506,7.16,7.3,7.16,7.3,335,0
20050510,6.75,7.16,6.66,7.16,768,0
20050511,6.79,7.07,6.47,7.07,2225,0
20050512,6.89,7.12,6.89,7.12,454,0
20050517,6.75,6.75,6.75,6.75,202,0
20050518,7.07,7.07,6.79,6.98,190,0
20050519,7.02,7.02,7.02,7.02,2,0
20050520,6.98,6.98,6.93,6.98,1007,0
20050523,6.93,6.93,6.66,6.93,1057,0
20050530,6.93,7.12,6.93,7.12,793,0
20050531,6.75,6.93,6.75,6.93,102,0
20050601,6.93,6.98,6.93,6.98,81,0
20050602,6.98,7.16,6.98,7.16,12987,0
20050603,7.16,7.26,7.16,7.16,2948,0
20050606,7.39,7.49,7.39,7.39,11684,0
20050607,7.35,7.49,7.35,7.39,14216,0
20050609,7.02,7.12,6.93,6.93,1331,0
20050613,7.02,7.02,6.93,6.93,508,0
20050615,6.93,6.93,6.93,6.93,728,0
20050616,7.16,7.21,7.16,7.21,303,0
20050620,6.98,6.98,6.93,6.93,1084,0
20050621,6.98,6.98,6.98,6.98,108,0
20050622,6.98,7.02,6.98,7.02,379,0
20050623,7.02,7.02,6.93,6.93,1198,0
20050624,6.93,6.93,6.93,6.93,325,0
20050627,6.93,6.93,6.93,6.93,705,0
20050628,6.84,6.84,6.84,6.84,270,0
20050629,7.07,7.07,6.75,6.75,985,0
20050701,6.75,6.75,6.66,6.66,1542,0
20050704,7.21,7.21,7.21,7.21,173,0
20050706,6.79,6.79,6.79,6.79,195,0
20050707,6.75,6.84,6.66,6.84,3099,0
20050708,6.89,6.89,6.89,6.89,5,0
20050711,6.66,6.93,6.66,6.93,444,0
20050712,6.93,7.12,6.93,6.93,3102,0
20050713,7.02,7.12,7.02,7.12,6762,0
20050714,7.12,7.67,7.12,7.53,99427,0
20050715,7.44,7.53,7.39,7.39,10988,0
20050718,7.07,7.53,7.07,7.49,4743,0
20050720,7.72,7.86,7.67,7.76,47632,0
20050721,7.53,7.63,7.39,7.63,710,0
20050722,7.3,7.58,7.12,7.39,2795,0
20050725,7.58,7.67,7.58,7.67,21638,0
20050726,7.67,7.72,7.67,7.72,3648,0
20050727,7.67,7.72,7.67,7.72,4872,0
20050728,7.72,7.72,7.39,7.39,2624,0
20050729,7.39,7.39,7.39,7.39,411,0
20050802,7.63,7.72,7.63,7.72,6617,0
20050803,7.72,7.76,7.72,7.72,14696,0
20050804,7.72,7.72,7.72,7.72,3490,0
20050805,7.76,8.13,7.76,8.04,38508,0
20050808,8.18,8.27,8.18,8.27,12409,0
20050809,8.09,8.32,8.09,8.32,15475,0
20050810,8.32,8.32,8.09,8.09,10100,0
20050812,8.09,8.09,8.09,8.09,2164,0
20050816,8.09,8.09,8.09,8.09,471,0
20050817,8.09,8.09,8.09,8.09,11492,0
20050818,8.09,8.09,8.09,8.09,1731,0
20050819,8.09,8.09,8.09,8.09,1257,0
20050822,8.09,8.09,8.09,8.09,487,0
20050823,8.09,8.09,8.09,8.09,647,0
20050825,7.86,7.86,7.76,7.76,5366,0
20050829,7.76,7.86,7.76,7.86,6127,0
20050830,7.86,8.09,7.86,7.95,11349,0
20050831,7.76,7.9,7.76,7.9,6261,0
20050901,7.86,7.86,7.76,7.76,1244,0
20050902,7.86,7.86,7.86,7.86,1690,0
20050905,7.86,7.86,7.86,7.86,541,0
20050906,7.86,8.09,7.86,8.09,18903,0
20050907,8.18,8.32,8.18,8.18,33989,0
20050908,8.32,8.5,8.27,8.5,62945,0
20050909,8.37,8.5,8.37,8.41,18670,0
20050914,8.09,8.27,8.04,8.27,7388,0
20050915,8.27,8.37,8.27,8.32,4544,0
20050916,8.32,8.41,8.32,8.41,15418,0
20050919,8.5,8.78,8.32,8.78,132440,0
20050920,8.87,8.87,8.73,8.83,50235,0
20050921,8.78,8.83,8.69,8.83,22437,0
20050922,8.87,9.71,8.87,9.52,98536,0
20050923,9.29,9.52,9.29,9.52,8491,0
20050926,9.52,10.07,9.52,9.75,21848,0
20050927,9.61,9.61,9.57,9.61,447,0
20050928,9.66,9.66,9.43,9.43,1515,0
20050930,9.43,9.61,9.43,9.61,10554,0
20051003,9.71,9.98,9.43,9.98,36135,0
20051004,10.07,10.07,9.8,9.8,16158,0
20051005,9.89,9.89,9.8,9.8,1760,0
20051006,9.43,9.89,9.43,9.71,1013,0
20051007,9.66,9.66,9.52,9.52,541,0
20051010,9.52,9.52,9.43,9.43,1624,0
20051011,9.43,9.61,9.43,9.61,3335,0
20051012,9.61,9.61,9.61,9.61,198,0
20051013,9.24,9.57,9.15,9.57,1596,0
20051014,9.47,9.47,9.24,9.47,552,0
20051017,9.57,9.57,9.01,9.38,941,0
20051018,9.24,9.38,8.87,8.92,3435,0
20051019,8.92,8.97,8.46,8.69,2708,0
20051020,8.83,9.57,8.23,8.23,14008,0
20051021,8.46,8.87,8.23,8.46,3279,0
20051024,8.41,8.92,8.41,8.92,1935,0
20051025,9.06,9.06,9.01,9.01,13,0
20051026,9.06,9.06,8.64,9.01,1393,0
20051027,9.06,9.06,9.06,9.06,5,0
20051028,9.01,9.01,8.64,8.92,1312,0
20051031,8.92,9.01,8.5,8.6,2096,0
20051102,8.92,8.92,8.32,8.32,1331,0
20051103,8.55,9.01,8.55,8.6,1444,0
20051104,8.83,8.83,8.37,8.78,340,0
20051107,8.78,8.78,8.78,8.78,5,0
20051108,8.78,8.78,8.37,8.37,2521,0
20051109,8.5,8.5,8.13,8.23,146,0
20051110,8.64,8.64,8.41,8.41,11,0
20051114,8.41,8.41,8.41,8.41,5,0
20051115,8.5,8.5,8.5,8.5,5,0
20051116,8.5,8.5,8.23,8.5,411,0
20051117,8.5,8.5,8.13,8.5,1055,0
20051118,8.13,8.13,8.13,8.13,552,0
20051121,8.32,8.32,8.32,8.32,11,0
20051122,8.32,8.32,8.32,8.32,1247,0
20051123,8.32,8.32,7.95,8.18,2873,0
20051124,8.32,8.32,8.13,8.13,649,0
20051125,8.5,8.5,7.95,7.95,23,0
20051128,7.76,7.86,7.76,7.86,56,0
20051129,8.04,8.37,8.04,8.27,1094,0
20051130,8.32,8.46,8.32,8.46,216,0
20051201,8.5,8.69,8.41,8.69,3165,0
20051202,8.69,8.69,8.41,8.64,22,0
20051205,8.69,8.69,8.41,8.41,763,0
20051206,8.23,8.23,8.23,8.23,656,0
20051207,8.41,8.41,8.41,8.41,5,0
20051208,8.32,8.32,8.23,8.23,599,0
20051209,8.5,8.5,8.5,8.5,108,0
20051212,8.5,8.5,8.5,8.5,87,0
20051213,8.5,8.5,8.23,8.23,752,0
20051214,8.37,8.37,8.37,8.37,5,0
20051215,8.37,8.41,8.23,8.41,2106,0
20051216,8.41,8.41,8.13,8.41,660,0
20051219,8.41,8.41,8.13,8.13,546,0
20051221,8.41,8.41,8.41,8.41,5,0
20051222,8.41,8.41,8.41,8.41,54,0
20051223,8.41,8.41,8.41,8.41,5,0
20051227,8.41,8.41,8.41,8.41,5,0
20051228,8.41,8.41,8.41,8.41,54,0
20051229,8.13,8.13,8.04,8.13,1863,0
20051230,8.32,8.32,8.32,8.32,5,0
20060102,8.09,8.09,7.86,7.86,404,0
20060103,8.69,9.24,8.23,8.41,3414,0
20060104,8.41,8.41,8.32,8.32,1146,0
20060105,8.32,8.32,8.13,8.13,1250,0
20060106,8.13,8.32,8.13,8.32,549,0
20060109,8.13,8.32,8.04,8.23,2020,0
20060110,8.32,8.32,8.32,8.32,11,0
20060111,8.32,8.32,8.32,8.32,168,0
20060112,7.81,8.32,7.81,8.32,3531,0
20060113,8.13,8.23,8.13,8.23,1028,0
20060116,8.23,8.23,7.95,7.95,3411,0
20060117,8.09,8.09,7.86,7.95,1673,0
20060118,8.13,8.13,7.9,8.04,703,0
20060119,8.04,8.04,8.04,8.04,319,0
20060120,8.32,8.32,8.09,8.23,1877,0
20060123,8.09,8.13,8.04,8.13,2007,0
20060124,8.13,8.23,7.95,8,3073,0
20060125,8,8.32,8,8.32,11600,0
20060126,8.41,8.69,8.32,8.69,12113,0
20060127,8.78,8.78,8.5,8.55,3777,0
20060130,8.55,8.55,8.55,8.55,687,0
20060131,8.23,8.23,8,8.04,1118,0
20060201,8.32,8.32,7.95,7.95,565,0
20060202,7.95,8.41,7.95,8.32,3156,0
20060203,8.32,8.32,8.09,8.09,2194,0
20060206,8.32,8.5,8.23,8.23,2507,0
20060207,8.18,8.23,8.18,8.23,3900,0
20060208,8.23,9.43,8.23,8.78,27076,0
20060209,8.97,8.97,8.64,8.87,3950,0
20060210,8.64,8.78,8.46,8.78,959,0
20060213,8.73,8.78,8.64,8.78,2119,0
20060214,8.92,8.97,8.64,8.69,1299,0
20060215,8.69,8.78,8.23,8.69,8326,0
20060216,8.69,8.69,8.69,8.69,11,0
20060217,8.32,8.64,8.32,8.64,435,0
20060220,8.23,8.6,8.23,8.5,1468,0
20060221,8.64,8.64,8.23,8.23,1201,0
20060222,8.46,8.46,8.46,8.46,162,0
20060223,8.5,8.5,8.5,8.5,941,0
20060224,8.5,8.5,8.32,8.41,1018,0
20060227,8.37,8.41,8.37,8.41,1524,0
20060228,8.41,8.41,8.23,8.23,1565,0
20060301,8.5,8.5,8.41,8.46,806,0
20060302,8.5,9.43,8.5,9.06,26354,0
20060303,9.06,9.06,8.6,9.01,3036,0
20060306,8.69,8.78,8.64,8.78,2272,0
20060307,8.78,8.78,8.69,8.69,219,0
20060308,8.78,8.78,8.69,8.69,584,0
20060309,8.87,8.87,8.5,8.5,1638,0
20060310,8.87,8.87,8.5,8.5,1201,0
20060313,8.64,8.64,8.46,8.46,103,0
20060314,8.37,8.41,8.13,8.41,2745,0
20060315,8.41,8.41,8.41,8.41,1060,0
20060316,8.6,8.64,8.41,8.64,844,0
20060317,8.64,8.64,8.37,8.64,784,0
20060320,8.6,8.6,8.04,8.55,3668,0
20060321,8.6,8.6,8.04,8.5,12636,0
20060322,8.5,8.5,8.32,8.32,1136,0
20060323,8.23,8.69,8.23,8.5,5972,0
20060324,8.41,8.5,8.41,8.41,557,0
20060327,8.6,8.6,8.23,8.5,2513,0
20060328,8.5,8.69,8.5,8.69,6812,0
20060329,8.69,8.78,8.69,8.69,5996,0
20060330,8.78,8.78,8.5,8.69,835,0
20060331,8.69,8.69,8.41,8.69,1053,0
20060403,8.41,10.63,8.41,9.84,46816,0
20060404,9.43,9.57,9.1,9.34,10729,0
20060405,9.43,9.43,8.97,9.15,13037,0
20060406,9.1,9.38,8.87,9.24,13448,0
20060407,9.57,9.57,9.24,9.24,3297,0
20060410,9.52,9.52,9.24,9.24,4409,0
20060411,9.47,9.66,9.24,9.66,11080,0
20060412,9.8,9.84,9.52,9.61,9894,0
20060413,9.84,10.54,9.8,10.54,42129,0
20060418,10.63,12.85,10.63,11.83,71611,0
20060419,12.02,12.02,10.26,10.44,74111,0
20060420,10.63,10.63,9.71,10.07,36647,0
20060421,9.8,9.98,9.43,9.52,58560,0
20060424,9.71,9.8,9.24,9.43,46037,0
20060425,9.52,9.61,9.01,9.34,55021,0
20060426,9.24,9.71,8.87,9.15,47177,0
20060427,8.87,9.15,8.83,8.83,30213,0
20060428,8.97,9.24,8.83,8.87,44454,0
20060502,8.87,9.15,8.6,8.69,64410,0
20060504,8.69,8.87,8.6,8.78,38320,0
20060505,8.87,9.24,8.78,8.97,29696,0
20060508,9.38,9.8,9.24,9.61,170170,0
20060509,9.71,9.75,9.34,9.52,50172,0
20060510,9.34,9.47,9.15,9.24,21236,0
20060511,9.38,9.47,9.24,9.47,7378,0
20060512,9.24,9.8,9.15,9.47,47116,0
20060515,9.47,9.47,9.06,9.1,27462,0
20060516,9.1,9.1,8.23,8.69,37328,0
20060517,8.69,8.78,8.5,8.69,19685,0
20060518,8.64,8.92,8.41,8.69,14361,0
20060519,8.64,8.97,8.64,8.92,16319,0
20060522,8.87,8.87,8.37,8.37,10665,0
20060523,8.13,8.13,7.02,7.95,22146,0
20060524,7.9,7.9,7.39,7.49,7052,0
20060525,7.12,7.76,6.93,7.76,10414,0
20060526,7.95,8.5,7.95,8.23,12629,0
20060529,8.32,8.5,8,8.09,12461,0
20060530,8.13,8.27,7.81,8.04,11062,0
20060531,7.58,8.23,7.53,7.76,20878,0
20060601,7.9,8.18,7.86,8.04,7091,0
20060602,8.23,8.6,8.04,8.55,13962,0
20060605,8.55,8.55,8.32,8.46,6891,0
20060606,8.13,8.46,7.95,8.32,6197,0
20060607,8.32,8.32,8.04,8.27,3041,0
20060608,8.04,8.13,7.72,8,10446,0
20060609,7.76,7.86,7.58,7.58,7694,0
20060612,7.49,7.49,6.61,6.61,5734,0
20060613,6.47,6.93,6.1,6.84,45535,0
20060614,7.26,7.26,6.93,6.93,838,0
20060616,7.35,7.35,7.21,7.21,2143,0
20060619,7.26,7.35,6.93,7.21,14753,0
20060620,7.44,7.44,7.44,7.44,11,0
20060621,7.16,7.39,7.12,7.39,1397,0
20060622,7.35,7.67,7.35,7.63,9445,0
20060623,7.53,7.53,7.16,7.16,7460,0
20060626,7.39,8,7.39,7.76,30872,0
20060627,7.76,7.9,7.58,7.86,7772,0
20060628,7.67,7.86,7.67,7.86,4083,0
20060629,7.9,8.04,7.72,8.04,29751,0
20060630,8.09,8.13,7.9,7.9,7079,0
20060703,8,8,8,8,11,0
20060704,8,8,7.53,7.86,6458,0
20060705,7.86,7.95,7.81,7.81,1608,0
20060706,7.67,7.81,7.44,7.81,22833,0
20060707,7.76,7.76,7.39,7.39,13856,0
20060710,7.49,7.58,7.49,7.58,9711,0
20060711,7.44,7.53,7.39,7.53,8160,0
20060712,7.53,7.53,7.39,7.39,3018,0
20060713,7.44,7.49,7.35,7.39,17239,0
20060714,7.49,7.49,7.39,7.39,1093,0
20060717,7.35,7.63,7.35,7.58,4825,0
20060718,7.63,7.67,7.63,7.67,8719,0
20060719,7.39,7.63,7.39,7.49,270,0
20060720,7.49,7.67,7.49,7.67,465,0
20060721,7.58,7.58,7.58,7.58,714,0
20060724,7.58,7.58,7.58,7.58,194,0
20060725,7.58,7.67,7.49,7.58,1886,0
20060726,7.53,7.67,7.53,7.67,801,0
20060727,7.58,7.67,7.35,7.67,2824,0
20060728,7.67,7.67,7.49,7.67,633,0
20060731,7.58,7.76,7.49,7.76,3433,0
20060801,7.81,7.86,7.76,7.76,1448,0
20060802,7.76,7.76,7.49,7.67,1158,0
20060803,7.58,7.58,7.21,7.44,4899,0
20060804,7.58,7.58,7.26,7.26,264,0
20060807,7.39,7.39,7.21,7.35,2510,0
20060808,7.35,7.35,7.07,7.35,2687,0
20060809,7.21,7.49,7.21,7.49,65,0
20060810,7.39,7.39,7.39,7.39,54,0
20060811,7.39,7.44,7.02,7.21,2062,0
20060814,7.39,7.39,7.12,7.12,399,0
20060816,7.02,7.26,6.84,7.12,5008,0
20060817,7.3,7.3,7.26,7.26,725,0
20060818,7.35,7.35,7.02,7.35,3887,0
20060821,7.39,8.27,7.12,8.04,14705,0
20060822,8.04,8.41,7.86,8.13,31707,0
20060823,8.13,8.13,7.76,7.86,3073,0
20060824,7.81,7.95,7.72,7.95,2035,0
20060825,7.95,7.95,7.95,7.95,2634,0
20060828,7.86,7.86,7.53,7.58,3278,0
20060829,7.53,7.53,7.3,7.53,5263,0
20060830,7.49,7.58,7.35,7.58,2989,0
20060831,7.58,7.58,7.39,7.58,2321,0
20060901,7.35,7.58,7.35,7.58,362,0
20060904,7.39,7.43,7.36,7.39,9047,0
20060905,7.49,7.56,7.41,7.56,7666,0
20060906,7.74,7.74,7.58,7.72,7622,0
20060907,7.73,7.73,7.58,7.58,2046,0
20060908,7.67,7.67,7.4,7.58,1779,0
20060911,7.72,7.72,7.53,7.65,716,0
20060912,7.65,7.65,7.65,7.65,108,0
20060913,7.66,7.66,7.65,7.65,832,0
20060914,7.65,7.65,7.39,7.57,1905,0
20060915,7.61,7.61,7.36,7.61,2473,0
20060918,7.44,7.66,7.44,7.66,4738,0
20060919,7.66,7.67,7.66,7.67,173,0
20060920,7.53,7.53,7.49,7.52,238,0
20060921,7.52,7.52,7.39,7.39,3231,0
20060922,7.48,7.48,7.3,7.44,3717,0
20060925,7.39,7.48,7.39,7.48,400,0
20060926,7.39,7.48,7.3,7.48,5977,0
20060927,7.39,7.39,7.21,7.22,4498,0
20060928,7.22,7.39,7.12,7.31,6448,0
20060929,7.31,7.39,7.21,7.39,3079,0
20061002,7.47,7.47,7.47,7.47,221,0
20061003,7.47,7.47,7.33,7.33,428,0
20061004,7.33,7.45,7.33,7.45,368,0
20061005,7.45,7.45,7.26,7.44,1144,0
20061006,7.45,7.45,7.24,7.25,3774,0
20061009,7.27,7.39,7.27,7.39,368,0
20061010,7.39,7.46,7.39,7.39,5550,0
20061011,7.45,7.86,7.3,7.39,44913,0
20061012,7.56,7.56,7.23,7.27,20909,0
20061013,7.44,7.44,7.21,7.28,4020,0
20061016,7.39,7.43,7.3,7.43,2499,0
20061017,7.21,7.35,7.21,7.35,13058,0
20061018,7.26,7.3,7.12,7.2,17269,0
20061019,7.38,7.38,7.12,7.12,14214,0
20061020,7.12,7.18,7.02,7.05,15558,0
20061023,7.18,7.18,7.05,7.12,4807,0
20061024,7.18,7.18,7.05,7.05,1177,0
20061025,7.09,7.09,6.66,6.93,22152,0
20061026,6.93,6.93,6.61,6.68,59317,0
20061027,6.7,6.84,6.63,6.84,18156,0
20061030,6.93,7.18,6.84,7.18,14757,0
20061031,7.21,7.35,7.1,7.18,14748,0
20061102,7.21,8.69,7.07,8.46,194393,0
20061103,8.41,8.44,7.67,8.14,52210,0
20061106,8.22,8.22,7.21,7.48,203852,0
20061107,7.47,7.47,7.3,7.3,31707,0
20061108,7.16,7.58,7.13,7.54,28770,0
20061109,7.58,7.58,7.22,7.23,44512,0
20061110,7.26,7.35,7.21,7.21,22116,0
20061113,7.3,7.42,7.02,7.12,30032,0
20061114,7.12,7.12,6.89,7.05,33026,0
20061115,6.98,7.12,6.94,7.12,17540,0
20061116,7.12,7.22,6.98,7.01,31228,0
20061117,7.12,7.28,7.06,7.06,10182,0
20061120,6.95,7.49,6.93,7.28,63708,0
20061121,7.38,7.38,7.09,7.09,46002,0
20061122,7.09,7.26,7.02,7.02,37417,0
