Date,Open,High,Low,Close,Volume,OpenInt
20140516,47,51.7,46.85,51.7,178563,0
20140519,51.1,55.89,51.1,55,48052,0
20140520,55.2,56.5,53.7,55.4,68755,0
20140521,55.87,56,54.66,56,50463,0
20140522,54.52,57.85,52.81,57.85,44341,0
20140523,55.6,58.5,55.6,58.5,29318,0
20140526,57.53,58.99,56.5,58.99,5994,0
20140527,57.62,59,57.62,59,5003,0
20140528,58,59,58,59,2158,0
20140529,59,59.5,58.51,59.5,16275,0
20140530,59.49,59.9,58.5,59,17301,0
20140602,59.79,60,59,59.89,3567,0
20140603,59.02,59.02,58.62,58.62,320,0
20140604,58.35,58.49,57.28,58,39563,0
20140605,57.29,58,57.29,58,450,0
20140606,57.9,58,57.9,57.98,650,0
20140609,57.6,57.6,57.6,57.6,70,0
20140610,57.5,58,57.5,58,1409,0
