Date,Open,High,Low,Close,Volume,OpenInt
19970203,47.697,47.697,47.697,47.697,118449,0
19970204,45.713,45.713,45.713,45.713,42985,0
19970205,43.23,43.23,43.23,43.23,66588,0
19970206,42.731,42.731,42.731,42.731,28562,0
19970207,44.716,44.716,44.716,44.716,47073,0
19970210,46.511,46.511,46.511,46.511,50142,0
19970211,44.716,44.716,44.716,44.716,37893,0
19970212,44.716,44.716,44.716,44.716,22507,0
19970213,43.728,43.728,43.728,43.728,15551,0
19970214,44.716,44.716,44.716,44.716,44210,0
19970217,44.716,44.716,44.716,44.716,36998,0
19970218,44.716,44.716,44.716,44.716,23692,0
19970219,43.728,43.728,43.728,43.728,16237,0
19970220,42.931,42.931,42.931,42.931,12789,0
19970221,44.217,44.217,44.217,44.217,16383,0
19970224,43.329,43.329,43.329,43.329,9266,0
19970225,43.329,43.329,43.329,43.329,11424,0
19970226,43.728,43.728,43.728,43.728,22447,0
19970227,43.23,43.23,43.23,43.23,35392,0
19970228,42.731,42.731,42.731,42.731,30598,0
19970303,42.232,42.232,42.232,42.232,47485,0
19970304,42.232,42.232,42.232,42.232,35741,0
19970305,42.731,42.731,42.731,42.731,28982,0
19970306,43.728,43.728,43.728,43.728,33459,0
19970307,44.416,44.416,44.416,44.416,24065,0
19970310,43.728,43.728,43.728,43.728,15152,0
19970311,43.828,43.828,43.828,43.828,31615,0
19970312,44.716,44.716,44.716,44.716,25291,0
19970313,43.329,43.329,43.329,43.329,17101,0
19970314,41.235,41.235,41.235,41.235,55480,0
19970317,41.933,41.933,41.933,41.933,15022,0
19970318,43.03,43.03,43.03,43.03,35104,0
19970319,43.03,43.03,43.03,43.03,70859,0
19970320,42.731,42.731,42.731,42.731,48946,0
19970321,42.831,42.831,42.831,42.831,12094,0
19970324,43.03,43.03,43.03,43.03,14258,0
19970325,43.03,43.03,43.03,43.03,15769,0
19970326,43.728,43.728,43.728,43.728,18102,0
19970327,44.217,44.217,44.217,44.217,27667,0
19970401,43.728,43.728,43.728,43.728,77107,0
19970402,41.235,41.235,41.235,41.235,12705,0
19970403,42.033,42.033,42.033,42.033,24741,0
19970404,42.033,42.033,42.033,42.033,6530,0
19970407,43.329,43.329,43.329,43.329,13293,0
19970408,43.728,43.728,43.728,43.728,13528,0
19970409,43.23,43.23,43.23,43.23,6072,0
19970410,43.629,43.629,43.629,43.629,15760,0
19970411,43.529,43.529,43.529,43.529,4008,0
19970414,43.23,43.23,43.23,43.23,14598,0
19970415,43.728,43.728,43.728,43.728,19806,0
19970416,44.317,44.317,44.317,44.317,24886,0
19970417,43.23,43.23,43.23,43.23,13081,0
19970418,43.529,43.529,43.529,43.529,10166,0
19970421,43.728,43.728,43.728,43.728,13036,0
19970422,43.728,43.728,43.728,43.728,15071,0
19970423,44.027,44.027,44.027,44.027,14117,0
19970424,43.728,43.728,43.728,43.728,12372,0
19970425,43.629,43.629,43.629,43.629,23645,0
19970428,43.23,43.23,43.23,43.23,25400,0
19970429,42.731,42.731,42.731,42.731,16135,0
19970430,43.329,43.329,43.329,43.329,6473,0
19970505,43.23,43.23,43.23,43.23,6084,0
19970506,43.23,43.23,43.23,43.23,15673,0
19970507,43.03,43.03,43.03,43.03,11491,0
19970508,42.731,42.731,42.731,42.731,7888,0
19970509,42.931,42.931,42.931,42.931,16830,0
19970512,43.03,43.03,43.03,43.03,12584,0
19970513,42.931,42.931,42.931,42.931,10284,0
19970514,42.731,42.731,42.731,42.731,6166,0
19970515,43.728,43.728,43.728,43.728,13162,0
19970516,43.728,43.728,43.728,43.728,10681,0
19970519,42.931,42.931,42.931,42.931,4996,0
19970520,42.931,42.931,42.931,42.931,6184,0
19970521,42.731,42.731,42.731,42.731,7347,0
19970522,42.232,42.232,42.232,42.232,7078,0
19970523,41.734,41.734,41.734,41.734,3605,0
19970526,40.447,40.447,40.447,40.447,9110,0
19970527,37.964,37.964,37.964,37.964,5991,0
19970528,39.151,39.151,39.151,39.151,1915,0
19970530,39.749,39.749,39.749,39.749,6780,0
19970602,39.749,39.749,39.749,39.749,4239,0
19970603,39.749,39.749,39.749,39.749,14063,0
19970604,39.45,39.45,39.45,39.45,16018,0
19970605,37.865,37.865,37.865,37.865,2430,0
19970606,39.251,39.251,39.251,39.251,3159,0
19970609,39.749,39.749,39.749,39.749,11283,0
19970610,39.749,39.749,39.749,39.749,5871,0
19970611,39.749,39.749,39.749,39.749,9257,0
19970612,39.949,39.949,39.949,39.949,3818,0
19970613,39.849,39.849,39.849,39.849,16013,0
19970616,40.547,40.547,40.547,40.547,15261,0
19970617,40.547,40.547,40.547,40.547,19719,0
19970618,40.248,40.248,40.248,40.248,12336,0
19970619,40.248,40.248,40.248,40.248,16312,0
19970620,40.547,40.547,40.547,40.547,14415,0
19970623,40.248,40.248,40.248,40.248,14808,0
19970624,39.749,39.749,39.749,39.749,12365,0
19970625,39.749,39.749,39.749,39.749,8315,0
19970626,39.251,39.251,39.251,39.251,8756,0
19970627,39.749,39.749,39.749,39.749,12113,0
19970630,39.749,39.749,39.749,39.749,10118,0
19970701,39.251,39.251,39.251,39.251,6858,0
19970702,38.752,38.752,38.752,38.752,7160,0
19970703,38.164,38.164,38.164,38.164,4346,0
19970704,38.752,38.752,38.752,38.752,3650,0
19970707,38.264,38.264,38.264,38.264,2366,0
19970708,38.752,38.752,38.752,38.752,1006,0
19970709,39.251,39.251,39.251,39.251,2357,0
19970710,38.752,38.752,38.752,38.752,993,0
19970711,39.151,39.151,39.151,39.151,1468,0
19970714,35.282,35.282,35.282,35.282,5357,0
19970715,35.77,35.77,35.77,35.77,9279,0
19970716,36.967,36.967,36.967,36.967,3544,0
19970717,36.967,36.967,36.967,36.967,2646,0
19970718,36.967,36.967,36.967,36.967,5774,0
19970721,36.269,36.269,36.269,36.269,895,0
19970722,35.97,35.97,35.97,35.97,1236,0
19970723,36.768,36.768,36.768,36.768,2108,0
19970724,36.967,36.967,36.967,36.967,2719,0
19970725,35.382,35.382,35.382,35.382,3180,0
19970728,35.382,35.382,35.382,35.382,6544,0
19970729,34.783,34.783,34.783,34.783,847,0
19970730,35.77,35.77,35.77,35.77,6624,0
19970731,36.07,36.07,36.07,36.07,8289,0
19970801,37.765,37.765,37.765,37.765,61463,0
19970804,37.865,37.865,37.865,37.865,10644,0
19970805,37.765,37.765,37.765,37.765,2410,0
19970806,38.852,38.852,38.852,38.852,5997,0
19970807,39.051,39.051,39.051,39.051,2290,0
19970808,40.747,40.747,40.747,40.747,14015,0
19970811,43.529,43.529,43.529,43.529,12658,0
19970812,42.332,42.332,42.332,42.332,4975,0
19970813,43.329,43.329,43.329,43.329,24142,0
19970814,41.734,41.734,41.734,41.734,1700,0
19970818,40.747,40.747,40.747,40.747,2527,0
19970819,39.749,39.749,39.749,39.749,4503,0
19970820,41.734,41.734,41.734,41.734,6589,0
19970821,41.634,41.634,41.634,41.634,3337,0
19970822,41.435,41.435,41.435,41.435,2449,0
19970825,40.747,40.747,40.747,40.747,1110,0
19970826,39.949,39.949,39.949,39.949,908,0
19970827,41.734,41.734,41.734,41.734,4237,0
19970828,40.747,40.747,40.747,40.747,5225,0
19970829,40.747,40.747,40.747,40.747,4635,0
19970901,39.749,39.749,39.749,39.749,6403,0
19970902,40.348,40.348,40.348,40.348,4003,0
19970903,40.747,40.747,40.747,40.747,10252,0
19970904,41.146,41.146,41.146,41.146,5054,0
19970905,40.348,40.348,40.348,40.348,16061,0
19970908,40.248,40.248,40.248,40.248,2265,0
19970909,40.248,40.248,40.248,40.248,7820,0
19970910,40.148,40.148,40.148,40.148,4067,0
19970911,39.749,39.749,39.749,39.749,11120,0
19970912,39.65,39.65,39.65,39.65,2604,0
19970915,39.251,39.251,39.251,39.251,8351,0
19970916,39.151,39.151,39.151,39.151,16573,0
19970917,39.051,39.051,39.051,39.051,20397,0
19970918,39.749,39.749,39.749,39.749,19857,0
19970919,40.148,40.148,40.148,40.148,21054,0
19970922,39.849,39.849,39.849,39.849,22307,0
19970923,39.749,39.749,39.749,39.749,10306,0
19970924,37.565,37.565,37.565,37.565,4625,0
19970925,38.453,38.453,38.453,38.453,3252,0
19970926,37.765,37.765,37.765,37.765,3771,0
19970929,37.765,37.765,37.765,37.765,25030,0
19970930,37.765,37.765,37.765,37.765,4453,0
19971001,37.964,37.964,37.964,37.964,1708,0
19971002,38.553,38.553,38.553,38.553,10345,0
19971003,37.765,37.765,37.765,37.765,6845,0
19971006,37.765,37.765,37.765,37.765,2739,0
19971007,37.765,37.765,37.765,37.765,3275,0
19971008,37.366,37.366,37.366,37.366,3199,0
19971009,37.765,37.765,37.765,37.765,13677,0
19971010,37.466,37.466,37.466,37.466,1133,0
19971013,37.765,37.765,37.765,37.765,8562,0
19971014,39.251,39.251,39.251,39.251,3781,0
19971015,39.849,39.849,39.849,39.849,7466,0
19971016,41.046,41.046,41.046,41.046,10685,0
19971017,40.747,40.747,40.747,40.747,5435,0
19971020,41.534,41.534,41.534,41.534,3048,0
19971021,41.534,41.534,41.534,41.534,17827,0
19971022,41.534,41.534,41.534,41.534,14392,0
19971023,41.534,41.534,41.534,41.534,13008,0
19971024,39.749,39.749,39.749,39.749,4776,0
19971027,37.765,37.765,37.765,37.765,8482,0
19971028,33.985,33.985,33.985,33.985,48870,0
19971029,35.77,35.77,35.77,35.77,49995,0
19971030,36.07,36.07,36.07,36.07,22011,0
19971031,34.883,34.883,34.883,34.883,9458,0
19971103,36.169,36.169,36.169,36.169,7029,0
19971104,37.266,37.266,37.266,37.266,15566,0
19971105,37.964,37.964,37.964,37.964,15266,0
19971106,38.652,38.652,38.652,38.652,4473,0
19971107,37.865,37.865,37.865,37.865,16430,0
19971112,37.266,37.266,37.266,37.266,9034,0
19971113,36.768,36.768,36.768,36.768,11280,0
19971114,36.768,36.768,36.768,36.768,23072,0
19971117,37.266,37.266,37.266,37.266,14348,0
19971118,37.964,37.964,37.964,37.964,12775,0
19971119,38.453,38.453,38.453,38.453,7837,0
19971120,38.652,38.652,38.652,38.652,6897,0
19971121,38.752,38.752,38.752,38.752,24091,0
19971124,38.752,38.752,38.752,38.752,23896,0
19971125,38.752,38.752,38.752,38.752,26102,0
19971126,38.453,38.453,38.453,38.453,38084,0
19971127,38.852,38.852,38.852,38.852,4421,0
19971128,39.151,39.151,39.151,39.151,7243,0
19971201,39.151,39.151,39.151,39.151,7611,0
19971202,39.749,39.749,39.749,39.749,9511,0
19971203,40.248,40.248,40.248,40.248,11604,0
19971204,40.248,40.248,40.248,40.248,21801,0
19971205,40.747,40.747,40.747,40.747,10752,0
19971208,41.235,41.235,41.235,41.235,11601,0
19971209,41.235,41.235,41.235,41.235,15032,0
19971210,41.046,41.046,41.046,41.046,8024,0
19971211,40.747,40.747,40.747,40.747,10365,0
19971212,39.749,39.749,39.749,39.749,14093,0
19971215,40.348,40.348,40.348,40.348,7483,0
19971216,40.747,40.747,40.747,40.747,6307,0
19971217,41.235,41.235,41.235,41.235,8577,0
19971218,41.235,41.235,41.235,41.235,18905,0
19971219,41.146,41.146,41.146,41.146,9664,0
19971222,40.747,40.747,40.747,40.747,11307,0
19971223,40.248,40.248,40.248,40.248,1027,0
19971229,40.846,40.846,40.846,40.846,1816,0
19971230,41.235,41.235,41.235,41.235,15161,0
19971231,41.335,41.335,41.335,41.335,16976,0
19980105,41.335,41.335,41.335,41.335,17899,0
19980106,41.335,41.335,41.335,41.335,2270,0
19980107,40.747,40.747,40.747,40.747,3638,0
19980108,40.946,40.946,40.946,40.946,11833,0
19980109,40.846,40.846,40.846,40.846,3742,0
19980112,38.752,38.752,38.752,38.752,11144,0
19980113,37.765,37.765,37.765,37.765,29881,0
19980114,38.852,38.852,38.852,38.852,2034,0
19980115,38.264,38.264,38.264,38.264,9164,0
19980116,38.264,38.264,38.264,38.264,6830,0
19980119,39.949,39.949,39.949,39.949,3235,0
19980120,40.747,40.747,40.747,40.747,3509,0
19980121,39.749,39.749,39.749,39.749,8992,0
19980122,39.251,39.251,39.251,39.251,10287,0
19980123,39.151,39.151,39.151,39.151,4262,0
19980126,39.45,39.45,39.45,39.45,669,0
19980127,39.45,39.45,39.45,39.45,12932,0
19980128,39.749,39.749,39.749,39.749,1943,0
19980129,40.747,40.747,40.747,40.747,6234,0
19980130,40.747,40.747,40.747,40.747,14473,0
19980202,41.335,41.335,41.335,41.335,7826,0
19980203,41.634,41.634,41.634,41.634,81207,0
19980204,41.734,41.734,41.734,41.734,64373,0
19980205,43.23,43.23,43.23,43.23,62060,0
19980206,44.716,44.716,44.716,44.716,57963,0
19980209,46.71,46.71,46.71,46.71,75444,0
19980210,45.713,45.713,45.713,45.713,34972,0
19980211,47.199,47.199,47.199,47.199,35501,0
19980212,46.71,46.71,46.71,46.71,86168,0
19980213,45.713,45.713,45.713,45.713,36229,0
19980216,45.713,45.713,45.713,45.713,66790,0
19980217,45.114,45.114,45.114,45.114,50457,0
19980218,46.71,46.71,46.71,46.71,38737,0
19980219,47.697,47.697,47.697,47.697,22907,0
19980220,47.697,47.697,47.697,47.697,16128,0
19980223,47.298,47.298,47.298,47.298,20950,0
19980224,45.713,45.713,45.713,45.713,30565,0
19980225,45.713,45.713,45.713,45.713,16083,0
19980226,46.211,46.211,46.211,46.211,7411,0
19980227,45.713,45.713,45.713,45.713,11952,0
19980302,46.211,46.211,46.211,46.211,87790,0
19980303,47.697,47.697,47.697,47.697,21626,0
19980304,46.211,46.211,46.211,46.211,5107,0
19980305,45.214,45.214,45.214,45.214,8702,0
19980306,46.211,46.211,46.211,46.211,11577,0
19980309,46.511,46.511,46.511,46.511,5029,0
19980310,47.697,47.697,47.697,47.697,12783,0
19980311,50.18,50.18,50.18,50.18,20813,0
19980312,49.692,49.692,49.692,49.692,14133,0
19980313,52.663,52.663,52.663,52.663,9663,0
19980316,51.178,51.178,51.178,51.178,13580,0
19980317,51.676,51.676,51.676,51.676,5734,0
19980318,50.18,50.18,50.18,50.18,4708,0
19980319,51.676,51.676,51.676,51.676,16380,0
19980320,51.676,51.676,51.676,51.676,11155,0
19980323,52.175,52.175,52.175,52.175,27249,0
19980324,52.663,52.663,52.663,52.663,19194,0
19980325,53.162,53.162,53.162,53.162,4723,0
19980326,53.162,53.162,53.162,53.162,19650,0
19980327,52.175,52.175,52.175,52.175,39347,0
19980330,51.676,51.676,51.676,51.676,5131,0
19980331,50.679,50.679,50.679,50.679,9356,0
19980401,51.676,51.676,51.676,51.676,14667,0
19980402,50.18,50.18,50.18,50.18,4200,0
19980406,50.679,50.679,50.679,50.679,11375,0
19980407,51.676,51.676,51.676,51.676,26194,0
19980408,51.676,51.676,51.676,51.676,14497,0
19980409,51.178,51.178,51.178,51.178,6369,0
19980414,51.178,51.178,51.178,51.178,4888,0
19980415,51.178,51.178,51.178,51.178,7934,0
19980416,50.679,50.679,50.679,50.679,5218,0
19980417,48.994,48.994,48.994,48.994,10608,0
19980420,48.694,48.694,48.096,48.196,8130,0
19980421,47.697,47.697,46.909,47.697,10127,0
19980422,48.196,48.395,47.897,48.395,22165,0
19980423,47.697,48.595,47.697,48.595,29718,0
19980424,49.193,50.679,49.193,50.18,38212,0
19980427,50.679,50.679,49.592,49.592,25774,0
19980428,49.692,50.18,49.193,50.18,11077,0
19980429,49.193,49.692,49.193,49.592,17692,0
19980430,49.592,50.18,49.592,50.18,66608,0
19980504,51.178,52.175,51.178,52.175,45165,0
19980505,50.679,50.679,49.692,50.18,30536,0
19980506,50.679,50.679,49.692,50.18,14631,0
19980507,49.692,49.692,48.694,48.694,20299,0
19980508,49.492,49.492,48.694,48.694,12434,0
19980511,49.193,49.193,47.897,47.897,13886,0
19980512,49.692,49.692,48.296,48.296,50374,0
19980513,48.595,48.595,47.697,47.697,10656,0
19980514,47.697,47.697,47.697,47.697,33738,0
19980515,43.828,45.214,43.828,44.716,8341,0
19980518,45.314,45.314,43.23,43.23,39978,0
19980519,42.931,43.629,42.731,43.629,12845,0
19980520,43.23,43.429,43.23,43.429,20459,0
19980521,44.217,45.114,44.217,44.915,29280,0
19980522,44.716,44.716,44.217,44.217,36442,0
19980525,43.928,43.928,41.933,43.728,9418,0
19980526,43.928,43.928,42.731,42.731,41216,0
19980527,42.731,42.731,39.749,40.747,9091,0
19980528,41.834,41.834,41.834,41.834,21635,0
19980529,41.534,41.534,40.148,40.148,7650,0
19980601,39.849,39.849,36.369,38.363,9976,0
19980602,37.765,38.752,37.765,38.752,10058,0
19980603,38.952,40.049,38.952,39.849,12937,0
19980604,39.749,40.348,39.749,39.849,22008,0
19980605,39.749,40.148,39.65,39.949,46984,0
19980608,39.749,39.749,37.765,38.553,12794,0
19980609,38.852,38.852,38.164,38.164,14055,0
19980610,37.964,39.151,37.964,39.151,2402,0
19980615,36.07,36.07,36.07,36.07,32781,0
19980616,36.269,38.363,36.269,38.363,9253,0
19980617,39.749,40.946,39.45,39.749,27984,0
19980618,39.749,39.949,39.35,39.949,45120,0
19980619,39.749,40.647,39.251,40.647,8503,0
19980622,40.248,40.747,40.248,40.747,26694,0
19980623,40.547,40.547,39.749,39.949,19104,0
19980624,40.248,40.248,39.749,40.148,33021,0
19980625,39.849,41.046,39.849,40.647,51812,0
19980626,39.749,40.049,39.55,40.049,19774,0
19980629,39.45,39.749,39.35,39.35,13193,0
19980630,39.749,40.747,39.749,40.348,17642,0
19980701,41.335,41.335,40.747,41.335,10255,0
19980702,42.232,42.432,41.634,41.634,17191,0
19980703,41.734,43.23,41.734,42.931,69307,0
19980706,42.731,43.429,42.731,43.23,31758,0
19980707,43.728,44.815,43.728,44.815,97438,0
19980708,44.716,44.716,43.429,43.728,34361,0
19980709,43.728,43.728,43.728,43.728,22248,0
19980710,43.429,43.728,43.429,43.728,12488,0
19980713,44.317,45.713,44.317,45.513,37738,0
19980714,45.613,46.61,45.613,45.713,28362,0
19980715,46.999,46.999,45.214,46.311,31070,0
19980716,46.511,47.199,46.511,47.199,17964,0
19980717,48.196,48.395,47.697,48.395,68042,0
19980720,48.196,50.679,48.196,50.679,22968,0
19980721,49.692,49.692,48.694,48.694,52598,0
19980722,47.697,47.697,46.012,46.012,29537,0
19980723,46.211,48.196,46.211,48.196,33330,0
19980724,46.211,47.298,46.211,46.81,23932,0
19980727,46.61,46.61,44.217,44.217,23494,0
19980728,45.015,45.015,43.728,44.027,33030,0
19980729,43.728,44.317,43.03,44.117,39074,0
19980730,44.716,45.015,44.616,44.915,10207,0
19980731,46.012,46.012,44.815,45.114,15657,0
19980803,43.629,43.728,43.529,43.529,19562,0
19980804,43.629,44.416,43.629,44.217,12452,0
19980805,42.532,42.631,42.532,42.631,16757,0
19980806,43.23,43.23,42.831,42.831,17125,0
19980807,42.731,43.429,42.731,43.329,7407,0
19980810,43.429,43.429,43.03,43.03,5225,0
19980811,42.532,42.532,41.235,41.235,17585,0
19980812,42.532,42.731,42.532,42.731,24015,0
19980813,41.634,41.634,40.447,40.447,40220,0
19980814,42.432,43.23,41.734,43.03,17531,0
19980817,42.532,42.731,42.532,42.731,7030,0
19980818,44.217,45.513,44.217,44.516,16320,0
19980819,44.915,44.915,44.416,44.516,6608,0
19980820,43.728,43.728,42.731,43.13,12339,0
19980821,41.534,41.534,40.747,41.046,19747,0
19980824,42.532,42.532,41.534,41.734,9738,0
19980825,42.232,42.232,41.834,41.834,10528,0
19980826,40.547,40.547,39.749,39.749,16458,0
19980827,38.553,38.553,36.967,36.967,15646,0
19980828,34.783,36.768,34.783,36.768,36097,0
19980831,35.77,36.169,35.282,36.169,29880,0
19980901,34.085,34.584,33.985,34.085,33339,0
19980902,37.466,38.264,37.466,37.964,6282,0
19980903,35.77,35.77,34.783,35.671,16669,0
19980904,36.269,36.967,36.269,36.867,37534,0
19980907,39.849,41.734,39.849,40.747,8003,0
19980908,40.747,42.631,40.747,42.631,19748,0
19980909,40.049,40.248,39.749,39.849,15925,0
19980910,39.55,40.248,39.151,39.45,22082,0
19980911,39.55,39.749,39.55,39.749,62248,0
