Date,Open,High,Low,Close,Volume,OpenInt
20120125,9,14.99,9,10.5,7586,0
20120126,10.85,11.55,10,10.5,20321,0
20120127,11.05,11.05,10.05,10.05,2004,0
20120130,10.25,10.25,10.25,10.25,158,0
20120131,10.08,10.08,9.98,10,1058,0
20120201,10,10,9.2,10,2072,0
20120202,9.95,9.95,9.05,9.84,1264,0
20120203,9.89,9.89,9.51,9.88,46,0
20120206,9.85,9.85,9.51,9.82,47,0
20120207,9.55,9.6,9.05,9.29,4565,0
20120208,9.25,9.25,8.86,9.15,2084,0
20120209,9.19,9.19,9,9.18,330,0
20120210,9,9,9,9,170,0
20120213,9,9,9,9,70,0
20120214,9.29,9.29,9.29,9.29,10,0
20120215,9.14,9.14,8.64,9,4988,0
20120216,8.56,8.9,8.21,8.9,2193,0
20120217,9,9,8.85,8.85,150,0
20120220,8.8,8.8,8.48,8.48,210,0
20120221,8.55,8.55,7.7,8.2,1772,0
20120222,8.1,8.15,8.1,8.15,1220,0
20120223,8.49,8.49,8.15,8.15,20,0
20120224,8,8.1,7.79,8.1,2285,0
20120227,8.15,8.15,8.09,8.09,971,0
20120228,8.08,8.08,8.06,8.06,80,0
20120229,8.08,8.08,8.05,8.05,12,0
20120301,8,8.01,7.85,8.01,659,0
20120302,8.2,8.2,8.2,8.2,2,0
20120305,8.2,8.2,8.1,8.1,171,0
20120306,8.04,8.04,8.04,8.04,50,0
20120307,8.4,8.4,8.1,8.1,194,0
20120308,8.2,8.2,7.46,8,2240,0
20120309,7.8,7.8,7.8,7.8,315,0
20120312,7.8,7.8,7.8,7.8,10,0
20120313,7.75,7.75,7.41,7.52,880,0
20120314,7.67,7.67,7.32,7.32,1236,0
20120315,7.7,7.7,7.4,7.4,345,0
20120316,7.7,7.7,7.4,7.4,150,0
20120319,7.55,7.55,7.41,7.41,125,0
20120320,7.55,7.55,7.55,7.55,20,0
20120321,7.55,7.55,7.55,7.55,20,0
20120322,7.55,7.55,7.55,7.55,3,0
20120323,7.55,7.55,7.55,7.55,2,0
20120326,7.55,7.7,7.55,7.7,20,0
20120327,7.7,7.7,7.55,7.55,100,0
20120328,7.7,7.7,7.41,7.41,110,0
20120329,7.4,7.4,7.1,7.4,30,0
20120330,7.68,7.68,7.68,7.68,15,0
20120402,7.68,7.68,7.68,7.68,2276,0
20120403,7.7,7.7,7.7,7.7,45,0
20120404,7.4,7.4,7.4,7.4,20,0
20120410,7.7,7.7,7.3,7.3,1038,0
20120411,7.5,7.5,7.13,7.13,137,0
20120412,6.95,6.95,6.9,6.9,1090,0
20120413,6.8,6.8,6.75,6.8,185,0
20120416,7.2,7.2,7.2,7.2,20,0
20120417,7.04,7.04,7.04,7.04,10,0
20120418,7.7,7.7,7.42,7.5,15,0
20120419,7.79,7.79,7.54,7.54,10,0
20120420,7.54,7.54,7.54,7.54,20,0
20120423,7.54,7.54,7,7,2166,0
20120424,7.54,7.54,7.54,7.54,10,0
20120425,7.04,7.04,7,7,25,0
20120426,7.05,7.05,7.05,7.05,465,0
20120427,7.54,7.54,6.98,7.35,186,0
20120430,7.54,7.54,7.54,7.54,10,0
20120502,7.54,7.54,7.54,7.54,10,0
20120504,7.54,7.54,7.5,7.5,15,0
20120507,7.49,7.49,7.12,7.12,100,0
20120508,7.61,7.61,7.01,7.01,65,0
20120509,7.01,7.01,6.8,6.87,1232,0
20120510,6.86,6.86,6.86,6.86,150,0
20120511,6.86,6.86,6.7,6.7,68,0
20120514,6.7,6.7,6.7,6.7,1,0
20120515,6.8,6.8,6.8,6.8,10,0
20120517,6.5,6.5,6.37,6.37,194,0
20120524,6.05,6.05,6.05,6.05,1240,0
20120528,5.75,5.75,5.75,5.75,1305,0
20120529,5.46,5.46,5.2,5.2,1375,0
20120530,5.18,5.18,4.89,5.18,375,0
20120604,5.18,5.18,5.16,5.16,355,0
20120605,5.15,5.16,5.15,5.16,210,0
20120613,6.03,6.04,6.03,6.04,120,0
20120614,5.8,5.8,5.8,5.8,244,0
20120615,5.79,5.79,5.51,5.79,94,0
20120618,5.79,5.79,5.79,5.79,10,0
20120619,5.79,5.79,5.51,5.79,1383,0
20120620,5.79,5.79,5.79,5.79,5,0
20120621,5.73,5.73,5.23,5.73,1450,0
20120622,5.79,6,5.41,6,353,0
20120625,6,6,5.51,6,16,0
20120626,6,6,5.51,6,530,0
20120627,6,6,5.51,5.8,1369,0
20120628,5.8,5.8,5.32,5.8,16,0
20120629,5.8,6.38,5.42,6.38,2210,0
20120703,5.75,6.86,5.75,6.86,2316,0
20120704,6.89,6.89,6.89,6.89,5,0
20120705,7.2,7.2,6.37,7.2,1193,0
20120706,7.2,7.2,7.2,7.2,5,0
20120709,7.2,7.2,6.46,7.12,815,0
20120710,7.19,7.19,7.19,7.19,15,0
20120711,7.19,7.19,6.75,7.15,1271,0
20120712,7.18,7.18,6.47,7.17,420,0
20120713,7.17,7.17,7.17,7.17,5,0
20120716,7.17,7.17,7.17,7.17,20,0
20120717,7.17,7.17,7.17,7.17,10,0
20120718,7.17,7.17,7.17,7.17,4,0
20120719,7.18,7.18,6.83,7.18,1071,0
20120720,7.17,7.17,7.17,7.17,4,0
20120723,7.17,7.17,6.48,7.17,2017,0
20120724,7.17,7.17,6.47,7.17,1621,0
20120725,7.17,7.17,6.47,7.1,324,0
20120726,7.17,7.17,6.56,7.17,307,0
20120727,7.17,7.17,6.6,7.1,312,0
20120730,7.15,7.45,6.44,7.45,289,0
20120731,7.39,7.39,7.39,7.39,10,0
20120801,7.2,7.3,7.2,7.3,2417,0
20120802,7.29,7.29,7.29,7.29,5,0
20120803,7.3,7.3,7.3,7.3,5,0
20120806,7.3,7.3,7.3,7.3,2,0
20120807,7.29,7.29,7.29,7.29,2,0
20120808,7.19,7.19,7.19,7.19,5,0
20120809,7.19,7.19,7.19,7.19,10,0
20120810,7.17,7.17,7.17,7.17,3,0
20120813,7.3,7.3,7.3,7.3,10,0
20120814,7.3,7.3,6.45,6.45,215,0
20120816,7.27,7.27,7.2,7.2,11,0
20120817,7.19,7.29,7.19,7.29,76,0
20120820,7.28,7.28,6.37,7.2,1701,0
20120821,7.28,7.28,6.97,6.97,25,0
20120822,6.97,7.2,6.55,6.95,1542,0
20120823,6.7,7.18,6.38,6.75,481,0
20120824,6.9,6.9,6.89,6.89,185,0
20120827,6.88,6.88,6.88,6.88,5,0
20120828,6.7,6.89,6.7,6.89,265,0
20120829,6.7,6.89,6,6.58,2449,0
20120830,6.4,6.52,6.4,6.52,285,0
20120831,6.4,6.43,6.4,6.43,265,0
20120903,6.48,6.48,5.98,6.3,1770,0
20120904,6.3,6.3,6.3,6.3,3,0
20120905,6.44,6.44,6.44,6.44,5,0
20120906,6.47,6.47,6.47,6.47,5,0
20120907,6.05,6.44,6.05,6.44,270,0
20120910,6.44,6.48,5.88,6.44,2858,0
20120911,6.4,6.49,5.99,6.49,1602,0
20120912,6.49,6.49,6,6.49,1534,0
20120913,6.49,6.49,6.03,6.45,257,0
20120914,6.45,6.45,6,6.3,506,0
20120917,6.32,6.4,6.32,6.4,7,0
20120918,6.4,6.4,6.4,6.4,5,0
20120919,6.33,6.4,5.89,6.11,1581,0
20120920,6.19,6.19,5.47,6.13,1628,0
20120921,6.22,6.29,6.22,6.29,7,0
20120924,6.29,6.29,6.29,6.29,5,0
20120925,6.15,6.33,5.74,6.33,1784,0
20120926,6.26,6.26,5.65,6.24,658,0
20120927,6.21,6.22,5.76,6.22,223,0
20120928,6.22,6.22,6.22,6.22,5,0
20121001,6.22,6.22,5.6,5.95,377,0
20121002,6,6,5.58,6,2953,0
20121003,6,6,5.58,6,785,0
20121004,6,6,6,6,5,0
