Date,Open,High,Low,Close,Volume,OpenInt
19950207,11.607,11.607,11.607,11.607,284577,0
19950208,11.525,11.525,11.525,11.525,263614,0
19950209,11.03,11.03,11.03,11.03,91475,0
19950210,10.373,10.373,10.373,10.373,192394,0
19950213,10.29,10.29,10.29,10.29,97041,0
19950214,10.373,10.373,10.373,10.373,99449,0
19950215,10.454,10.454,10.454,10.454,88767,0
19950216,10.454,10.454,10.454,10.454,117653,0
19950217,10.454,10.454,10.454,10.454,60927,0
19950220,10.373,10.373,10.373,10.373,127260,0
19950221,9.3839,9.3839,9.3839,9.3839,118116,0
19950222,9.3839,9.3839,9.3839,9.3839,102190,0
19950223,9.714,9.714,9.714,9.714,45760,0
19950224,10.619,10.619,10.619,10.619,282092,0
19950227,10.043,10.043,10.043,10.043,91508,0
19950228,9.714,9.714,9.714,9.714,68768,0
19950301,9.714,9.714,9.714,9.714,50240,0
19950302,9.877,9.877,9.877,9.877,40343,0
19950303,10.125,10.125,10.125,10.125,56542,0
19950306,9.96,9.96,9.96,9.96,40405,0
19950307,10.043,10.043,10.043,10.043,65814,0
19950308,9.877,9.877,9.877,9.877,24852,0
19950309,9.877,9.877,9.877,9.877,37095,0
19950310,9.714,9.714,9.714,9.714,37373,0
19950313,9.549,9.549,9.549,9.549,57645,0
19950314,9.549,9.549,9.549,9.549,42990,0
19950315,9.549,9.549,9.549,9.549,17486,0
19950316,9.3839,9.3839,9.3839,9.3839,28770,0
19950317,9.0555,9.0555,9.0555,9.0555,33127,0
19950320,9.0555,9.0555,9.0555,9.0555,34348,0
19950321,8.8904,8.8904,8.8904,8.8904,64393,0
19950322,8.7253,8.7253,8.7253,8.7253,49159,0
19950323,8.5602,8.5602,8.5602,8.5602,81472,0
19950324,8.6428,8.6428,8.6428,8.6428,61028,0
19950327,8.8904,8.8904,8.8904,8.8904,24295,0
19950328,8.4795,8.4795,8.4795,8.4795,55784,0
19950329,8.3969,8.3969,8.3969,8.3969,47637,0
19950330,8.5602,8.5602,8.5602,8.5602,48412,0
19950331,8.7253,8.7253,8.7253,8.7253,41541,0
19950403,8.7253,8.7253,8.7253,8.7253,41714,0
19950404,8.8904,8.8904,8.8904,8.8904,52641,0
19950405,9.0555,9.0555,9.0555,9.0555,78463,0
19950406,9.549,9.549,9.549,9.549,101115,0
19950407,9.877,9.877,9.877,9.877,139653,0
19950410,10.536,10.536,10.536,10.536,112939,0
19950411,10.949,10.949,10.949,10.949,198797,0
19950412,10.866,10.866,10.866,10.866,174903,0
19950413,10.536,10.536,10.536,10.536,287185,0
19950414,10.784,10.784,10.784,10.784,133395,0
19950418,11.607,11.607,11.607,11.607,173387,0
19950419,12.76,12.76,12.76,12.76,240645,0
19950420,13.994,13.994,13.994,13.994,927552,0
19950421,13.664,13.664,13.664,13.664,390896,0
19950424,14.981,14.981,14.981,14.981,214555,0
19950425,16.464,16.464,16.464,16.464,769951,0
19950426,15.475,15.475,15.475,15.475,575584,0
19950427,16.957,16.957,16.957,16.957,555986,0
19950428,15.312,15.312,15.312,15.312,818697,0
19950504,15.146,15.146,15.146,15.146,250814,0
19950505,14.158,14.158,14.158,14.158,289185,0
19950509,14.158,14.158,14.158,14.158,315887,0
19950510,15.146,15.146,15.146,15.146,264979,0
19950511,15.888,15.888,15.888,15.888,378041,0
19950512,16.299,16.299,16.299,16.299,353183,0
19950515,15.97,15.97,15.97,15.97,297906,0
19950516,15.146,15.146,15.146,15.146,282738,0
19950517,14.653,14.653,14.653,14.653,213814,0
19950518,14.24,14.24,14.24,14.24,251951,0
19950519,13.994,13.994,13.994,13.994,228419,0
19950522,12.76,12.76,12.76,12.76,189943,0
19950523,12.429,12.429,12.429,12.429,203907,0
19950524,13.664,13.664,13.664,13.664,194116,0
19950525,14.816,14.816,14.816,14.816,484277,0
19950526,14.323,14.323,14.323,14.323,171053,0
19950529,14.981,14.981,14.981,14.981,295292,0
19950530,13.664,13.664,13.664,13.664,157417,0
19950531,13.664,13.664,13.664,13.664,212555,0
19950601,12.842,12.842,12.842,12.842,148189,0
19950602,12.677,12.677,12.677,12.677,129450,0
19950605,13.005,13.005,13.005,13.005,89569,0
19950606,13.664,13.664,13.664,13.664,130776,0
19950607,13.664,13.664,13.664,13.664,132899,0
19950608,13.418,13.418,13.418,13.418,93497,0
19950609,13.336,13.336,13.336,13.336,69024,0
19950612,13.501,13.501,13.501,13.501,81924,0
19950613,13.005,13.005,13.005,13.005,66500,0
19950614,12.842,12.842,12.842,12.842,90171,0
19950616,12.677,12.677,12.677,12.677,85000,0
19950619,12.512,12.512,12.512,12.512,49354,0
19950620,12.512,12.512,12.512,12.512,139859,0
19950621,12.842,12.842,12.842,12.842,131445,0
19950622,12.677,12.677,12.677,12.677,54469,0
19950623,12.923,12.923,12.923,12.923,37992,0
19950626,13.171,13.171,13.171,13.171,187496,0
19950627,13.664,13.664,13.664,13.664,96819,0
19950628,13.171,13.171,13.171,13.171,56369,0
19950629,13.336,13.336,13.336,13.336,63658,0
19950630,13.336,13.336,13.336,13.336,55110,0
19950703,13.501,13.501,13.501,13.501,88811,0
19950704,13.171,13.171,13.171,13.171,80107,0
19950705,12.842,12.842,12.842,12.842,48551,0
19950706,12.842,12.842,12.842,12.842,34844,0
19950707,12.677,12.677,12.677,12.677,24256,0
19950710,12.677,12.677,12.677,12.677,34983,0
19950711,12.677,12.677,12.677,12.677,47136,0
19950712,12.429,12.429,12.429,12.429,35841,0
19950713,12.842,12.842,12.842,12.842,47699,0
19950714,12.677,12.677,12.677,12.677,33244,0
19950717,13.171,13.171,13.171,13.171,71598,0
19950718,13.501,13.501,13.501,13.501,72078,0
19950719,13.582,13.582,13.582,13.582,142205,0
19950720,13.664,13.664,13.664,13.664,204904,0
19950721,13.501,13.501,13.501,13.501,66739,0
19950724,13.171,13.171,13.171,13.171,101209,0
19950725,13.005,13.005,13.005,13.005,57668,0
19950726,12.842,12.842,12.842,12.842,50970,0
19950727,13.336,13.336,13.336,13.336,61752,0
19950728,13.171,13.171,13.171,13.171,113547,0
19950731,12.842,12.842,12.842,12.842,53143,0
19950801,12.842,12.842,12.842,12.842,51354,0
19950802,12.842,12.842,12.842,12.842,31851,0
19950803,12.677,12.677,12.677,12.677,44567,0
19950804,12.677,12.677,12.677,12.677,34231,0
19950807,12.677,12.677,12.677,12.677,26307,0
19950808,12.677,12.677,12.677,12.677,24212,0
19950809,12.842,12.842,12.842,12.842,33127,0
19950810,13.253,13.253,13.253,13.253,72167,0
19950811,13.501,13.501,13.501,13.501,96217,0
19950816,13.418,13.418,13.418,13.418,60253,0
19950817,13.171,13.171,13.171,13.171,53984,0
19950818,13.171,13.171,13.171,13.171,27867,0
19950821,13.336,13.336,13.336,13.336,40343,0
19950822,13.088,13.088,13.088,13.088,17302,0
19950823,13.171,13.171,13.171,13.171,50869,0
19950824,13.253,13.253,13.253,13.253,56514,0
19950825,13.253,13.253,13.253,13.253,48178,0
19950828,13.253,13.253,13.253,13.253,17575,0
19950829,13.171,13.171,13.171,13.171,31545,0
19950830,12.842,12.842,12.842,12.842,17670,0
19950831,13.171,13.171,13.171,13.171,26195,0
19950901,12.923,12.923,12.923,12.923,7077,0
19950904,13.171,13.171,13.171,13.171,76797,0
19950905,13.418,13.418,13.418,13.418,87686,0
19950906,13.501,13.501,13.501,13.501,101293,0
19950907,13.582,13.582,13.582,13.582,174491,0
19950908,14.158,14.158,14.158,14.158,225405,0
19950911,15.557,15.557,15.557,15.557,274680,0
19950912,15.557,15.557,15.557,15.557,290907,0
19950913,15.475,15.475,15.475,15.475,254787,0
19950914,15.475,15.475,15.475,15.475,226330,0
19950915,14.653,14.653,14.653,14.653,122535,0
19950918,13.912,13.912,13.912,13.912,111128,0
19950919,13.664,13.664,13.664,13.664,115190,0
19950920,13.747,13.747,13.747,13.747,114967,0
19950921,13.829,13.829,13.829,13.829,86950,0
19950922,14.158,14.158,14.158,14.158,93152,0
19950925,14.158,14.158,14.158,14.158,87295,0
19950926,14.077,14.077,14.077,14.077,35590,0
19950927,14.158,14.158,14.158,14.158,53221,0
19950928,13.994,13.994,13.994,13.994,61418,0
19950929,13.994,13.994,13.994,13.994,98184,0
19951002,14.158,14.158,14.158,14.158,41915,0
19951003,14.077,14.077,14.077,14.077,82119,0
19951004,13.664,13.664,13.664,13.664,44857,0
19951005,13.501,13.501,13.501,13.501,36554,0
19951006,13.501,13.501,13.501,13.501,37150,0
19951009,13.336,13.336,13.336,13.336,45035,0
19951010,12.923,12.923,12.923,12.923,53505,0
19951011,12.842,12.842,12.842,12.842,53767,0
19951012,13.005,13.005,13.005,13.005,21754,0
19951013,12.842,12.842,12.842,12.842,28497,0
19951016,13.171,13.171,13.171,13.171,61880,0
19951017,13.253,13.253,13.253,13.253,23955,0
19951018,13.088,13.088,13.088,13.088,32737,0
19951019,12.842,12.842,12.842,12.842,83712,0
19951020,12.677,12.677,12.677,12.677,66221,0
19951023,13.005,13.005,13.005,13.005,37212,0
19951024,12.677,12.677,12.677,12.677,28630,0
19951025,12.677,12.677,12.677,12.677,14354,0
19951026,12.76,12.76,12.76,12.76,23197,0
19951027,12.76,12.76,12.76,12.76,30252,0
19951030,12.677,12.677,12.677,12.677,25672,0
19951031,12.512,12.512,12.512,12.512,22061,0
19951102,12.512,12.512,12.512,12.512,80915,0
19951103,13.171,13.171,13.171,13.171,47186,0
19951106,13.171,13.171,13.171,13.171,39931,0
19951107,13.171,13.171,13.171,13.171,67347,0
19951108,13.253,13.253,13.253,13.253,33952,0
19951109,13.171,13.171,13.171,13.171,95398,0
19951110,13.171,13.171,13.171,13.171,166996,0
19951113,12.842,12.842,12.842,12.842,22813,0
19951114,12.842,12.842,12.842,12.842,38153,0
19951115,12.923,12.923,12.923,12.923,21933,0
19951116,13.005,13.005,13.005,13.005,41976,0
19951117,13.005,13.005,13.005,13.005,29906,0
19951120,12.184,12.184,12.184,12.184,43052,0
19951121,12.264,12.264,12.264,12.264,37541,0
19951122,12.842,12.842,12.842,12.842,19659,0
19951123,12.842,12.842,12.842,12.842,13312,0
19951124,12.76,12.76,12.76,12.76,15591,0
19951127,12.677,12.677,12.677,12.677,19247,0
19951128,12.677,12.677,12.677,12.677,50842,0
19951129,12.429,12.429,12.429,12.429,22763,0
19951130,12.429,12.429,12.429,12.429,24095,0
19951201,12.347,12.347,12.347,12.347,49437,0
19951204,12.347,12.347,12.347,12.347,46406,0
19951205,12.512,12.512,12.512,12.512,50184,0
19951206,12.184,12.184,12.184,12.184,62538,0
19951207,11.607,11.607,11.607,11.607,28993,0
19951208,12.018,12.018,12.018,12.018,47961,0
19951211,12.018,12.018,12.018,12.018,11317,0
19951212,12.018,12.018,12.018,12.018,21130,0
19951213,11.607,11.607,11.607,11.607,14343,0
19951214,11.607,11.607,11.607,11.607,29767,0
19951215,11.525,11.525,11.525,11.525,28196,0
19951218,11.442,11.442,11.442,11.442,34169,0
19951219,11.442,11.442,11.442,11.442,81272,0
19951220,10.866,10.866,10.866,10.866,53605,0
