Date,Open,High,Low,Close,Volume,OpenInt
20071031,20.231,20.555,19.121,20.47,43062,0
20071102,19.889,19.889,18.771,18.788,3639,0
20071105,17.926,18.267,17.806,17.926,1903,0
20071106,17.755,18.011,17.158,18.011,1554,0
20071107,17.2,17.2,16.048,16.048,2503,0
20071108,14.938,16.133,13.376,16.048,8323,0
20071109,15.459,17.072,15.459,16.987,298,0
20071112,15.365,15.365,15.365,15.365,807,0
20071113,15.109,15.28,14.682,15.28,662,0
20071114,14.768,14.768,14.725,14.725,832,0
20071115,14.938,14.938,14.085,14.085,931,0
20071116,11.951,14.085,11.515,14.085,687,0
20071119,12.847,13.649,12.676,13.573,1348,0
20071120,13.573,13.573,11.353,13.573,709,0
20071121,11.541,12.719,11.541,12.719,1857,0
20071122,11.951,14.469,11.609,14.469,142,0
20071123,14.042,14.042,11.874,13.658,128,0
20071126,13.649,13.649,12.335,13.649,482,0
20071127,12.292,14.426,12.045,14.059,226,0
20071128,13.316,14.085,13.316,14.085,175,0
20071129,14.085,15.365,13.282,15.365,1767,0
20071130,15.365,15.69,14.563,15.655,291,0
20071203,15.442,15.792,15.442,15.792,1054,0
20071204,14.213,15.792,14.213,15.792,1921,0
20071205,15.792,16.116,15.792,15.792,3568,0
20071206,15.783,15.783,15.783,15.783,28,0
20071207,14.648,16.116,14.597,15.621,1615,0
20071210,14.87,15.621,14.87,14.947,1404,0
20071211,15.109,15.109,14.682,14.682,234,0
20071212,15.194,15.194,14.597,14.597,83,0
20071213,15.194,15.621,15.194,15.365,632,0
20071214,15.365,15.365,14.085,15.101,3959,0
20071217,14.938,14.938,13.624,14.085,2460,0
20071218,13.146,14.341,13.146,14.341,14343,0
20071219,13.487,13.487,11.951,13.146,9180,0
20071220,12.301,13.479,12.301,13.103,11391,0
20071221,12.13,13.487,12.13,12.676,2688,0
20071227,13.615,13.615,12.634,12.89,2327,0
20071228,13.445,15.527,13.402,15.527,1724,0
20080102,13.709,14.418,13.709,13.803,1455,0
20080103,14.418,14.426,14.418,14.418,135,0
20080104,14.042,14.085,14.042,14.085,11,0
20080107,12.804,14.085,12.804,14.085,53,0
20080108,13.658,13.658,13.658,13.658,301,0
20080109,14.085,14.085,14.085,14.085,75,0
20080110,12.813,14.298,12.804,14.298,2811,0
20080115,14.554,14.554,13.658,14.29,1591,0
20080116,12.898,13.231,12.898,13.231,4653,0
20080117,14.512,14.512,14.512,14.512,11,0
20080118,14.076,14.076,14.076,14.076,999,0
20080122,14.503,14.503,14.503,14.503,11,0
20080123,13.06,14.375,13.06,14.255,879,0
20080124,14.358,14.366,14.358,14.366,1991,0
20080125,14.426,14.494,14.426,14.469,484,0
20080129,14.341,14.341,14.341,14.341,35,0
20080131,13.743,14.341,13.743,14.341,246,0
20080201,13.018,14.255,13.018,13.487,1323,0
20080204,14.247,14.255,13.487,13.496,469,0
20080205,13.095,13.658,13.095,13.658,352,0
20080206,15.963,15.963,13.231,14.469,310,0
20080207,13.368,13.368,13.06,13.06,3023,0
20080208,13.077,13.077,13.06,13.06,455,0
20080211,13.06,13.06,13.06,13.06,234,0
20080212,12.804,12.975,12.804,12.975,117,0
20080213,11.951,12.207,11.908,12.121,4444,0
20080214,12.121,12.121,12.121,12.121,6,0
20080219,11.14,11.763,11.106,11.763,393,0
20080220,11.191,12.762,11.191,12.762,141,0
20080221,12.668,12.668,11.524,11.737,118,0
20080222,11.737,12.591,11.695,11.951,465,0
20080225,11.524,11.951,11.524,11.951,1232,0
20080226,11.524,11.524,11.276,11.276,1404,0
20080227,11.276,11.78,11.276,11.78,256,0
20080228,11.524,11.524,11.524,11.524,44,0
20080229,11.737,11.78,11.737,11.78,562,0
20080303,12.54,12.932,12.54,12.89,2192,0
20080304,12.975,12.975,12.975,12.975,174,0
20080305,12.975,12.975,12.975,12.975,305,0
20080306,13.129,13.137,12.975,13.137,106,0
20080311,13.001,13.001,12.292,12.975,392,0
20080314,12.804,12.804,12.804,12.804,65,0
20080317,12.395,12.796,11.626,12.796,2324,0
20080318,11.823,12.762,11.78,12.762,250,0
20080320,11.993,12.719,11.993,12.719,59,0
20080325,12.309,12.719,12.292,12.292,195,0
20080326,12.292,12.292,11.951,12.292,2964,0
20080327,11.951,11.951,11.584,11.951,3691,0
20080328,12.625,12.634,11.951,11.951,3271,0
20080331,11.951,12.207,11.737,12.207,2909,0
20080401,11.951,11.951,11.951,11.951,1721,0
20080402,11.865,12.591,11.865,12.591,775,0
20080403,12.121,12.121,12.036,12.079,1246,0
20080404,12.096,12.121,12.096,12.121,94,0
20080407,12.121,12.121,11.908,12.121,1026,0
20080408,12.121,12.121,12.121,12.121,65,0
20080409,11.865,11.865,11.865,11.865,611,0
20080410,11.865,12.036,11.524,12.036,478,0
20080411,11.609,11.917,11.609,11.917,316,0
20080414,11.609,11.951,11.353,11.951,749,0
20080416,11.823,12.087,11.823,12.087,252,0
20080417,11.618,11.823,11.618,11.823,101,0
20080418,12.036,12.036,12.036,12.036,10544,0
20080421,11.618,12.087,11.618,12.087,298,0
20080422,11.934,11.934,11.934,11.934,185,0
20080423,11.618,11.618,10.687,10.696,1640,0
20080424,10.67,10.884,10.67,10.884,811,0
20080425,10.465,11.012,9.902,10.969,779,0
20080428,10.926,10.926,10.423,10.901,503,0
20080429,11.08,11.08,10.414,10.67,855,0
20080430,10.5,11.012,10.5,11.012,66,0
20080505,11.012,11.071,10.474,10.628,2083,0
20080506,10.67,10.978,10.243,10.978,1965,0
20080507,11.012,11.012,10.371,10.824,218,0
20080508,10.542,10.909,10.457,10.909,1030,0
20080509,10.585,11.071,10.457,11.071,852,0
20080512,10.986,10.986,10.542,10.645,102,0
20080513,10.995,10.995,10.465,10.995,73,0
20080514,10.5,10.961,10.5,10.952,242,0
20080515,11.114,11.114,10.901,10.901,401,0
20080516,10.926,11.046,10.585,11.046,1582,0
20080519,11.046,11.046,10.414,11.037,2683,0
20080520,10.414,10.423,10.004,10.269,1343,0
20080521,10.295,10.295,10.295,10.295,150,0
20080523,10.295,10.295,9.561,9.893,1639,0
20080526,9.2191,9.817,9.1337,9.3898,2109,0
20080527,9.4752,9.561,8.6216,8.7325,8549,0
20080528,9.3728,9.3728,9.2276,9.2276,354,0
20080529,9.3044,9.3044,8.7069,9.1764,2356,0
20080530,9.3471,9.3471,9.2105,9.2105,529,0
20080602,9.1764,9.1764,9.1764,9.1764,125,0
20080603,9.1678,9.1678,9.1337,9.1337,588,0
20080604,9.1593,9.689,9.1593,9.4922,2493,0
20080605,9.697,10.414,9.697,9.987,7900,0
20080606,9.987,10.081,9.731,9.731,7699,0
20080609,9.4069,9.928,9.4069,9.8,9374,0
20080610,9.731,9.8,8.9715,8.9715,20290,0
20080611,9.0911,9.1081,8.9203,9.0057,12335,0
20080612,9.0996,9.1337,8.9203,9.1337,10260,0
20080613,9.561,9.561,9.1337,9.561,2310,0
20080616,10.03,10.03,9.646,10.022,3187,0
20080617,10.073,10.073,9.689,9.902,2282,0
20080618,9.859,9.859,9.723,9.851,1312,0
20080619,9.603,9.851,9.4069,9.851,1798,0
20080620,9.987,9.987,9.987,9.987,2,0
20080623,9.774,9.791,9.731,9.731,1876,0
20080624,9.757,9.757,9.1935,9.3471,5080,0
20080625,9.68,9.68,9.4324,9.4324,1311,0
20080626,9.706,9.706,9.4752,9.561,398,0
20080627,9.3983,9.3983,9.2105,9.3983,2254,0
20080630,9.3034,9.6,9.3034,9.591,312,0
20080701,9.2191,9.4922,9.2191,9.4922,1360,0
20080702,9.4324,9.646,9.2191,9.646,1166,0
20080703,9.637,9.637,9.3471,9.586,1497,0
20080704,9.774,9.774,9.3556,9.4752,791,0
20080707,9.648,9.648,8.8818,8.9872,6826,0
20080708,8.9393,8.9585,8.5369,8.7956,8329,0
20080709,8.7956,8.9585,8.7956,8.8818,7133,0
20080710,8.8818,9.3705,8.8339,9.313,40112,0
20080711,9.2363,9.581,8.9106,9.4854,13341,0
20080714,9.524,9.524,9.1022,9.4471,2888,0
20080715,9.4567,9.4567,8.8626,9.0064,6147,0
20080716,8.7285,8.7381,7.9908,8.1536,9420,0
20080717,8.0195,8.2782,7.9524,7.9524,3453,0
20080718,7.9428,7.9524,7.6937,7.9524,4496,0
20080721,8.192,8.192,7.9524,8.192,573,0
20080722,8.3836,8.3836,8.0482,8.3836,425,0
20080723,9.2172,9.2172,8.5273,8.6231,6002,0
20080724,8.6231,8.968,8.6231,8.8147,1916,0
20080725,9.0064,9.0064,8.5273,8.604,1465,0
20080728,8.5273,8.7189,8.5273,8.7189,502,0
20080729,8.7189,8.7189,8.5081,8.5081,2,0
20080730,8.7189,9.0064,8.5177,8.9106,1353,0
20080731,9.0064,9.0064,8.6135,8.8626,1313,0
20080801,8.9106,8.9106,8.6231,8.9106,628,0
20080804,8.8626,8.8626,8.6231,8.6231,11170,0
20080805,8.6231,8.6231,8.6135,8.6231,9709,0
20080806,8.6231,8.6231,8.2399,8.6231,54,0
20080807,8.7093,8.7093,8.2399,8.671,164,0
20080808,8.259,8.5369,8.1441,8.5369,18623,0
20080811,8.8531,8.8531,8.1057,8.4507,904,0
20080812,8.1441,8.4315,8.0866,8.1632,3009,0
20080813,8.1632,8.1632,7.9524,8.1345,1256,0
20080814,8.0482,8.0482,7.8566,7.9333,2996,0
20080818,7.8566,7.9908,7.8566,7.9908,1268,0
20080819,7.8566,8.192,7.6842,7.847,687,0
20080820,7.665,7.9716,7.665,7.9716,295,0
20080821,8.0387,8.0387,7.665,8.0387,106,0
20080822,7.665,8.0195,7.665,8.0195,105,0
20080825,8.0387,8.0387,8.0387,8.0387,2,0
20080826,8.0387,8.0387,8.0387,8.0387,2,0
20080827,8.0387,8.0387,7.8662,8.0291,106,0
20080828,8.0387,8.0387,7.665,7.7033,4165,0
20080829,8.0387,8.0387,7.9524,7.9524,51,0
20080901,8.0387,8.0482,7.9524,8.0291,1478,0
20080902,8.0387,8.0387,7.7129,7.962,2641,0
20080903,7.962,7.962,7.8566,7.8566,106,0
20080904,7.962,7.962,7.962,7.962,2,0
20080905,7.9524,7.9524,7.6842,7.9237,1025,0
20080908,7.9237,7.9237,7.6746,7.8854,895,0
20080909,7.8758,7.8758,7.6842,7.78,404,0
20080910,7.6842,7.847,7.5788,7.847,4070,0
20080911,7.847,7.847,7.6554,7.8087,210,0
20080912,7.7991,7.7991,7.6171,7.6171,149,0
20080915,7.5883,7.665,7.2243,7.665,1046,0
20080916,7.6554,7.6554,7.0901,7.435,3445,0
20080917,7.6554,7.6554,6.9177,6.9177,1762,0
20080918,6.8985,7.1572,6.7739,7.0135,535,0
20080919,7.4255,7.4255,6.7069,6.8985,3426,0
20080922,6.9272,6.9272,6.7069,6.7835,799,0
20080923,6.7356,6.7356,6.4194,6.4194,2340,0
20080924,6.4386,6.4386,6.1128,6.3524,3688,0
20080925,6.3428,6.3428,6.0841,6.314,367,0
20080926,6.314,6.314,6.0553,6.247,1463,0
20080929,6.2757,6.2757,5.8446,6.132,2245,0
20080930,5.8062,6.132,5.7487,6.1128,1262,0
20081001,6.0841,6.0841,6.0841,6.0841,1,0
20081002,5.7583,5.7583,5.7008,5.7008,350,0
20081003,5.6721,6.132,5.6721,6.0937,1199,0
20081006,5.6721,5.9308,5.6721,5.9308,3823,0
20081007,5.9308,5.9308,5.6817,5.8158,5222,0
20081008,5.7487,5.7487,5.3655,5.3655,1207,0
20081009,5.3655,5.6529,5.3655,5.6529,1586,0
20081010,5.3655,5.6529,5.1739,5.6529,373,0
20081013,5.7296,5.7392,5.7296,5.7392,1044,0
20081014,6.7069,6.7069,6.7069,6.7069,2087,0
20081015,6.9081,6.9081,6.8027,6.8889,993,0
20081016,6.3236,6.8889,6.3236,6.8889,1434,0
20081017,6.8889,6.9177,6.6111,6.7931,3490,0
20081020,6.8027,6.8985,6.5248,6.8985,974,0
20081021,6.9081,6.9272,6.9081,6.9081,356,0
20081022,7.1763,7.1763,6.9081,7.1668,31779,0
20081023,7.5596,7.5596,6.956,7.2243,18530,0
20081024,7.6171,7.6171,6.9464,7.0805,22965,0
20081027,7.3201,7.3201,6.3715,6.9368,4238,0
20081028,7.1572,7.1572,6.5631,7.0422,106,0
20081029,7.2817,7.6554,7.1859,7.6554,20584,0
20081030,7.665,7.665,7.665,7.665,3445,0
20081031,7.8949,8.0482,7.665,8.0482,23202,0
20081103,8.0482,8.0482,8.0195,8.0195,2115,0
20081104,8.0482,8.0482,7.2913,7.6171,13629,0
20081105,7.6075,7.6075,7.1955,7.5021,2485,0
20081106,7.1955,7.1955,6.7069,6.7069,1497,0
20081107,7.1859,7.1859,6.7069,6.8889,2359,0
20081110,6.9177,6.9177,6.7069,6.7739,767,0
20081112,6.7835,6.7835,6.7069,6.7069,747,0
20081113,6.314,6.314,6.314,6.314,481,0
20081114,6.314,6.9177,5.8446,6.132,6291,0
20081117,6.314,6.314,5.9404,5.9404,1045,0
20081118,6.1991,6.1991,5.7487,6.0266,583,0
20081119,6.2086,6.2086,5.7487,5.7487,211,0
20081120,5.4613,5.4613,5.4613,5.4613,2,0
20081121,5.7392,5.7392,5.1739,5.6434,195,0
20081124,5.7392,5.7392,5.6434,5.6434,590,0
20081125,5.7296,5.7296,5.2601,5.2697,755,0
20081126,5.2793,5.6338,5.0781,5.2697,1199,0
