Date,Open,High,Low,Close,Volume,OpenInt
19960520,0.243,0.243,0.243,0.243,12935919,0
19960521,0.223,0.223,0.223,0.223,12773355,0
19960522,0.213,0.213,0.213,0.213,7024842,0
19960523,0.2,0.2,0.2,0.2,6528826,0
19960524,0.197,0.197,0.197,0.197,6746852,0
19960527,0.199,0.199,0.199,0.199,4827633,0
19960528,0.193,0.193,0.193,0.193,6086563,0
19960529,0.193,0.193,0.193,0.193,5180126,0
19960530,0.19,0.19,0.19,0.19,3257253,0
19960531,0.197,0.197,0.197,0.197,4410750,0
19960603,0.21,0.21,0.21,0.21,2842381,0
19960604,0.223,0.223,0.223,0.223,4290693,0
19960605,0.217,0.217,0.217,0.217,11648497,0
19960607,0.217,0.217,0.217,0.217,10985893,0
19960610,0.228,0.228,0.228,0.228,6587574,0
19960611,0.227,0.227,0.227,0.227,6319485,0
19960612,0.23,0.23,0.23,0.23,5121348,0
19960613,0.221,0.221,0.221,0.221,2006609,0
19960614,0.215,0.215,0.215,0.215,3614714,0
19960617,0.217,0.217,0.217,0.217,2504606,0
19960618,0.213,0.213,0.213,0.213,2983923,0
19960619,0.21,0.21,0.21,0.21,3082893,0
19960620,0.208,0.208,0.208,0.208,2502899,0
19960621,0.21,0.21,0.21,0.21,1561666,0
19960624,0.212,0.212,0.212,0.212,961408,0
19960625,0.212,0.212,0.212,0.212,2952688,0
19960626,0.213,0.213,0.213,0.213,2484647,0
19960627,0.217,0.217,0.217,0.217,4933185,0
19960628,0.218,0.218,0.218,0.218,1695466,0
19960701,0.221,0.221,0.221,0.221,1345288,0
19960702,0.22,0.22,0.22,0.22,3313291,0
19960703,0.22,0.22,0.22,0.22,2649192,0
19960704,0.218,0.218,0.218,0.218,2082636,0
19960705,0.217,0.217,0.217,0.217,1985219,0
19960708,0.213,0.213,0.213,0.213,874226,0
19960709,0.212,0.212,0.212,0.212,1048738,0
19960710,0.21,0.21,0.21,0.21,866488,0
19960711,0.207,0.207,0.207,0.207,609431,0
19960712,0.207,0.207,0.207,0.207,1332521,0
19960715,0.207,0.207,0.207,0.207,2188617,0
19960716,0.203,0.203,0.203,0.203,965795,0
19960717,0.197,0.197,0.197,0.197,1686141,0
19960718,0.197,0.197,0.197,0.197,2117770,0
19960719,0.187,0.187,0.187,0.187,783119,0
19960722,0.182,0.182,0.182,0.182,1257225,0
19960723,0.179,0.179,0.179,0.179,939224,0
19960724,0.182,0.182,0.182,0.182,441960,0
19960725,0.189,0.189,0.189,0.189,1361984,0
19960726,0.187,0.187,0.187,0.187,1320482,0
19960729,0.19,0.19,0.19,0.19,1273982,0
19960730,0.187,0.187,0.187,0.187,1130645,0
19960731,0.182,0.182,0.182,0.182,1001934,0
19960801,0.176,0.176,0.176,0.176,1159015,0
19960802,0.171,0.171,0.171,0.171,1130952,0
19960805,0.176,0.176,0.176,0.176,1455288,0
19960806,0.174,0.174,0.174,0.174,1086585,0
19960807,0.172,0.172,0.172,0.172,1488777,0
19960808,0.174,0.174,0.174,0.174,1175744,0
19960809,0.182,0.182,0.182,0.182,1345136,0
19960812,0.184,0.184,0.184,0.184,843481,0
19960813,0.182,0.182,0.182,0.182,1685500,0
19960814,0.184,0.184,0.184,0.184,3368138,0
19960816,0.189,0.189,0.189,0.189,1301012,0
19960819,0.197,0.197,0.197,0.197,2965914,0
19960820,0.197,0.197,0.197,0.197,2788143,0
19960821,0.197,0.197,0.197,0.197,1063942,0
19960822,0.21,0.21,0.21,0.21,2418677,0
19960823,0.213,0.213,0.213,0.213,5337146,0
19960826,0.208,0.208,0.208,0.208,482213,0
19960827,0.207,0.207,0.207,0.207,1622729,0
19960828,0.21,0.21,0.21,0.21,1666458,0
19960829,0.21,0.21,0.21,0.21,1883018,0
19960830,0.217,0.217,0.217,0.217,6239803,0
19960902,0.218,0.218,0.218,0.218,2227010,0
19960903,0.22,0.22,0.22,0.22,4277378,0
19960904,0.215,0.215,0.215,0.215,674608,0
19960905,0.193,0.193,0.193,0.193,3295036,0
19960906,0.197,0.197,0.197,0.197,2508872,0
19960909,0.199,0.199,0.199,0.199,1014854,0
19960910,0.203,0.203,0.203,0.203,2469716,0
19960911,0.2,0.2,0.2,0.2,1313810,0
19960912,0.203,0.203,0.203,0.203,2039610,0
19960913,0.21,0.21,0.21,0.21,3218523,0
19960916,0.21,0.21,0.21,0.21,4199400,0
19960917,0.208,0.208,0.208,0.208,770167,0
