Date,Open,High,Low,Close,Volume,OpenInt
19970530,65,65,65,65,73108,0
19970602,58.5,58.5,58.5,58.5,21393,0
19970603,57.5,57.5,57.5,57.5,20078,0
19970604,54,54,54,54,25361,0
19970605,48.6,48.6,48.6,48.6,6595,0
19970606,44.9,44.9,44.9,44.9,51381,0
19970609,46.5,46.5,46.5,46.5,19688,0
19970610,46,46,46,46,28708,0
19970611,44.8,44.8,44.8,44.8,7143,0
19970612,44.1,44.1,44.1,44.1,11531,0
19970613,44.1,44.1,44.1,44.1,13493,0
19970616,44,44,44,44,10319,0
19970617,44.2,44.2,44.2,44.2,5629,0
19970618,45,45,45,45,3695,0
19970619,44.9,44.9,44.9,44.9,7862,0
19970620,45.1,45.1,45.1,45.1,6463,0
19970623,44.5,44.5,44.5,44.5,2494,0
19970624,43,43,43,43,2895,0
19970625,42,42,42,42,2024,0
19970626,40,40,40,40,5192,0
19970627,39,39,39,39,2500,0
19970630,40,40,40,40,6082,0
19970701,39,39,39,39,3269,0
19970702,38.3,38.3,38.3,38.3,6609,0
19970703,39,39,39,39,3058,0
19970704,35.1,35.1,35.1,35.1,16068,0
19970707,38.6,38.6,38.6,38.6,13251,0
19970708,39.5,39.5,39.5,39.5,12063,0
19970709,41,41,41,41,11732,0
19970710,43,43,43,43,6256,0
19970711,41,41,41,41,6756,0
19970714,38,38,38,38,3132,0
19970715,36.5,36.5,36.5,36.5,5699,0
19970716,37.5,37.5,37.5,37.5,6520,0
19970717,37,37,37,37,3999,0
19970718,36.5,36.5,36.5,36.5,2740,0
19970721,35.5,35.5,35.5,35.5,4803,0
19970722,36.2,36.2,36.2,36.2,5000,0
19970723,34.6,34.6,34.6,34.6,6893,0
19970724,34,34,34,34,2059,0
19970725,33,33,33,33,2273,0
19970728,31.3,31.3,31.3,31.3,2748,0
19970729,29.8,29.8,29.8,29.8,9245,0
19970730,30,30,30,30,16250,0
19970731,31.5,31.5,31.5,31.5,8794,0
19970801,29.8,29.8,29.8,29.8,2919,0
19970804,30.7,30.7,30.7,30.7,6938,0
19970805,28.4,28.4,28.4,28.4,5475,0
19970806,27.5,27.5,27.5,27.5,56709,0
19970807,28,28,28,28,67554,0
19970808,30.3,30.3,30.3,30.3,43234,0
19970811,33.3,33.3,33.3,33.3,45060,0
19970812,32.7,32.7,32.7,32.7,17479,0
19970813,34,34,34,34,15279,0
19970814,31,31,31,31,31355,0
19970818,28.4,28.4,28.4,28.4,22500,0
19970819,28,28,28,28,39268,0
19970820,28,28,28,28,19232,0
19970821,28.6,28.6,28.6,28.6,9580,0
19970822,27.3,27.3,27.3,27.3,5128,0
19970825,27.5,27.5,27.5,27.5,6327,0
19970826,27.2,27.2,27.2,27.2,5155,0
19970827,27.2,27.2,27.2,27.2,7226,0
19970828,27.4,27.4,27.4,27.4,11876,0
19970829,27.4,27.4,27.4,27.4,13789,0
19970901,27.9,27.9,27.9,27.9,4337,0
19970902,28,28,28,28,7121,0
19970903,28.1,28.1,28.1,28.1,19147,0
19970904,28,28,28,28,5991,0
19970905,27.4,27.4,27.4,27.4,2500,0
19970908,28.4,28.4,28.4,28.4,5440,0
19970909,28.5,28.5,28.5,28.5,24107,0
19970910,28.4,28.4,28.4,28.4,12382,0
19970911,27.9,27.9,27.9,27.9,10556,0
19970912,27.7,27.7,27.7,27.7,7277,0
19970915,27.5,27.5,27.5,27.5,10818,0
19970916,27.3,27.3,27.3,27.3,12266,0
19970917,28,28,28,28,28280,0
19970918,28.1,28.1,28.1,28.1,21347,0
19970919,28.2,28.2,28.2,28.2,30855,0
19970922,27.8,27.8,27.8,27.8,12206,0
19970923,27.5,27.5,27.5,27.5,5414,0
19970924,27.2,27.2,27.2,27.2,6529,0
19970925,26.2,26.2,26.2,26.2,4845,0
19970926,24.7,24.7,24.7,24.7,9245,0
19970929,25,25,25,25,23876,0
19970930,24.2,24.2,24.2,24.2,17951,0
19971001,23.5,23.5,23.5,23.5,11244,0
19971002,24,24,24,24,11578,0
19971003,23.5,23.5,23.5,23.5,7968,0
19971006,23.1,23.1,23.1,23.1,11608,0
19971007,22.7,22.7,22.7,22.7,1888,0
19971008,23,23,23,23,16200,0
19971009,23.5,23.5,23.5,23.5,9501,0
19971010,22.8,22.8,22.8,22.8,11055,0
19971013,22.5,22.5,22.5,22.5,10357,0
19971014,22.2,22.2,22.2,22.2,24472,0
19971015,23,23,23,23,32759,0
19971016,23.4,23.4,23.4,23.4,17966,0
19971017,23.3,23.3,23.3,23.3,16239,0
19971020,23.5,23.5,23.5,23.5,20838,0
19971021,23.2,23.2,23.2,23.2,12364,0
19971022,22.9,22.9,22.9,22.9,19902,0
19971023,22.4,22.4,22.4,22.4,12957,0
19971024,20.6,20.6,20.6,20.6,12906,0
19971027,19.9,19.9,19.9,19.9,22959,0
19971028,18,18,18,18,0,0
19971029,18.6,18.6,18.6,18.6,19989,0
19971030,17.2,17.2,17.2,17.2,18108,0
19971031,17.2,17.2,17.2,17.2,95935,0
19971103,17.5,17.5,17.5,17.5,82374,0
19971104,17.8,17.8,17.8,17.8,48909,0
19971105,18.1,18.1,18.1,18.1,53962,0
19971106,17.9,17.9,17.9,17.9,10425,0
19971107,17.7,17.7,17.7,17.7,59799,0
19971112,16,16,16,16,65192,0
19971113,16.1,16.1,16.1,16.1,23909,0
19971114,16.9,16.9,16.9,16.9,66229,0
19971117,18.1,18.1,18.1,18.1,70093,0
19971118,19,19,19,19,72055,0
19971119,17.9,17.9,17.9,17.9,52400,0
19971120,18,18,18,18,33027,0
19971121,19,19,19,19,37994,0
19971124,20,20,20,20,54936,0
19971125,19.9,19.9,19.9,19.9,48082,0
19971126,21.8,21.8,21.8,21.8,37710,0
19971127,23,23,23,23,63127,0
19971128,23.4,23.4,23.4,23.4,58704,0
19971201,23.4,23.4,23.4,23.4,64814,0
19971202,23,23,23,23,45135,0
19971203,21.3,21.3,21.3,21.3,34242,0
19971204,21.5,21.5,21.5,21.5,48509,0
19971205,21.4,21.4,21.4,21.4,33033,0
19971208,20.9,20.9,20.9,20.9,14799,0
19971209,19.9,19.9,19.9,19.9,20291,0
19971210,18.3,18.3,18.3,18.3,47546,0
19971211,17.5,17.5,17.5,17.5,29344,0
19971212,17.1,17.1,17.1,17.1,40931,0
19971215,17.5,17.5,17.5,17.5,18194,0
19971216,18.5,18.5,18.5,18.5,20963,0
19971217,17.9,17.9,17.9,17.9,20570,0
19971218,16.6,16.6,16.6,16.6,17414,0
19971219,15.7,15.7,15.7,15.7,22102,0
19971222,14.3,14.3,14.3,14.3,26048,0
19971223,14.9,14.9,14.9,14.9,23252,0
19971229,16.2,16.2,16.2,16.2,30471,0
19971230,16.5,16.5,16.5,16.5,27274,0
19971231,16.6,16.6,16.6,16.6,21518,0
19980105,16.9,16.9,16.9,16.9,21976,0
19980106,16.9,16.9,16.9,16.9,19652,0
19980107,15.3,15.3,15.3,15.3,22784,0
19980108,15.7,15.7,15.7,15.7,22465,0
19980109,15.2,15.2,15.2,15.2,21869,0
19980112,13.7,13.7,13.7,13.7,42146,0
19980113,14.1,14.1,14.1,14.1,31946,0
19980114,14.2,14.2,14.2,14.2,26672,0
19980115,12.8,12.8,12.8,12.8,12649,0
19980116,13.5,13.5,13.5,13.5,62985,0
19980119,14.5,14.5,14.5,14.5,42702,0
19980120,15,15,15,15,89138,0
19980121,16.4,16.4,16.4,16.4,29676,0
19980122,16.4,16.4,16.4,16.4,74081,0
19980123,17.5,17.5,17.5,17.5,31373,0
19980126,17.3,17.3,17.3,17.3,34699,0
19980127,17,17,17,17,24465,0
19980128,17.7,17.7,17.7,17.7,23763,0
19980129,18.6,18.6,18.6,18.6,24253,0
19980130,17.7,17.7,17.7,17.7,28838,0
19980202,18.7,18.7,18.7,18.7,50680,0
19980203,18.9,18.9,18.9,18.9,30444,0
19980204,18.1,18.1,18.1,18.1,21031,0
19980205,18.2,18.2,18.2,18.2,91714,0
19980206,18.5,18.5,18.5,18.5,30240,0
19980209,16.7,16.7,16.7,16.7,26625,0
19980210,17.1,17.1,17.1,17.1,64362,0
19980211,17,17,17,17,32810,0
19980212,16.9,16.9,16.9,16.9,12678,0
19980213,16.4,16.4,16.4,16.4,44247,0
19980216,16.2,16.2,16.2,16.2,26071,0
19980217,16.7,16.7,16.7,16.7,43050,0
19980218,17,17,17,17,33331,0
19980219,17.2,17.2,17.2,17.2,19981,0
19980220,16.5,16.5,16.5,16.5,14729,0
19980223,16.4,16.4,16.4,16.4,49328,0
19980224,16.5,16.5,16.5,16.5,37776,0
19980225,15.7,15.7,15.7,15.7,16088,0
19980226,16.2,16.2,16.2,16.2,19306,0
19980227,16.2,16.2,16.2,16.2,40916,0
19980302,16.9,16.9,16.9,16.9,21895,0
19980303,17.7,17.7,17.7,17.7,48985,0
19980304,17,17,17,17,33000,0
19980305,16.5,16.5,16.5,16.5,25230,0
19980306,17,17,17,17,21460,0
19980309,18,18,18,18,46554,0
19980310,18.6,18.6,18.6,18.6,81112,0
19980311,19,19,19,19,81743,0
19980312,19,19,19,19,71744,0
19980313,20.2,20.2,20.2,20.2,54490,0
19980316,21.6,21.6,21.6,21.6,60470,0
19980317,22.1,22.1,22.1,22.1,81021,0
19980318,21.5,21.5,21.5,21.5,67436,0
19980319,21.5,21.5,21.5,21.5,49600,0
19980320,20.5,20.5,20.5,20.5,49345,0
19980323,20.4,20.4,20.4,20.4,30358,0
19980324,20,20,20,20,36035,0
19980325,19.9,19.9,19.9,19.9,34956,0
19980326,20.4,20.4,20.4,20.4,28755,0
19980327,19.4,19.4,19.4,19.4,20793,0
19980330,18.6,18.6,18.6,18.6,41129,0
19980331,18.6,18.6,18.6,18.6,57624,0
19980401,18.8,18.8,18.8,18.8,27160,0
19980402,18.6,18.6,18.6,18.6,17850,0
19980406,18.9,18.9,18.9,18.9,20644,0
19980407,19.7,19.7,19.7,19.7,22584,0
19980408,19.1,19.1,19.1,19.1,22738,0
19980409,19.1,19.1,19.1,19.1,30450,0
19980414,20.4,20.4,20.4,20.4,23317,0
19980415,20.7,20.7,20.7,20.7,22838,0
19980416,20,20,20,20,13731,0
19980417,19.3,19.3,19.3,19.3,40771,0
19980420,19.5,19.5,19.5,19.5,14412,0
19980421,18.8,18.8,18.8,18.8,8379,0
19980422,19,19,19,19,53695,0
19980423,19,19,19,19,24013,0
19980424,19.3,19.3,19.3,19.3,25254,0
19980427,19.8,19.8,19.8,19.8,18353,0
19980428,19,19,19,19,21295,0
19980429,18.9,18.9,18.9,18.9,25562,0
19980430,19.6,19.6,19.6,19.6,37531,0
19980504,20.5,20.5,20.5,20.5,45684,0
19980505,20.5,20.5,20.5,20.5,37855,0
19980506,19.8,19.8,19.8,19.8,19019,0
19980507,19.4,19.4,19.4,19.4,36495,0
19980508,19.4,19.4,19.4,19.4,33089,0
19980511,19.9,19.9,19.9,19.9,24154,0
19980512,19.6,19.6,19.6,19.6,21958,0
19980513,19.4,19.4,19.4,19.4,47156,0
19980514,16.5,16.5,16.5,16.5,22748,0
19980515,16.4,16.4,16.4,16.4,28428,0
19980518,16,16,16,16,19412,0
19980519,14.4,14.4,14.4,14.4,32253,0
19980520,14.4,14.4,14.4,14.4,67562,0
19980521,15.2,15.2,15.2,15.2,37906,0
19980522,14.9,14.9,14.9,14.9,14410,0
19980525,14.6,14.6,14.6,14.6,22352,0
