Date,Open,High,Low,Close,Volume,OpenInt
19950105,3.0649,3.0649,3.0649,3.0649,775801,0
19950106,2.8454,2.8454,2.8454,2.8454,566770,0
19950109,2.9332,2.9332,2.9332,2.9332,579410,0
19950110,2.8629,2.8629,2.8629,2.8629,252753,0
19950111,2.8629,2.8629,2.8629,2.8629,343098,0
19950112,2.9332,2.9332,2.9332,2.9332,320637,0
19950113,3.0649,3.0649,3.0649,3.0649,305396,0
19950116,3.1088,3.1088,3.1088,3.1088,333338,0
19950117,3.0474,3.0474,3.0474,3.0474,141587,0
19950118,2.9332,2.9332,2.9332,2.9332,290135,0
19950119,2.9332,2.9332,2.9332,2.9332,303256,0
19950120,2.8454,2.8454,2.8454,2.8454,186329,0
19950123,2.7312,2.7312,2.7312,2.7312,114706,0
19950124,2.6873,2.6873,2.6873,2.6873,249913,0
19950125,2.6697,2.6697,2.6697,2.6697,378580,0
19950126,2.5819,2.5819,2.5819,2.5819,220931,0
19950127,2.5292,2.5292,2.5292,2.5292,416282,0
19950130,2.4414,2.4414,2.4414,2.4414,262253,0
19950131,2.3097,2.3097,2.3097,2.3097,261354,0
19950201,2.5292,2.5292,2.5292,2.5292,416481,0
19950202,2.2921,2.2921,2.2921,2.2921,333157,0
19950203,2.3097,2.3097,2.3097,2.3097,174608,0
19950206,2.5292,2.5292,2.5292,2.5292,0,0
19950207,2.7751,2.7751,2.7751,2.7751,483326,0
19950208,2.7137,2.7137,2.7137,2.7137,331237,0
19950209,2.7137,2.7137,2.7137,2.7137,409821,0
19950210,2.5819,2.5819,2.5819,2.5819,145867,0
19950213,2.5117,2.5117,2.5117,2.5117,212270,0
19950214,2.5995,2.5995,2.5995,2.5995,156928,0
19950215,2.5995,2.5995,2.5995,2.5995,102105,0
19950216,2.6873,2.6873,2.6873,2.6873,299576,0
19950217,2.6873,2.6873,2.6873,2.6873,196370,0
19950220,2.5819,2.5819,2.5819,2.5819,64783,0
19950221,2.4414,2.4414,2.4414,2.4414,460864,0
19950222,2.4853,2.4853,2.4853,2.4853,78963,0
19950223,2.5292,2.5292,2.5292,2.5292,95144,0
19950224,2.7751,2.7751,2.7751,2.7751,538049,0
19950227,2.6873,2.6873,2.6873,2.6873,177609,0
19950228,2.5819,2.5819,2.5819,2.5819,109026,0
19950301,2.5556,2.5556,2.5556,2.5556,91384,0
19950302,2.6258,2.6258,2.6258,2.6258,67883,0
19950303,2.6873,2.6873,2.6873,2.6873,247333,0
19950306,2.6873,2.6873,2.6873,2.6873,95945,0
19950307,2.6873,2.6873,2.6873,2.6873,71044,0
19950308,2.6873,2.6873,2.6873,2.6873,156207,0
19950309,2.6873,2.6873,2.6873,2.6873,161968,0
19950310,2.6434,2.6434,2.6434,2.6434,134067,0
19950313,2.6258,2.6258,2.6258,2.6258,80084,0
19950314,2.5556,2.5556,2.5556,2.5556,48122,0
19950315,2.5819,2.5819,2.5819,2.5819,58182,0
19950316,2.5292,2.5292,2.5292,2.5292,47762,0
19950317,2.4853,2.4853,2.4853,2.4853,183829,0
19950320,2.4414,2.4414,2.4414,2.4414,59742,0
19950321,2.3975,2.3975,2.3975,2.3975,55823,0
19950322,2.3536,2.3536,2.3536,2.3536,76644,0
19950323,2.2921,2.2921,2.2921,2.2921,152048,0
19950324,2.336,2.336,2.336,2.336,51442,0
19950327,2.3799,2.3799,2.3799,2.3799,131626,0
19950328,2.2482,2.2482,2.2482,2.2482,135907,0
19950329,2.2482,2.2482,2.2482,2.2482,192269,0
19950330,2.2921,2.2921,2.2921,2.2921,156848,0
19950331,2.336,2.336,2.336,2.336,118726,0
19950403,2.3097,2.3097,2.3097,2.3097,96704,0
19950404,2.3975,2.3975,2.3975,2.3975,81884,0
19950405,2.3975,2.3975,2.3975,2.3975,138127,0
19950406,2.5117,2.5117,2.5117,2.5117,182189,0
19950407,2.5117,2.5117,2.5117,2.5117,151347,0
19950410,2.5995,2.5995,2.5995,2.5995,201930,0
19950411,2.5995,2.5995,2.5995,2.5995,176168,0
19950412,2.5556,2.5556,2.5556,2.5556,215051,0
19950413,2.4414,2.4414,2.4414,2.4414,205370,0
19950414,2.5117,2.5117,2.5117,2.5117,89404,0
19950418,2.5819,2.5819,2.5819,2.5819,147427,0
19950419,2.7751,2.7751,2.7751,2.7751,476125,0
19950420,2.8015,2.8015,2.8015,2.8015,416462,0
19950421,2.5995,2.5995,2.5995,2.5995,198670,0
19950424,2.819,2.819,2.819,2.819,293575,0
19950425,3.0035,3.0035,3.0035,3.0035,956211,0
19950426,2.8629,2.8629,2.8629,2.8629,277695,0
19950427,2.8893,2.8893,2.8893,2.8893,312597,0
19950428,2.8015,2.8015,2.8015,2.8015,360559,0
19950504,2.8893,2.8893,2.8893,2.8893,133607,0
19950505,2.7751,2.7751,2.7751,2.7751,246973,0
19950509,2.8893,2.8893,2.8893,2.8893,151608,0
19950510,2.9771,2.9771,2.9771,2.9771,285974,0
19950511,3.1088,3.1088,3.1088,3.1088,442963,0
19950512,3.2406,3.2406,3.2406,3.2406,526468,0
19950515,3.2845,3.2845,3.2845,3.2845,279435,0
19950516,2.9771,2.9771,2.9771,2.9771,129807,0
19950517,3.0035,3.0035,3.0035,3.0035,191010,0
19950518,2.8015,2.8015,2.8015,2.8015,273774,0
19950519,2.8015,2.8015,2.8015,2.8015,193750,0
19950522,2.6697,2.6697,2.6697,2.6697,255013,0
19950523,2.4853,2.4853,2.4853,2.4853,169169,0
19950524,2.6258,2.6258,2.6258,2.6258,135566,0
19950525,2.7137,2.7137,2.7137,2.7137,212831,0
19950526,2.4414,2.4414,2.4414,2.4414,126606,0
19950529,2.6873,2.6873,2.6873,2.6873,556030,0
19950530,2.5819,2.5819,2.5819,2.5819,118726,0
19950531,2.5995,2.5995,2.5995,2.5995,86164,0
19950601,2.5819,2.5819,2.5819,2.5819,110745,0
19950602,2.5995,2.5995,2.5995,2.5995,91924,0
19950605,2.5292,2.5292,2.5292,2.5292,22500,0
19950606,2.6873,2.6873,2.6873,2.6873,110645,0
19950607,2.6697,2.6697,2.6697,2.6697,43321,0
19950608,2.6697,2.6697,2.6697,2.6697,88324,0
19950609,2.6697,2.6697,2.6697,2.6697,42942,0
19950612,2.6258,2.6258,2.6258,2.6258,33941,0
19950613,2.6697,2.6697,2.6697,2.6697,150588,0
19950614,2.5819,2.5819,2.5819,2.5819,28501,0
19950616,2.5117,2.5117,2.5117,2.5117,22301,0
19950619,2.4853,2.4853,2.4853,2.4853,38162,0
19950620,2.5556,2.5556,2.5556,2.5556,46762,0
19950621,2.5292,2.5292,2.5292,2.5292,38882,0
19950622,2.4853,2.4853,2.4853,2.4853,32161,0
19950623,2.4853,2.4853,2.4853,2.4853,20100,0
19950626,2.6258,2.6258,2.6258,2.6258,54343,0
19950627,2.6258,2.6258,2.6258,2.6258,79703,0
19950628,2.5292,2.5292,2.5292,2.5292,30981,0
19950629,2.6258,2.6258,2.6258,2.6258,47102,0
19950630,2.6258,2.6258,2.6258,2.6258,75703,0
19950703,2.5819,2.5819,2.5819,2.5819,50242,0
19950704,2.5292,2.5292,2.5292,2.5292,26061,0
19950705,2.4853,2.4853,2.4853,2.4853,67504,0
19950706,2.4853,2.4853,2.4853,2.4853,34361,0
19950707,2.5117,2.5117,2.5117,2.5117,78264,0
19950710,2.4853,2.4853,2.4853,2.4853,42602,0
19950711,2.4853,2.4853,2.4853,2.4853,31961,0
19950712,2.4414,2.4414,2.4414,2.4414,26201,0
19950713,2.4678,2.4678,2.4678,2.4678,20280,0
19950714,2.4238,2.4238,2.4238,2.4238,43362,0
19950717,2.4853,2.4853,2.4853,2.4853,41581,0
19950718,2.4853,2.4853,2.4853,2.4853,44802,0
19950719,2.4414,2.4414,2.4414,2.4414,46022,0
19950720,2.3975,2.3975,2.3975,2.3975,56043,0
19950721,2.3097,2.3097,2.3097,2.3097,13640,0
19950724,2.3097,2.3097,2.3097,2.3097,98445,0
19950725,2.3975,2.3975,2.3975,2.3975,36241,0
19950726,2.3975,2.3975,2.3975,2.3975,47501,0
19950727,2.3975,2.3975,2.3975,2.3975,60623,0
19950728,2.3975,2.3975,2.3975,2.3975,59182,0
19950731,2.2921,2.2921,2.2921,2.2921,41721,0
19950801,2.2921,2.2921,2.2921,2.2921,36922,0
19950802,2.336,2.336,2.336,2.336,22720,0
19950803,2.2921,2.2921,2.2921,2.2921,39101,0
19950804,2.2921,2.2921,2.2921,2.2921,37581,0
19950807,2.2658,2.2658,2.2658,2.2658,57362,0
19950808,2.2219,2.2219,2.2219,2.2219,78984,0
19950809,2.2219,2.2219,2.2219,2.2219,25421,0
19950810,2.2658,2.2658,2.2658,2.2658,62862,0
19950811,2.3097,2.3097,2.3097,2.3097,79844,0
19950816,2.336,2.336,2.336,2.336,33221,0
19950817,2.3097,2.3097,2.3097,2.3097,37861,0
19950818,2.3097,2.3097,2.3097,2.3097,29641,0
19950821,2.2658,2.2658,2.2658,2.2658,36841,0
19950822,2.2219,2.2219,2.2219,2.2219,75824,0
19950823,2.0023,2.0023,2.0023,2.0023,41502,0
19950824,2.0901,2.0901,2.0901,2.0901,41182,0
19950825,2.0462,2.0462,2.0462,2.0462,35222,0
19950828,2.0638,2.0638,2.0638,2.0638,22260,0
19950829,2.0462,2.0462,2.0462,2.0462,38882,0
19950830,2.0199,2.0199,2.0199,2.0199,24481,0
19950831,2.0023,2.0023,2.0023,2.0023,44762,0
19950901,2.0199,2.0199,2.0199,2.0199,31421,0
19950904,2.2219,2.2219,2.2219,2.2219,73363,0
19950905,2.2219,2.2219,2.2219,2.2219,67964,0
19950906,2.2219,2.2219,2.2219,2.2219,63462,0
19950907,2.2219,2.2219,2.2219,2.2219,63462,0
19950908,2.3097,2.3097,2.3097,2.3097,59502,0
19950911,2.3536,2.3536,2.3536,2.3536,87884,0
19950912,2.4238,2.4238,2.4238,2.4238,104246,0
19950913,2.3097,2.3097,2.3097,2.3097,33761,0
19950914,2.3975,2.3975,2.3975,2.3975,82504,0
19950915,2.3536,2.3536,2.3536,2.3536,48202,0
19950918,2.2921,2.2921,2.2921,2.2921,21400,0
19950919,2.2219,2.2219,2.2219,2.2219,25921,0
19950920,2.1955,2.1955,2.1955,2.1955,15240,0
19950921,2.2219,2.2219,2.2219,2.2219,23861,0
19950922,2.1428,2.1428,2.1428,2.1428,10980,0
19950925,2.1077,2.1077,2.1077,2.1077,11360,0
19950926,2.1077,2.1077,2.1077,2.1077,42401,0
19950927,2.1428,2.1428,2.1428,2.1428,32922,0
19950928,2.1516,2.1516,2.1516,2.1516,83044,0
19950929,2.134,2.134,2.134,2.134,30942,0
19951002,2.1516,2.1516,2.1516,2.1516,31082,0
19951003,2.1516,2.1516,2.1516,2.1516,91844,0
19951004,2.1077,2.1077,2.1077,2.1077,16340,0
19951005,2.0901,2.0901,2.0901,2.0901,36642,0
19951006,2.1077,2.1077,2.1077,2.1077,22500,0
19951009,2.0638,2.0638,2.0638,2.0638,43781,0
19951010,2.0023,2.0023,2.0023,2.0023,31001,0
19951011,2.0023,2.0023,2.0023,2.0023,32502,0
19951012,2.0023,2.0023,2.0023,2.0023,27001,0
19951013,2.0023,2.0023,2.0023,2.0023,12001,0
19951016,1.9847,1.9847,1.9847,1.9847,24221,0
19951017,2.0023,2.0023,2.0023,2.0023,48902,0
19951018,2.0638,2.0638,2.0638,2.0638,25221,0
19951019,2.0462,2.0462,2.0462,2.0462,43542,0
19951020,1.9233,1.9233,1.9233,1.9233,17200,0
19951023,1.9584,1.9584,1.9584,1.9584,34942,0
19951024,1.9408,1.9408,1.9408,1.9408,13920,0
19951025,1.9408,1.9408,1.9408,1.9408,20581,0
19951026,1.9584,1.9584,1.9584,1.9584,87444,0
19951027,1.9145,1.9145,1.9145,1.9145,33422,0
19951030,1.9145,1.9145,1.9145,1.9145,18841,0
19951031,1.8969,1.8969,1.8969,1.8969,29761,0
19951102,1.9057,1.9057,1.9057,1.9057,37602,0
19951103,1.9321,1.9321,1.9321,1.9321,30521,0
19951106,2.0023,2.0023,2.0023,2.0023,48242,0
19951107,1.9584,1.9584,1.9584,1.9584,106126,0
19951108,1.9584,1.9584,1.9584,1.9584,21480,0
19951109,1.9145,1.9145,1.9145,1.9145,66722,0
19951110,1.8881,1.8881,1.8881,1.8881,30181,0
19951113,1.8706,1.8706,1.8706,1.8706,30001,0
19951114,1.8881,1.8881,1.8881,1.8881,21961,0
19951115,1.9145,1.9145,1.9145,1.9145,52062,0
19951116,1.9408,1.9408,1.9408,1.9408,37422,0
19951117,2.0023,2.0023,2.0023,2.0023,68763,0
19951120,1.8442,1.8442,1.8442,1.8442,52442,0
19951121,1.8442,1.8442,1.8442,1.8442,120106,0
19951122,1.8794,1.8794,1.8794,1.8794,17820,0
19951123,1.9321,1.9321,1.9321,1.9321,79923,0
19951124,1.9233,1.9233,1.9233,1.9233,60003,0
19951127,1.9847,1.9847,1.9847,1.9847,36502,0
19951128,1.9496,1.9496,1.9496,1.9496,28001,0
19951129,1.9145,1.9145,1.9145,1.9145,18320,0
19951130,1.9408,1.9408,1.9408,1.9408,38702,0
19951201,2.0023,2.0023,2.0023,2.0023,163768,0
19951204,2.1955,2.1955,2.1955,2.1955,163649,0
19951205,2.2658,2.2658,2.2658,2.2658,111186,0
19951206,2.0462,2.0462,2.0462,2.0462,37182,0
19951207,2.1077,2.1077,2.1077,2.1077,81483,0
19951208,2.0901,2.0901,2.0901,2.0901,31601,0
19951211,2.134,2.134,2.134,2.134,15240,0
19951212,2.1165,2.1165,2.1165,2.1165,17940,0
19951213,2.0638,2.0638,2.0638,2.0638,12820,0
19951214,2.0462,2.0462,2.0462,2.0462,34961,0
19951215,2.0462,2.0462,2.0462,2.0462,44162,0
19951218,2.0462,2.0462,2.0462,2.0462,16840,0
19951219,1.9145,1.9145,1.9145,1.9145,25321,0
19951220,1.8442,1.8442,1.8442,1.8442,109246,0
19951221,1.8881,1.8881,1.8881,1.8881,8739,0
19951222,1.9408,1.9408,1.9408,1.9408,25541,0
19951227,1.9408,1.9408,1.9408,1.9408,16980,0
19951228,1.9496,1.9496,1.9496,1.9496,15360,0
19951229,1.9408,1.9408,1.9408,1.9408,113545,0
19960102,1.9321,1.9321,1.9321,1.9321,13980,0
19960103,2.0023,2.0023,2.0023,2.0023,49002,0
19960104,2.0462,2.0462,2.0462,2.0462,39122,0
19960105,2.0901,2.0901,2.0901,2.0901,69664,0
19960108,2.0901,2.0901,2.0901,2.0901,28961,0
19960109,2.134,2.134,2.134,2.134,181649,0
19960110,2.0901,2.0901,2.0901,2.0901,34482,0
19960111,2.0638,2.0638,2.0638,2.0638,37742,0
19960112,2.0638,2.0638,2.0638,2.0638,85163,0
19960115,2.0901,2.0901,2.0901,2.0901,39022,0
19960116,2.0638,2.0638,2.0638,2.0638,37261,0
19960117,2.0901,2.0901,2.0901,2.0901,28740,0
19960118,1.976,1.976,1.976,1.976,32602,0
19960119,1.9321,1.9321,1.9321,1.9321,58462,0
19960122,1.976,1.976,1.976,1.976,10640,0
19960123,1.9496,1.9496,1.9496,1.9496,8980,0
19960124,1.9584,1.9584,1.9584,1.9584,19640,0
19960125,1.976,1.976,1.976,1.976,78304,0
19960126,1.9584,1.9584,1.9584,1.9584,44642,0
19960129,2.0462,2.0462,2.0462,2.0462,116426,0
19960130,2.0374,2.0374,2.0374,2.0374,38081,0
19960131,2.1165,2.1165,2.1165,2.1165,170648,0
19960201,2.1077,2.1077,2.1077,2.1077,64203,0
19960202,2.0989,2.0989,2.0989,2.0989,29501,0
19960205,2.0638,2.0638,2.0638,2.0638,28301,0
19960206,2.0287,2.0287,2.0287,2.0287,19941,0
19960207,2.0111,2.0111,2.0111,2.0111,39582,0
19960208,2.0199,2.0199,2.0199,2.0199,16060,0
19960209,2.0023,2.0023,2.0023,2.0023,36502,0
19960212,2.1165,2.1165,2.1165,2.1165,114645,0
19960213,2.0901,2.0901,2.0901,2.0901,225732,0
19960214,2.1077,2.1077,2.1077,2.1077,78863,0
19960215,2.055,2.055,2.055,2.055,31161,0
19960216,2.0462,2.0462,2.0462,2.0462,32782,0
19960219,2.0199,2.0199,2.0199,2.0199,22260,0
19960220,2.0111,2.0111,2.0111,2.0111,68703,0
19960221,1.9584,1.9584,1.9584,1.9584,19941,0
19960222,1.9847,1.9847,1.9847,1.9847,32541,0
19960223,1.9584,1.9584,1.9584,1.9584,41422,0
19960226,2.0023,2.0023,2.0023,2.0023,43741,0
19960227,2.0462,2.0462,2.0462,2.0462,21760,0
19960228,2.0111,2.0111,2.0111,2.0111,22900,0
19960229,2.0374,2.0374,2.0374,2.0374,67423,0
19960301,2.0111,2.0111,2.0111,2.0111,26821,0
19960304,2.0462,2.0462,2.0462,2.0462,192550,0
19960305,2.0638,2.0638,2.0638,2.0638,90725,0
19960306,2.0462,2.0462,2.0462,2.0462,100505,0
19960307,2.0374,2.0374,2.0374,2.0374,56503,0
19960308,2.0023,2.0023,2.0023,2.0023,78083,0
19960311,1.976,1.976,1.976,1.976,37182,0
19960312,2.0023,2.0023,2.0023,2.0023,95244,0
19960313,1.9935,1.9935,1.9935,1.9935,36841,0
19960314,1.9847,1.9847,1.9847,1.9847,39841,0
19960315,1.9935,1.9935,1.9935,1.9935,169249,0
19960318,2.0287,2.0287,2.0287,2.0287,196450,0
19960319,2.055,2.055,2.055,2.055,181509,0
19960320,1.976,1.976,1.976,1.976,72563,0
19960321,1.976,1.976,1.976,1.976,26860,0
19960322,1.9496,1.9496,1.9496,1.9496,35381,0
19960325,1.9321,1.9321,1.9321,1.9321,74484,0
19960326,1.9145,1.9145,1.9145,1.9145,134487,0
19960327,1.9145,1.9145,1.9145,1.9145,56762,0
19960328,1.9057,1.9057,1.9057,1.9057,34421,0
19960329,1.8706,1.8706,1.8706,1.8706,157248,0
19960401,1.8881,1.8881,1.8881,1.8881,64323,0
19960402,1.8706,1.8706,1.8706,1.8706,96465,0
19960403,1.8706,1.8706,1.8706,1.8706,76163,0
19960404,1.8794,1.8794,1.8794,1.8794,69583,0
19960405,1.9233,1.9233,1.9233,1.9233,60683,0
19960409,1.9321,1.9321,1.9321,1.9321,41142,0
19960410,1.9321,1.9321,1.9321,1.9321,133766,0
19960411,1.9321,1.9321,1.9321,1.9321,37062,0
19960412,1.9145,1.9145,1.9145,1.9145,46581,0
19960415,1.9145,1.9145,1.9145,1.9145,36362,0
19960416,1.9584,1.9584,1.9584,1.9584,55742,0
19960417,1.9496,1.9496,1.9496,1.9496,36222,0
19960418,1.9321,1.9321,1.9321,1.9321,30261,0
19960419,1.8706,1.8706,1.8706,1.8706,87904,0
19960422,1.8706,1.8706,1.8706,1.8706,202250,0
19960423,1.8706,1.8706,1.8706,1.8706,219651,0
19960424,1.8706,1.8706,1.8706,1.8706,170108,0
19960425,1.8706,1.8706,1.8706,1.8706,96704,0
19960426,1.8706,1.8706,1.8706,1.8706,72324,0
19960429,1.8969,1.8969,1.8969,1.8969,46902,0
19960430,1.8969,1.8969,1.8969,1.8969,52562,0
19960506,1.9145,1.9145,1.9145,1.9145,39001,0
19960507,1.9672,1.9672,1.9672,1.9672,124726,0
19960508,1.9847,1.9847,1.9847,1.9847,129167,0
19960509,1.9847,1.9847,1.9847,1.9847,172289,0
19960510,1.9496,1.9496,1.9496,1.9496,88164,0
19960513,1.9584,1.9584,1.9584,1.9584,226291,0
19960514,1.9145,1.9145,1.9145,1.9145,40021,0
19960515,1.8794,1.8794,1.8794,1.8794,46282,0
19960516,1.8881,1.8881,1.8881,1.8881,29901,0
19960517,1.8618,1.8618,1.8618,1.8618,89884,0
19960520,1.8706,1.8706,1.8706,1.8706,121626,0
19960521,1.8969,1.8969,1.8969,1.8969,59943,0
19960522,1.8706,1.8706,1.8706,1.8706,105285,0
19960523,1.8354,1.8354,1.8354,1.8354,29141,0
19960524,1.8003,1.8003,1.8003,1.8003,83344,0
19960527,1.853,1.853,1.853,1.853,67723,0
19960528,1.8179,1.8179,1.8179,1.8179,41422,0
19960529,1.7915,1.7915,1.7915,1.7915,54722,0
19960530,1.7564,1.7564,1.7564,1.7564,71603,0
19960531,1.7564,1.7564,1.7564,1.7564,63922,0
19960603,1.7564,1.7564,1.7564,1.7564,54402,0
19960604,1.7476,1.7476,1.7476,1.7476,61262,0
19960605,1.7301,1.7301,1.7301,1.7301,48462,0
19960607,1.7652,1.7652,1.7652,1.7652,27701,0
19960610,1.7652,1.7652,1.7652,1.7652,69823,0
19960611,1.774,1.774,1.774,1.774,27301,0
19960612,1.774,1.774,1.774,1.774,28481,0
19960613,1.774,1.774,1.774,1.774,29261,0
19960614,1.7564,1.7564,1.7564,1.7564,20501,0
19960617,1.7564,1.7564,1.7564,1.7564,58383,0
19960618,1.774,1.774,1.774,1.774,113066,0
19960619,1.7915,1.7915,1.7915,1.7915,28761,0
19960620,1.7564,1.7564,1.7564,1.7564,10640,0
19960621,1.7828,1.7828,1.7828,1.7828,91505,0
19960624,1.7388,1.7388,1.7388,1.7388,13241,0
19960625,1.7388,1.7388,1.7388,1.7388,36241,0
19960626,1.7301,1.7301,1.7301,1.7301,28001,0
19960627,1.7301,1.7301,1.7301,1.7301,36642,0
19960628,1.6862,1.6862,1.6862,1.6862,60683,0
19960701,1.6862,1.6862,1.6862,1.6862,19240,0
19960702,1.6862,1.6862,1.6862,1.6862,34622,0
19960703,1.7301,1.7301,1.7301,1.7301,23081,0
19960704,1.7037,1.7037,1.7037,1.7037,49523,0
19960705,1.7213,1.7213,1.7213,1.7213,23201,0
19960708,1.6862,1.6862,1.6862,1.6862,58903,0
19960709,1.6598,1.6598,1.6598,1.6598,19560,0
19960710,1.6686,1.6686,1.6686,1.6686,42302,0
19960711,1.651,1.651,1.651,1.651,27301,0
19960712,1.651,1.651,1.651,1.651,18740,0
19960715,1.6686,1.6686,1.6686,1.6686,22500,0
19960716,1.6422,1.6422,1.6422,1.6422,13720,0
19960717,1.5983,1.5983,1.5983,1.5983,10299,0
19960718,1.572,1.572,1.572,1.572,19441,0
19960719,1.5632,1.5632,1.5632,1.5632,60263,0
19960722,1.5193,1.5193,1.5193,1.5193,35521,0
