Date,Open,High,Low,Close,Volume,OpenInt
19980102,301.33,301.33,300.38,300.38,733,0
19980105,297.63,298.09,297.63,298.09,823,0
19980106,291.77,291.77,291.77,291.77,2868,0
19980107,292.19,293.14,292.19,293.14,11201,0
19980108,304.21,307.47,298.11,304.21,6696,0
19980109,299.74,303.94,299.74,303.94,741,0
19980112,299.59,299.59,297.24,297.24,4528,0
19980113,295.71,302.76,295.71,302.76,3324,0
19980114,303.29,303.29,301.42,301.42,9561,0
19980115,306.03,306.03,301.83,306.03,2788,0
19980116,308.56,308.56,303.87,308.56,8889,0
19980119,318.42,320.74,318.42,320.74,4394,0
19980120,339.89,339.89,339.89,339.89,3814,0
19980121,347.04,358.72,347.04,351.72,5860,0
19980122,365.76,366.22,365.76,366.22,18310,0
19980123,368.89,390.04,368.89,390.04,8343,0
19980126,386.89,391.6,386.89,391.6,4875,0
19980127,391.21,396.87,391.21,396.87,8725,0
19980128,397.76,397.76,397.76,397.76,20914,0
19980129,394.01,394.48,394.01,394.48,2650,0
19980130,393.43,397.63,393.43,397.63,6671,0
19980202,400.37,400.37,396.18,396.18,4216,0
19980203,391.5,391.5,384.5,384.5,8049,0
19980204,388.43,389.35,388.43,389.35,5139,0
19980205,389.66,389.66,389.66,389.66,3963,0
19980206,382.63,385.02,382.63,385.02,2564,0
19980209,383.05,390.08,383.05,383.05,6821,0
19980210,388.49,388.49,388.03,388.03,1944,0
19980211,390.54,390.54,384.4,390.05,27771,0
19980212,388.43,388.43,386.08,388.43,15820,0
19980213,385.42,392.45,385.42,392.45,7986,0
19980216,388.71,388.71,385.9,385.9,6340,0
19980217,383.67,386.02,383.67,383.67,7073,0
19980218,383.81,386.16,383.81,386.16,3561,0
19980219,388.96,391.31,384.26,391.31,5605,0
19980220,391.31,394.16,391.31,394.16,1551,0
19980223,402.53,424.69,402.53,424.69,3631,0
19980224,430.66,435.38,430.66,435.38,8143,0
19980225,446.71,446.71,445.76,445.76,4141,0
19980226,431.45,431.45,431.45,431.45,6711,0
19980227,426.83,426.83,425.44,425.44,5139,0
19980302,426.04,426.04,418.16,418.16,3225,0
19980303,421,428.46,421,428.46,5655,0
19980304,424.92,424.92,424.92,424.92,8693,0
19980305,418.49,421.74,418.49,421.74,2136,0
19980306,422.03,430.32,422.03,430.32,5075,0
19980309,437.76,438.66,437.76,438.66,4865,0
19980310,436.61,436.61,436.61,436.61,3935,0
19980311,435.01,435.01,435.01,435.01,3474,0
19980312,434.22,434.22,434.22,434.22,4215,0
19980313,434.85,434.85,434.85,434.85,2400,0
19980316,448.45,451.19,448.45,451.19,9749,0
19980317,461.85,469.61,454.54,469.61,3553,0
19980318,471.75,471.75,468.08,468.08,2215,0
19980319,457.15,464.02,457.15,464.02,3319,0
19980320,454.75,454.75,454.75,454.75,955,0
19980323,451.31,451.31,449.04,449.04,5396,0
19980324,449.6,449.6,449.6,449.6,8063,0
19980325,443.58,443.58,443.58,443.58,1280,0
19980326,441.07,441.07,440.6,440.6,1414,0
19980327,438.58,438.58,437.24,437.24,818,0
19980330,440.81,440.81,440.36,440.36,4094,0
19980331,437.34,437.34,437.34,437.34,2911,0
19980401,436.88,436.88,436.88,436.88,4121,0
19980402,439.33,448.37,439.33,448.37,3705,0
19980403,452.1,470.65,452.1,470.65,6353,0
19980406,475.06,476.88,465.97,476.88,5374,0
19980407,480.11,480.11,480.11,480.11,3213,0
19980408,477.16,477.16,473.07,473.07,1465,0
19980409,474.12,474.56,474.12,474.56,2110,0
19980414,477.29,477.29,477.29,477.29,6104,0
19980415,474.85,474.85,474.37,474.37,5875,0
19980416,468.64,468.64,464.1,464.1,7539,0
19980417,460.24,460.24,459.34,459.34,2841,0
19980420,455.77,462.58,455.77,462.58,3626,0
19980421,474.36,474.36,472.08,472.08,15986,0
19980422,475.57,477.89,475.57,477.89,845,0
19980423,476.82,476.82,476.82,476.82,729,0
19980424,474.06,474.06,464.94,464.94,893,0
19980427,469.13,469.13,465.48,465.48,2160,0
19980428,472.19,472.19,467.62,467.62,1208,0
19980429,469.99,472.27,469.99,472.27,5319,0
19980430,474.41,481.23,474.41,481.23,10783,0
19980504,484.43,494.02,484.43,494.02,6314,0
19980505,521.16,521.16,521.16,521.16,5688,0
19980506,530.7,530.7,530.7,530.7,3358,0
19980507,534.15,534.15,534.15,534.15,1520,0
19980511,538.39,538.39,535.21,535.21,3189,0
19980512,536.02,536.02,531.42,536.02,1795,0
19980513,538.32,538.32,537.84,537.84,2318,0
19980514,535.37,536.31,535.37,535.37,2988,0
19980515,532.36,532.36,531.43,531.43,4795,0
19980518,532.01,533.86,531.56,531.56,10413,0
19980519,533.77,536.13,533.77,536.13,2189,0
19980520,539.56,541.42,539.56,541.42,2826,0
19980522,542.59,542.59,542.59,542.59,2901,0
19980525,543.21,543.7,543.21,543.7,3010,0
19980526,553.79,556.12,553.79,556.12,3685,0
19980527,558.77,558.77,556.36,556.36,3424,0
19980528,560.78,560.78,558.42,560.78,2798,0
19980529,558.48,574.92,558.48,574.92,5664,0
19980602,580.71,585.45,580.71,585.45,5613,0
19980603,591.6,596.26,584.58,596.26,4639,0
19980604,609.48,609.48,609.48,609.48,5716,0
19980605,614.96,618.71,614.96,618.71,3454,0
19980608,624.71,625.16,624.71,625.16,1410,0
19980609,630.04,632.36,630.04,632.36,3320,0
19980610,638.1,642.79,638.1,642.79,6513,0
19980611,655.89,668.49,655.89,668.49,9029,0
19980612,645.53,645.53,633.84,633.84,10754,0
19980615,608.24,608.24,580.19,580.19,9014,0
19980616,580.93,585.62,580.93,585.62,8458,0
19980617,615.71,615.71,603.09,603.09,8665,0
19980618,616.77,616.77,596.64,596.64,2170,0
19980619,604.56,604.56,595.22,595.22,1150,0
19980622,592.66,592.66,581,581,2434,0
19980623,584.17,584.17,583.22,583.22,4365,0
19980624,585.94,585.94,583.59,584.99,3694,0
19980625,593.05,593.05,593.05,593.05,2240,0
19980626,591.3,591.3,591.3,591.3,1304,0
19980629,590.47,590.47,583.92,583.92,3391,0
19980630,575.76,575.76,573.44,573.44,3799,0
19980701,580.14,580.14,563.91,563.91,1255,0
19980702,584.32,584.32,584.32,584.32,1836,0
19980703,572.97,582.22,572.97,582.22,803,0
19980706,583.45,583.45,574.18,578.8,3204,0
19980707,574.57,581.56,574.57,581.56,958,0
19980708,574.71,574.71,567.75,567.75,1604,0
19980709,564.91,564.91,564.91,564.91,3460,0
19980710,567.63,569.93,567.63,569.93,3099,0
19980715,568.9,573.55,568.9,573.55,784,0
19980716,570.15,572.48,570.15,570.15,5981,0
19980717,568.75,568.75,568.75,568.75,2225,0
19980720,567.75,567.75,567.75,567.75,2083,0
19980721,566.79,566.79,564.49,564.49,1303,0
19980722,559.09,559.09,554.48,554.48,3196,0
19980723,550.99,550.99,541.72,541.72,2078,0
19980724,532.29,532.29,522.01,522.01,2431,0
19980727,517.26,521.9,512.12,512.12,3721,0
19980728,488,590.25,488,497.29,7426,0
19980729,495.29,497.15,494.83,494.83,3600,0
19980730,492.93,497.57,492.93,497.57,2916,0
19980731,500.12,500.12,495.51,495.51,1151,0
19980803,481.09,481.09,481.09,481.09,671,0
19980804,482.19,482.19,478.94,478.94,3358,0
19980805,480.98,480.98,474.03,474.03,3656,0
19980806,473.75,473.75,473.75,473.75,5243,0
19980807,471.86,477.01,471.86,477.01,5278,0
19980810,497.44,502.07,497.44,502.07,5075,0
