Date,Open,High,Low,Close,Volume,OpenInt
20140429,57,59.82,57,57.5,3751,0
20140430,56.09,56.47,54.96,55.8,102307,0
20140502,55.75,55.75,55.75,55.75,30,0
20140506,57,58.1,57,58.1,8620,0
20140507,56.85,56.85,56.85,56.85,5000,0
20140508,56.9,56.9,55.77,55.77,850,0
20140509,55.71,55.71,55.71,55.71,35,0
20140512,56,56,55.71,55.71,502,0
20140513,55.54,55.54,55.54,55.54,20,0
20140514,55.54,55.54,55.54,55.54,12,0
20140515,55,55.54,55,55.54,148,0
20140519,56.2,56.2,56.2,56.2,400,0
20140522,56.2,58,56.2,58,495,0
20140523,58,58,58,58,19,0
20140526,57.7,57.7,57.7,57.7,21729,0
20140527,58,58.33,58,58.33,3875,0
20140603,56.75,56.75,53.18,56.43,31500,0
20140604,56.67,56.67,53.01,56.5,16071,0
20140606,58.2,58.2,58.2,58.2,475,0
20140609,57.7,57.7,57.7,57.7,16,0
20140610,58.21,58.21,58.21,58.21,5400,0
20140611,58.22,58.88,58.22,58.88,10113,0
20140612,55.94,57.91,55.94,57.91,12,0
