Date,Open,High,Low,Close,Volume,OpenInt
19930622,6.0648,6.0648,6.0648,6.0648,1013431,0
19930624,5.5383,5.5383,5.5383,5.5383,898337,0
19930628,5.5383,5.5383,5.5383,5.5383,427115,0
19930629,5.8609,5.8609,5.8609,5.8609,346081,0
19930701,6.0648,6.0648,6.0648,6.0648,560088,0
19930705,6.3452,6.3452,6.3452,6.3452,363031,0
19930706,6.379,6.379,6.379,6.379,253656,0
19930708,5.742,5.742,5.742,5.742,275358,0
19930712,5.8609,5.8609,5.8609,5.8609,129713,0
19930713,5.8184,5.8184,5.8184,5.8184,165644,0
19930715,5.742,5.742,5.742,5.742,300073,0
19930719,5.742,5.742,5.742,5.742,255941,0
19930720,5.6571,5.6571,5.6571,5.6571,313391,0
19930722,5.7845,5.7845,5.7845,5.7845,362389,0
19930726,5.7845,5.7845,5.7845,5.7845,235171,0
19930727,5.6995,5.6995,5.6995,5.6995,179607,0
19930729,5.7845,5.7845,5.7845,5.7845,236296,0
19930802,5.8609,5.8609,5.8609,5.8609,190723,0
19930803,5.8609,5.8609,5.8609,5.8609,203081,0
19930805,5.8184,5.8184,5.8184,5.8184,210868,0
19930809,6.379,6.379,6.379,6.379,549643,0
19930810,7.0246,7.0246,7.0246,7.0246,0,0
19930812,7.7466,7.7466,7.7466,7.7466,0,0
19930816,8.4686,8.4686,8.4686,8.4686,671908,0
19930817,9.3185,9.3185,9.3185,9.3185,846909,0
19930819,10.201,10.201,10.201,10.201,573729,0
19930823,11.119,11.119,11.119,11.119,0,0
19930824,12.164,12.164,12.164,12.164,246199,0
19930826,13.413,13.413,13.413,13.413,510867,0
19930830,12.087,12.087,12.087,12.087,495543,0
19930831,10.923,10.923,10.923,10.923,569520,0
19930902,11.926,11.926,11.926,11.926,348984,0
19930906,13.047,13.047,13.047,13.047,783773,0
19930907,11.722,11.722,11.722,11.722,737517,0
19930909,11.238,11.238,11.238,11.238,341702,0
19930913,11.119,11.119,11.119,11.119,199060,0
19930914,11.238,11.238,11.238,11.238,218356,0
19930916,11.603,11.603,11.603,11.603,358214,0
19930920,10.439,10.439,10.439,10.439,273739,0
19930921,9.3943,9.3943,9.3943,9.3943,225457,0
19930923,8.4686,8.4686,8.4686,8.4686,273873,0
19930927,7.789,7.789,7.789,7.789,436985,0
19930928,8.5536,8.5536,8.5536,8.5536,0,0
19930930,9.3185,9.3185,9.3185,9.3185,296298,0
19931004,10.201,10.201,10.201,10.201,670451,0
19931005,10.677,10.677,10.677,10.677,640052,0
19931007,10.677,10.677,10.677,10.677,683160,0
19931011,11.323,11.323,11.323,11.323,651286,0
19931012,12.003,12.003,12.003,12.003,577978,0
19931014,12.003,12.003,12.003,12.003,491756,0
19931018,12.97,12.97,12.97,12.97,1037211,0
19931019,12.486,12.486,12.486,12.486,372608,0
19931021,11.807,11.807,11.807,11.807,503749,0
19931026,11.323,11.323,11.323,11.323,380211,0
19931028,12.003,12.003,12.003,12.003,495334,0
19931102,12.003,12.003,12.003,12.003,296124,0
19931104,12.087,12.087,12.087,12.087,577580,0
19931108,11.603,11.603,11.603,11.603,324627,0
19931109,11.323,11.323,11.323,11.323,422472,0
19931110,12.003,12.003,12.003,12.003,267799,0
19931115,12.401,12.401,12.401,12.401,471845,0
19931116,12.283,12.283,12.283,12.283,347971,0
19931118,11.043,11.043,11.043,11.043,460896,0
19931122,11.043,11.043,11.043,11.043,340345,0
19931123,11.722,11.722,11.722,11.722,190065,0
19931125,11.807,11.807,11.807,11.807,294179,0
19931129,11.807,11.807,11.807,11.807,377077,0
19931130,11.926,11.926,11.926,11.926,234085,0
19931202,12.087,12.087,12.087,12.087,455803,0
19931206,13.327,13.327,13.327,13.327,749080,0
19931207,13.811,13.811,13.811,13.811,615570,0
19931209,13.727,13.727,13.727,13.727,424756,0
19931213,14.134,14.134,14.134,14.134,440156,0
19931214,14.134,14.134,14.134,14.134,311538,0
19931216,14.491,14.491,14.491,14.491,387078,0
19931220,15.536,15.536,15.536,15.536,554730,0
19931221,15.859,15.859,15.859,15.859,400432,0
19931223,16.461,16.461,16.461,16.461,625510,0
19931227,17.26,17.26,17.26,17.26,570674,0
19931228,15.536,15.536,15.536,15.536,487823,0
19931230,17.098,17.098,17.098,17.098,656249,0
19940103,18.143,18.143,18.143,18.143,508465,0
19940104,18.865,18.865,18.865,18.865,811790,0
19940106,18.95,18.95,18.95,18.95,749117,0
19940110,19.673,19.673,19.673,19.673,617861,0
19940111,21.278,21.278,21.278,21.278,579334,0
19940113,23.367,23.367,23.367,23.367,644239,0
19940117,25.61,25.61,25.61,25.61,567758,0
19940118,28.184,28.184,28.184,28.184,524563,0
19940120,30.91,30.91,30.91,30.91,972924,0
19940124,30.273,30.273,30.273,30.273,529192,0
19940125,31.071,31.071,31.071,31.071,505163,0
19940127,34.206,34.206,34.206,34.206,1080314,0
19940131,30.748,30.748,30.748,30.748,605449,0
19940201,27.784,27.784,27.784,27.784,0,0
19940203,25.05,25.05,25.05,25.05,1147190,0
19940207,27.538,27.538,27.538,27.538,587433,0
19940208,29.39,29.39,29.39,29.39,550122,0
19940210,28.744,28.744,28.744,28.744,366814,0
19940214,29.39,29.39,29.39,29.39,374715,0
19940215,30.673,30.673,30.673,30.673,295719,0
19940217,31.071,31.071,31.071,31.071,419298,0
19940221,30.91,30.91,30.91,30.91,330396,0
19940222,29.551,29.551,29.551,29.551,213023,0
19940224,31.071,31.071,31.071,31.071,570095,0
19940228,31.878,31.878,31.878,31.878,280258,0
19940301,31.878,31.878,31.878,31.878,242999,0
19940303,31.071,31.071,31.071,31.071,320932,0
19940307,31.071,31.071,31.071,31.071,321737,0
19940308,31.071,31.071,31.071,31.071,253411,0
19940310,31.318,31.318,31.318,31.318,359822,0
19940314,31.632,31.632,31.632,31.632,311668,0
19940315,31.071,31.071,31.071,31.071,213369,0
19940317,30.273,30.273,30.273,30.273,280852,0
19940321,27.215,27.215,27.215,27.215,188670,0
19940322,24.811,24.811,24.811,24.811,236190,0
19940324,27.215,27.215,27.215,27.215,536546,0
19940328,25.05,25.05,25.05,25.05,289778,0
19940329,22.484,22.484,22.484,22.484,104623,0
19940331,20.318,20.318,20.318,20.318,543431,0
19940405,20.394,20.394,20.394,20.394,279911,0
19940407,20.955,20.955,20.955,20.955,323432,0
19940408,19.91,19.91,19.91,19.91,288387,0
19940411,17.982,17.982,17.982,17.982,0,0
19940412,16.215,16.215,16.215,16.215,238554,0
19940414,16.215,16.215,16.215,16.215,149503,0
19940418,17.26,17.26,17.26,17.26,181364,0
19940419,18.95,18.95,18.95,18.95,317018,0
19940421,22.807,22.807,22.807,22.807,230750,0
19940425,22.399,22.399,22.399,22.399,189781,0
19940426,20.233,20.233,20.233,20.233,0,0
19940428,18.228,18.228,18.228,18.228,164776,0
19940505,19.996,19.996,19.996,19.996,131358,0
19940506,17.982,17.982,17.982,17.982,268072,0
19940509,17.982,17.982,17.982,17.982,206059,0
19940510,18.39,18.39,18.39,18.39,161745,0
19940512,18.95,18.95,18.95,18.95,271501,0
19940516,20.955,20.955,20.955,20.955,194233,0
19940517,20.556,20.556,20.556,20.556,176454,0
19940519,22.484,22.484,22.484,22.484,294521,0
19940523,23.69,23.69,23.69,23.69,217509,0
19940524,24.166,24.166,24.166,24.166,321069,0
19940526,24.004,24.004,24.004,24.004,266028,0
19940530,24.166,24.166,24.166,24.166,235719,0
19940531,24.004,24.004,24.004,24.004,224793,0
19940601,21.762,21.762,21.762,21.762,227457,0
19940606,21.762,21.762,21.762,21.762,169509,0
19940607,20.233,20.233,20.233,20.233,165782,0
19940609,18.228,18.228,18.228,18.228,144737,0
19940613,16.461,16.461,16.461,16.461,0,0
19940614,14.771,14.771,14.771,14.771,304955,0
19940616,16.215,16.215,16.215,16.215,312077,0
19940620,14.694,14.694,14.694,14.694,191585,0
19940621,13.811,13.811,13.811,13.811,208934,0
19940623,13.811,13.811,13.811,13.811,313599,0
19940627,15.179,15.179,15.179,15.179,198937,0
19940628,15.051,15.051,15.051,15.051,81534,0
19940630,14.694,14.694,14.694,14.694,156296,0
19940704,15.46,15.46,15.46,15.46,100250,0
19940705,16.461,16.461,16.461,16.461,96432,0
19940706,17.982,17.982,17.982,17.982,169616,0
19940707,18.143,18.143,18.143,18.143,172896,0
19940711,18.95,18.95,18.95,18.95,220563,0
19940712,20.955,20.955,20.955,20.955,204616,0
19940713,21.762,21.762,21.762,21.762,287656,0
19940714,20.394,20.394,20.394,20.394,197955,0
19940718,22.399,22.399,22.399,22.399,222624,0
19940719,23.206,23.206,23.206,23.206,284980,0
19940720,20.955,20.955,20.955,20.955,320315,0
19940721,21.354,21.354,21.354,21.354,159862,0
19940725,21.354,21.354,21.354,21.354,0,0
19940726,22.323,22.323,22.323,22.323,300359,0
19940727,22.323,22.323,22.323,22.323,172049,0
19940728,22.323,22.323,22.323,22.323,198823,0
19940801,22.161,22.161,22.161,22.161,100064,0
19940802,21.762,21.762,21.762,21.762,68537,0
19940803,22.084,22.084,22.084,22.084,156617,0
19940804,22.399,22.399,22.399,22.399,205537,0
19940808,22.399,22.399,22.399,22.399,123784,0
19940809,22.323,22.323,22.323,22.323,128056,0
19940810,22,22,22,22,112023,0
19940811,21.6,21.6,21.6,21.6,105307,0
19940816,22.399,22.399,22.399,22.399,114793,0
19940817,23.843,23.843,23.843,23.843,175868,0
19940818,23.843,23.843,23.843,23.843,167697,0
19940822,24.166,24.166,24.166,24.166,184019,0
19940823,26.578,26.578,26.578,26.578,392938,0
19940824,25.856,25.856,25.856,25.856,199511,0
19940825,24.166,24.166,24.166,24.166,143007,0
19940829,24.488,24.488,24.488,24.488,158791,0
19940830,24.166,24.166,24.166,24.166,139966,0
19940831,23.206,23.206,23.206,23.206,82689,0
19940901,22.399,22.399,22.399,22.399,117896,0
19940905,20.233,20.233,20.233,20.233,231766,0
19940906,18.228,18.228,18.228,18.228,197231,0
19940907,18.627,18.627,18.627,18.627,164901,0
19940908,19.996,19.996,19.996,19.996,145592,0
19940912,19.996,19.996,19.996,19.996,136151,0
