Date,Open,High,Low,Close,Volume,OpenInt
20080507,10.299,10.603,10.034,10.603,62224,0
20080508,10.75,10.75,10.318,10.632,8880,0
20080509,10.485,10.652,10.407,10.652,10430,0
20080512,10.269,10.701,10.259,10.701,9892,0
20080513,10.652,10.799,10.652,10.799,6417,0
20080514,10.809,10.809,10.799,10.799,18209,0
20080515,10.799,10.848,10.79,10.848,10043,0
20080516,10.505,10.848,10.505,10.848,2900,0
20080519,10.799,10.848,10.475,10.799,10438,0
20080520,10.79,10.79,10.338,10.505,18616,0
20080521,10.308,10.505,10.308,10.505,4994,0
20080526,10.407,10.407,10.407,10.407,653,0
20080527,10.554,10.554,10.407,10.407,23682,0
20080528,10.377,10.377,10.377,10.377,12,0
20080530,10.505,10.505,10.505,10.505,10186,0
20080603,10.299,10.495,10.299,10.495,25465,0
20080604,10.485,10.485,10.485,10.485,306,0
20080606,10.407,10.407,10.407,10.407,7130,0
20080610,10.014,10.014,9.916,9.916,280,0
20080611,9.916,10.299,9.916,10.299,10328,0
20080613,10.299,10.299,9.837,9.837,307,0
20080616,9.837,9.837,9.837,9.837,1019,0
20080617,9.837,9.916,9.837,9.916,4075,0
20080618,10.21,10.21,10.21,10.21,1,0
20080619,10.299,10.299,10.299,10.299,1,0
20080620,10.299,10.299,10.299,10.299,1,0
20080623,9.818,9.818,9.818,9.818,1752,0
20080624,9.916,10.308,9.916,10.112,1732,0
20080625,10.299,10.299,10.299,10.299,1,0
20080626,10.102,10.299,9.818,10.299,2160,0
20080627,10.112,10.112,10.112,10.112,764,0
20080630,10.112,10.112,10.112,10.112,1,0
20080701,9.651,9.651,9.651,9.651,815,0
20080708,9.67,9.67,9.67,9.67,815,0
20080709,9.67,10.112,9.67,10.112,1833,0
20080710,10.308,10.308,10.308,10.308,102,0
20080711,9.818,10.308,9.818,10.308,161,0
20080714,10.308,10.308,10.308,10.308,1,0
20080715,10.308,10.308,10.308,10.308,1,0
20080716,9.818,9.818,9.818,9.818,764,0
20080717,9.818,9.818,9.818,9.818,509,0
20080718,9.818,9.818,9.818,9.818,1,0
20080721,9.818,9.818,9.818,9.818,764,0
20080722,10.21,10.21,9.729,10.21,305,0
20080723,10.21,10.21,10.21,10.21,102,0
20080724,9.749,10.74,9.749,10.74,1131,0
20080725,10.819,10.819,10.819,10.819,102,0
20080728,10.75,10.799,10.75,10.799,204,0
20080729,10.799,10.799,10.289,10.289,877,0
20080730,10.358,10.603,10.358,10.603,815,0
20080731,10.75,10.75,10.75,10.75,173,0
20080801,10.77,11.28,10.701,10.701,1518,0
20080804,10.77,10.77,10.77,10.77,102,0
20080805,10.77,10.77,10.77,10.77,102,0
20080806,10.77,10.77,10.259,10.259,765,0
20080807,10.259,10.259,10.259,10.259,306,0
20080811,10.2,10.2,10.2,10.2,102,0
20080812,10.2,10.259,10.2,10.259,153,0
20080813,10.259,10.259,10.259,10.259,102,0
20080814,10.259,10.77,10.259,10.77,866,0
20080818,10.524,10.524,10.524,10.524,1,0
20080819,10.328,10.77,10.328,10.77,765,0
20080820,10.75,10.75,10.75,10.75,52,0
20080821,10.328,10.76,10.328,10.76,1027,0
20080822,10.77,10.77,10.77,10.77,102,0
20080825,10.77,10.77,10.77,10.77,115,0
20080826,10.259,10.308,10.259,10.308,1477,0
20080827,9.4837,9.808,9.3954,9.798,4445,0
20080828,9.808,9.808,9.808,9.808,1,0
20080829,9.798,9.798,9.798,9.798,1,0
20080901,9.768,9.818,9.768,9.818,174,0
20080902,9.768,9.818,9.768,9.818,154,0
20080903,9.3659,10.308,9.3659,10.308,816,0
20080904,10.308,10.308,10.308,10.308,102,0
20080905,10.102,10.102,10.102,10.102,764,0
20080908,10.308,10.308,10.308,10.308,102,0
