Date,Open,High,Low,Close,Volume,OpenInt
20040526,21.6,22.387,21.502,22.092,521605,0
20040527,22.289,22.781,22.289,22.584,220630,0
20040528,22.584,22.683,22.289,22.584,52967,0
20040531,22.584,22.683,22.387,22.584,22424,0
20040601,22.584,22.584,22.289,22.584,13361,0
20040602,22.486,22.584,22.486,22.584,19044,0
20040603,22.584,22.584,22.387,22.387,7810,0
20040604,22.584,22.584,22.387,22.584,36375,0
20040607,22.584,22.978,22.584,22.978,52758,0
20040608,22.978,23.854,22.978,23.657,36026,0
20040609,23.755,24.543,23.559,24.543,36438,0
20040611,24.444,26.511,24.444,25.822,49417,0
20040614,25.822,25.822,24.247,25.231,23150,0
20040615,25.035,25.133,24.543,24.739,7556,0
20040616,24.543,25.231,24.543,24.936,9280,0
20040617,24.936,25.133,24.051,24.051,27609,0
20040618,24.346,24.543,24.051,24.051,9452,0
20040621,23.854,24.838,23.854,24.444,19048,0
20040622,24.641,24.739,24.444,24.444,6749,0
20040623,24.838,25.133,24.641,24.641,19504,0
20040624,25.035,25.035,24.641,24.739,7575,0
20040625,24.838,25.133,24.543,25.133,9677,0
20040628,25.33,27.003,25.33,26.806,33276,0
20040629,27.101,27.2,26.314,26.511,7584,0
20040630,26.904,26.904,26.314,26.314,10565,0
20040701,26.314,26.412,25.822,26.215,2161,0
20040702,26.019,26.215,25.625,26.019,11782,0
20040705,26.215,26.511,26.117,26.412,4406,0
20040706,26.215,26.511,26.019,26.412,4254,0
20040707,26.412,26.806,26.117,26.708,7016,0
20040708,26.511,27.977,26.511,27.78,15163,0
20040709,27.977,28.961,27.78,28.961,18841,0
20040712,28.961,30.043,28.961,29.059,48899,0
20040713,29.059,29.453,28.764,29.355,24110,0
20040714,28.961,31.224,28.961,30.929,59942,0
20040715,30.929,32.1,30.339,30.831,44423,0
20040716,31.224,31.805,29.847,31.51,49742,0
20040719,31.903,34.265,31.903,32.986,44087,0
20040720,33.576,33.576,31.323,32.789,60309,0
20040721,32.789,32.887,31.903,32.297,105084,0
20040722,32.395,32.395,32.002,32.297,24304,0
20040723,32.297,33.872,32.002,33.576,25070,0
20040726,33.773,33.872,32.297,32.494,30276,0
20040727,32.789,33.281,31.51,32.199,19390,0
20040728,33.084,33.084,31.028,31.421,18469,0
20040729,31.028,31.707,30.437,30.831,19521,0
20040730,30.831,31.421,30.732,31.421,5369,0
20040802,31.51,32.395,31.51,32.1,14296,0
20040803,32.1,32.395,32.002,32.297,15874,0
20040804,32.199,32.691,32.1,32.592,23227,0
20040805,32.887,32.887,32.199,32.199,9504,0
20040806,31.903,32.297,30.929,30.929,12785,0
20040809,30.929,31.903,29.256,29.945,13756,0
20040810,29.945,30.831,29.65,30.437,18155,0
20040811,30.043,30.437,30.043,30.043,21562,0
20040812,29.945,30.339,29.945,30.043,3392,0
20040813,30.043,30.24,29.945,30.24,2517,0
20040816,30.536,30.536,30.339,30.339,1961,0
20040817,30.24,30.831,30.142,30.437,4019,0
20040818,30.437,31.028,30.437,31.028,4051,0
20040819,31.323,31.323,30.634,30.634,3335,0
20040820,30.339,30.732,29.748,30.142,6340,0
20040823,30.142,30.732,30.043,30.634,18618,0
20040824,30.929,32.395,30.929,32.395,21795,0
20040825,32.395,32.494,31.707,32.1,14162,0
20040826,32.395,32.395,31.51,31.51,9886,0
20040827,32.395,32.395,31.903,32.199,1099,0
20040830,32.199,32.199,31.323,31.323,1674,0
20040831,31.126,31.421,31.126,31.224,17494,0
20040901,31.421,31.903,31.224,31.903,9978,0
20040902,31.805,32.395,31.126,32.199,19673,0
20040903,32.395,32.494,31.903,32.297,4576,0
20040906,32.395,32.395,31.903,32.1,1796,0
20040907,31.51,32.297,31.51,32.1,5488,0
20040908,32.002,34.068,31.903,33.675,38871,0
20040909,33.478,35.348,33.084,35.348,46308,0
20040910,36.223,36.814,35.633,35.633,52400,0
20040913,36.322,37.109,35.928,36.715,18533,0
20040914,37.306,37.995,36.519,36.519,27209,0
20040915,36.519,36.519,35.633,36.223,8272,0
20040916,36.027,36.223,35.928,36.125,4664,0
20040917,35.928,36.027,35.348,35.731,9477,0
20040920,35.348,36.027,34.954,35.83,2581,0
20040921,35.928,35.928,35.544,35.731,1355,0
20040922,35.544,36.223,35.348,35.544,4969,0
20040923,35.348,37.207,35.348,36.42,22650,0
20040924,36.519,37.7,36.322,36.322,18971,0
20040927,36.519,36.519,36.027,36.027,4746,0
20040928,35.633,36.027,35.633,36.027,4255,0
20040929,35.731,36.322,35.731,36.322,9208,0
20040930,36.223,36.322,35.928,35.928,4867,0
20041001,35.83,36.223,35.731,36.223,3242,0
20041004,36.814,37.404,36.322,36.519,15271,0
20041005,36.814,36.814,36.322,36.322,7557,0
20041006,36.322,36.322,36.027,36.223,5146,0
20041007,36.125,36.125,35.249,35.83,13220,0
20041008,35.348,35.731,35.052,35.731,6039,0
20041011,35.348,35.83,35.249,35.446,3617,0
20041012,35.052,35.052,34.364,34.462,14764,0
20041013,33.872,34.364,33.773,34.068,11962,0
20041014,34.265,35.052,34.265,34.659,16305,0
20041015,35.052,35.052,34.659,34.659,128659,0
20041018,34.856,34.856,34.56,34.56,42207,0
20041019,34.462,34.462,33.478,33.478,8448,0
20041020,33.478,33.478,32.395,33.183,22948,0
20041021,32.395,33.773,32.395,33.773,6761,0
20041022,34.265,34.954,34.265,34.659,2375,0
20041025,33.084,34.364,33.084,33.872,4794,0
20041026,33.773,35.249,33.478,35.249,10481,0
20041027,35.151,36.125,35.052,35.83,34270,0
20041028,36.912,37.7,36.912,37.404,41263,0
20041029,38.487,38.487,37.896,38.487,671867,0
20041102,38.684,38.684,37.601,37.995,22854,0
20041103,38.29,38.29,37.404,37.798,4440,0
20041104,37.7,37.798,37.404,37.7,5890,0
20041105,37.798,38.684,37.7,38.684,17873,0
20041108,39.176,39.176,37.896,38.388,16845,0
20041109,38.388,38.388,37.896,37.995,10504,0
20041110,38.29,38.585,37.503,38.585,19495,0
20041112,38.88,38.88,37.995,38.093,8672,0
20041115,38.29,38.29,37.306,37.306,10526,0
20041116,37.306,37.798,36.322,37.404,8816,0
20041117,37.306,37.601,36.814,37.601,9147,0
20041118,37.601,37.7,37.306,37.404,55389,0
20041119,37.7,37.7,37.207,37.207,5006,0
20041122,37.306,37.306,37.011,37.011,7051,0
20041123,37.011,37.306,36.519,36.912,4679,0
20041124,37.109,37.109,35.544,35.83,11546,0
20041125,35.544,36.322,35.446,35.928,10648,0
20041126,36.027,36.027,35.544,36.027,1994,0
20041129,36.027,36.027,35.446,35.446,3046,0
20041130,35.348,35.83,34.757,35.446,6551,0
20041201,35.83,37.011,35.83,37.011,10011,0
20041202,37.207,37.995,37.011,37.798,45303,0
20041203,37.995,37.995,37.306,37.503,8535,0
20041206,37.306,37.7,36.814,37.306,18880,0
20041207,37.207,37.798,37.207,37.798,14591,0
20041208,37.896,37.896,37.404,37.896,3923,0
20041209,37.404,37.404,37.306,37.306,1836,0
20041210,37.503,37.798,37.306,37.306,4003,0
20041213,37.306,37.503,36.814,36.814,4566,0
20041214,37.306,37.306,36.322,36.814,4670,0
20041215,36.322,36.715,36.223,36.322,2405,0
