Date,Open,High,Low,Close,Volume,OpenInt
19940802,8.44,8.44,8.44,8.44,340485,0
19940803,9.27,9.27,9.27,9.27,318990,0
19940804,10.19,10.19,10.19,10.19,348715,0
19940808,9.27,9.27,9.27,9.27,258588,0
19940809,10.94,10.94,10.94,10.94,132856,0
19940810,10.32,10.32,10.32,10.32,153281,0
19940811,10.11,10.11,10.11,10.11,125406,0
19940816,10.74,10.74,10.74,10.74,79885,0
19940817,11.28,11.28,11.28,11.28,80886,0
19940818,10.15,10.15,10.15,10.15,53506,0
19940822,10.53,10.53,10.53,10.53,103016,0
19940823,9.69,9.69,9.69,9.69,67130,0
19940824,9.48,9.48,9.48,9.48,74540,0
19940825,8.52,8.52,8.52,8.52,62840,0
19940829,9.23,9.23,9.23,9.23,87058,0
19940830,9.19,9.19,9.19,9.19,56485,0
19940831,8.65,8.65,8.65,8.65,45865,0
19940901,8.44,8.44,8.44,8.44,66845,0
19940905,8.02,8.02,8.02,8.02,42286,0
19940906,7.21,7.21,7.21,7.21,37019,0
19940907,6.5,6.5,6.5,6.5,153810,0
19940908,7.12,7.12,7.12,7.12,85133,0
19940912,7.81,7.81,7.81,7.81,106611,0
19940913,7.04,7.04,7.04,7.04,160451,0
19940914,7.16,7.16,7.16,7.16,66534,0
19940915,7.02,7.02,7.02,7.02,38583,0
19940919,7,7,7,7,53866,0
19940920,6.31,6.31,6.31,6.31,62050,0
19940921,5.74,5.74,5.74,5.74,87950,0
19940922,5.97,5.97,5.97,5.97,77829,0
19940926,5.81,5.81,5.81,5.81,48939,0
19940927,5.39,5.39,5.39,5.39,55441,0
19940928,5.39,5.39,5.39,5.39,99894,0
19940929,5.7,5.7,5.7,5.7,50112,0
19941003,6.27,6.27,6.27,6.27,102553,0
19941004,6.33,6.33,6.33,6.33,121437,0
19941005,6.96,6.96,6.96,6.96,78605,0
19941006,6.85,6.85,6.85,6.85,97955,0
19941007,6.98,6.98,6.98,6.98,80448,0
19941010,6.85,6.85,6.85,6.85,51170,0
19941011,6.54,6.54,6.54,6.54,53375,0
19941012,6.54,6.54,6.54,6.54,47268,0
19941013,5.89,5.89,5.89,5.89,86145,0
19941014,6.45,6.45,6.45,6.45,124120,0
19941017,6.75,6.75,6.75,6.75,89265,0
19941018,6.96,6.96,6.96,6.96,88044,0
19941019,6.85,6.85,6.85,6.85,43323,0
19941020,6.73,6.73,6.73,6.73,115459,0
19941021,6.39,6.39,6.39,6.39,58706,0
19941024,5.91,5.91,5.91,5.91,58009,0
19941025,5.99,5.99,5.99,5.99,44819,0
19941026,6.02,6.02,6.02,6.02,111418,0
19941027,5.7,5.7,5.7,5.7,31315,0
19941028,5.58,5.58,5.58,5.58,27441,0
19941102,6.14,6.14,6.14,6.14,40565,0
19941103,6.08,6.08,6.08,6.08,16731,0
19941104,6.06,6.06,6.06,6.06,43866,0
19941107,6.02,6.02,6.02,6.02,34369,0
19941108,6.02,6.02,6.02,6.02,19814,0
19941109,6.04,6.04,6.04,6.04,51357,0
19941110,6.04,6.04,6.04,6.04,44003,0
19941114,6.02,6.02,6.02,6.02,36464,0
19941115,5.58,5.58,5.58,5.58,41233,0
19941116,5.58,5.58,5.58,5.58,69488,0
19941117,5.47,5.47,5.47,5.47,22268,0
19941118,5.79,5.79,5.79,5.79,44110,0
19941121,5.2,5.2,5.2,5.2,17535,0
19941122,4.7,4.7,4.7,4.7,56104,0
19941123,4.76,4.76,4.76,4.76,31592,0
19941124,4.74,4.74,4.74,4.74,21701,0
19941125,4.76,4.76,4.76,4.76,13501,0
19941128,5.2,5.2,5.2,5.2,34257,0
19941129,5.72,5.72,5.72,5.72,79892,0
19941130,6.2,6.2,6.2,6.2,72045,0
19941201,6.16,6.16,6.16,6.16,77044,0
19941202,5.53,5.53,5.53,5.53,47907,0
19941205,5.81,5.81,5.81,5.81,34309,0
19941206,5.68,5.68,5.68,5.68,33859,0
19941207,5.81,5.81,5.81,5.81,86260,0
19941208,5.22,5.22,5.22,5.22,0,0
19941209,4.76,4.76,4.76,4.76,36737,0
19941212,5.16,5.16,5.16,5.16,61562,0
19941213,4.97,4.97,4.97,4.97,32368,0
19941214,4.87,4.87,4.87,4.87,52913,0
19941215,4.97,4.97,4.97,4.97,20410,0
19941216,5.45,5.45,5.45,5.45,75416,0
19941219,5.37,5.37,5.37,5.37,27901,0
19941220,5.31,5.31,5.31,5.31,26364,0
19941221,5.22,5.22,5.22,5.22,14418,0
19941222,5.37,5.37,5.37,5.37,10645,0
19941223,5.37,5.37,5.37,5.37,15716,0
19941227,5.33,5.33,5.33,5.33,15057,0
19941228,5.16,5.16,5.16,5.16,16716,0
19941229,5.2,5.2,5.2,5.2,20171,0
19950102,5.72,5.72,5.72,5.72,78456,0
19950103,5.43,5.43,5.43,5.43,54414,0
19950104,5.58,5.58,5.58,5.58,22057,0
19950105,5.7,5.7,5.7,5.7,21399,0
19950106,5.41,5.41,5.41,5.41,15345,0
19950109,5.53,5.53,5.53,5.53,12108,0
19950110,5.53,5.53,5.53,5.53,41374,0
19950111,5.56,5.56,5.56,5.56,26369,0
19950112,5.62,5.62,5.62,5.62,18335,0
19950113,5.7,5.7,5.7,5.7,37881,0
19950116,5.64,5.64,5.64,5.64,11438,0
19950117,5.58,5.58,5.58,5.58,24923,0
19950118,5.49,5.49,5.49,5.49,28856,0
19950119,5.58,5.58,5.58,5.58,9147,0
19950120,5.56,5.56,5.56,5.56,14670,0
19950123,5.37,5.37,5.37,5.37,25991,0
19950124,5.08,5.08,5.08,5.08,18718,0
19950125,5.05,5.05,5.05,5.05,142843,0
19950126,5.05,5.05,5.05,5.05,24039,0
19950127,5.1,5.1,5.1,5.1,21289,0
19950130,5.05,5.05,5.05,5.05,31657,0
19950131,5.05,5.05,5.05,5.05,49363,0
19950201,5.16,5.16,5.16,5.16,22191,0
19950202,5.16,5.16,5.16,5.16,43131,0
19950203,5.05,5.05,5.05,5.05,30470,0
19950206,5.31,5.31,5.31,5.31,6408,0
19950207,5.85,5.85,5.85,5.85,68998,0
19950208,5.74,5.74,5.74,5.74,40740,0
19950209,5.37,5.37,5.37,5.37,16025,0
19950210,5.37,5.37,5.37,5.37,42104,0
19950213,5.26,5.26,5.26,5.26,4368,0
19950214,5.47,5.47,5.47,5.47,10143,0
19950215,5.33,5.33,5.33,5.33,8450,0
19950216,5.45,5.45,5.45,5.45,7246,0
19950217,5.39,5.39,5.39,5.39,8352,0
19950220,5.2,5.2,5.2,5.2,6825,0
19950221,4.93,4.93,4.93,4.93,31446,0
19950222,4.99,4.99,4.99,4.99,17430,0
19950223,5.08,5.08,5.08,5.08,24135,0
19950224,5.58,5.58,5.58,5.58,91989,0
19950227,5.03,5.03,5.03,5.03,25825,0
19950228,5.05,5.05,5.05,5.05,17212,0
19950301,5.12,5.12,5.12,5.12,11234,0
19950302,5.26,5.26,5.26,5.26,15294,0
19950303,5.33,5.33,5.33,5.33,14174,0
19950306,5.31,5.31,5.31,5.31,27238,0
19950307,5.26,5.26,5.26,5.26,25744,0
19950308,5.33,5.33,5.33,5.33,11076,0
19950309,5.35,5.35,5.35,5.35,15524,0
19950310,5.28,5.28,5.28,5.28,24600,0
19950313,5.24,5.24,5.24,5.24,27276,0
19950314,5.16,5.16,5.16,5.16,7756,0
19950315,5.26,5.26,5.26,5.26,10545,0
19950316,5.16,5.16,5.16,5.16,9302,0
19950317,5.18,5.18,5.18,5.18,18241,0
19950320,5.1,5.1,5.1,5.1,17365,0
19950321,5.12,5.12,5.12,5.12,14459,0
19950322,5.1,5.1,5.1,5.1,15598,0
19950323,5.05,5.05,5.05,5.05,24829,0
19950324,5.08,5.08,5.08,5.08,6305,0
19950327,5.1,5.1,5.1,5.1,15699,0
19950328,5.03,5.03,5.03,5.03,11917,0
19950329,4.93,4.93,4.93,4.93,6693,0
19950330,4.95,4.95,4.95,4.95,11816,0
19950331,5.05,5.05,5.05,5.05,15826,0
19950403,5.16,5.16,5.16,5.16,13473,0
19950404,5.26,5.26,5.26,5.26,35339,0
19950405,5.26,5.26,5.26,5.26,23843,0
19950406,5.33,5.33,5.33,5.33,56609,0
19950407,5.47,5.47,5.47,5.47,66151,0
19950410,6.04,6.04,6.04,6.04,101306,0
19950411,6.08,6.08,6.08,6.08,62359,0
19950412,6.08,6.08,6.08,6.08,75521,0
19950413,5.81,5.81,5.81,5.81,69493,0
19950414,5.95,5.95,5.95,5.95,40064,0
19950418,6.43,6.43,6.43,6.43,18263,0
19950419,7.06,7.06,7.06,7.06,68840,0
19950420,6.96,6.96,6.96,6.96,82387,0
19950421,6.75,6.75,6.75,6.75,76785,0
19950424,7.08,7.08,7.08,7.08,68567,0
19950425,6.96,6.96,6.96,6.96,104241,0
19950426,6.39,6.39,6.39,6.39,48348,0
19950427,6.5,6.5,6.5,6.5,81212,0
19950428,6.54,6.54,6.54,6.54,92317,0
19950504,6.77,6.77,6.77,6.77,69824,0
19950505,7,7,7,7,74463,0
19950509,7.37,7.37,7.37,7.37,69783,0
19950510,8.12,8.12,8.12,8.12,131080,0
19950511,8.86,8.86,8.86,8.86,188015,0
19950512,8.44,8.44,8.44,8.44,105948,0
19950515,8.98,8.98,8.98,8.98,87905,0
19950516,8.08,8.08,8.08,8.08,57897,0
19950517,8.08,8.08,8.08,8.08,135532,0
19950518,7.79,7.79,7.79,7.79,106860,0
19950519,7.73,7.73,7.73,7.73,78482,0
19950522,7.21,7.21,7.21,7.21,93744,0
19950523,6.5,6.5,6.5,6.5,88290,0
19950524,7.12,7.12,7.12,7.12,29486,0
19950525,7.81,7.81,7.81,7.81,112656,0
19950526,7.67,7.67,7.67,7.67,66012,0
19950529,7.67,7.67,7.67,7.67,38944,0
19950530,7.33,7.33,7.33,7.33,49580,0
19950531,6.62,6.62,6.62,6.62,48786,0
19950601,6.54,6.54,6.54,6.54,62793,0
19950602,6.64,6.64,6.64,6.64,77767,0
19950605,6.85,6.85,6.85,6.85,38171,0
19950606,7.16,7.16,7.16,7.16,70700,0
19950607,7.37,7.37,7.37,7.37,76699,0
19950608,7.16,7.16,7.16,7.16,37340,0
19950609,6.96,6.96,6.96,6.96,32064,0
19950612,6.56,6.56,6.56,6.56,62137,0
19950613,6.75,6.75,6.75,6.75,49434,0
19950614,6.96,6.96,6.96,6.96,63982,0
19950616,6.54,6.54,6.54,6.54,47419,0
19950619,6.54,6.54,6.54,6.54,26309,0
19950620,6.75,6.75,6.75,6.75,36684,0
19950621,6.75,6.75,6.75,6.75,18679,0
19950622,6.64,6.64,6.64,6.64,19422,0
19950623,6.79,6.79,6.79,6.79,14141,0
19950626,7.14,7.14,7.14,7.14,42626,0
19950627,7.16,7.16,7.16,7.16,52695,0
19950628,6.58,6.58,6.58,6.58,27434,0
19950629,6.75,6.75,6.75,6.75,71820,0
19950630,6.75,6.75,6.75,6.75,85011,0
19950703,6.85,6.85,6.85,6.85,64590,0
19950704,6.6,6.6,6.6,6.6,25983,0
19950705,6.33,6.33,6.33,6.33,57440,0
19950706,6.33,6.33,6.33,6.33,70240,0
19950707,6.39,6.39,6.39,6.39,42403,0
19950710,5.76,5.76,5.76,5.76,229854,0
19950711,5.87,5.87,5.87,5.87,70199,0
19950712,5.7,5.7,5.7,5.7,57263,0
19950713,5.83,5.83,5.83,5.83,32519,0
19950714,5.83,5.83,5.83,5.83,32174,0
19950717,5.99,5.99,5.99,5.99,33031,0
19950718,5.97,5.97,5.97,5.97,101282,0
19950719,5.89,5.89,5.89,5.89,35739,0
19950720,5.72,5.72,5.72,5.72,60286,0
19950721,5.58,5.58,5.58,5.58,99075,0
19950724,5.26,5.26,5.26,5.26,95187,0
19950725,5.39,5.39,5.39,5.39,132504,0
19950726,5.39,5.39,5.39,5.39,87594,0
19950727,5.93,5.93,5.93,5.93,297976,0
19950728,6.52,6.52,6.52,6.52,409349,0
19950731,6.14,6.14,6.14,6.14,118801,0
19950801,6.12,6.12,6.12,6.12,161121,0
19950802,6.22,6.22,6.22,6.22,116642,0
19950803,6.08,6.08,6.08,6.08,71325,0
19950804,5.97,5.97,5.97,5.97,20006,0
19950807,6.02,6.02,6.02,6.02,66247,0
19950808,5.74,5.74,5.74,5.74,28380,0
19950809,5.68,5.68,5.68,5.68,59846,0
19950810,5.95,5.95,5.95,5.95,95673,0
19950811,5.91,5.91,5.91,5.91,65390,0
19950816,6.1,6.1,6.1,6.1,85674,0
19950817,6.1,6.1,6.1,6.1,68619,0
19950818,6.1,6.1,6.1,6.1,65749,0
19950821,5.87,5.87,5.87,5.87,17889,0
19950822,6.12,6.12,6.12,6.12,153767,0
19950823,6.12,6.12,6.12,6.12,82930,0
19950824,6.06,6.06,6.06,6.06,31202,0
19950825,6.1,6.1,6.1,6.1,42794,0
19950828,6.33,6.33,6.33,6.33,81535,0
19950829,6.43,6.43,6.43,6.43,129569,0
19950830,6.43,6.43,6.43,6.43,85731,0
19950831,6.43,6.43,6.43,6.43,124982,0
19950901,6.54,6.54,6.54,6.54,100270,0
19950904,6.85,6.85,6.85,6.85,113858,0
19950905,7.02,7.02,7.02,7.02,172562,0
19950906,7.06,7.06,7.06,7.06,99796,0
19950907,7.16,7.16,7.16,7.16,145522,0
19950908,7.46,7.46,7.46,7.46,136528,0
19950911,7.81,7.81,7.81,7.81,170582,0
19950912,7.77,7.77,7.77,7.77,109271,0
19950913,7.58,7.58,7.58,7.58,156300,0
19950914,7.83,7.83,7.83,7.83,135271,0
19950915,7.75,7.75,7.75,7.75,148539,0
19950918,7.37,7.37,7.37,7.37,98333,0
19950919,6.64,6.64,6.64,6.64,91163,0
19950920,6.6,6.6,6.6,6.6,104318,0
19950921,6.7,6.7,6.7,6.7,125066,0
19950922,6.62,6.62,6.62,6.62,47577,0
19950925,6.66,6.66,6.66,6.66,50054,0
19950926,6.75,6.75,6.75,6.75,72636,0
19950927,6.96,6.96,6.96,6.96,79435,0
19950928,6.27,6.27,6.27,6.27,202208,0
19950929,6.66,6.66,6.66,6.66,86600,0
19951002,6.75,6.75,6.75,6.75,67370,0
19951003,6.7,6.7,6.7,6.7,43404,0
19951004,6.33,6.33,6.33,6.33,39265,0
19951005,6.22,6.22,6.22,6.22,50852,0
19951006,6.43,6.43,6.43,6.43,46322,0
19951009,6.14,6.14,6.14,6.14,23046,0
19951010,6.08,6.08,6.08,6.08,60463,0
19951011,6.06,6.06,6.06,6.06,62821,0
19951012,6.06,6.06,6.06,6.06,42511,0
19951013,6.02,6.02,6.02,6.02,50787,0
19951016,5.97,5.97,5.97,5.97,22768,0
19951017,6.12,6.12,6.12,6.12,71736,0
19951018,6.08,6.08,6.08,6.08,29615,0
19951019,5.91,5.91,5.91,5.91,39337,0
19951020,5.58,5.58,5.58,5.58,22325,0
19951023,5.58,5.58,5.58,5.58,54153,0
19951024,5.47,5.47,5.47,5.47,45592,0
