Date,Open,High,Low,Close,Volume,OpenInt
19990223,4.0904,4.0904,4.0904,4.0904,1750149,0
19990224,4.156,4.156,4.156,4.156,2032134,0
19990225,4.2544,4.2544,4.2544,4.2544,1037238,0
19990226,4.2216,4.2216,4.2216,4.2216,1033543,0
19990301,4.2625,4.2625,4.2625,4.2625,862647,0
19990302,4.3117,4.3117,4.3117,4.3117,1724609,0
19990303,4.2707,4.2707,4.2707,4.2707,1102295,0
19990304,4.2133,4.2133,4.2133,4.2133,1048433,0
19990305,4.1478,4.1478,4.1478,4.1478,1045694,0
19990308,4.1478,4.1478,4.1478,4.1478,506523,0
19990309,4.1232,4.1232,4.1232,4.1232,509771,0
19990310,4.2133,4.2133,4.2133,4.2133,539620,0
19990311,4.4511,4.4511,4.4511,4.4511,2267575,0
19990312,4.5658,4.5658,4.5658,4.5658,3218896,0
19990315,4.7051,4.7051,4.7051,4.7051,2310329,0
19990316,4.8036,4.8036,4.8036,4.8036,2975988,0
19990317,4.7379,4.7379,4.7379,4.7379,2120074,0
19990318,4.492,4.492,4.492,4.492,1863891,0
19990319,4.6642,4.6642,4.6642,4.6642,1505319,0
19990322,4.6069,4.6069,4.6069,4.6069,1670409,0
19990323,4.5003,4.5003,4.5003,4.5003,1063353,0
19990324,4.3281,4.3281,4.3281,4.3281,818803,0
19990325,4.4101,4.4101,4.4101,4.4101,1331200,0
19990326,4.2789,4.2789,4.2789,4.2789,1544375,0
19990329,4.1478,4.1478,4.1478,4.1478,256727,0
19990330,4.492,4.492,4.492,4.492,1379588,0
19990331,4.5658,4.5658,4.5658,4.5658,1718586,0
19990401,4.5003,4.5003,4.5003,4.5003,934373,0
19990402,4.5495,4.5495,4.5495,4.5495,4084,0
19990406,4.6232,4.6232,4.6232,4.6232,959471,0
19990407,4.6232,4.6232,4.6232,4.6232,650600,0
19990408,4.7051,4.7051,4.7051,4.7051,1493241,0
19990409,4.7708,4.7708,4.7708,4.7708,3019885,0
19990412,4.6478,4.6478,4.6478,4.6478,583815,0
19990413,4.5577,4.5577,4.5577,4.5577,1306129,0
19990414,4.5741,4.5741,4.5741,4.5741,402466,0
19990415,4.5658,4.5658,4.5658,4.5658,1055594,0
19990416,4.5248,4.5248,4.5248,4.5248,913460,0
19990419,4.5904,4.5904,4.5904,4.5904,1205109,0
19990420,4.492,4.492,4.492,4.492,398470,0
19990421,4.4757,4.4757,4.4757,4.4757,544944,0
19990422,4.4757,4.4757,4.4757,4.4757,1056752,0
19990423,4.4592,4.4592,4.4592,4.4592,1331672,0
19990426,4.5084,4.5084,4.5084,4.5084,1426333,0
19990427,4.6232,4.6232,4.6232,4.6232,1555837,0
19990428,4.6314,4.6314,4.6314,4.6314,1446049,0
19990429,4.6151,4.6151,4.6151,4.6151,1355412,0
19990430,4.5823,4.5823,4.5823,4.5823,1884154,0
19990503,4.7379,4.7379,4.7379,4.7379,1111474,0
19990504,4.8282,4.8282,4.8282,4.8282,2178842,0
19990505,4.9594,4.9594,4.9594,4.9594,1649685,0
19990506,5.32,5.32,5.32,5.32,2285789,0
19990507,5.4757,5.4757,5.4757,5.4757,3780381,0
19990510,5.656,5.656,5.656,5.656,2723387,0
19990511,6.4103,6.4103,6.4103,6.4103,6285269,0
19990512,6.4922,6.4922,6.4922,6.4922,12265880,0
19990513,6.2299,6.2299,6.2299,6.2299,7781500,0
19990514,6.1971,6.1971,6.1971,6.1971,2718481,0
19990517,5.9511,5.9511,5.9511,5.9511,960626,0
19990518,5.9594,5.9594,5.9594,5.9594,1561358,0
19990519,6.3282,6.3282,6.3282,6.3282,2580175,0
19990520,6.2626,6.2626,6.2626,6.2626,5161796,0
19990521,6.5495,6.5495,6.5495,6.5495,3890777,0
19990524,6.7955,6.7955,6.7955,6.7955,3049731,0
19990525,7.1233,7.1233,7.1233,7.1233,3321453,0
19990526,7.0414,7.0414,7.0414,7.0414,4843389,0
19990527,6.6234,6.6234,6.6234,6.6234,2883983,0
19990528,6.6643,6.6643,6.6643,6.6643,2734918,0
19990531,6.7544,6.7544,6.7544,6.7544,1117133,0
19990601,6.7544,6.7544,6.7544,6.7544,1106334,0
19990602,6.7462,6.7462,6.7462,6.7462,541309,0
19990603,6.6725,6.6725,6.6725,6.6725,1018980,0
19990604,6.6234,6.6234,6.6234,6.6234,184769,0
19990607,6.6151,6.6151,6.6151,6.6151,183470,0
19990608,6.6479,6.6479,6.6479,6.6479,234636,0
19990609,6.6151,6.6151,6.6151,6.6151,842830,0
19990610,6.4348,6.4348,6.4348,6.4348,571505,0
19990611,6.3118,6.3118,6.3118,6.3118,613782,0
19990614,6.3693,6.3693,6.3693,6.3693,227997,0
19990615,6.4675,6.4675,6.4675,6.4675,1391294,0
19990616,6.6562,6.6562,6.6562,6.6562,1527155,0
19990617,6.6971,6.6971,6.6971,6.6971,825716,0
19990618,6.6315,6.6315,6.6315,6.6315,537009,0
19990621,6.7381,6.7381,6.7381,6.7381,682927,0
19990622,6.6562,6.6562,6.6562,6.6562,506392,0
19990623,6.5495,6.5495,6.5495,6.5495,770316,0
19990624,6.566,6.566,6.566,6.566,224129,0
19990625,6.6069,6.6069,6.6069,6.6069,220871,0
19990628,6.6151,6.6151,6.6151,6.6151,285465,0
19990629,6.5824,6.5824,6.5824,6.5824,451240,0
19990630,6.5824,6.5824,6.5824,6.5824,286106,0
19990701,6.5331,6.5331,6.5331,6.5331,614674,0
19990702,6.4922,6.4922,6.4922,6.4922,736334,0
19990707,6.4758,6.4758,6.4758,6.4758,596058,0
19990708,6.3938,6.3938,6.3938,6.3938,477661,0
19990709,6.2463,6.2463,6.2463,6.2463,692830,0
19990712,6.279,6.279,6.279,6.279,510893,0
19990713,6.0331,6.0331,6.0331,6.0331,1030365,0
19990714,6.0823,6.0823,6.0823,6.0823,563187,0
19990715,6.0987,6.0987,6.0987,6.0987,477663,0
19990716,6.0085,6.0085,6.0085,6.0085,316602,0
19990719,6.1478,6.1478,6.1478,6.1478,375232,0
19990720,6.2626,6.2626,6.2626,6.2626,666397,0
19990721,6.279,6.279,6.279,6.279,234776,0
19990722,6.6315,6.6315,6.6315,6.6315,1843104,0
19990723,6.8774,6.8774,6.8774,6.8774,2006859,0
19990726,6.8447,6.8447,6.8447,6.8447,3224740,0
19990727,6.7873,6.7873,6.7873,6.7873,2937916,0
19990728,6.7462,6.7462,6.7462,6.7462,1235729,0
19990729,6.7627,6.7627,6.7627,6.7627,666580,0
19990730,6.943,6.943,6.943,6.943,1073198,0
19990802,6.9594,6.9594,6.9594,6.9594,1171030,0
19990803,7.5086,7.5086,7.5086,7.5086,2165802,0
19990804,8.0661,8.0661,8.0661,8.0661,2943497,0
19990805,7.9021,7.9021,7.9021,7.9021,2719249,0
19990806,7.6316,7.6316,7.6316,7.6316,3032360,0
19990809,7.5825,7.5825,7.5825,7.5825,2497191,0
19990810,7.5005,7.5005,7.5005,7.5005,2076998,0
19990811,7.4758,7.4758,7.4758,7.4758,338451,0
19990812,7.4349,7.4349,7.4349,7.4349,751088,0
19990813,7.3939,7.3939,7.3939,7.3939,273825,0
19990816,7.1152,7.1152,7.1152,7.1152,2309060,0
19990817,7.1233,7.1233,7.1233,7.1233,254202,0
19990818,7.1152,7.1152,7.1152,7.1152,289335,0
19990819,7.0987,7.0987,7.0987,7.0987,869363,0
19990820,7.2381,7.2381,7.2381,7.2381,1165082,0
19990823,7.1233,7.1233,7.1233,7.1233,2336851,0
19990824,6.9102,6.9102,6.9102,6.9102,1956073,0
19990825,7.1561,7.1561,7.1561,7.1561,1978054,0
19990826,7.1152,7.1152,7.1152,7.1152,982178,0
19990827,7.1479,7.1479,7.1479,7.1479,351407,0
19990830,7.189,7.189,7.189,7.189,526099,0
19990831,7.1233,7.1233,7.1233,7.1233,1389162,0
19990901,7.1808,7.1808,7.1808,7.1808,132691,0
19990902,7.3283,7.3283,7.3283,7.3283,820833,0
19990903,7.4185,7.4185,7.4185,7.4185,704474,0
19990906,7.4267,7.4267,7.4267,7.4267,226450,0
19990907,7.5742,7.5742,7.5742,7.5742,1188168,0
19990908,7.6234,7.6234,7.6234,7.6234,714274,0
19990909,7.566,7.566,7.566,7.566,764022,0
19990910,7.4758,7.4758,7.4758,7.4758,850881,0
19990913,7.4512,7.4512,7.4512,7.4512,1275173,0
19990914,7.6971,7.6971,7.6971,7.6971,1304061,0
19990915,7.7627,7.7627,7.7627,7.7627,896065,0
19990916,7.7627,7.7627,7.7627,7.7627,920919,0
19990917,7.8693,7.8693,7.8693,7.8693,981685,0
19990920,8.0742,8.0742,8.0742,8.0742,1484175,0
19990921,8.1152,8.1152,8.1152,8.1152,892380,0
19990922,8.2628,8.2628,8.2628,8.2628,1782774,0
19990923,8.2874,8.2874,8.2874,8.2874,1735408,0
19990924,8.23,8.23,8.23,8.23,1676832,0
19990927,8.5168,8.5168,8.5168,8.5168,1799713,0
19990928,8.8612,8.8612,8.8612,8.8612,3133308,0
19990929,9.0005,9.0005,9.0005,9.0005,2519899,0
19990930,9.3283,9.3283,9.3283,9.3283,1207507,0
19991001,9.0824,9.0824,9.0824,9.0824,1738485,0
19991004,8.9677,8.9677,8.9677,8.9677,993779,0
19991005,8.6153,8.6153,8.6153,8.6153,964367,0
19991006,8.8693,8.8693,8.8693,8.8693,1088107,0
19991007,8.9185,8.9185,8.9185,8.9185,1521693,0
19991008,8.9924,8.9924,8.9924,8.9924,1009290,0
19991011,8.8448,8.8448,8.8448,8.8448,1162760,0
19991012,8.8858,8.8858,8.8858,8.8858,637890,0
