Date,Open,High,Low,Close,Volume,OpenInt
20060516,9.7,11.85,9.3,10.4,1793643,0
20060517,11.35,12.8,10.8,11.8,856008,0
20060518,12.3,15.55,12.1,15.55,816776,0
20060519,16,18.6,14.05,14.05,1401675,0
20060522,14.5,15.1,12.3,12.3,398830,0
20060523,11.7,12.75,9.6,12.4,493425,0
20060524,12,12.6,11,11.2,172740,0
20060525,11.5,11.85,10.35,11.3,222398,0
20060526,11.7,12.1,11.4,11.75,162037,0
20060529,12,12.4,10.8,11.2,251514,0
20060530,11.3,11.4,10.6,10.9,72063,0
20060531,10.55,10.95,10.4,10.65,74153,0
20060601,10.6,11.25,10.5,10.95,90103,0
20060602,11.15,11.2,10.8,10.95,65526,0
20060605,10.85,10.9,10.7,10.75,50975,0
20060606,10.35,10.7,10.3,10.35,56359,0
20060607,10.35,10.35,10,10.05,79752,0
20060608,9.85,9.85,9.3,9.55,79712,0
20060609,9.6,9.9,9.2,9.4,27411,0
20060612,8.4,8.4,6.4,6.6,556414,0
20060613,6.4,6.4,4.51,5.35,377406,0
20060614,5.35,6.6,5.2,6.6,420735,0
20060616,7.05,7.7,6.7,7,423455,0
20060619,6.65,7.1,6.65,6.8,87199,0
20060620,6.7,6.75,6.2,6.55,48639,0
20060621,6.4,7,6.3,6.7,117735,0
20060622,6.8,6.9,6.2,6.3,46335,0
20060623,6.2,6.2,5.75,6.15,129549,0
20060626,6.2,6.2,5.8,5.85,65352,0
20060627,6,6.4,5.85,6,161425,0
20060628,5.85,6.25,5.7,6.05,187454,0
20060629,6,6.15,5.85,5.95,36752,0
20060630,5.9,6.1,5.9,5.95,50017,0
20060703,6,6,5.75,5.9,30650,0
20060704,5.8,5.9,5.75,5.75,19751,0
20060705,5.9,6.2,5.8,5.8,99150,0
20060706,5.9,6.6,5.85,6.5,326217,0
20060707,6.55,6.7,6.3,6.35,124076,0
20060710,6,6.2,5.95,5.95,184209,0
20060711,5.7,6.05,5.7,5.85,79225,0
20060712,5.85,5.95,5.65,5.65,80388,0
20060713,5.7,5.8,5.6,5.7,52582,0
20060714,5.65,5.75,5.6,5.7,16450,0
20060717,5.6,5.6,5.2,5.4,93721,0
20060718,5.3,5.7,5.25,5.3,50770,0
20060719,5.3,5.35,5.25,5.35,20549,0
20060720,5.45,5.6,5.35,5.5,78854,0
20060721,5.9,6.1,5.8,5.9,145927,0
20060724,6,6,5.75,5.8,24485,0
20060725,5.75,5.85,5.6,5.6,56249,0
20060726,5.55,7,5.55,6.95,506466,0
20060727,6.7,6.75,6.25,6.45,219979,0
20060728,6.3,7,6.25,6.5,146022,0
20060731,6.65,6.65,6.35,6.4,31610,0
20060801,6.4,6.55,6.05,6.3,37436,0
20060802,6.2,6.4,6.15,6.25,40285,0
20060803,6.3,6.35,6.05,6.2,19152,0
20060804,6.25,6.25,6.05,6.1,11974,0
20060807,6.2,6.3,6.1,6.2,21372,0
20060808,6.35,6.75,6.2,6.65,63226,0
20060809,6.5,6.7,6.3,6.4,31719,0
20060810,6.3,6.5,6.3,6.35,15793,0
20060811,6.4,6.5,6.25,6.25,5686,0
20060814,6.25,6.4,6.1,6.35,12924,0
20060816,6.15,6.35,6.15,6.3,16059,0
20060817,6.3,6.3,6.05,6.2,28594,0
20060818,6.05,6.2,5.85,6.05,39716,0
20060821,5.9,6,5.85,5.9,12936,0
20060822,5.9,5.95,5.8,5.85,17859,0
20060823,5.8,6.2,5.8,5.85,51400,0
20060824,5.95,6,5.8,5.9,25231,0
20060825,5.85,5.95,5.75,5.95,27522,0
20060828,5.95,5.95,5.8,5.95,17389,0
20060829,5.9,6,5.85,5.9,8790,0
20060830,5.85,5.95,5.8,5.9,20653,0
20060831,5.8,5.9,5.75,5.75,19410,0
20060901,5.88,5.88,5.72,5.75,18742,0
20060904,5.79,5.89,5.71,5.83,29899,0
20060905,5.81,6.25,5.8,6.02,67309,0
20060906,6.19,6.19,5.85,5.9,42866,0
20060907,5.9,5.9,5.8,5.88,13502,0
20060908,5.85,5.9,5.77,5.86,14102,0
20060911,5.8,5.9,5.75,5.84,9305,0
20060912,5.81,5.89,5.77,5.86,11335,0
20060913,5.88,5.88,5.8,5.85,7028,0
20060914,5.84,6.05,5.8,5.9,22902,0
20060915,5.86,5.97,5.84,5.84,22062,0
20060918,5.95,5.95,5.8,5.86,6320,0
