Date,Open,High,Low,Close,Volume,OpenInt
20050210,22.628,22.93,21.399,21.479,1828438,0
20050211,21.71,21.71,21.327,21.63,192283,0
20050214,21.55,21.933,21.479,21.782,139265,0
20050215,21.862,21.933,21.782,21.862,48090,0
20050216,21.862,22.165,21.782,22.093,227710,0
20050217,22.093,22.093,21.782,22.013,105782,0
20050218,21.862,22.013,21.55,22.013,89435,0
20050221,21.63,22.165,21.399,22.013,161034,0
20050222,21.933,22.316,21.71,22.245,120547,0
20050223,22.013,22.779,22.013,22.779,163730,0
20050224,22.85,23.848,22.85,23.767,454779,0
20050225,24.079,24.302,23.696,23.928,322190,0
20050228,24.15,24.302,23.696,23.696,127496,0
20050301,23.313,23.767,23.162,23.696,60604,0
20050302,23.696,23.767,23.545,23.696,255882,0
20050303,23.616,23.928,23.616,23.696,38926,0
20050304,23.696,23.696,23.082,23.313,27331,0
20050307,23.162,23.385,22.628,23.082,48529,0
20050308,22.93,23.082,22.628,23.082,66973,0
20050309,23.082,23.082,22.779,22.85,49304,0
20050310,22.85,22.85,22.316,22.547,75574,0
20050311,22.628,22.628,22.093,22.316,69523,0
20050314,22.316,22.467,22.013,22.245,29005,0
20050315,22.165,22.396,21.933,22.396,15032,0
20050316,22.316,22.699,22.093,22.396,52615,0
20050317,22.165,22.316,22.013,22.165,25176,0
20050318,22.165,22.316,22.165,22.165,39982,0
20050321,22.165,22.396,22.165,22.165,23303,0
20050322,22.165,22.165,21.933,22.013,41366,0
20050323,21.933,22.013,21.782,21.862,67189,0
20050324,21.782,21.862,21.63,21.862,134371,0
20050329,21.782,21.782,21.479,21.63,4271,0
20050330,21.63,22.093,21.63,22.093,7823,0
20050331,22.165,22.165,21.933,22.013,10657,0
20050401,21.862,22.013,21.71,22.013,63384,0
20050404,22.013,22.013,21.782,21.782,73006,0
20050405,21.71,22.093,21.71,22.093,4947,0
20050406,22.093,22.245,21.862,22.245,4355,0
20050407,22.165,22.316,21.862,22.165,4806,0
20050411,21.782,22.165,21.782,22.013,5829,0
20050412,22.165,22.165,21.782,21.782,12757,0
20050413,21.71,22.165,21.71,21.933,10277,0
20050414,21.782,22.165,21.782,22.165,12900,0
20050415,21.933,22.245,21.862,22.165,11269,0
20050418,21.782,22.093,21.399,22.093,29333,0
20050419,21.782,21.782,21.479,21.55,1896,0
20050420,21.55,21.782,21.096,21.327,14714,0
20050421,21.399,21.399,20.633,20.633,5189,0
20050422,20.713,20.713,19.947,20.259,7034,0
20050425,19.876,19.876,19.03,19.342,50697,0
20050426,19.413,19.493,18.727,19.03,12022,0
20050427,19.11,19.11,18.264,18.264,28403,0
20050428,18.193,18.344,17.427,18.344,34534,0
20050429,18.344,19.262,18.193,19.11,31478,0
20050502,19.493,19.645,19.342,19.645,3545,0
20050504,19.796,19.796,19.342,19.493,6587,0
20050505,19.262,19.413,18.799,19.342,6395,0
20050506,18.879,19.262,18.879,19.11,5275,0
20050509,19.342,19.342,19.11,19.262,16836,0
20050510,19.413,19.413,19.03,19.11,11570,0
20050511,18.959,19.11,18.959,19.11,9097,0
20050512,19.03,19.182,18.959,19.11,7607,0
20050513,19.03,19.11,18.879,19.11,4062,0
20050516,19.11,19.262,18.727,19.03,11160,0
20050517,19.03,19.182,19.03,19.182,13079,0
20050518,19.03,19.11,18.959,19.11,4582,0
20050519,19.11,19.262,18.727,19.262,6442,0
20050520,19.182,19.262,19.11,19.182,28389,0
20050523,19.11,19.182,18.959,19.11,10627,0
20050524,19.11,19.413,19.11,19.11,13670,0
20050525,19.182,19.716,19.182,19.493,31644,0
20050527,19.645,19.796,19.342,19.493,5132,0
20050530,19.11,19.413,19.11,19.182,4844,0
20050531,19.342,19.947,19.342,19.876,14708,0
20050601,19.947,20.482,19.876,20.259,149337,0
20050602,20.33,20.33,20.027,20.179,28375,0
20050603,20.33,20.33,20.179,20.179,14182,0
20050606,20.179,20.259,19.796,19.876,25715,0
20050607,20.179,20.179,19.876,20.099,7010,0
20050608,19.947,20.099,19.716,19.796,14095,0
20050609,20.027,20.099,19.645,19.876,12014,0
20050610,19.876,19.876,19.716,19.876,12591,0
20050613,19.876,19.947,19.564,19.876,25923,0
20050614,19.876,20.027,19.796,19.947,57742,0
20050615,19.947,20.713,19.947,20.633,417137,0
20050616,21.016,21.096,20.259,20.562,36250,0
20050617,20.633,20.713,20.633,20.713,13267,0
20050620,20.793,20.793,20.33,20.633,9196,0
20050621,20.633,20.865,20.482,20.865,19602,0
20050622,20.793,20.945,20.633,20.633,18796,0
20050623,20.793,20.793,20.482,20.793,12792,0
20050624,20.793,20.793,20.562,20.793,42912,0
20050627,20.633,20.633,20.482,20.633,3964,0
20050628,20.562,20.633,20.482,20.482,3335,0
20050629,20.482,20.482,20.099,20.33,15997,0
20050630,20.259,20.793,20.259,20.793,39570,0
20050701,20.793,20.865,20.633,20.793,71547,0
20050704,20.793,21.016,20.793,20.945,15495,0
20050705,21.016,21.016,20.633,20.793,69814,0
20050706,20.633,20.793,20.482,20.793,7938,0
20050707,20.865,20.945,20.482,20.713,25353,0
20050708,20.713,20.793,20.633,20.793,9518,0
20050711,20.713,20.713,20.482,20.562,6315,0
20050712,20.33,20.713,20.259,20.713,6488,0
20050713,20.865,20.865,20.793,20.865,7186,0
20050714,20.865,20.865,20.633,20.865,6692,0
20050715,20.713,20.793,20.633,20.793,4013,0
20050718,20.562,20.633,20.402,20.482,7705,0
20050719,20.482,20.482,19.557,19.788,34009,0
20050720,20.402,20.482,19.94,20.402,69457,0
20050721,20.402,20.482,20.402,20.402,9515,0
20050722,20.25,20.25,20.099,20.171,37371,0
20050725,20.099,20.171,19.86,19.94,36608,0
20050726,20.099,20.33,20.099,20.33,7271,0
20050727,20.171,20.402,20.171,20.33,17040,0
20050728,20.33,20.865,20.33,20.793,18288,0
20050729,20.865,20.865,20.562,20.713,10896,0
20050801,20.793,20.865,20.482,20.633,14452,0
20050802,20.713,21.104,20.713,21.104,24343,0
20050803,21.104,21.255,20.945,21.176,29754,0
20050804,21.024,21.104,20.865,21.104,8115,0
