Date,Open,High,Low,Close,Volume,OpenInt
20071130,9.3,17.05,9.3,11.3,112661,0
20071203,12.3,12.3,10,10.15,21248,0
20071204,9.8,10.1,9.21,9.3,14050,0
20071205,9.5,10,9.3,9.64,15903,0
20071206,9.8,9.8,9.39,9.41,5214,0
20071207,9.5,9.6,9.34,9.55,11887,0
20071210,9.7,9.7,9.27,9.54,3222,0
20071211,9.3,9.3,8.71,9.01,2604,0
20071212,8.82,9,8.8,8.88,1313,0
20071213,8.9,8.9,8.36,8.89,7244,0
20071214,9.03,9.03,8.39,9.02,4912,0
20071217,8.27,8.88,8.15,8.25,3040,0
20071218,8.4,8.95,8.4,8.95,2544,0
20071219,9.1,9.25,8.9,9.18,1244,0
20071220,9,9.05,8.55,9.05,2849,0
20071221,9.2,9.2,8.78,9.05,705,0
20071227,8.99,9,8.99,8.99,205,0
20071228,8.5,9.4,8.5,9,4902,0
20080102,9.39,9.39,9.35,9.35,366,0
20080103,9.1,9.15,9.03,9.03,2252,0
20080104,9.05,9.29,9.05,9.06,2287,0
20080107,9.09,9.09,9.01,9.01,2702,0
20080108,9.2,9.2,8.84,9.15,1331,0
20080109,9.05,9.05,8.71,8.71,1176,0
20080110,8.9,8.95,8.71,8.72,1077,0
20080111,8.51,8.51,8.51,8.51,20,0
20080114,8.68,9,8.25,8.75,4483,0
20080115,8.83,8.83,8.7,8.7,1110,0
20080116,8.8,8.8,8.25,8.25,362,0
20080117,8.5,8.5,8.5,8.5,300,0
20080118,8.6,8.6,8.32,8.32,520,0
20080121,8.25,8.25,7.9,7.9,1020,0
20080122,8.14,8.14,8.14,8.14,928,0
20080123,8.14,8.65,7.83,8.65,933,0
20080124,8.65,8.88,8.6,8.88,976,0
20080125,9.05,9.05,9.05,9.05,143,0
20080128,8.95,8.95,8.95,8.95,354,0
20080129,9.29,9.29,9.2,9.2,225,0
20080130,9.5,9.5,9.3,9.49,361,0
20080131,9.5,9.5,9.14,9.14,750,0
20080201,9.48,9.48,9.07,9.3,1294,0
20080204,9.48,9.5,8.62,9.49,1667,0
