Date,Open,High,Low,Close,Volume,OpenInt
20050114,50,51.2,40,43,34864,0
20050117,43.8,45,39.6,39.8,9886,0
20050118,39,40,39,40,3301,0
20050119,39.1,40,39.1,39.5,1115,0
20050120,39.1,40,39,39.5,1143,0
20050121,38.7,39.5,38.7,39.4,721,0
20050124,39.5,39.5,39,39.2,4737,0
20050125,38.1,40.2,38.1,40.2,11,0
20050126,39.2,40.4,39.1,39.5,1959,0
20050127,39.9,39.9,39.9,39.9,11,0
20050128,39.4,39.4,39,39,2044,0
20050131,39,39,38.5,38.5,2891,0
20050201,39,40,39,40,2300,0
20050202,39.7,43.9,39.7,42.2,7480,0
20050203,43,43,41.5,41.5,791,0
20050204,42,42,40.5,40.5,1360,0
20050207,40.5,40.7,40.5,40.6,813,0
20050208,40.6,40.6,40.5,40.6,630,0
20050209,40.6,40.6,40,40,525,0
20050210,40,42.3,39.8,42.3,6203,0
20050211,42.3,42.7,41.9,42.7,51429,0
20050214,42.9,43.9,42.8,43.9,522,0
20050215,43.8,43.8,43.4,43.4,1727,0
20050216,43.5,43.5,43,43.2,2171,0
20050217,42.6,43.2,42.2,43.2,3477,0
20050218,43,43.4,43,43,265,0
20050221,43,43.4,42.6,43.4,2889,0
20050222,41.9,43.3,41.9,43,1564,0
20050223,43.2,43.7,43.2,43.6,792,0
20050224,44,44,43,43,940,0
20050225,43,43,42,42,710,0
20050228,42,42,41.2,41.2,425,0
20050301,42.1,42.1,40,41.2,1635,0
20050302,41.1,42.3,41.1,42.3,900,0
20050303,42.5,42.5,41.6,41.6,201,0
20050304,42,42.9,40.8,42.9,2410,0
20050307,41,42.5,40.6,42.5,1969,0
20050308,41.2,42.5,41.2,42.5,260,0
20050309,42.4,42.5,42.4,42.5,1375,0
20050310,42.3,43.3,41.5,43.3,1650,0
20050311,43,43,43,43,5,0
20050314,42,43,42,43,940,0
20050315,42.4,43,42.3,43,788,0
20050316,42.3,43,42.3,43,1088,0
20050317,42.8,43,41.6,42.9,1071,0
20050318,43,43.1,42,43.1,900,0
20050321,43.1,43.3,42.6,43.3,341,0
20050322,43,45,43,44,2280,0
20050324,44,44.2,43.1,44,1873,0
20050329,45,45,45,45,5,0
20050330,44.2,44.7,44.2,44.7,105,0
20050331,44.6,44.6,44,44,222,0
20050401,43.1,44.3,43,44.3,150,0
20050404,43.2,43.2,43,43,248,0
20050405,43.7,43.7,42.5,43.3,419,0
20050406,43.7,43.7,43.7,43.7,5,0
20050407,43.7,43.7,43.7,43.7,5,0
20050411,42.6,42.8,41.7,42.8,1487,0
20050412,42,42,41.8,41.8,515,0
20050413,41.8,42.5,41.8,42.5,600,0
20050414,42.5,43,42.5,43,485,0
20050415,41.8,43,41.7,43,750,0
20050418,42.6,42.6,42.6,42.6,5,0
20050419,42,43,41.6,43,505,0
20050421,42.8,42.8,42.8,42.8,200,0
20050426,43,43,42,43,380,0
20050427,43,43,43,43,5,0
20050428,42.8,42.8,40.4,42.5,2261,0
20050429,43.2,43.2,42,43.2,148,0
20050502,43.9,43.9,43.9,43.9,5,0
20050504,43.2,43.3,43.1,43.3,140,0
20050505,42.9,42.9,41.8,42.8,1457,0
20050506,42.7,42.8,41.7,42.8,368,0
20050509,43.5,43.5,41.7,42.4,400,0
20050510,42,42.6,41.3,42,2677,0
20050511,41.8,42,40.5,42,1758,0
20050512,42.5,43.9,42.5,43.9,590,0
20050513,43.8,44,42.8,44,445,0
20050516,44,44.9,43.9,44.9,1470,0
20050517,44.9,45.5,44.9,45.5,424,0
20050518,46,46.2,45.5,46,316,0
20050519,46,48,45.9,47.9,13327,0
20050520,48.3,48.6,48.3,48.6,264,0
20050523,48.5,53.4,48.4,52.5,1146,0
20050524,52.9,53.5,52.9,53.5,847,0
20050525,54.1,55,54.1,55,840,0
20050527,55,55,54.5,55,692,0
20050530,55,55,54.3,55,501,0
20050531,54.9,57.8,53.8,54.5,2721,0
20050601,54,54,52,52.3,3087,0
20050602,52.3,52.3,49.2,50,5814,0
20050603,50,51.3,48.1,51.3,990,0
20050606,54.6,56,54.6,55,501,0
20050607,56,56,55.9,55.9,323,0
20050608,55.9,55.9,55.9,55.9,5,0
20050609,55,55.7,53.1,54,694,0
20050610,53.5,55.8,53,55.8,14021,0
20050613,55.5,57.3,53.8,57.3,823,0
20050614,57.5,57.9,57.4,57.9,439,0
20050615,57.5,58,57.5,58,2115,0
20050616,59.5,59.5,58,58,508,0
20050617,59,59,57.8,58,600,0
20050620,59.5,59.5,58,58,117,0
20050621,58,58,57.6,57.7,569,0
20050622,59,59,56.9,57.9,1909,0
20050623,58.5,58.5,55,57,3868,0
20050624,57.9,58.5,55.8,57,4040,0
20050627,56,56.4,55.9,55.9,1600,0
20050628,56,56,55.8,55.8,290,0
20050629,55.8,55.8,55.8,55.8,10,0
20050630,55.5,55.5,55.5,55.5,10,0
20050701,55.4,55.4,55.4,55.4,21,0
20050704,55.4,55.4,54,54,386,0
20050705,55.5,55.5,55.4,55.4,20,0
20050706,55.4,55.4,55.4,55.4,10,0
