Date,Open,High,Low,Close,Volume,OpenInt
19990310,22.831,22.831,22.831,22.831,196259,0
19990311,24.942,24.942,24.942,24.942,99631,0
19990312,27.34,27.34,27.34,27.34,94310,0
19990315,30.026,30.026,30.026,30.026,65813,0
19990316,30.026,30.026,30.026,30.026,154682,0
19990317,30.026,30.026,30.026,30.026,70564,0
19990318,30.218,30.218,30.218,30.218,44383,0
19990319,31.657,31.657,31.657,31.657,22058,0
19990322,29.067,29.067,29.067,29.067,3643,0
19990323,29.642,29.642,29.642,29.642,8965,0
19990324,28.587,28.587,28.587,28.587,11526,0
19990325,28.779,28.779,28.779,28.779,21441,0
19990326,30.026,30.026,30.026,30.026,9679,0
19990329,30.506,30.506,30.506,30.506,18165,0
19990330,30.218,30.218,30.218,30.218,6476,0
19990331,29.067,29.067,29.067,29.067,2401,0
19990401,29.067,29.067,29.067,29.067,5978,0
19990406,28.587,28.587,28.587,28.587,4874,0
19990407,29.067,29.067,29.067,29.067,17001,0
19990408,29.546,29.546,29.546,29.546,6520,0
19990409,30.026,30.026,30.026,30.026,16015,0
19990412,30.218,30.218,30.218,30.218,19372,0
19990413,30.985,30.985,30.985,30.985,20532,0
19990414,31.081,31.081,31.081,31.081,11238,0
19990415,31.177,31.177,31.177,31.177,4716,0
19990416,32.424,32.424,32.424,32.424,15850,0
19990419,34.823,34.823,34.823,34.823,10830,0
19990420,33.576,33.576,33.576,33.576,4883,0
19990421,34.919,34.919,34.919,34.919,18570,0
19990422,35.974,35.974,35.974,35.974,20752,0
19990423,36.262,36.262,36.262,36.262,15507,0
19990426,35.974,35.974,35.974,35.974,3249,0
19990427,35.015,35.015,35.015,35.015,5150,0
19990428,35.015,35.015,35.015,35.015,15327,0
19990429,34.535,34.535,34.535,34.535,21578,0
19990430,35.206,35.206,35.206,35.206,5685,0
19990504,35.782,35.782,35.782,35.782,10168,0
19990505,36.262,36.262,36.262,36.262,17956,0
19990506,37.605,37.605,37.605,37.605,12330,0
19990507,37.221,37.221,37.221,37.221,9208,0
19990510,36.933,36.933,36.933,36.933,2839,0
19990511,36.645,36.645,36.645,36.645,5297,0
19990512,36.453,36.453,36.453,36.453,4736,0
19990513,36.933,36.933,36.933,36.933,8911,0
19990514,36.741,36.741,36.741,36.741,5089,0
19990517,35.974,35.974,35.974,35.974,20694,0
19990518,36.262,36.262,36.262,36.262,6655,0
19990519,36.645,36.645,36.645,36.645,6875,0
19990520,36.933,36.933,36.933,36.933,8393,0
19990521,36.933,36.933,36.933,36.933,8965,0
19990524,36.453,36.453,36.453,36.453,10549,0
19990525,35.974,35.974,35.974,35.974,13002,0
19990526,35.494,35.494,35.494,35.494,12371,0
19990527,35.494,35.494,35.494,35.494,21441,0
19990528,34.919,34.919,34.919,34.919,8264,0
19990531,34.823,34.823,34.823,34.823,3348,0
19990601,34.823,34.823,34.823,34.823,10347,0
19990602,35.782,35.782,35.782,35.782,18651,0
19990607,36.741,36.741,36.741,36.741,8312,0
19990608,36.741,36.741,36.741,36.741,8999,0
19990609,35.494,35.494,35.494,35.494,15399,0
19990610,35.974,35.974,35.974,35.974,5445,0
19990611,36.358,36.358,36.358,36.358,19122,0
19990614,36.453,36.453,36.453,36.453,8481,0
19990615,36.741,36.741,36.741,36.741,7021,0
19990616,36.358,36.358,36.358,36.358,2743,0
19990617,36.741,36.741,36.741,36.741,7786,0
19990618,36.933,36.933,36.933,36.933,5445,0
19990621,37.413,37.413,37.413,37.413,5517,0
19990622,38.372,38.372,38.372,38.372,14282,0
19990623,37.701,37.701,37.701,37.701,16919,0
19990624,37.701,37.701,37.701,37.701,5659,0
19990625,37.701,37.701,37.701,37.701,2378,0
19990628,37.701,37.701,37.701,37.701,6159,0
19990629,38.18,38.18,38.18,38.18,19773,0
19990630,38.372,38.372,38.372,38.372,23059,0
19990701,38.372,38.372,38.372,38.372,12367,0
19990702,39.14,39.14,39.14,39.14,11782,0
19990705,42.017,42.017,42.017,42.017,20687,0
19990706,43.169,43.169,43.169,43.169,16721,0
19990707,43.169,43.169,43.169,43.169,12184,0
19990708,44.416,44.416,44.416,44.416,10391,0
19990709,44.416,44.416,44.416,44.416,6664,0
19990712,44.32,44.32,44.32,44.32,2383,0
19990713,43.936,43.936,43.936,43.936,2912,0
19990714,43.456,43.456,43.456,43.456,4799,0
19990715,43.648,43.648,43.648,43.648,11533,0
19990716,43.456,43.456,43.456,43.456,10033,0
19990719,42.977,42.977,42.977,42.977,6168,0
19990720,44.416,44.416,44.416,44.416,4232,0
19990721,47.773,47.773,47.773,47.773,22614,0
19990722,47.773,47.773,47.773,47.773,32449,0
19990723,47.677,47.677,47.677,47.677,5236,0
19990726,46.526,46.526,46.526,46.526,8477,0
19990727,47.006,47.006,47.006,47.006,16516,0
19990728,47.773,47.773,47.773,47.773,3232,0
19990729,47.294,47.294,47.294,47.294,10347,0
19990730,47.006,47.006,47.006,47.006,3719,0
19990802,47.39,47.39,47.39,47.39,4087,0
19990803,47.773,47.773,47.773,47.773,4424,0
19990804,48.253,48.253,48.253,48.253,9043,0
19990805,48.733,48.733,48.733,48.733,9535,0
19990806,49.404,49.404,49.404,49.404,11855,0
19990809,49.692,49.692,49.692,49.692,8694,0
19990810,50.172,50.172,50.172,50.172,10315,0
19990811,50.172,50.172,50.172,50.172,13026,0
19990812,50.651,50.651,50.651,50.651,10423,0
19990813,54.009,54.009,54.009,54.009,12631,0
19990816,54.968,54.968,54.968,54.968,14586,0
19990817,54.009,54.009,54.009,54.009,13564,0
19990818,53.049,53.049,53.049,53.049,7957,0
19990819,52.57,52.57,52.57,52.57,6045,0
19990820,51.802,51.802,51.802,51.802,6192,0
19990823,50.363,50.363,50.363,50.363,12118,0
