Date,Open,High,Low,Close,Volume,OpenInt
20040701,4.3367,4.6012,4.3367,4.4123,2904070,0
20040702,4.4123,4.7902,4.3745,4.7146,811212,0
20040705,4.9036,4.9036,4.5256,4.5256,320257,0
20040706,4.5634,4.5634,4.4123,4.4501,202575,0
20040707,4.4123,4.5256,4.4123,4.5256,173940,0
20040708,4.5634,4.5634,4.4879,4.5634,87382,0
20040709,4.5634,4.8658,4.5634,4.7902,328696,0
20040712,4.9414,5.3854,4.9036,5.1208,634087,0
20040713,5.2342,5.3476,5.0169,5.1208,377567,0
20040714,5.1964,5.1964,5.0547,5.1586,105812,0
20040715,5.2342,5.5365,5.1964,5.5365,743916,0
20040716,5.6499,5.8011,5.4987,5.5365,503210,0
20040719,5.6499,5.6499,5.4609,5.5743,201663,0
20040720,5.5743,5.5743,5.272,5.3854,222963,0
20040721,5.3854,5.4987,5.1586,5.272,191054,0
20040722,5.2342,5.3854,5.1586,5.3854,94145,0
20040723,5.3854,5.4609,5.272,5.272,171280,0
20040726,5.272,5.4232,5.1964,5.1964,149448,0
20040727,5.1964,5.2342,5.083,5.1964,47075,0
20040728,5.2342,5.3098,5.083,5.083,125453,0
20040729,5.083,5.083,5.0169,5.0547,34112,0
20040730,5.0169,5.083,4.8658,4.8658,90281,0
20040802,4.7902,4.8658,4.5256,4.7524,172226,0
20040803,4.7524,4.9791,4.7524,4.9414,45199,0
20040804,4.9414,4.9791,4.828,4.9414,32492,0
20040805,4.9414,5.0547,4.9036,4.9414,82031,0
20040806,4.9791,5.2342,4.9414,5.083,130977,0
20040809,5.083,5.083,4.8658,4.9791,65905,0
20040810,4.9791,5.1964,4.9791,5.0547,117416,0
20040811,5.0547,5.1208,4.8658,4.9414,106881,0
20040812,4.9414,4.9791,4.828,4.9791,30035,0
20040813,5.0547,5.0547,4.9036,4.9414,32368,0
20040816,4.9791,4.9791,4.8658,4.9036,28861,0
20040817,4.9414,4.9414,4.7902,4.8658,47533,0
20040818,4.8658,4.8658,4.7146,4.7524,60062,0
20040819,4.7524,4.8658,4.7524,4.7524,64841,0
20040820,4.7902,4.828,4.7524,4.7524,40531,0
20040823,4.7902,4.8658,4.7902,4.7902,24605,0
20040824,4.828,5.0547,4.7902,4.9791,50279,0
20040825,5.0547,5.0547,4.8658,4.9414,118460,0
20040826,4.9414,4.9414,4.8658,4.9414,15946,0
20040827,4.9036,5.0169,4.9036,4.9414,68922,0
20040830,5.0547,5.0547,4.8658,4.9036,49223,0
20040831,4.9791,4.9791,4.8658,4.9036,45534,0
20040901,4.8658,4.8658,4.7524,4.8658,83606,0
20040902,4.828,4.828,4.7524,4.828,63963,0
20040903,4.7902,4.828,4.7902,4.7902,41007,0
20040906,4.7902,4.828,4.7524,4.7902,85653,0
20040907,4.828,4.828,4.7524,4.7524,71080,0
20040908,4.7902,4.9791,4.7524,4.9036,468506,0
20040909,4.9036,4.9036,4.828,4.8658,66462,0
