Date,Open,High,Low,Close,Volume,OpenInt
19970319,6.5,6.5,6.5,6.5,72077,0
19970320,6.5,6.5,6.5,6.5,37385,0
19970321,6.5,6.5,6.5,6.5,44154,0
19970324,6.2,6.2,6.2,6.2,21935,0
19970325,6,6,6,6,38167,0
19970326,6,6,6,6,41750,0
19970327,6.6,6.6,6.6,6.6,85682,0
19970401,7.25,7.25,7.25,7.25,113793,0
19970402,7.35,7.35,7.35,7.35,88776,0
19970403,7.6,7.6,7.6,7.6,112697,0
19970404,7.8,7.8,7.8,7.8,181987,0
19970407,8.55,8.55,8.55,8.55,118421,0
19970408,9.4,9.4,9.4,9.4,277872,0
19970409,9.7,9.7,9.7,9.7,144536,0
19970410,10,10,10,10,147600,0
19970411,10,10,10,10,127500,0
19970414,9,9,9,9,40611,0
19970415,8.8,8.8,8.8,8.8,172898,0
19970416,9.4,9.4,9.4,9.4,172713,0
19970417,8.5,8.5,8.5,8.5,125235,0
19970418,8.4,8.4,8.4,8.4,117440,0
19970421,8.8,8.8,8.8,8.8,89545,0
19970422,8.5,8.5,8.5,8.5,63000,0
19970423,8.4,8.4,8.4,8.4,67679,0
19970424,8.2,8.2,8.2,8.2,76220,0
19970425,7.85,7.85,7.85,7.85,59682,0
19970428,7.45,7.45,7.45,7.45,51141,0
19970429,7.5,7.5,7.5,7.5,64267,0
19970430,8,8,8,8,43063,0
19970505,8.2,8.2,8.2,8.2,48293,0
19970506,8.2,8.2,8.2,8.2,35793,0
19970507,7.7,7.7,7.7,7.7,13961,0
19970508,7.7,7.7,7.7,7.7,33130,0
19970509,7.9,7.9,7.9,7.9,19937,0
19970512,7.25,7.25,7.25,7.25,50276,0
19970513,7.4,7.4,7.4,7.4,56757,0
19970514,7.2,7.2,7.2,7.2,42708,0
19970515,7.25,7.25,7.25,7.25,31655,0
19970516,7.3,7.3,7.3,7.3,26027,0
19970519,7,7,7,7,42429,0
19970520,7.05,7.05,7.05,7.05,39149,0
19970521,7,7,7,7,34143,0
19970522,7,7,7,7,54105,0
19970523,7,7,7,7,20714,0
19970526,6.7,6.7,6.7,6.7,12985,0
19970527,6.4,6.4,6.4,6.4,15014,0
19970528,6.6,6.6,6.6,6.6,25606,0
19970530,6.5,6.5,6.5,6.5,5462,0
19970602,6.7,6.7,6.7,6.7,21567,0
19970603,6.65,6.65,6.65,6.65,15338,0
19970604,6.4,6.4,6.4,6.4,11875,0
19970605,6,6,6,6,14750,0
19970606,6.3,6.3,6.3,6.3,22460,0
19970609,6.5,6.5,6.5,6.5,18308,0
19970610,6.3,6.3,6.3,6.3,11789,0
19970611,6.3,6.3,6.3,6.3,19444,0
19970612,6.5,6.5,6.5,6.5,20769,0
19970613,6.75,6.75,6.75,6.75,42490,0
19970616,6.6,6.6,6.6,6.6,31947,0
19970617,6.4,6.4,6.4,6.4,20089,0
