Date,Open,High,Low,Close,Volume,OpenInt
19950517,1.1163,1.1163,1.1163,1.1163,1903599,0
19950518,1.1064,1.1064,1.1064,1.1064,1211628,0
19950519,1.0419,1.0419,1.0419,1.0419,881576,0
19950522,0.9377,0.9377,0.9377,0.9377,711340,0
19950523,0.9178,0.9178,0.9178,0.9178,916809,0
19950524,1.0121,1.0121,1.0121,1.0121,477210,0
19950525,1.1113,1.1113,1.1113,1.1113,1417661,0
19950526,1.0816,1.0816,1.0816,1.0816,570007,0
19950529,1.1163,1.1163,1.1163,1.1163,587220,0
19950530,1.0072,1.0072,1.0072,1.0072,506395,0
19950531,1.0171,1.0171,1.0171,1.0171,323985,0
19950601,1.0072,1.0072,1.0072,1.0072,299858,0
19950602,0.9923,0.9923,0.9923,0.9923,526068,0
19950605,1.0419,1.0419,1.0419,1.0419,409365,0
19950606,1.0419,1.0419,1.0419,1.0419,815344,0
19950607,1.0667,1.0667,1.0667,1.0667,563880,0
19950608,1.0716,1.0716,1.0716,1.0716,429702,0
19950609,1.0419,1.0419,1.0419,1.0419,268758,0
19950612,1.027,1.027,1.027,1.027,181100,0
19950613,1.022,1.022,1.022,1.022,226511,0
19950614,1.0121,1.0121,1.0121,1.0121,166487,0
19950616,0.9823,0.9823,0.9823,0.9823,353251,0
19950619,0.965,0.965,0.965,0.965,182894,0
19950620,0.9699,0.9699,0.9699,0.9699,119605,0
19950621,0.9898,0.9898,0.9898,0.9898,305119,0
19950622,0.9923,0.9923,0.9923,0.9923,245418,0
19950623,1.0072,1.0072,1.0072,1.0072,273555,0
19950626,1.0419,1.0419,1.0419,1.0419,465519,0
19950627,1.0419,1.0419,1.0419,1.0419,465519,0
19950628,0.9972,0.9972,0.9972,0.9972,150403,0
19950629,1.0121,1.0121,1.0121,1.0121,256906,0
19950630,1.0171,1.0171,1.0171,1.0171,270895,0
19950703,1.0369,1.0369,1.0369,1.0369,303305,0
19950704,1.0121,1.0121,1.0121,1.0121,280126,0
19950705,0.9898,0.9898,0.9898,0.9898,268234,0
19950706,0.9923,0.9923,0.9923,0.9923,182410,0
19950707,0.9923,0.9923,0.9923,0.9923,132021,0
19950710,1.0022,1.0022,1.0022,1.0022,135709,0
19950711,0.9873,0.9873,0.9873,0.9873,102795,0
19950712,0.9724,0.9724,0.9724,0.9724,136778,0
19950713,0.9799,0.9799,0.9799,0.9799,274523,0
19950714,0.9873,0.9873,0.9873,0.9873,240540,0
19950717,0.9972,0.9972,0.9972,0.9972,115332,0
19950718,1.0419,1.0419,1.0419,1.0419,883995,0
19950719,1.0171,1.0171,1.0171,1.0171,496519,0
19950720,1.0072,1.0072,1.0072,1.0072,256181,0
19950721,1.0022,1.0022,1.0022,1.0022,161166,0
19950724,1.0022,1.0022,1.0022,1.0022,449536,0
19950725,0.9823,0.9823,0.9823,0.9823,144558,0
19950726,0.9972,0.9972,0.9972,0.9972,169974,0
19950727,0.9972,0.9972,0.9972,0.9972,88262,0
19950728,0.9972,0.9972,0.9972,0.9972,403601,0
19950731,0.9873,0.9873,0.9873,0.9873,103803,0
19950801,0.9823,0.9823,0.9823,0.9823,36643,0
19950802,0.9923,0.9923,0.9923,0.9923,130529,0
19950803,0.9675,0.9675,0.9675,0.9675,655307,0
19950804,0.9724,0.9724,0.9724,0.9724,202082,0
19950807,0.9724,0.9724,0.9724,0.9724,62201,0
19950808,0.9551,0.9551,0.9551,0.9551,16246,0
19950809,0.9551,0.9551,0.9551,0.9551,133512,0
19950810,0.9675,0.9675,0.9675,0.9675,134359,0
19950811,0.9823,0.9823,0.9823,0.9823,136415,0
19950816,0.9923,0.9923,0.9923,0.9923,177895,0
19950817,0.9675,0.9675,0.9675,0.9675,52204,0
19950818,0.9625,0.9625,0.9625,0.9625,20761,0
19950821,0.9575,0.9575,0.9575,0.9575,95539,0
19950822,0.9501,0.9501,0.9501,0.9501,57364,0
19950823,0.9377,0.9377,0.9377,0.9377,47971,0
19950824,0.9402,0.9402,0.9402,0.9402,26041,0
19950825,0.9427,0.9427,0.9427,0.9427,72682,0
19950828,0.9327,0.9327,0.9327,0.9327,59500,0
19950829,0.9253,0.9253,0.9253,0.9253,57807,0
19950830,0.9253,0.9253,0.9253,0.9253,64297,0
19950831,0.9253,0.9253,0.9253,0.9253,116702,0
19950901,0.9253,0.9253,0.9253,0.9253,65386,0
19950904,0.9352,0.9352,0.9352,0.9352,43295,0
19950905,0.9675,0.9675,0.9675,0.9675,199503,0
19950906,0.9675,0.9675,0.9675,0.9675,102835,0
19950907,0.965,0.965,0.965,0.965,139882,0
19950908,0.9799,0.9799,0.9799,0.9799,182693,0
19950911,0.9923,0.9923,0.9923,0.9923,433875,0
19950912,1.0121,1.0121,1.0121,1.0121,371492,0
19950913,1.0022,1.0022,1.0022,1.0022,235985,0
19950914,1.022,1.022,1.022,1.022,727465,0
19950915,1.032,1.032,1.032,1.032,708357,0
19950918,1.022,1.022,1.022,1.022,479911,0
19950919,1.022,1.022,1.022,1.022,657040,0
19950920,1.022,1.022,1.022,1.022,202042,0
19950921,1.032,1.032,1.032,1.032,456893,0
19950922,1.032,1.032,1.032,1.032,244692,0
19950925,1.032,1.032,1.032,1.032,316406,0
19950926,1.0419,1.0419,1.0419,1.0419,462153,0
19950927,1.0518,1.0518,1.0518,1.0518,977820,0
19950928,1.0518,1.0518,1.0518,1.0518,616567,0
19950929,1.0518,1.0518,1.0518,1.0518,692615,0
19951002,1.0617,1.0617,1.0617,1.0617,85703,0
19951003,1.0518,1.0518,1.0518,1.0518,433068,0
19951004,1.022,1.022,1.022,1.022,207444,0
19951005,1.0369,1.0369,1.0369,1.0369,189022,0
19951006,1.0568,1.0568,1.0568,1.0568,264949,0
19951009,1.0865,1.0865,1.0865,1.0865,117831,0
19951010,1.0072,1.0072,1.0072,1.0072,217945,0
19951011,0.9972,0.9972,0.9972,0.9972,189022,0
19951012,1.0072,1.0072,1.0072,1.0072,157377,0
19951013,1.0072,1.0072,1.0072,1.0072,56577,0
19951016,1.032,1.032,1.032,1.032,238363,0
19951017,1.0419,1.0419,1.0419,1.0419,560534,0
19951018,1.0667,1.0667,1.0667,1.0667,777653,0
19951019,1.1113,1.1113,1.1113,1.1113,1054151,0
19951020,1.0766,1.0766,1.0766,1.0766,595847,0
19951023,1.0816,1.0816,1.0816,1.0816,456731,0
19951024,1.0766,1.0766,1.0766,1.0766,294920,0
19951025,1.1014,1.1014,1.1014,1.1014,719987,0
19951026,1.1163,1.1163,1.1163,1.1163,846989,0
19951027,1.1163,1.1163,1.1163,1.1163,373125,0
19951030,1.1213,1.1213,1.1213,1.1213,872224,0
19951031,1.1213,1.1213,1.1213,1.1213,525745,0
19951102,1.156,1.156,1.156,1.156,646196,0
19951103,1.2106,1.2106,1.2106,1.2106,758303,0
19951106,1.2403,1.2403,1.2403,1.2403,624831,0
19951107,1.2651,1.2651,1.2651,1.2651,725610,0
19951108,1.2899,1.2899,1.2899,1.2899,953533,0
19951109,1.2651,1.2651,1.2651,1.2651,630354,0
19951110,1.2155,1.2155,1.2155,1.2155,369779,0
19951113,1.1907,1.1907,1.1907,1.1907,406906,0
19951114,1.1907,1.1907,1.1907,1.1907,671028,0
19951115,1.1907,1.1907,1.1907,1.1907,443429,0
19951116,1.2056,1.2056,1.2056,1.2056,321405,0
19951117,1.2552,1.2552,1.2552,1.2552,409889,0
19951120,1.1907,1.1907,1.1907,1.1907,485433,0
19951121,1.2403,1.2403,1.2403,1.2403,389008,0
19951122,1.2899,1.2899,1.2899,1.2899,656234,0
19951123,1.2403,1.2403,1.2403,1.2403,635715,0
19951124,1.2155,1.2155,1.2155,1.2155,393644,0
19951127,1.2006,1.2006,1.2006,1.2006,184890,0
19951128,1.2006,1.2006,1.2006,1.2006,578453,0
19951129,1.2056,1.2056,1.2056,1.2056,650691,0
19951130,1.2056,1.2056,1.2056,1.2056,195350,0
19951201,1.2106,1.2106,1.2106,1.2106,242858,0
19951204,1.2155,1.2155,1.2155,1.2155,382961,0
19951205,1.2403,1.2403,1.2403,1.2403,580891,0
19951206,1.2403,1.2403,1.2403,1.2403,469228,0
19951207,1.2651,1.2651,1.2651,1.2651,1196693,0
19951208,1.2651,1.2651,1.2651,1.2651,677801,0
19951211,1.3396,1.3396,1.3396,1.3396,634909,0
19951212,1.3793,1.3793,1.3793,1.3793,943253,0
19951213,1.3793,1.3793,1.3793,1.3793,750422,0
19951214,1.3793,1.3793,1.3793,1.3793,354178,0
19951215,1.3644,1.3644,1.3644,1.3644,275208,0
19951218,1.3396,1.3396,1.3396,1.3396,240379,0
19951219,1.2899,1.2899,1.2899,1.2899,786844,0
19951220,1.2304,1.2304,1.2304,1.2304,856220,0
19951221,1.2304,1.2304,1.2304,1.2304,483176,0
19951222,1.28,1.28,1.28,1.28,279300,0
19951227,1.28,1.28,1.28,1.28,341783,0
19951228,1.2651,1.2651,1.2651,1.2651,320921,0
19951229,1.28,1.28,1.28,1.28,428493,0
19960102,1.28,1.28,1.28,1.28,225786,0
19960103,1.2899,1.2899,1.2899,1.2899,519779,0
19960104,1.2899,1.2899,1.2899,1.2899,763221,0
19960105,1.2899,1.2899,1.2899,1.2899,1506246,0
19960108,1.3644,1.3644,1.3644,1.3644,2111970,0
19960109,1.3892,1.3892,1.3892,1.3892,1083739,0
19960110,1.3644,1.3644,1.3644,1.3644,762979,0
19960111,1.3793,1.3793,1.3793,1.3793,1203909,0
19960112,1.3396,1.3396,1.3396,1.3396,610641,0
19960115,1.2899,1.2899,1.2899,1.2899,312416,0
19960116,1.2651,1.2651,1.2651,1.2651,99207,0
19960117,1.3396,1.3396,1.3396,1.3396,262792,0
19960118,1.2899,1.2899,1.2899,1.2899,272507,0
19960119,1.2651,1.2651,1.2651,1.2651,423676,0
19960122,1.2899,1.2899,1.2899,1.2899,292663,0
19960123,1.3148,1.3148,1.3148,1.3148,630152,0
19960124,1.3396,1.3396,1.3396,1.3396,529292,0
19960125,1.3892,1.3892,1.3892,1.3892,898386,0
19960126,1.4388,1.4388,1.4388,1.4388,1234021,0
19960129,1.4884,1.4884,1.4884,1.4884,1462306,0
19960130,1.5033,1.5033,1.5033,1.5033,1009788,0
19960131,1.5033,1.5033,1.5033,1.5033,416742,0
19960201,1.4388,1.4388,1.4388,1.4388,216151,0
19960202,1.4785,1.4785,1.4785,1.4785,302680,0
19960205,1.4636,1.4636,1.4636,1.4636,674374,0
19960206,1.4636,1.4636,1.4636,1.4636,1052901,0
19960207,1.4636,1.4636,1.4636,1.4636,743710,0
19960208,1.4884,1.4884,1.4884,1.4884,458868,0
19960209,1.5033,1.5033,1.5033,1.5033,1277538,0
19960212,1.5628,1.5628,1.5628,1.5628,334668,0
19960213,1.5281,1.5281,1.5281,1.5281,1542769,0
19960214,1.5281,1.5281,1.5281,1.5281,389391,0
19960215,1.538,1.538,1.538,1.538,328661,0
19960216,1.5132,1.5132,1.5132,1.5132,475476,0
19960219,1.4785,1.4785,1.4785,1.4785,84191,0
19960220,1.4537,1.4537,1.4537,1.4537,490472,0
19960221,1.4636,1.4636,1.4636,1.4636,494665,0
19960222,1.4884,1.4884,1.4884,1.4884,693039,0
19960223,1.4884,1.4884,1.4884,1.4884,264042,0
19960226,1.5033,1.5033,1.5033,1.5033,200913,0
19960227,1.5132,1.5132,1.5132,1.5132,232961,0
19960228,1.5132,1.5132,1.5132,1.5132,251142,0
19960229,1.5876,1.5876,1.5876,1.5876,676470,0
19960301,1.5876,1.5876,1.5876,1.5876,990781,0
19960304,1.7464,1.7464,1.7464,1.7464,785897,0
19960305,1.9101,1.9101,1.9101,1.9101,1874756,0
19960306,1.9845,1.9845,1.9845,1.9845,1310896,0
19960307,2.0341,2.0341,2.0341,2.0341,960607,0
19960308,1.9845,1.9845,1.9845,1.9845,471909,0
19960311,1.8952,1.8952,1.8952,1.8952,471707,0
19960312,1.8952,1.8952,1.8952,1.8952,391769,0
19960313,1.8555,1.8555,1.8555,1.8555,234171,0
19960314,1.8506,1.8506,1.8506,1.8506,129421,0
19960315,1.8506,1.8506,1.8506,1.8506,84292,0
19960318,2.0044,2.0044,2.0044,2.0044,645834,0
19960319,2.1383,2.1383,2.1383,2.1383,769046,0
19960320,2.1284,2.1284,2.1284,2.1284,907718,0
19960321,2.1284,2.1284,2.1284,2.1284,524334,0
19960322,2.0887,2.0887,2.0887,2.0887,286052,0
19960325,2.0887,2.0887,2.0887,2.0887,166850,0
19960326,2.1284,2.1284,2.1284,2.1284,211898,0
19960327,2.1334,2.1334,2.1334,2.1334,223831,0
19960328,2.1334,2.1334,2.1334,2.1334,204602,0
19960329,2.1532,2.1532,2.1532,2.1532,247312,0
19960401,2.183,2.183,2.183,2.183,262711,0
19960402,2.1929,2.1929,2.1929,2.1929,112631,0
19960403,2.2326,2.2326,2.2326,2.2326,205590,0
19960404,2.3814,2.3814,2.3814,2.3814,138995,0
19960405,2.4062,2.4062,2.4062,2.4062,84775,0
19960409,2.3318,2.3318,2.3318,2.3318,118355,0
19960410,2.3566,2.3566,2.3566,2.3566,131114,0
19960411,2.3517,2.3517,2.3517,2.3517,173925,0
19960412,2.3219,2.3219,2.3219,2.3219,63733,0
19960415,2.3269,2.3269,2.3269,2.3269,313302,0
19960416,2.4559,2.4559,2.4559,2.4559,134379,0
19960417,2.5303,2.5303,2.5303,2.5303,303728,0
19960418,2.7039,2.7039,2.7039,2.7039,441957,0
19960419,2.6543,2.6543,2.6543,2.6543,370343,0
19960422,2.6543,2.6543,2.6543,2.6543,231127,0
19960423,2.6791,2.6791,2.6791,2.6791,270794,0
19960424,2.7287,2.7287,2.7287,2.7287,211092,0
19960425,2.7039,2.7039,2.7039,2.7039,188981,0
19960426,2.6791,2.6791,2.6791,2.6791,133996,0
19960429,2.5799,2.5799,2.5799,2.5799,287987,0
19960430,2.6791,2.6791,2.6791,2.6791,259406,0
19960506,2.7535,2.7535,2.7535,2.7535,362624,0
19960507,2.828,2.828,2.828,2.828,263961,0
19960508,2.9024,2.9024,2.9024,2.9024,272023,0
19960509,2.9272,2.9272,2.9272,2.9272,268355,0
19960510,2.8776,2.8776,2.8776,2.8776,108942,0
19960513,2.8776,2.8776,2.8776,2.8776,182088,0
19960514,2.7784,2.7784,2.7784,2.7784,142522,0
19960515,2.7287,2.7287,2.7287,2.7287,250477,0
19960516,2.7784,2.7784,2.7784,2.7784,220626,0
19960517,2.9272,2.9272,2.9272,2.9272,494846,0
19960520,2.9768,2.9768,2.9768,2.9768,118073,0
19960521,3.0264,3.0264,3.0264,3.0264,160420,0
19960522,2.9024,2.9024,2.9024,2.9024,81651,0
19960523,2.7535,2.7535,2.7535,2.7535,183035,0
19960524,2.4807,2.4807,2.4807,2.4807,437382,0
19960527,2.5551,2.5551,2.5551,2.5551,399993,0
19960528,2.5303,2.5303,2.5303,2.5303,82196,0
19960529,2.4311,2.4311,2.4311,2.4311,230966,0
19960530,2.4559,2.4559,2.4559,2.4559,102412,0
19960531,2.4807,2.4807,2.4807,2.4807,20559,0
19960603,2.5551,2.5551,2.5551,2.5551,82982,0
19960604,2.6543,2.6543,2.6543,2.6543,262772,0
19960605,2.7287,2.7287,2.7287,2.7287,72561,0
19960607,2.9024,2.9024,2.9024,2.9024,172796,0
19960610,2.9768,2.9768,2.9768,2.9768,204582,0
19960611,3.0264,3.0264,3.0264,3.0264,223871,0
19960612,2.9768,2.9768,2.9768,2.9768,154031,0
19960613,2.828,2.828,2.828,2.828,274039,0
19960614,2.7784,2.7784,2.7784,2.7784,159816,0
19960617,2.828,2.828,2.828,2.828,149234,0
19960618,2.8528,2.8528,2.8528,2.8528,214357,0
19960619,2.7784,2.7784,2.7784,2.7784,157820,0
19960620,2.7784,2.7784,2.7784,2.7784,324308,0
19960621,2.7784,2.7784,2.7784,2.7784,134439,0
19960624,2.7287,2.7287,2.7287,2.7287,91608,0
19960625,2.7287,2.7287,2.7287,2.7287,114707,0
19960626,2.7039,2.7039,2.7039,2.7039,159574,0
19960627,2.6295,2.6295,2.6295,2.6295,157820,0
19960628,2.6543,2.6543,2.6543,2.6543,482430,0
19960701,2.6543,2.6543,2.6543,2.6543,44464,0
19960702,2.6543,2.6543,2.6543,2.6543,213995,0
19960703,2.6295,2.6295,2.6295,2.6295,35938,0
19960704,2.6543,2.6543,2.6543,2.6543,384836,0
19960705,2.6543,2.6543,2.6543,2.6543,388605,0
19960708,2.6543,2.6543,2.6543,2.6543,153910,0
19960709,2.6047,2.6047,2.6047,2.6047,52204,0
19960710,2.5799,2.5799,2.5799,2.5799,85078,0
19960711,2.3219,2.3219,2.3219,2.3219,378144,0
19960712,2.3566,2.3566,2.3566,2.3566,148932,0
19960715,2.4261,2.4261,2.4261,2.4261,77902,0
19960716,2.3814,2.3814,2.3814,2.3814,261824,0
19960717,2.3318,2.3318,2.3318,2.3318,144094,0
19960718,2.2326,2.2326,2.2326,2.2326,247473,0
19960719,2.2326,2.2326,2.2326,2.2326,491359,0
