Date,Open,High,Low,Close,Volume,OpenInt
20020923,0.11,0.11,0.11,0.11,883871,0
20021108,0.17,0.17,0.17,0.17,530322,0
20021127,0.11,0.11,0.11,0.11,883871,0
20021205,0.18,0.18,0.18,0.18,353547,0
20021218,0.17,0.17,0.17,0.17,795483,0
20030116,0.17,0.17,0.17,0.17,795483,0
20030117,0.17,0.17,0.17,0.17,88386,0
20030206,0.12,0.18,0.12,0.18,530322,0
20030224,0.12,0.18,0.12,0.18,403849,0
20030225,0.18,0.18,0.12,0.12,52227,0
20030226,0.12,0.12,0.12,0.12,7955,0
20030227,0.12,0.12,0.12,0.12,71594,0
20030304,0.16,0.16,0.16,0.16,1767,0
20030307,0.12,0.13,0.12,0.13,1148,0
20030310,0.13,0.13,0.13,0.13,3845,0
20030410,0.12,0.16,0.12,0.16,607219,0
20030411,0.12,0.16,0.11,0.11,1661278,0
20030414,0.11,0.12,0.06,0.06,562628,0
20030415,0.14,0.2,0.14,0.2,1060644,0
20030417,0.18,0.2,0.18,0.2,883871,0
20030425,0.1,0.1,0.1,0.1,59264,0
20030512,0.08,0.08,0.08,0.08,382671,0
20030513,0.15,0.24,0.15,0.24,380550,0
20030515,0.11,0.12,0.11,0.12,46934,0
20030520,0.1,0.1,0.08,0.08,37122,0
20030521,0.08,0.08,0.08,0.08,60244,0
20030523,0.1,0.1,0.1,0.1,39774,0
20030527,0.1,0.1,0.1,0.1,88485,0
20030530,0.1,0.12,0.1,0.11,683188,0
20030611,0.14,0.14,0.14,0.14,707097,0
20030613,0.15,0.17,0.15,0.17,23918,0
20030904,0.1,0.1,0.1,0.1,8838,0
20030908,0.1,0.1,0.1,0.1,1502580,0
20030909,0.1,0.1,0.1,0.1,265161,0
20031017,0.06,0.06,0.06,0.06,618,0
20031024,0.06,0.06,0.06,0.06,4419,0
20031028,0.06,0.06,0.06,0.06,795,0
20031114,0.11,0.11,0.11,0.11,87,0
20040209,0.03,0.03,0.03,0.03,9,0
20040220,0.07,0.07,0.07,0.07,8848,0
20040301,0.07,0.07,0.07,0.07,4507,0
20040315,0.08,0.08,0.08,0.08,2298,0
20040331,0.09,0.09,0.09,0.09,9908,0
