Date,Open,High,Low,Close,Volume,OpenInt
20101223,23.874,49.727,23.874,49.727,1713,0
20101227,54.76,60.231,54.76,60.231,169,0
20101228,65.653,71.621,54.711,54.711,7172,0
20101229,49.737,49.737,39.79,39.79,4376,0
20101230,34.816,34.816,31.334,32.826,6589,0
20101231,30.34,30.34,29.84,30.24,3575,0
20110103,29.345,29.345,25.465,25.754,10983,0
20110104,24.471,26.918,24.471,25.067,15700,0
20110105,25.067,25.067,22.561,23.854,12425,0
20110107,23.864,24.371,23.854,24.371,6531,0
20110110,24.301,24.301,21.884,22.322,7462,0
20110111,22.68,23.018,20.502,21.884,6759,0
20110112,21.785,21.884,21.088,21.775,1829,0
20110113,21.138,21.974,20.89,21.367,519,0
20110114,21.088,21.088,20.153,20.153,1874,0
20110117,20.84,20.84,19.298,19.785,2186,0
20110118,19.756,19.795,19.009,19.099,2043,0
20110119,19.885,19.895,19.208,19.397,995,0
20110120,19.497,19.855,19,19.348,724,0
20110121,18.92,19.616,18.91,19.189,2498,0
20110124,19.189,19.795,18.91,19.586,630,0
20110125,19.099,19.298,18.482,19.198,792,0
20110126,18.303,19.567,18.303,18.85,1064,0
20110127,18.154,19.318,17.756,18.502,1851,0
20110128,17.418,17.438,16.94,17.338,2192,0
20110131,16.99,17.87,15.93,17.86,1326,0
20110201,17.856,19.338,17.03,18.85,2716,0
20110202,18.403,18.89,18.005,18.83,4737,0
20110203,17.905,18.492,17.905,18.492,453,0
20110204,18.602,18.811,18.005,18.602,700,0
20110207,18.711,19.348,18.502,19.179,1724,0
20110208,19,19,18.403,18.9,394,0
20110209,18.413,18.791,17.866,18.751,2841,0
20110210,18.403,18.701,18.353,18.701,956,0
20110211,17.905,18.502,17.706,18.502,67,0
20110214,18.403,19.696,18.055,19.696,8067,0
20110215,19.795,24.759,19.795,24.759,20755,0
20110216,24.67,25.744,22.213,22.76,9705,0
20110217,22.76,22.76,21.685,22.531,2587,0
20110218,21.616,21.984,20.999,21.984,1402,0
20110221,21.984,23.774,21.347,23.078,2974,0
20110222,23.068,23.068,21.636,22.74,1649,0
20110223,21.884,21.884,20.71,20.89,3349,0
20110224,20.939,21.387,20.671,20.691,795,0
20110225,21.088,21.675,20.89,21.675,313,0
20110228,21.864,22.859,21.864,22.461,912,0
20110301,22.083,22.402,21.586,22.402,797,0
20110302,22.302,22.302,20.919,22.262,1009,0
20110303,20.989,21.884,20.989,21.884,162,0
20110304,21.387,21.785,20.999,21.785,864,0
20110307,21.188,21.188,21.188,21.188,201,0
20110308,20.223,21.088,20.223,21.088,1019,0
20110309,21.088,21.437,21.088,21.437,1001,0
20110310,21.138,21.536,21.138,21.536,147,0
20110311,21.118,21.118,21.118,21.118,434,0
20110314,21.118,21.118,21.118,21.118,365,0
20110315,21.118,21.496,20.89,21.297,1722,0
20110316,21.377,21.506,21.377,21.506,302,0
20110317,20.472,20.89,20.472,20.89,563,0
20110318,20.89,20.89,20.541,20.541,382,0
20110321,20.89,20.89,20.541,20.541,121,0
20110322,20.939,20.939,20.591,20.89,352,0
20110323,20.561,20.929,20.561,20.641,1279,0
20110324,20.581,20.581,20.442,20.442,1056,0
20110325,20.442,20.88,19.964,20.88,463,0
20110328,19.964,20.392,19.964,20.392,80,0
20110330,19.954,20.004,19.954,20.004,784,0
20110331,20,20.04,19.94,19.94,1900,0
20110401,19.954,19.954,19.954,19.954,101,0
20110404,19.954,19.954,19.895,19.895,89,0
20110405,20.293,21.387,20.293,21.387,176,0
20110406,21.506,21.506,20.392,20.392,935,0
20110407,20.591,20.959,20.392,20.701,474,0
20110408,20.74,20.969,20.392,20.969,265,0
20110411,20.442,20.442,20.293,20.313,153,0
20110412,20.492,21.069,20.313,21.069,302,0
20110413,21.238,21.238,21.238,21.238,101,0
20110414,20.313,20.313,19.895,19.895,1015,0
20110415,20.104,20.193,20.104,20.193,105,0
20110418,20.104,20.104,19.895,19.895,2614,0
20110419,19.895,19.895,19.656,19.656,391,0
20110420,19.656,19.656,19.656,19.656,54,0
20110421,19.109,19.109,19.109,19.109,362,0
20110426,19.109,19.109,19.109,19.109,50,0
20110427,19.109,19.248,18.85,18.86,709,0
20110428,18.512,18.751,18.393,18.403,4764,0
20110429,18.5,18.6,18.5,18.5,565,0
20110502,18.552,19,18.552,18.9,315,0
20110505,18.403,18.403,18.403,18.403,250,0
20110506,18.403,18.651,18.403,18.651,266,0
20110509,18.403,18.403,18.303,18.303,232,0
20110512,17.02,18.602,17.02,18.602,131,0
20110513,18.005,18.005,18.005,18.005,1,0
20110517,17.408,17.408,16.911,16.911,1223,0
20110518,16.911,16.911,16.911,16.911,251,0
20110519,16.901,20.89,15.349,20.89,16203,0
20110520,21.258,21.287,19.139,21.248,2613,0
20110523,20.89,20.89,19.198,19.397,1555,0
20110524,17.905,20.392,17.905,20.392,1481,0
20110525,19.895,20.442,19.795,19.905,799,0
20110526,20.143,20.143,20.143,20.143,20,0
20110527,19.895,20.432,19.895,20.392,247,0
20110530,19.706,19.706,19.696,19.696,980,0
20110531,19.308,20.094,19.308,20.094,180,0
20110601,19.308,19.308,19.298,19.308,310,0
20110607,19.845,19.845,19.845,19.845,11,0
20110609,18.064,19.845,18.055,19.845,252,0
20110610,18.9,19.945,18.9,19.895,1328,0
20110613,19.895,20.492,19.895,20.392,993,0
20110614,19.895,20.313,19.099,20.313,515,0
20110615,19.397,20.143,19.397,19.895,916,0
20110616,18.9,20.392,18.9,20.392,584,0
20110617,18.91,20.332,18.91,20.332,63,0
20110620,18.92,20.392,18.92,20.392,2575,0
20110621,20.392,20.392,20.392,20.392,342,0
20110622,20.392,20.392,19.447,19.447,7897,0
20110624,19.427,19.427,19.427,19.427,25,0
20110627,19.427,19.427,19.427,19.427,327,0
20110628,18.9,18.9,18.9,18.9,101,0
20110630,19.89,20.39,19.89,20.39,183,0
20110706,18.9,19.895,18.353,19.895,4433,0
20110708,19.895,19.895,19.895,19.895,201,0
20110711,19.895,19.994,19.895,19.994,201,0
20110712,19.994,19.994,19.994,19.994,2,0
20110718,18.94,18.94,18.93,18.93,312,0
20110727,17.129,20.87,17.129,20.87,3925,0
20110728,20.74,20.87,20.392,20.392,626,0
20110729,19.925,20.87,19.925,20.87,211,0
20110803,18.82,18.82,17.209,18.82,229,0
20110805,16.93,18.602,15.269,18.602,796,0
20110808,16.811,17.408,16.811,16.911,690,0
20110809,15.916,15.916,15.468,15.468,110,0
20110810,16.911,16.911,16.911,16.911,322,0
20110812,15.916,16.015,15.916,16.015,210,0
20110816,16.811,16.811,16.811,16.811,18,0
20110817,16.921,16.921,16.921,16.921,48,0
20110818,15.936,18.602,15.936,18.602,93,0
20110819,16.741,17.905,16.741,17.905,111,0
20110824,16.911,16.911,16.911,16.911,26,0
20110825,16.911,16.911,16.513,16.513,362,0
