Date,Open,High,Low,Close,Volume,OpenInt
20111205,12.37,13.5,10.1,11.1,5203,0
20111206,11.1,13.9,10,13.9,2319,0
20111207,13.89,15.7,12.7,13.7,1965,0
20111208,13.75,15.69,12.7,13.7,3481,0
20111209,13.7,13.7,13.19,13.64,440,0
20111212,13.8,13.8,13,13.5,359,0
20111213,13.25,13.25,12.7,13,1123,0
20111214,12.71,12.71,12.4,12.4,295,0
20111215,12.51,12.51,12.51,12.51,700,0
20111216,12.51,12.51,12.51,12.51,20,0
20111219,12.75,12.75,12.75,12.75,20,0
20111220,12.75,12.75,12.7,12.7,10,0
20111221,12.51,12.51,12.51,12.51,25,0
20111222,12.51,15,12.51,15,1875,0
20111223,15.7,15.7,15.7,15.7,10,0
20111227,15.7,15.7,15.7,15.7,10,0
20111228,15.6,15.6,14.5,15.3,40,0
20111229,15.6,15.6,15.6,15.6,10,0
20111230,15.6,15.6,15.6,15.6,20,0
20120102,15.7,15.7,15.7,15.7,10,0
20120103,15.7,16,15.7,16,21,0
20120110,15.2,15.2,15,15,30,0
20120111,14.8,14.8,14.8,14.8,20,0
20120124,15.3,17.6,15.3,17.6,654,0
20120125,18.38,18.4,18.38,18.4,50,0
20120126,18.4,18.4,18.4,18.4,20,0
20120127,18.4,19.1,18.4,19.1,956,0
20120130,19.1,19.1,19.1,19.1,5,0
20120131,19.1,19.1,17.38,17.4,673,0
20120202,17,17,16.8,16.8,15,0
20120203,16.8,20.2,16.8,20.2,794,0
20120206,20.2,20.2,20.16,20.17,193,0
20120207,20.17,20.17,19.2,19.42,385,0
20120208,19.99,19.99,19.99,19.99,2,0
20120209,19.95,19.95,19.5,19.5,260,0
20120210,19.8,19.8,19.8,19.8,2,0
20120213,19.8,19.8,19.8,19.8,151,0
20120214,20.09,20.09,20.09,20.09,10,0
20120215,20.09,20.19,20.08,20.19,270,0
20120216,20.18,22.9,20.18,22.9,3192,0
20120217,23,27.4,23,27.4,1404,0
20120220,31.4,31.4,29.9,30.2,2308,0
20120221,31,31,29,29,590,0
20120222,29,29,29,29,5,0
20120227,27.91,27.91,27.91,27.91,73,0
20120228,27,27,26.7,26.7,105,0
20120229,26,26.7,26,26.7,329,0
20120301,26.7,26.7,26.7,26.7,19,0
20120302,26.7,26.7,26.7,26.7,5,0
20120309,26.88,26.88,26.88,26.88,5,0
20120312,26.88,28.5,26.88,28.5,95,0
20120319,28.13,29,28.13,29,100,0
20120320,29.55,29.55,29,29,14,0
20120328,28.7,28.7,28.7,28.7,10,0
20120329,28.5,28.5,28.1,28.1,100,0
20120330,27.3,27.3,26.95,26.95,100,0
20120402,27.03,27.03,27.03,27.03,7,0
20120412,26.8,26.8,26.8,26.8,10,0
20120413,27,27,27,27,20,0
20120416,27,27.14,27,27.14,40,0
20120417,27,28.4,27,28.4,42,0
20120419,28,28,27.8,27.8,8,0
20120420,28.5,28.77,28,28,40,0
20120424,28.5,28.87,28.5,28.87,20,0
20120425,28.9,29.19,28.9,29.19,20,0
20120426,29.19,29.7,29.19,29.7,29,0
20120504,29.7,29.7,29.7,29.7,5,0
20120507,29.7,29.7,29,29,22,0
20120509,29.55,30.65,29.55,30,178,0
20120511,30.4,30.45,30,30,100,0
20120514,29.5,29.5,29,29,63,0
20120515,28.7,28.7,27.8,27.8,50,0
20120522,27.7,28.87,27.7,28.87,190,0
20120523,29.5,29.5,29,29,40,0
20120525,29,29,29,29,10,0
20120530,29,29,28.7,28.7,90,0
20120611,28.7,28.7,27.91,27.91,110,0
20120621,27.6,27.6,26.6,26.6,117,0
20120622,26,26.19,26,26.19,133,0
