Date,Open,High,Low,Close,Volume,OpenInt
20080506,12.006,12.006,11.474,11.711,9144650,0
20080507,11.711,11.797,11.522,11.768,3560911,0
20080508,11.674,11.768,11.607,11.721,528290,0
20080509,11.721,11.721,11.369,11.446,506600,0
20080512,11.474,11.522,11.369,11.455,411460,0
20080513,11.408,11.655,11.388,11.588,740209,0
20080514,11.721,12.025,11.721,11.987,949886,0
20080515,11.93,11.93,11.863,11.921,222757,0
20080516,11.921,11.939,11.873,11.902,406255,0
20080519,11.939,11.939,11.807,11.854,893479,0
20080520,11.854,12.12,11.854,12.034,1267821,0
20080521,11.987,12.11,11.902,12.006,449696,0
20080523,12.025,12.101,12.015,12.073,227831,0
20080526,12.073,12.073,11.997,12.034,130787,0
20080527,11.997,12.063,11.987,12.063,240962,0
20080528,12.073,12.481,12.063,12.404,715554,0
20080529,12.472,12.566,12.386,12.396,457266,0
20080530,12.481,12.803,12.472,12.803,219437,0
20080602,12.823,13.279,12.785,13.146,896953,0
20080603,13.184,13.772,13.165,13.725,752310,0
20080604,13.801,13.811,13.099,13.184,257884,0
20080605,12.927,13.317,12.614,13.003,346295,0
20080606,13.222,13.307,12.927,13.06,130702,0
20080609,12.737,12.927,12.462,12.88,188689,0
20080610,12.651,12.7,12.205,12.49,425556,0
20080611,12.31,12.433,12.177,12.348,324114,0
20080612,12.167,12.519,12.13,12.205,182615,0
20080613,12.205,12.481,12.054,12.404,60999,0
20080616,12.396,12.795,12.386,12.747,108878,0
20080617,12.7,12.965,12.7,12.832,94397,0
20080618,12.785,12.803,12.386,12.481,132640,0
20080619,12.433,12.481,12.054,12.386,509028,0
20080620,12.481,12.566,12.404,12.404,246068,0
20080623,12.472,12.481,12.167,12.205,283213,0
20080624,12.205,12.244,11.598,11.854,295745,0
20080625,11.768,11.854,11.664,11.721,607904,0
20080626,11.635,11.768,11.635,11.674,65569,0
20080627,11.588,11.854,11.493,11.768,185013,0
20080630,11.721,11.939,11.635,11.939,150796,0
20080701,12.015,12.158,11.702,11.702,454001,0
20080702,11.702,12.31,11.702,12.215,192583,0
20080703,12.167,12.167,12.034,12.073,276719,0
20080704,12.034,12.12,11.939,11.939,100391,0
20080707,12.073,12.073,11.939,12.034,104445,0
