Date,Open,High,Low,Close,Volume,OpenInt
20080820,3.2,4.49,2.85,3.19,48297,0
20080821,3.05,3.19,2.75,2.99,9806,0
20080822,2.8,2.8,2.75,2.75,172,0
20080825,2.75,2.75,2.75,2.75,1800,0
20080826,2.51,2.81,2.51,2.81,1723,0
20080827,2.54,2.6,2.54,2.6,1585,0
20080828,2.54,2.75,2.54,2.75,329,0
20080829,2.58,2.78,2.52,2.78,1120,0
20080901,2.53,2.53,2.26,2.35,2491,0
20080902,2.71,2.71,2.69,2.69,11,0
20080904,2.6,2.6,2.45,2.46,2062,0
20080905,2.3,2.57,2.3,2.37,2860,0
20080908,2.31,2.31,2.3,2.3,1426,0
20080909,2.3,2.39,2.3,2.39,1111,0
20080910,2.16,2.39,2.16,2.39,24,0
20080911,2.39,2.39,2.39,2.39,150,0
20080912,2.3,2.3,2.2,2.2,162,0
20080915,2.32,2.32,2.32,2.32,24,0
20080917,2.35,2.44,2.35,2.44,440,0
20080919,2.43,2.44,2.43,2.44,1000,0
20080922,2.15,2.42,2.12,2.42,2465,0
20080924,2.38,2.38,2.34,2.34,82,0
20081001,2.12,2.3,2.1,2.3,2012,0
20081006,2.12,2.12,2.12,2.12,100,0
20081007,2.29,2.29,2.29,2.29,100,0
20081008,2.3,2.3,2.12,2.28,1352,0
20081009,2.14,2.4,2.14,2.4,327,0
20081010,2.4,2.44,2.4,2.44,150,0
20081014,2.43,2.43,2.43,2.43,46,0
20081015,2.4,2.4,2.4,2.4,17,0
20081016,2.3,2.3,2.3,2.3,1070,0
20081017,2.29,2.29,2.14,2.14,250,0
20081020,2.12,2.3,2.12,2.3,1328,0
20081021,2.35,2.35,2.35,2.35,1,0
20081024,2,2,1.77,1.94,5011,0
20081027,1.94,2.15,1.94,2.15,97,0
20081028,1.91,2.08,1.9,2.08,1292,0
20081029,2.06,2.25,1.81,2.25,2285,0
20081031,2.19,2.19,2.19,2.19,216,0
20081103,2,2.29,2,2.29,10450,0
20081105,2.93,2.93,2,2,50,0
20081106,2.5,2.5,1.91,2.5,145,0
