Date,Open,High,Low,Close,Volume,OpenInt
19971107,1583,1583,1583,1583,84,0
19971112,1426,1426,1426,1426,100,0
19971113,1285,1285,1285,1285,260,0
19971114,1254,1254,1254,1254,296,0
19971117,1293,1293,1293,1293,145,0
19971118,1301,1301,1301,1301,276,0
19971119,1238,1238,1238,1238,57,0
19971120,1254,1254,1254,1254,190,0
19971121,1261,1261,1261,1261,84,0
19971124,1136,1136,1136,1136,54,0
19971125,1058,1058,1058,1058,92,0
19971126,1081,1081,1081,1081,199,0
19971127,1097,1097,1097,1097,65,0
19971128,1097,1097,1097,1097,113,0
19971201,1175,1175,1175,1175,151,0
19971202,1183,1183,1183,1183,196,0
19971203,1128,1128,1128,1128,92,0
19971204,1160,1160,1160,1160,60,0
19971205,1222,1222,1222,1222,96,0
19971208,1214,1214,1214,1214,116,0
19971209,1183,1183,1183,1183,70,0
19971210,1066,1066,1066,1066,41,0
19971211,1066,1066,1066,1066,112,0
19971212,1097,1097,1097,1097,255,0
19971215,1136,1136,1136,1136,173,0
19971216,1175,1175,1175,1175,289,0
19971217,1214,1214,1214,1214,292,0
19971218,1175,1175,1175,1175,132,0
19971219,1058,1058,1058,1058,140,0
19971222,1026,1026,1026,1026,192,0
19971223,1066,1066,1066,1066,40,0
19971229,1113,1113,1113,1113,54,0
19971230,1128,1128,1128,1128,91,0
19971231,1097,1097,1097,1097,181,0
19980105,1081,1081,1081,1081,42,0
19980106,1120,1120,1120,1120,120,0
19980107,1066,1066,1066,1066,64,0
19980108,1081,1081,1081,1081,63,0
19980109,1058,1058,1058,1058,335,0
19980112,956,956,956,956,150,0
19980113,979,979,979,979,239,0
19980114,885,885,885,885,75,0
19980115,901,901,901,901,127,0
19980116,885,885,885,885,60,0
19980119,972,972,972,972,687,0
19980120,987,987,987,987,207,0
19980121,1026,1026,1026,1026,367,0
19980122,1058,1058,1058,1058,234,0
19980123,1128,1128,1128,1128,249,0
19980126,1183,1183,1183,1183,486,0
19980127,1199,1199,1199,1199,389,0
19980128,1214,1214,1214,1214,451,0
19980129,1285,1285,1285,1285,307,0
19980130,1261,1261,1261,1261,412,0
19980202,1254,1254,1254,1254,379,0
19980203,1261,1261,1261,1261,339,0
19980204,1261,1261,1261,1261,275,0
19980205,1261,1261,1261,1261,310,0
19980206,1269,1269,1269,1269,348,0
19980209,1348,1348,1348,1348,247,0
19980210,1426,1426,1426,1426,221,0
19980211,1449,1449,1449,1449,195,0
19980212,1355,1355,1355,1355,202,0
19980213,1324,1324,1324,1324,255,0
19980216,1293,1293,1293,1293,100,0
19980217,1293,1293,1293,1293,183,0
19980218,1340,1340,1340,1340,163,0
19980219,1371,1371,1371,1371,241,0
19980220,1238,1238,1238,1238,52,0
19980223,1301,1301,1301,1301,181,0
19980224,1308,1308,1308,1308,208,0
19980225,1254,1254,1254,1254,185,0
19980226,1293,1293,1293,1293,237,0
19980227,1269,1269,1269,1269,35,0
19980302,1293,1293,1293,1293,209,0
19980303,1316,1316,1316,1316,155,0
19980304,1285,1285,1285,1285,142,0
19980305,1269,1269,1269,1269,160,0
19980306,1293,1293,1293,1293,132,0
19980309,1324,1324,1324,1324,140,0
19980310,1332,1332,1332,1332,240,0
19980311,1332,1332,1332,1332,71,0
19980312,1301,1301,1301,1301,98,0
19980313,1316,1316,1316,1316,60,0
19980316,1293,1293,1293,1293,44,0
19980317,1316,1316,1316,1316,82,0
19980318,1293,1293,1293,1293,54,0
19980319,1363,1363,1363,1363,220,0
19980320,1410,1410,1410,1410,234,0
19980323,1442,1442,1442,1442,153,0
19980324,1395,1395,1395,1395,128,0
19980325,1410,1410,1410,1410,177,0
19980326,1395,1395,1395,1395,157,0
19980327,1332,1332,1332,1332,96,0
19980330,1316,1316,1316,1316,132,0
19980331,1285,1285,1285,1285,114,0
19980401,1269,1269,1269,1269,49,0
19980402,1246,1246,1246,1246,73,0
19980406,1277,1277,1277,1277,202,0
19980407,1308,1308,1308,1308,154,0
19980408,1285,1285,1285,1285,89,0
19980409,1261,1261,1261,1261,56,0
