Date,Open,High,Low,Close,Volume,OpenInt
20050621,20.196,20.282,19.607,19.949,163187,0
20050622,19.778,19.864,19.607,19.778,14197,0
20050623,19.778,19.864,19.693,19.778,17005,0
20050624,19.103,19.693,19.103,19.437,6488,0
20050627,19.351,19.778,19.351,19.778,8069,0
20050628,19.607,19.864,19.607,19.864,19738,0
20050629,19.607,19.864,19.607,19.693,2980,0
20050630,19.864,19.949,19.864,19.864,4265,0
20050701,19.522,19.864,19.522,19.864,730,0
20050704,19.607,19.949,19.607,19.949,5733,0
20050705,19.864,20.034,19.864,20.034,7722,0
20050706,20.034,20.034,19.864,19.864,2023,0
20050707,19.864,19.864,18.343,19.864,5352,0
20050708,19.437,19.864,19.437,19.864,333,0
20050711,19.437,19.949,19.437,19.949,4597,0
20050712,19.437,19.864,19.437,19.864,2435,0
20050713,20.034,20.034,20.034,20.034,7867,0
20050714,19.949,20.034,19.864,19.864,7746,0
20050715,19.864,19.864,19.864,19.864,64,0
20050718,19.437,19.437,19.437,19.437,868,0
20050719,19.437,19.607,19.437,19.607,59289,0
20050720,19.778,19.778,19.437,19.778,60341,0
20050721,19.437,19.864,19.437,19.437,2428,0
20050725,19.274,19.351,19.274,19.351,1164,0
20050726,19.607,19.607,19.522,19.607,30525,0
20050727,19.864,19.864,19.274,19.274,1237,0
20050728,19.274,19.437,19.274,19.437,1274,0
20050729,19.437,19.437,19.437,19.437,237,0
20050801,19.274,19.274,19.274,19.274,101,0
20050802,19.274,19.522,18.087,19.522,2718,0
20050803,19.522,19.522,19.522,19.522,1160,0
20050804,19.607,19.778,19.607,19.778,1259,0
20050805,19.103,20.196,19.103,20.196,14331,0
20050808,20.196,20.957,20.196,20.282,20596,0
20050809,20.367,20.88,20.196,20.88,8045,0
20050810,20.624,20.709,20.453,20.453,3091,0
20050811,20.282,20.282,20.282,20.282,87,0
20050812,20.111,20.282,20.111,20.282,561,0
20050816,20.282,20.624,19.949,20.624,4778,0
20050817,20.624,21.554,20.624,21.128,13018,0
20050818,21.128,21.213,20.794,21.042,1865,0
20050819,21.042,21.213,20.624,20.709,2802,0
20050822,20.957,20.957,20.538,20.957,6975,0
20050823,19.949,20.709,19.949,20.709,5204,0
20050824,20.282,20.709,20.282,20.709,2247,0
20050825,20.453,20.88,20.453,20.88,3372,0
20050826,20.538,20.88,20.538,20.88,4539,0
20050829,20.453,20.709,20.453,20.453,2579,0
20050830,20.538,21.384,20.538,21.298,29710,0
20050831,21.298,21.725,21.128,21.554,15502,0
20050901,21.887,21.887,21.128,21.128,4800,0
20050902,21.469,21.469,21.128,21.128,1602,0
20050905,21.042,21.128,20.538,21.128,1423,0
20050906,20.709,21.128,20.709,21.128,1214,0
20050907,20.794,20.794,20.709,20.709,614,0
20050908,20.709,21.042,20.709,21.042,45,0
20050909,20.709,21.213,20.709,21.213,2477,0
20050912,20.794,21.042,20.794,21.042,290,0
20050913,20.794,20.957,20.709,20.957,1464,0
20050914,20.794,20.957,20.709,20.957,731,0
20050915,20.709,20.957,20.709,20.957,886,0
20050916,20.709,20.88,20.709,20.88,88,0
20050919,20.709,20.794,20.709,20.709,3666,0
20050920,20.709,20.794,20.709,20.794,6525,0
20050921,20.709,20.709,20.709,20.709,769,0
20050922,20.709,20.794,20.709,20.794,1579,0
20050923,20.709,20.957,20.709,20.957,2812,0
20050926,20.794,20.794,20.794,20.794,708,0
20050927,20.709,21.298,20.709,21.298,4141,0
20050928,21.298,21.298,21.213,21.213,260,0
20050929,20.794,21.213,20.709,21.213,1255,0
20050930,21.128,21.213,20.794,21.213,205,0
20051003,21.128,21.213,21.128,21.213,559,0
20051004,21.213,21.213,20.709,21.128,3653,0
20051005,20.709,21.042,20.709,20.709,1312,0
20051006,20.453,21.128,20.453,20.88,3917,0
20051007,20.88,20.957,20.709,20.957,1062,0
20051010,20.957,21.128,20.957,21.128,3509,0
20051011,21.128,21.213,21.128,21.128,1875,0
20051012,21.469,21.554,20.88,20.88,7064,0
20051013,21.554,21.973,21.554,21.802,7730,0
20051014,21.802,22.058,21.128,21.64,3243,0
20051017,21.298,21.887,21.298,21.887,214,0
20051018,21.802,21.887,21.384,21.887,1120,0
20051019,21.128,21.973,21.128,21.554,1135,0
20051020,21.469,22.058,21.469,22.058,816,0
20051021,22.058,22.989,22.058,22.4,2478,0
20051024,22.4,23.245,22.4,23.245,1473,0
20051025,23.245,23.245,23.245,23.245,323,0
20051026,23.245,24.424,23.245,24.091,3460,0
20051027,23.664,23.92,22.989,23.92,467,0
20051028,23.245,23.664,22.818,22.989,888,0
20051031,23.245,24.005,23.245,24.005,42,0
20051102,24.091,24.091,24.091,24.091,10851,0
20051103,24.091,24.091,24.091,24.091,1482,0
20051104,24.091,24.091,23.408,24.091,618,0
20051107,24.091,24.091,23.664,24.091,3965,0
20051114,24.005,24.091,23.92,24.005,823,0
20051115,23.331,23.749,22.818,22.904,150,0
20051116,21.128,23.664,21.128,22.4,3367,0
20051117,23.493,23.493,23.493,23.493,28,0
20051118,22.314,23.331,21.973,22.733,2152,0
20051121,23.493,23.664,23.408,23.664,1497,0
20051122,23.578,23.578,22.562,23.075,644,0
20051123,23.578,23.578,23.578,23.578,10,0
20051124,22.904,22.904,22.818,22.818,1140,0
20051125,23.493,23.493,22.818,23.493,1193,0
20051128,23.245,23.578,23.245,23.578,544,0
20051129,23.408,23.578,23.408,23.578,1271,0
20051130,23.493,23.493,22.818,22.989,658,0
20051201,23.408,23.408,23.245,23.245,192,0
20051202,22.904,23.664,22.904,23.493,1690,0
20051205,22.818,23.92,22.818,23.664,10125,0
20051206,22.989,23.493,22.989,23.493,268,0
20051207,23.408,24.509,23.408,24.509,122161,0
20051208,24.509,24.509,24.005,24.509,660,0
20051209,24.509,24.509,24.005,24.005,10649,0
20051212,24.595,24.595,24.338,24.338,331,0
20051213,24.338,24.338,23.408,24.338,2145,0
20051214,24.253,24.253,23.835,23.92,94,0
20051215,23.493,23.92,23.493,23.92,2880,0
20051216,24.253,24.253,24.253,24.253,10,0
20051219,23.664,24.338,23.664,24.338,68,0
20051220,23.664,24.005,23.664,23.664,175,0
20051221,24.005,24.091,23.664,23.664,3734,0
20051222,24.091,24.091,23.664,23.664,395,0
20051223,23.493,24.005,23.493,23.835,1004,0
20051227,22.989,24.005,22.989,24.005,6331,0
20051228,23.664,24.005,23.664,23.664,264,0
20051229,23.92,23.92,23.664,23.664,131,0
20051230,23.493,23.92,23.493,23.664,1659,0
20060103,23.664,23.92,23.664,23.92,535,0
20060104,23.835,23.835,23.493,23.835,13178,0
20060105,23.664,23.92,23.578,23.578,13793,0
20060106,23.835,23.835,23.835,23.835,1592,0
20060109,23.92,24.338,23.664,23.664,2163,0
20060110,23.664,24.091,23.664,24.091,1534,0
20060111,24.005,24.091,23.92,24.091,275,0
20060112,24.338,24.424,24.338,24.424,1123,0
20060113,24.509,24.509,24.509,24.509,22,0
20060116,24.338,25.355,24.338,25.355,2235,0
20060117,25.355,25.355,24.338,24.765,24862,0
20060118,23.408,24.68,23.331,24.68,2500,0
20060119,24.936,25.355,24.765,25.184,1554,0
20060120,24.851,24.936,24.005,24.005,1229,0
20060123,23.664,24.851,23.664,24.851,789,0
20060124,24.509,24.509,24.424,24.424,1359,0
20060125,24.509,24.509,24.509,24.509,177,0
20060126,24.424,24.424,23.664,23.664,6154,0
20060127,23.92,23.92,23.245,23.578,1047,0
20060130,23.493,24.509,23.493,24.509,628,0
20060131,23.749,24.253,23.664,23.664,4788,0
20060201,23.664,24.424,23.664,24.091,666,0
20060202,24.091,24.091,23.578,23.578,943,0
20060203,23.578,24.005,23.408,24.005,1021,0
20060206,24.005,24.338,23.92,24.091,808,0
20060207,23.92,24.338,23.92,24.091,618,0
20060208,24.091,24.091,23.92,23.92,76,0
20060209,24.091,24.936,24.091,24.509,5707,0
20060210,24.765,24.765,24.509,24.765,1828,0
20060213,24.936,25.782,24.765,25.184,3281,0
20060214,25.098,25.098,24.68,25.098,60911,0
20060215,25.355,26.115,25.355,25.44,47354,0
20060216,25.944,25.944,25.022,25.269,8570,0
20060217,25.355,25.782,25.355,25.782,1066,0
20060220,26.2,27.387,26.2,26.627,11571,0
20060221,26.627,26.704,26.2,26.2,12223,0
20060222,26.627,26.627,25.858,25.858,16845,0
